run,seed,n_train,method,epochs,train_rmse,test_rmse,beta,noise_sd,mean_sd,mean_epistemic_sd,sd_ratio,coverage_95
3,45,50,dngo,1.0,0.1051401765564279,0.5715029727485007,22.267412217336897,0.2119166722366368,0.5118806643778306,0.4587073398866894,0.8956745437667079,0.968
3,45,50,dngo,5.0,0.1881179419876198,0.5108511721032363,9.079618709640906,0.3318686238415715,0.6715294459505087,0.5726671241586727,1.3145304985515458,0.976
3,45,50,dngo,10.0,0.1799410998469017,0.4663258858162115,13.141065716538115,0.2758574430851657,0.4606192124990756,0.3599417394145967,0.9877624779350442,0.956
3,45,50,dngo,20.0,0.1294365089480076,0.4620529362941272,27.03480587461551,0.192326165203298,0.3082154817727771,0.2347727701759926,0.6670566455973728,0.9
3,45,50,dngo,30.0,0.0984389579187007,0.4698620059312776,44.185037325777394,0.1504396751273601,0.2510367203636037,0.1958755902518966,0.5342775478643841,0.848
3,45,50,dngo,50.0,0.076019308174752,0.4898472866698604,69.46393335887343,0.1199831651212604,0.2088815456005784,0.1666718743456991,0.4264217671197537,0.792
3,45,50,dngo,75.0,0.0556681980326027,0.5013337771487265,116.19367057875712,0.0927702579826882,0.1735397838871379,0.1431245670214206,0.3461561773757274,0.756
3,45,50,dngo,100.0,0.0587547665735368,0.5017814656918822,105.0113396479749,0.0975847380248442,0.18221883665623,0.1501677867410434,0.3631438168107251,0.778
3,45,50,dngo,150.0,0.0401410491269164,0.5141471041700426,202.47491842411745,0.0702771892808771,0.1415275871458693,0.1200810474020134,0.2752667203568694,0.684
3,45,50,dngo,200.0,0.031283137905427,0.5131358901671255,298.1702037072323,0.0579119087059512,0.1270212698818288,0.1106585806148677,0.2475392431436801,0.644
3,45,100,dngo,1.0,0.3217905739586272,0.4401536538819803,5.752647071155617,0.4169328695069597,0.5454537021531803,0.3439917616944002,1.239234747553486,0.99
3,45,100,dngo,5.0,0.3235086010902776,0.3662694609866377,6.632833271452009,0.3882848625130783,0.4662112322521657,0.2532833548925579,1.2728640575064871,0.982
3,45,100,dngo,10.0,0.3195107554972387,0.3565448519163256,7.0624227373722634,0.3762904056376899,0.4433548046245406,0.2300313441801454,1.2434755466013223,0.984
3,45,100,dngo,20.0,0.2958384684898903,0.3258545104452368,8.405755261965245,0.3449146407300471,0.4016913823379253,0.2021893891847104,1.2327323067864473,0.986
3,45,100,dngo,30.0,0.2842846631400502,0.324241549600291,9.045149666615323,0.332500361123894,0.3884644412046151,0.197167227314557,1.1980711345708004,0.984
3,45,100,dngo,50.0,0.2629785333545237,0.3166879370533328,10.445784622531049,0.3094065237772178,0.3632506638545698,0.1867801609160124,1.1470303139250784,0.984
3,45,100,dngo,75.0,0.2425780104057968,0.3195873200948794,12.0585141910409,0.2879738818004638,0.3410082985283543,0.1791474382741118,1.0670269972760975,0.98
3,45,100,dngo,100.0,0.2303091008724942,0.3249735850532615,13.338987345150016,0.273803231654141,0.3257337578043972,0.1728022748450261,1.0023391832016473,0.976
3,45,100,dngo,150.0,0.2010278614110616,0.3335631842808376,17.024546129597333,0.2423607170455352,0.2929598464815107,0.1608473967321188,0.8782739231643093,0.966
3,45,100,dngo,200.0,0.1800461081358891,0.343659536873181,20.509125487380448,0.2208139104336691,0.2722733555123464,0.1554847762575909,0.7922764431031112,0.946
3,45,200,dngo,1.0,0.2262083270930899,0.3297437379556858,13.292210698422652,0.2742845793134043,0.3334766117781683,0.1850402198879605,1.0113205298321213,0.984
3,45,200,dngo,5.0,0.2517004549171269,0.3190241769967596,12.687516838516409,0.2807447762389576,0.3125826157284131,0.1352184990136732,0.979808548276854,0.974
3,45,200,dngo,10.0,0.2452905086745795,0.3185394658712034,13.541035141723896,0.2717528249585737,0.3006703844516931,0.1265527010484865,0.9439030847539144,0.974
3,45,200,dngo,20.0,0.2322290788565294,0.3123440300040305,15.16790437442604,0.2567658187627197,0.2833773259383869,0.1178902824305251,0.9072602602160516,0.966
3,45,200,dngo,30.0,0.2220252047186156,0.3060769160779447,16.61363100457066,0.2453396378163439,0.2704721559340553,0.1119846387908032,0.8836738144119879,0.966
3,45,200,dngo,50.0,0.2089462413735016,0.3049664750485074,18.75901084746955,0.2308846352402661,0.2546444787754102,0.1055225688505684,0.8349917109246414,0.968
3,45,200,dngo,75.0,0.1950502284701645,0.3050065195321182,21.39380498683377,0.2162001463709237,0.2392846173517284,0.1007293409306891,0.7845229594396621,0.964
3,45,200,dngo,100.0,0.1823847265141133,0.305353985449051,24.12715228342048,0.2035855583035195,0.2269744437979715,0.0985132284408952,0.7433158059626593,0.96
3,45,200,dngo,150.0,0.1551940317653921,0.3051213099960386,31.928083905680086,0.1769756727660217,0.2017281926017989,0.094686941622785,0.6611409494945405,0.96
3,45,200,dngo,200.0,0.138573123773635,0.3103801003945001,38.975865053679975,0.1601777240493405,0.1849765303031963,0.0903120325253027,0.5959677507291447,0.954
3,45,50,random_feature_ensemble,,,0.4773561656786079,,,0.4693036709939102,,0.98313105545992,0.972
3,45,100,random_feature_ensemble,,,0.3888649263569129,,,0.4687252304863331,,1.2053677220972143,0.968
3,45,200,random_feature_ensemble,,,0.3548976335979094,,,0.3394968605768106,,0.9566050275822704,0.97
