n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
75,0.7465628699146327,1.0,0.0,0.0,7.3866810180740625,6.64011814815943,75,7.3866810180740625,,22.630663505056877,2.9799994081258774e-06,,,0.0,0,,,,,,,,,,,,,,,,,,,,,0,52,1125.821538925171
85,0.2692067943757061,0.3605949414635222,6.802974707317611,5.078848321451694,6.909324942535136,6.64011814815943,85,6.909324942535136,28.0,22.630663505056877,2.9799994081258774e-06,1.0037649560254067,49.07016466814093,34.21294373134151,5389,0.006348662781841,0.0138828687954467,0.117825586336104,0.0703947744458341,28.0,168.0,0.0418540964435253,1.0,0.0801834245877606,0.0418540964435253,0.5007169544696808,0.50148677613054,28.0,0.0329936139285564,1.0,0.0638791695237159,0.0329936139285564,0.5004902243614197,0.5013724386692047,10.0,0,52,1125.821538925171
95,0.2604868304322769,0.3489147946268247,10.350523387769346,7.72731644549161,6.900604978591707,6.64011814815943,95,6.900604978591707,36.0,22.630663505056877,2.9799994081258774e-06,0.8336721151135862,46.19606696791016,69.78485429030843,10627,0.0065667501919928,0.0138482559587532,0.1176786130048838,0.0694227053970176,36.0,216.0,0.0399268531344003,1.0,0.0766385458409786,0.0399268531344003,0.5006786551740434,0.5014672610494826,36.0,0.029399586841464,1.0,0.0571198686957359,0.029399586841464,0.5006891131401062,0.5015147686004638,10.0,0,52,1125.821538925171
105,0.2604868304322769,0.3489147946268247,13.839671334037591,10.33218474981438,6.900604978591707,6.64011814815943,105,6.900604978591707,45.0,22.630663505056877,2.9799994081258774e-06,0.8395100519992411,45.07912622415461,105.28192935464904,15827,0.0066520458302046,0.01162050119053,0.1077984285160504,0.0614270291415986,45.0,270.0,0.037821399875813,1.0,0.07273481041193,0.037821399875813,0.5006793353292677,0.5014762812190585,45.0,0.029296613484621,1.0,0.0569215312600135,0.029296613484621,0.5004204213619232,0.5013491630554199,10.0,0,52,1125.821538925171
115,0.2604868304322769,0.3489147946268247,17.32881928030584,12.937053054137149,6.900604978591707,6.64011814815943,115,6.900604978591707,54.0,22.630663505056877,2.9799994081258774e-06,0.7439044499769807,42.83833198691718,138.7889429172501,21016,0.006603965688868,0.0102154789325336,0.1010716524676114,0.0554505808647585,54.0,324.0,0.036414238486301,1.0,0.0701249510877662,0.036414238486301,0.5006320951161561,0.5014527119972088,54.0,0.031781705841422,1.0,0.061597191542387,0.031781705841422,0.5008583486080169,0.5015608966350555,10.0,0,52,1125.821538925171
125,0.2604868304322769,0.3489147946268247,20.817967226574087,15.541921358459918,6.900604978591707,6.64011814815943,125,6.900604978591707,60.0,22.630663505056877,2.9799994081258774e-06,0.7534877648577094,44.74502009199932,174.01733765611425,26213,0.006638589160192,0.0082037623401222,0.0905746230470887,0.0479270878535251,60.0,360.0,0.035945870137463,1.0,0.0692624776313702,0.035945870137463,0.5006493866443634,0.5014606535434722,60.0,0.029399586841464,1.0,0.0571198686957359,0.029399586841464,0.5008814334869385,0.5016215443611145,10.0,0,52,1125.821538925171
135,0.2604868304322769,0.3489147946268247,24.30711517284233,18.146789662782687,6.900604978591707,6.64011814815943,135,6.900604978591707,66.0,22.630663505056877,2.9799994081258774e-06,0.9260458929929882,42.900948921917006,207.1382855763659,31418,0.0065929812711301,0.0074103398286469,0.0860833307246352,0.0430720995353454,66.0,396.0,0.0353507534741903,1.0,0.0681586040917671,0.0353507534741903,0.5006607653516711,0.5014692698464249,66.0,0.0333157069981098,1.0,0.0644831135869026,0.0333157069981098,0.5007444560527802,0.5014974772930145,10.0,0,52,1125.821538925171
145,0.2604868304322769,0.3489147946268247,27.79626311911058,20.75165796710546,6.900604978591707,6.64011814815943,145,6.900604978591707,69.0,22.630663505056877,2.9799994081258774e-06,0.8904075131285936,48.29059085203335,244.1932377787307,36677,0.0066579392474501,0.0075692062302589,0.0870011852232998,0.0449631688491112,69.0,414.0,0.0352622731926216,1.0,0.067998800156773,0.0352622731926216,0.5006634428881217,0.5014694410821666,69.0,0.0288120517507195,1.0,0.0560100562870502,0.0288120517507195,0.5007436811923981,0.5015112400054932,10.0,0,52,1125.821538925171
155,0.2604868304322769,0.3489147946268247,31.285411065378828,23.35652627142823,6.900604978591707,6.64011814815943,155,6.900604978591707,76.0,22.630663505056877,2.9799994081258774e-06,1.1598534281365571,45.169841419905424,279.05153381079435,41901,0.0066597821963865,0.0049284482148985,0.0702029074533141,0.0353169983588904,76.0,456.0,0.0346781133527034,1.0,0.066913348769671,0.0346781133527034,0.5006682582591709,0.5014722339416805,76.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5005768537521362,0.5013604760169983,10.0,0,52,1125.821538925171
165,0.1626006470402945,0.217799000717632,34.118980042101114,25.471963658791086,6.802718795199724,6.64011814815943,165,6.802718795199724,84.0,22.630663505056877,2.9799994081258774e-06,1.1687456520739945,41.82131830183789,310.61572710308246,47122,0.0065917347969755,0.0047117861643029,0.0686424516192639,0.0334462778472195,84.0,504.0,0.0344461085984394,1.0,0.066490169525856,0.0344461085984394,0.5006566636619114,0.5014602584498269,84.0,0.0325324829667806,1.0,0.0630104646086692,0.0325324829667806,0.5006867110729217,0.5014732122421265,10.0,0,52,1125.821538925171
