n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
75,2.2841132986985775,1.0,0.0,0.0,8.924231446858007,6.64011814815943,75,8.924231446858007,,22.669141499092802,31.89144581905566,,,0.0,0,,,,,,,,,,,,,,,,,,,,,10,62,956.0241236686707
85,0.3757465751409885,0.16450435070584205,5.822521753529211,13.29929936919783,7.015864723300418,6.64011814815943,85,7.015864723300418,34.0,22.669141499092802,31.89144581905566,0.9612887979019433,31.929279777919874,27.271610809722915,4336,0.006289578138773735,0.020420992610747236,0.14290203851151753,0.08837206032501946,34.0,204.0,0.0,0.0,0.0,0.04069667714921867,0.011147205005673802,0.058126145097262716,34.0,0.0,0.0,0.0,0.03331570699810982,0.011179487220942974,0.05655899457633495,2.0,10,62,956.0241236686707
95,0.3757465751409885,0.16450435070584205,7.467565260587631,17.056765120607714,7.015864723300418,6.64011814815943,95,7.015864723300418,39.0,22.669141499092802,31.89144581905566,0.6463277710136026,41.63467067293823,58.28374409326352,8697,0.006701591823992586,0.018844710408561543,0.1372760372700259,0.08621879153518122,39.0,234.0,0.0,0.0,0.0,0.03940611604887705,0.011181232638848133,0.05819644731206772,39.0,0.0,0.0,0.0,0.029772159084677695,0.011534528993070125,0.057575352117419244,10.0,10,62,956.0241236686707
105,0.3757465751409885,0.16450435070584205,9.112608767646051,20.8142308720176,7.015864723300418,6.64011814815943,105,7.015864723300418,48.0,22.669141499092802,31.89144581905566,0.693996295100078,47.26078657107428,96.68656191672198,13869,0.006971415525035834,0.015810151528918258,0.12573842502957583,0.07618548073049294,48.0,288.0,0.0,0.0,0.0,0.03752592520322651,0.011249081483886888,0.05799657052072386,48.0,0.0,0.0,0.0,0.028560250997543335,0.011616973299533128,0.05853712595999241,10.0,10,62,956.0241236686707
115,0.3757465751409885,0.16450435070584205,10.757652274704473,24.571696623427485,7.015864723300418,6.64011814815943,115,7.015864723300418,58.0,22.669141499092802,31.89144581905566,0.820401141885668,18.601540020899847,112.68568428698927,16192,0.006959343150135207,0.013301717464573239,0.11533307185960685,0.06566056651401504,58.0,348.0,0.0,0.0,0.0,0.035980119305694926,0.011312511107274171,0.05808976973439085,58.0,0.0,0.0,0.0,0.028560250997543335,0.01156651321798563,0.058242522180080414,1.0,10,62,956.0241236686707
125,0.3757465751409885,0.16450435070584205,12.402695781762894,28.32916237483737,7.015864723300418,6.64011814815943,125,7.015864723300418,63.0,22.669141499092802,31.89144581905566,0.8952419739216566,41.63643721700646,149.7975328862667,21110,0.0070960460865119234,0.011449430892721935,0.10700201349844747,0.06175098962414481,63.0,378.0,0.0,0.0,0.0,0.035417886450886726,0.011305226648729,0.05800248079356693,63.0,0.0,0.0,0.0,0.028560250997543335,0.011433909647166729,0.057453691959381104,1.0,10,62,956.0241236686707
135,0.3757465751409885,0.16450435070584205,14.047739288821315,32.086628126247255,7.015864723300418,6.64011814815943,135,7.015864723300418,67.0,22.669141499092802,31.89144581905566,0.9221299448981881,41.687607106985524,186.32624448044226,26147,0.007126104122095929,0.013863823717773179,0.1177447396607304,0.07035218451503632,67.0,402.0,0.0,0.0,0.0,0.03502100277970086,0.011300405042607393,0.057924386169483415,67.0,0.0,0.0,0.0,0.028560250997543335,0.011561395600438118,0.058879703283309937,2.0,10,62,956.0241236686707
145,0.3757465751409885,0.16450435070584205,15.692782795879737,35.844093877657144,7.015864723300418,6.64011814815943,145,7.015864723300418,72.0,22.669141499092802,31.89144581905566,0.9644536199048162,39.50333187892102,221.3467053505592,31160,0.0071035528032913735,0.014568889305105082,0.12070165411089064,0.07522279865081868,72.0,432.0,0.0,0.0,0.0,0.034635133187597,0.011302272142428491,0.05790970893576741,72.0,0.0,0.0,0.0,0.028560250997543335,0.011465312913060188,0.05796370655298233,1.0,10,62,956.0241236686707
155,0.3757465751409885,0.16450435070584205,17.337826302938158,39.601559629067026,7.015864723300418,6.64011814815943,155,7.015864723300418,74.0,22.669141499092802,31.89144581905566,1.0053889760747552,24.592922676121816,243.00602772412822,33981,0.0071512323864550255,0.014348467247096274,0.11978508774925314,0.07505003151874483,74.0,444.0,0.0,0.0,0.0,0.03448228955872961,0.01130275653574515,0.057923070935381425,74.0,0.0,0.0,0.0,0.028560250997543335,0.011823353357613087,0.060711491852998734,1.0,10,62,956.0241236686707
165,0.3757465751409885,0.16450435070584205,18.98286980999658,43.35902538047691,7.015864723300418,6.64011814815943,165,7.015864723300418,77.0,22.669141499092802,31.89144581905566,1.0000302668195218,28.089037311961874,267.78324292367324,37593,0.00712322089015703,0.014341491092048375,0.11975596474517824,0.0755746981006828,77.0,462.0,0.0,0.0,0.0,0.034251560783618455,0.011320932816665668,0.05801698570321133,77.0,0.0,0.0,0.0,0.028560250997543335,0.011565537191927433,0.0591401681303978,1.0,10,62,956.0241236686707
