fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_tsfc,1,0.6148675810545683,0.7841349252868209,0.6148675810545683,0.7841349252868209
1,f0_tsfc,2,0.26879463717341423,0.5184540839586609,0.26879463717341423,0.5184540839586609
1,f0_tsfc,3,0.1357703497633338,0.36847028341961824,0.1357703497633338,0.36847028341961824
1,f0_tsfc,4,0.0492263906635344,0.22187021130276682,0.0492263906635344,0.22187021130276682
1,f0_tsfc,5,0.09766040183603764,0.31250664286705593,0.09766040183603764,0.31250664286705593
1,f0_tsfc,6,0.0338148670271039,0.18388819164672837,0.0338148670271039,0.18388819164672837
1,f0_tsfc,7,0.045656224712729454,0.2136731726556459,0.045656224712729454,0.2136731726556459
1,f0_tsfc,8,0.021852577570825815,0.1478261734972052,0.021852577570825815,0.1478261734972052
1,f0_tsfc,9,0.02253953111357987,0.15013171255127902,0.02253953111357987,0.15013171255127902
1,f0_tsfc,10,0.01774607738479972,0.13321440381880525,0.01774607738479972,0.13321440381880525
1,g0_jet_mach,1,0.39265939593315125,0.6266254031980759,0.39265939593315125,0.6266254031980759
1,g0_jet_mach,2,0.13172719348222017,0.36294241069654587,0.13172719348222017,0.36294241069654587
1,g0_jet_mach,3,0.06487871706485748,0.2547130092179382,0.06487871706485748,0.2547130092179382
1,g0_jet_mach,4,0.03125379723496735,0.17678743517277282,0.03125379723496735,0.17678743517277282
1,g0_jet_mach,5,0.023671653121709824,0.15385594925679613,0.023671653121709824,0.15385594925679613
1,g0_jet_mach,6,0.01713546342216432,0.13090249585918642,0.01713546342216432,0.13090249585918642
1,g0_jet_mach,7,0.007595671515446156,0.08715314977352313,0.007595671515446156,0.08715314977352313
1,g0_jet_mach,8,0.014556725043803453,0.12065125380120778,0.014556725043803453,0.12065125380120778
1,g0_jet_mach,9,0.005721344263292849,0.07563956810620252,0.005721344263292849,0.07563956810620252
1,g0_jet_mach,10,0.009077316208276898,0.09527495058134063,0.009077316208276898,0.09527495058134063
1,g1_pr,1,0.32260802388191223,0.56798593634166,0.32260802388191223,0.56798593634166
1,g1_pr,2,0.13816321268677711,0.371703124397384,0.13816321268677711,0.371703124397384
1,g1_pr,3,0.09251460246741772,0.304162131876106,0.09251460246741772,0.304162131876106
1,g1_pr,4,0.08229220006614923,0.2868661710033953,0.08229220006614923,0.2868661710033953
