n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,36.56258503999925,59.76477889400121,,,0.0,0,,,,,,,,,,,,,,,,,,,,,0,52,416.876748085022
40,0.3422218286701826,0.4308132839823856,0.6549522358144216,0.5310943343685764,7.655471671842882,4.932964532535714,4.241855962913397,0.6109673565615934,40,-3.459310703065289,30.0,36.56258503999925,59.76477889400121,0.3708442521747201,29.75624229386449,25.82930927327834,5053,0.0051116780671439,0.007857867914634,0.0886446158242789,0.0673173624320175,30.0,60.0,0.7316849907239278,0.9344881256421408,0.8179625650246938,0.0711754634976387,0.0054368613210196,0.0504332783321539,30.0,0.545926958322525,0.9685283601284028,0.6976102888584137,0.0551684089004993,0.0014420055667869,0.0053985419217497,2.0,0,52,416.876748085022
50,0.3295031139818025,0.4391434346042258,0.6549522358144216,0.5113561506948546,12.867724097160036,8.29158924579564,3.041040020338887,0.7684010478577051,50,-3.459310703065289,40.0,36.56258503999925,59.76477889400121,0.2485406601335853,17.42722692596726,40.22119517065585,8826,0.0045571261240262,0.0051147310604413,0.0715173479684567,0.0531147326675214,40.0,80.0,0.7054591670632362,0.9388901308178902,0.8019197419285774,0.0678118692710995,0.0052437390928389,0.0488640152034349,40.0,0.8175757646560669,0.9432249307632448,0.8724619030952454,0.0834855169057846,0.0039796166820451,0.0346380662173032,10.0,0,52,416.876748085022
60,0.3295031139818025,0.4391434346042258,0.6549522358144216,0.5113561506948546,17.981285604108585,11.586620385613664,3.041040020338887,0.7684010478577051,60,-3.459310703065289,50.0,36.56258503999925,59.76477889400121,0.2286715649534016,31.755728071089838,68.0611463105306,14054,0.0048428309599068,0.0035031408413054,0.0591873368323452,0.0417006376063542,50.0,100.0,0.7278824865818023,0.939757090806961,0.816028174161911,0.0709465987980365,0.0049909146106801,0.0460188254062086,50.0,0.5597701370716095,0.9798723578453064,0.7124523758888245,0.0577235762029886,0.0023813170730136,0.0201379255857318,10.0,0,52,416.876748085022
70,0.2253708561387138,0.5073450896989606,0.6549522358144216,0.3497532150189669,22.28683243267769,14.360990236216246,2.741507930590797,0.8992738250496027,70,-3.459310703065289,60.0,36.56258503999925,59.76477889400121,0.2621205060277134,32.581675896886736,96.73076917883007,19340,0.0050015909606427,0.0033920503544479,0.0582413114073504,0.0418199388162562,60.0,120.0,0.6998637616634369,0.9464429686466852,0.7987655411163966,0.0687427616988619,0.0045559816877357,0.0417053421027958,60.0,0.6195733308792114,0.8622023820877075,0.7198775231838226,0.0577482141554355,0.0035488330991938,0.0313786294311285,10.0,0,52,416.876748085022
80,0.2253708561387138,0.5073450896989606,0.6549522358144216,0.3497532150189669,25.78436458286736,16.614698797603385,2.336551350267229,1.0195049490591184,80,-3.459310703065289,70.0,36.56258503999925,59.76477889400121,0.2769700118806213,15.576083508087322,109.3682456491515,22987,0.0047578303236242,0.0029449414848188,0.0542673150691914,0.0360131078146965,70.0,140.0,0.6883937001228333,0.93440859913826,0.787495824268886,0.067172112049801,0.004412103317944,0.0402300974354147,70.0,0.9545454382896424,0.91304349899292,0.9333332777023317,0.099567100405693,0.0058473361190408,0.0445007938891649,10.0,0,52,416.876748085022
90,0.2253708561387138,0.5073450896989606,0.6549522358144216,0.3497532150189669,29.28189673305703,18.868407358990524,2.336551350267229,1.0195049490591184,90,-3.459310703065289,80.0,36.56258503999925,59.76477889400121,0.3189724620897323,32.11650162586011,137.62284125667065,28196,0.0048809349289498,0.0022665480603182,0.0476082772248507,0.0304503121129265,80.0,160.0,0.7216626673936843,0.9317379616200924,0.8057255059480667,0.0712214855942875,0.0045915074180811,0.0407639344921335,80.0,0.5961069643497467,0.8833333432674408,0.7116012215614319,0.0545454546809196,0.0041853827191516,0.0435729833319783,10.0,0,52,416.876748085022
100,0.2132344424406197,0.5152938609852962,0.6549522358144216,0.3309187047258701,32.68525633178122,21.06143385188719,2.150795334577248,1.295827036572868,100,-3.459310703065289,90.0,36.56258503999925,59.76477889400121,0.3230669780168682,24.90770515310578,158.6255840912927,33348,0.0047566745859209,0.0027044372399414,0.0520042040602624,0.0350819091087142,90.0,180.0,0.7077120337221358,0.92635967069202,0.7952672521273295,0.0693685932705799,0.0045463824515334,0.041076051029894,90.0,0.6727272868156433,0.9736841917037964,0.7956989407539368,0.0638655498623848,0.0033197196200489,0.023816087655723,10.0,0,52,416.876748085022
110,0.2132344424406197,0.5152938609852962,0.6549522358144216,0.3309187047258701,35.99444337903992,23.193778276293383,2.101544423451347,1.2865074959803244,110,-3.459310703065289,100.0,36.56258503999925,59.76477889400121,0.3797069077845663,12.390598213067278,168.6470439294353,35984,0.0046867230971941,0.0022071628571501,0.0469804518619192,0.0303382552393657,100.0,200.0,0.7042135590314865,0.9310921227931976,0.7953104209899903,0.0688182889297604,0.0044237161683849,0.0393500546924769,100.0,0.8881818115711212,0.930306911468506,0.903966200351715,0.0916324533522129,0.0050824526697397,0.0468468714505434,10.0,0,52,416.876748085022
120,0.2132344424406197,0.5152938609852962,0.6549522358144216,0.3309187047258701,39.30363042629863,25.326122700699585,1.879313511066764,1.2906029983816378,120,-3.459310703065289,110.0,36.56258503999925,59.76477889400121,0.4205246679484844,8.89213025290519,175.5762844949495,37927,0.0046293217099941,0.0017917232456894,0.0423287519977782,0.0257479831860142,110.0,220.0,0.7169277131557464,0.9305579721927644,0.8025918727571314,0.0703554146669127,0.0044881388904865,0.0402044235474684,110.0,0.852741289138794,0.9316304564476012,0.88071608543396,0.0898650385439396,0.0045448510209098,0.0353427296504378,10.0,0,52,416.876748085022
