n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,20.99445902486332,367.2752631609328,,,0.0,0,,,,,,,,,,,,,,,,,,,,,0,52,501.0805661678314
40,0.4660098777786073,0.3497380244517173,0.6549522358144216,0.7232011085024488,8.616005542512244,5.551904778077839,3.6633359631403786,0.7558602616405852,40,-3.459310703065289,30.0,20.99445902486332,367.2752631609328,0.5041631041094661,27.322554050013423,23.37034404091537,5202,0.0044925690197838,0.0008137313627327,0.0285259769812136,0.0173977927965105,30.0,60.0,0.9377576271692912,0.9184627453486124,0.9256341377894084,0.0711754634976387,0.0025170829690371,0.007647940935567,30.0,0.863665121793747,0.9288838505744934,0.8944667935371399,0.0703045092523098,0.0027303702197968,0.009151207562536,10.0,0,52,501.0805661678314
50,0.4630752124236332,0.3516600900873248,0.6549522358144216,0.718646798950218,15.82524507977558,10.197330229089042,3.662438320671467,0.916031618210127,50,-3.459310703065289,40.0,20.99445902486332,367.2752631609328,0.2264057130087167,34.592938845045865,54.00983481993899,10539,0.0051247589733313,2.7621009039932684e-05,0.00525556933547,0.0029956908433232,40.0,80.0,0.9192345008254053,0.9210680216550828,0.9178423017263412,0.0709577249363064,0.0025704047817271,0.0080237575923092,40.0,0.8822989940643311,0.902677232027054,0.8900269389152526,0.0595818817615509,0.0030536995502188,0.0104756418615579,10.0,0,52,501.0805661678314
60,0.446892011883125,0.3622593134639638,0.6549522358144216,0.6935320768636334,22.88613945884484,14.747166350622834,3.66573801506004,1.0092111766188636,60,-3.459310703065289,50.0,20.99445902486332,367.2752631609328,0.2687603370286524,33.594708058051765,83.65220261295326,15884,0.0052664443851015,3.274901320797627e-06,0.0018096688428543,0.0011351161603178,50.0,100.0,0.9101610326766968,0.9168953585624696,0.911228724718094,0.0686059716343879,0.0026552392728626,0.0084415849484503,50.0,0.8977653622627259,0.7929411709308625,0.8413141548633576,0.0584204405546188,0.002579522668384,0.0071257198229432,10.0,0,52,501.0805661678314
70,0.4425352186648885,0.3651128049232289,0.6549522358144216,0.6867707659232642,29.787653672779324,19.194302503362906,3.664032935291084,1.040966287405506,70,-3.459310703065289,60.0,20.99445902486332,367.2752631609328,0.2868955940939486,26.71933840215206,106.50996382394806,21234,0.0050160103524511,4.515349839605596e-06,0.0021249352553914,0.00153095683897,60.0,120.0,0.9080950876077016,0.8962363272905349,0.8995762964089712,0.0669083831210931,0.0026426198387828,0.0082222740941991,60.0,0.8235998021231757,0.8399999737739563,0.8317012786865234,0.0580720081925392,0.0026959055103361,0.0085126510303881,9.0,0,52,501.0805661678314
80,0.4425352186648885,0.3651128049232289,0.6549522358144216,0.6867707659232642,36.65536133201197,23.619654690011785,2.2697636043405813,1.028859275313559,80,-3.459310703065289,70.0,20.99445902486332,367.2752631609328,0.329501761123538,13.632367694051936,117.61815818096512,23964,0.004908118769027,5.256819784981252e-06,0.0022927755635869,0.0016597534048063,70.0,140.0,0.897196626663208,0.8880252233573369,0.8903536319732666,0.0656533845833369,0.0026495775839846,0.0082546732521482,70.0,1.0,1.0,1.0,0.099567100405693,0.0023510499624535,0.0076495158020406,10.0,0,52,501.0805661678314
90,0.4239718849797084,0.3772709018245068,0.6549522358144216,0.6579623132728227,43.3790267279924,27.95219020823477,2.264311148776132,1.0667501003751312,90,-3.459310703065289,80.0,20.99445902486332,367.2752631609328,0.3139559249393642,30.70699648093432,144.41372306318954,29256,0.0049362087456654,4.868806285830699e-06,0.0022065371707339,0.0017014469061637,80.0,160.0,0.910047048330307,0.9020220704376698,0.9040594279766084,0.0698925990611314,0.0026122616312932,0.0081790285708848,80.0,0.7755844116210937,0.864000004529953,0.8173943817615509,0.0580720081925392,0.0029636879218742,0.0100437423214316,10.0,0,52,501.0805661678314
100,0.3999019559704242,0.3930355556450318,0.6549522358144216,0.6206081708583576,49.771879148648296,32.07155941298544,2.255865036224187,1.0535177913351486,100,-3.459310703065289,90.0,20.99445902486332,367.2752631609328,0.502077752025798,38.56910054502077,179.02976688672788,34753,0.0051514910047111,0.0002058003666836,0.0143457438525721,0.0087002274105276,90.0,180.0,0.8951067553626166,0.8977973964479234,0.8944299783971574,0.0685792000757323,0.0026513089969133,0.0083862189876122,90.0,0.9261881589889528,0.7125657558441162,0.8043378233909607,0.0587878800928592,0.0029796404764056,0.0095870485529303,10.0,0,52,501.0805661678314
110,0.3480730383391892,0.4269810211274508,0.6549522358144216,0.5401748314148562,55.57579416001437,35.811434384533506,2.224427964218949,1.0606808803167127,110,-3.459310703065289,100.0,20.99445902486332,367.2752631609328,0.3678200470749289,37.24246199987829,212.33261084812693,40086,0.0052969268784145,7.022660336260674e-06,0.0026500302519519,0.002055254511514,100.0,200.0,0.8982148957252503,0.8792742323875428,0.8854207628965378,0.067600068077445,0.0026841421448625,0.008506301944144,100.0,0.8893627345561981,0.7777374505996704,0.8288825809955597,0.0580808091908693,0.0029578198911622,0.0091041276697069,10.0,0,52,501.0805661678314
120,0.3447203299077482,0.4291768850106568,0.6549522358144216,0.5349717604721078,60.95152711944919,39.27540122576819,1.6419530939361249,1.1452937213875751,120,-3.7078954633422554,110.0,20.99445902486332,367.2752631609328,0.435898050898686,15.522246795939282,225.0861132936552,43395,0.0051869135451931,1.0532488851779722e-05,0.003245379615974,0.0024611047975635,110.0,220.0,0.8974101538007909,0.8700436158613725,0.8802809281782671,0.0667346809059381,0.0027090219399807,0.008560649737377,110.0,0.875,1.0,0.9333333373069764,0.0861538425087928,0.0027246891753748,0.0088747840374708,10.0,0,52,501.0805661678314
130,0.3447203299077482,0.4291768850106568,0.6549522358144216,0.5349717604721078,66.30124472417026,42.72260452484568,1.6419530939361249,1.1452937213875751,130,-3.7078954633422554,120.0,20.99445902486332,367.2752631609328,0.4181458509992808,30.212876464938745,251.29267958411947,48670,0.005163194567169,1.1070737918398162e-05,0.0033272718431769,0.0024618271616983,120.0,240.0,0.8955426409840583,0.8808733145395915,0.8847019622723261,0.0683529443728427,0.0027103275429302,0.0085868275957182,120.0,0.890010404586792,0.841304337978363,0.8648538768291474,0.0654338523745536,0.0028625818667933,0.0099232199601829,10.0,0,52,501.0805661678314
140,0.3379472213347906,0.4336129476139293,0.6549522358144216,0.5244605677666658,71.59840636536413,46.13594228105838,1.5370381921565344,1.1107859245328158,140,-3.7078954633422554,130.0,20.99445902486332,367.2752631609328,0.4784598988480866,34.62124293507077,281.8725636587478,53953,0.0052244094611745,8.341738443484253e-06,0.0028882067868288,0.0021503206839132,130.0,260.0,0.8951170843381148,0.8778295471118047,0.8831751864690047,0.0681283988345127,0.0027220394139966,0.0086896270083693,130.0,0.9425521850585936,0.8125,0.8723713159561157,0.0585365854203701,0.0029887821059674,0.0095152763649821,10.0,0,52,501.0805661678314
150,0.3379472213347906,0.4336129476139293,0.6549522358144216,0.5244605677666658,76.84301204303078,49.515414494406286,1.5370381921565344,1.1107859245328158,150,-3.7078954633422554,140.0,20.99445902486332,367.2752631609328,0.4857592061161995,12.434241866925731,291.6907583374996,56795,0.005135852774672,1.391776102161219e-05,0.0037306515545695,0.0027382111090597,140.0,280.0,0.898505305818149,0.8731631508895329,0.8824034814323698,0.0674432693049311,0.002741092463423,0.0087486019624131,140.0,1.0,1.0,1.0,0.099567100405693,0.0027028183452785,0.009893921483308,10.0,0,52,501.0805661678314
160,0.3379472213347906,0.4336129476139293,0.6549522358144216,0.5244605677666658,82.08761772069744,52.8948867077542,1.5370381921565344,1.1107859245328158,160,-3.7078954633422554,150.0,20.99445902486332,367.2752631609328,0.5119800991378725,35.56452657515183,323.2903722468764,62056,0.0052096553475389,2.1946815612470455e-05,0.004684742854466,0.0030859440938165,150.0,300.0,0.9046049519379934,0.8805078295866648,0.8893458127975464,0.0692847137401501,0.002740221840019,0.0088254772002498,150.0,0.8841621100902557,0.8191188454627991,0.848047262430191,0.057955865189433,0.0027440695092082,0.0084458251949399,10.0,0,52,501.0805661678314
170,0.3379472213347906,0.4336129476139293,0.6549522358144216,0.5244605677666658,87.33222339836409,56.274358921102106,1.5370381921565344,1.1107859245328158,170,-3.7078954633422554,160.0,20.99445902486332,367.2752631609328,0.5833113619592041,11.167264588875696,332.16085096192546,64518,0.005148343887937,1.1957995399914598e-05,0.0034580334584724,0.0025193391866302,160.0,320.0,0.9033272743225098,0.8766710180789232,0.8867646533995867,0.0685766607057303,0.0027404623193433,0.0088017489499179,160.0,0.9559397220611572,0.9837209284305573,0.969108659029007,0.0880468986928462,0.0022858172887936,0.006634613033384,10.0,0,52,501.0805661678314
180,0.3379472213347906,0.4336129476139293,0.6549522358144216,0.5244605677666658,92.57682907603076,59.653831134450016,1.5370381921565344,1.1107859245328158,180,-3.7078954633422554,170.0,20.99445902486332,367.2752631609328,0.5880397199653089,32.18963410402648,360.2911374508403,69730,0.0051669458977605,0.0001088729310781,0.010434219236636,0.0057025940384213,170.0,340.0,0.906422124189489,0.8829680716290194,0.8916084184366114,0.0697219688226195,0.0027137184940168,0.0086742703665924,170.0,0.8554123520851136,0.897450977563858,0.8758942604064941,0.0588850170373916,0.0024987546261399,0.0069181319791823,10.0,0,52,501.0805661678314
