fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
1,f0_failure_rate,1,1.0727394421895344,1.0357313561872763,1.0727394421895344,1.0357313561872763
1,f0_failure_rate,2,0.4591582616170247,0.6776121764084709,0.4591582616170247,0.6776121764084709
1,f0_failure_rate,3,0.2545594573020935,0.5045388560875104,0.2545594573020935,0.5045388560875104
1,f0_failure_rate,4,0.1353946104645729,0.3679600663992941,0.1353946104645729,0.3679600663992941
1,f0_failure_rate,5,0.2578136622905731,0.5077535448330943,0.2578136622905731,0.5077535448330943
1,f0_failure_rate,6,0.08765294402837753,0.29606239887628,0.08765294402837753,0.29606239887628
1,f0_failure_rate,7,0.14009874562422434,0.3742976698087023,0.14009874562422434,0.3742976698087023
1,f0_failure_rate,8,0.06169406386713187,0.24838289769453104,0.06169406386713187,0.24838289769453104
1,f0_failure_rate,9,0.07338052988052368,0.27088840853850443,0.07338052988052368,0.27088840853850443
1,f0_failure_rate,10,0.06981411452094714,0.26422360704703723,0.06981411452094714,0.26422360704703723
1,f1_mass,1,0.7202286918958029,0.8486628847167778,0.7202286918958029,0.8486628847167778
1,f1_mass,2,0.15269138167301813,0.39075744608774654,0.15269138167301813,0.39075744608774654
1,f1_mass,3,0.1476342057188352,0.38423196863201686,0.1476342057188352,0.38423196863201686
1,f1_mass,4,0.10128677760561307,0.3182558367188465,0.10128677760561307,0.3182558367188465
1,f1_mass,5,0.10111183176438014,0.3179808669784711,0.10111183176438014,0.3179808669784711
1,f1_mass,6,0.030872651065389316,0.17570614976542318,0.030872651065389316,0.17570614976542318
1,f1_mass,7,0.04309140518307686,0.20758469400000776,0.04309140518307686,0.20758469400000776
1,f1_mass,8,0.015564995196958384,0.12475974990740557,0.015564995196958384,0.12475974990740557
1,f1_mass,9,0.017513298739989597,0.13233782052002216,0.017513298739989597,0.13233782052002216
1,f1_mass,10,0.0114794767772158,0.10714232019709019,0.0114794767772158,0.10714232019709019
2,f0_failure_rate,1,0.7279068827629089,0.8531745910204481,0.7279068827629089,0.8531745910204481
2,f0_failure_rate,2,0.550583902746439,0.7420134114330003,0.550583902746439,0.7420134114330003
2,f0_failure_rate,3,0.33956361189484596,0.5827208696235668,0.33956361189484596,0.5827208696235668
2,f0_failure_rate,4,0.14430092833936214,0.3798696201848236,0.14430092833936214,0.3798696201848236
2,f0_failure_rate,5,0.09134895727038383,0.30223990019582764,0.09134895727038383,0.30223990019582764
2,f0_failure_rate,6,0.11815224401652813,0.3437328090487263,0.11815224401652813,0.3437328090487263
2,f0_failure_rate,7,0.037522110622376204,0.19370624827913063,0.037522110622376204,0.19370624827913063
2,f0_failure_rate,8,0.047677004942670465,0.21835064676494656,0.047677004942670465,0.21835064676494656
2,f0_failure_rate,9,0.02088416600599885,0.1445135495585063,0.02088416600599885,0.1445135495585063
2,f0_failure_rate,10,0.013609810674097389,0.1166610932320514,0.013609810674097389,0.1166610932320514
2,f1_mass,1,0.6331456452608109,0.7957044961924061,0.6331456452608109,0.7957044961924061
2,f1_mass,2,0.3684854209423065,0.6070300000348472,0.3684854209423065,0.6070300000348472
2,f1_mass,3,0.1888701096177101,0.43459188857790493,0.1888701096177101,0.43459188857790493
