n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
75,0.5346156169764029,1.0,0.0,0.0,7.174733765135833,6.64011814815943,75,7.174733765135833,,22.44109087297693,164.2919328219723,,,0.0,0,,,,,,,,,,,,,,,,,,,,,3,2003,1262.015502691269
85,0.5346156169764029,1.0,10.0,5.346156169764029,7.174733765135833,6.64011814815943,85,7.174733765135833,35.0,22.44109087297693,164.2919328219723,0.855721975909546,51.86466223699972,37.91976618068293,5365,0.007067989968440434,0.013998701239480415,0.11831610726980674,0.07112989826809113,35.0,210.0,0.9691234792981829,1.0,0.9835164870534624,0.04046408933188234,0.006237530974405153,0.01883770570691143,35.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006505462899804115,0.02078455314040184,10.0,3,2003,1262.015502691269
95,0.5346156169764029,1.0,20.0,10.692312339528058,7.174733765135833,6.64011814815943,95,7.174733765135833,35.0,22.44109087297693,164.2919328219723,0.5790488659404218,67.62556277983822,80.74511329573579,11129,0.0072553790363676695,0.013998701239480415,0.11831610726980674,0.07112989826809113,35.0,210.0,0.9691234792981829,1.0,0.9835164870534624,0.04046408933188234,0.006237530974405153,0.01883770570691143,35.0,0.8783281445503235,1.0,0.9352226734161377,0.028895985335111618,0.006904463702812791,0.02395976409316063,10.0,3,2003,1262.015502691269
105,0.5346156169764029,1.0,30.0,16.038468509292088,7.174733765135833,6.64011814815943,105,7.174733765135833,37.0,22.44109087297693,164.2919328219723,0.5904468579683453,49.74429136887193,116.64558277279139,16489,0.007074145355860961,0.013009000513344958,0.11405700554260119,0.06915084107521134,37.0,222.0,0.9642799448322605,1.0,0.9809424861057384,0.03982063861110726,0.006273398616326017,0.01909698508176449,37.0,1.0,1.0,1.0,0.0322420634329319,0.007439056551083923,0.0262539304792881,10.0,3,2003,1262.015502691269
115,0.5346156169764029,1.0,40.0,21.384624679056117,7.174733765135833,6.64011814815943,115,7.174733765135833,44.0,22.44109087297693,164.2919328219723,0.6491978040430695,53.002495187101886,153.97750537260436,21918,0.007025162212455715,0.009764582260566717,0.09881590084883463,0.06205794656205617,44.0,264.0,0.9699626808816736,1.0,0.9839743633161891,0.03861495619639754,0.006454043249091642,0.0202454388437962,44.0,0.878734576702118,1.0,0.9354478478431701,0.029399586841464043,0.006325444858521223,0.019328131526708602,10.0,3,2003,1262.015502691269
125,0.5346156169764029,1.0,50.0,26.730780848820146,7.174733765135833,6.64011814815943,125,7.174733765135833,49.0,22.44109087297693,164.2919328219723,0.6680518821813166,45.973350882995874,190.59662631130777,27113,0.007029713654383793,0.009043264592807066,0.09509608084882923,0.060443887469992776,49.0,294.0,0.96065369065927,1.0,0.9790226780638402,0.03767461238466963,0.0064354410338006455,0.020115064019907494,49.0,0.8777331709861755,1.0,0.9348852753639221,0.02906385250389576,0.0067021258175373076,0.021735584549605846,10.0,3,2003,1262.015502691269
135,0.5346156169764029,1.0,60.0,32.076937018584175,7.174733765135833,6.64011814815943,135,7.174733765135833,53.0,22.44109087297693,164.2919328219723,0.7120791741181165,56.08676324808039,229.85273575154133,32584,0.007054159579902447,0.008562128858422415,0.09253177215649992,0.059287448747192474,53.0,318.0,0.9545302492267681,1.0,0.9757679453435933,0.03698673605356576,0.0064770680641368875,0.02044391788471982,53.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006357759051024914,0.019315356202423573,10.0,3,2003,1262.015502691269
145,0.5346156169764029,1.0,70.0,37.423093188348204,7.174733765135833,6.64011814815943,145,7.174733765135833,63.0,22.44109087297693,164.2919328219723,0.8949871549848467,53.14449777477421,269.7076520738192,37924,0.00711179337817264,0.007215569366881755,0.08494450757336672,0.05048681257764562,63.0,378.0,0.9421513563110715,1.0,0.9691715221556406,0.03578242665481946,0.006458130125547685,0.020264781109752165,63.0,0.8828162848949432,1.0,0.9377325594425201,0.028560250997543335,0.007112310966476798,0.026556491665542126,10.0,3,2003,1262.015502691269
155,0.5346156169764029,1.0,80.0,42.76924935811223,7.174733765135833,6.64011814815943,155,7.174733765135833,67.0,22.44109087297693,164.2919328219723,0.908690223004669,58.277355771977454,311.2778195175342,43392,0.0071736223155773925,0.007911200720263703,0.0889449308294953,0.05268172029578951,67.0,402.0,0.9384120569300296,1.0,0.9671850115505617,0.035351251988713424,0.006487042969787743,0.020556116935366124,67.0,0.891612833738327,1.0,0.9426263391971588,0.028560250997543335,0.007098696613684297,0.025793538987636568,10.0,3,2003,1262.015502691269
165,0.5346156169764029,1.0,90.0,48.11540552787626,7.174733765135833,6.64011814815943,165,7.174733765135833,74.0,22.44109087297693,164.2919328219723,0.9252139469608665,53.54995287605561,348.47169735562056,48845,0.007134234770306491,0.007405784841795312,0.08605686981174317,0.049714924005891024,74.0,444.0,0.9344754307656675,1.0,0.9651346859094259,0.0347088600030622,0.00654601416475064,0.021059687765365518,74.0,0.8920344471931457,1.0,0.9428765892982482,0.028728118166327477,0.006945908162742853,0.023693213798105718,10.0,3,2003,1262.015502691269
175,0.5346156169764029,1.0,100.0,53.46156169764029,7.174733765135833,6.64011814815943,175,7.174733765135833,76.0,22.44109087297693,164.2919328219723,0.9521337461192161,51.31865684688091,388.1339695043862,54123,0.0071713314026270935,0.0073437273986111775,0.08569555063485605,0.04909153274101686,76.0,456.0,0.9329508990049362,1.0,0.9643208909975854,0.0345691422882833,0.006538847712554822,0.021013729384561117,76.0,0.8783281445503235,1.0,0.9352226734161377,0.028895985335111618,0.006758739519864321,0.023151651583611967,10.0,3,2003,1262.015502691269
185,0.5346156169764029,1.0,110.0,58.80771786740432,7.174733765135833,6.64011814815943,185,7.174733765135833,81.0,22.44109087297693,164.2919328219723,1.01812399411574,51.57466041203588,424.82170530734584,59521,0.007137341531683706,0.00548456931903065,0.07405787816991957,0.03993851149836572,81.0,486.0,0.9296525775650402,1.0,0.9625663588076462,0.034198223072805525,0.006563639687949124,0.021248123608529568,81.0,0.8771381974220276,1.0,0.9345478773117065,0.0292317196726799,0.006487312959507108,0.021230292879045008,10.0,3,2003,1262.015502691269
195,0.5346156169764029,1.0,120.0,64.15387403716835,7.174733765135833,6.64011814815943,195,7.174733765135833,84.0,22.44109087297693,164.2919328219723,1.029093534918502,55.89596397802234,466.11702555790544,64908,0.007181195315799369,0.005381859494163967,0.07336115793908904,0.039894619040269974,84.0,504.0,0.9278266451188496,1.0,0.9615938152585711,0.034006859020640455,0.006569269368247617,0.02132286363103915,84.0,0.8777331709861755,1.0,0.9348852753639221,0.02906385250389576,0.006706562312319875,0.022416842356324195,10.0,3,2003,1262.015502691269
205,0.5346156169764029,1.0,130.0,69.50003020693238,7.174733765135833,6.64011814815943,205,7.174733765135833,90.0,22.44109087297693,164.2919328219723,1.0468857469968498,47.5148979218211,499.2143887777347,70284,0.007102816982211239,0.005049639898820501,0.07106081830953329,0.037629691488436465,90.0,540.0,0.9244738585419126,1.0,0.9598057481977674,0.03368105563438601,0.006572954646415181,0.021344267877025737,90.0,1.0,1.0,1.0,0.03331570699810982,0.006823314353823662,0.021396109834313393,10.0,3,2003,1262.015502691269
215,0.5346156169764029,1.0,140.0,74.84618637669641,7.174733765135833,6.64011814815943,215,7.174733765135833,96.0,22.44109087297693,164.2919328219723,1.0813724119216204,47.82174946204759,534.5351065110881,75592,0.00707131847961541,0.0032315815071417655,0.05684700086320971,0.030888439046250802,96.0,576.0,0.9291942423830429,1.0,0.962317888935407,0.033658221344618745,0.0065858512874304624,0.02131657373198929,96.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006521316897124052,0.02051467839628458,10.0,3,2003,1262.015502691269
225,0.5346156169764029,1.0,150.0,80.19234254646044,7.174733765135833,6.64011814815943,225,7.174733765135833,103.0,22.44109087297693,164.2919328219723,1.2542896408122033,53.23864216404036,575.2322244530078,80902,0.007110234907085212,0.004161099908007421,0.06450658809770844,0.034085438158095,103.0,618.0,0.9256160178230805,1.0,0.9604076766273351,0.033368799582268426,0.006581575659474412,0.021251385932046812,103.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006630743527784944,0.020828773081302644,10.0,3,2003,1262.015502691269
235,0.5346156169764029,1.0,160.0,85.53849871622447,7.174733765135833,6.64011814815943,235,7.174733765135833,108.0,22.44109087297693,164.2919328219723,1.2190600440371782,43.65798351401463,609.3539396421984,86102,0.007077117135980563,0.004843641015696661,0.06959627156462235,0.03580407435639863,108.0,648.0,0.9233441292135803,1.0,0.9591948434158608,0.03318503973315711,0.006579224934318551,0.021206720154387532,108.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006538808578625321,0.020807074010372163,10.0,3,2003,1262.015502691269
245,0.5346156169764029,1.0,170.0,90.8846548859885,7.174733765135833,6.64011814815943,245,7.174733765135833,112.0,22.44109087297693,164.2919328219723,1.3379888939671218,51.07492665806785,646.6344558370765,91460,0.007070134002154784,0.0017417717012171157,0.041734538468960164,0.021776851172217993,112.0,672.0,0.9216726683080196,1.0,0.9583025446959904,0.03304984498702522,0.006576009980303102,0.021167664547517364,112.0,0.8795180916786194,1.0,0.9358974695205688,0.028560250997543335,0.007044120691716671,0.025269510596990584,10.0,3,2003,1262.015502691269
255,0.5346156169764029,1.0,180.0,96.23081105575253,7.174733765135833,6.64011814815943,255,7.174733765135833,117.0,22.44109087297693,164.2919328219723,1.3207368380390108,52.10179218091071,687.69756158581,96715,0.007110557427346431,0.0020598536646482413,0.04538561076650001,0.024639768687178598,117.0,702.0,0.9198711906742846,1.0,0.9573450628508869,0.03285798199602172,0.006593548338541873,0.02133448812792189,117.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006500825705006719,0.02022762633860111,10.0,3,2003,1262.015502691269
265,0.5346156169764029,1.0,190.0,101.57696722551655,7.174733765135833,6.64011814815943,265,7.174733765135833,119.0,22.44109087297693,164.2919328219723,1.2133145357947797,45.90177953988314,722.1305589328986,101986,0.007080683220568496,0.0030966278624097337,0.05564735269902544,0.02742981678564098,119.0,714.0,0.9191429895513198,1.0,0.9569562463199391,0.03279985770770982,0.006591219290652696,0.02130999883339435,119.0,0.8765432238578796,1.0,0.934210479259491,0.029399586841464043,0.006497637974098325,0.02007707692682743,10.0,3,2003,1262.015502691269
275,0.5346156169764029,1.0,200.0,106.92312339528058,7.174733765135833,6.64011814815943,275,7.174733765135833,125.0,22.44109087297693,164.2919328219723,1.2945258179679513,50.33303151302971,759.2461906068493,107322,0.007074469266383866,0.0016142019474797529,0.040177132146032433,0.021736869299884522,125.0,750.0,0.9170982007980346,1.0,0.9558644495010375,0.03263664470613003,0.006587004493921995,0.021251999624073505,125.0,0.8795180916786194,1.0,0.9358974695205688,0.028560250997543335,0.007066762074828148,0.02457718439400196,10.0,3,2003,1262.015502691269
285,0.5346156169764029,1.0,210.0,112.26927956504461,7.174733765135833,6.64011814815943,285,7.174733765135833,134.0,22.44109087297693,164.2919328219723,1.481984046055004,61.920897748088464,805.1468563654926,112760,0.007140358782950449,0.004269831151803447,0.06534394502785586,0.029223933141056282,134.0,804.0,0.9145741636183724,1.0,0.9545233836814538,0.032362857068986145,0.006618625411430179,0.021473890747318963,134.0,0.948051929473877,1.0,0.9733332991600037,0.028560250997543335,0.007061725528910756,0.023828173987567425,10.0,3,2003,1262.015502691269
295,0.5346156169764029,1.0,220.0,117.61543573480864,7.174733765135833,6.64011814815943,295,7.174733765135833,144.0,22.44109087297693,164.2919328219723,1.4897766900248826,45.39318318804726,841.1795908131171,117955,0.007131360186623009,0.003510113954335766,0.0592462146836046,0.03043734749639874,144.0,864.0,0.9168990084694492,1.0,0.9558296278119087,0.03209878720291373,0.006649396252921886,0.021637382639002882,144.0,0.8915578305721283,1.0,0.9426103413105011,0.028560250997543335,0.0070649427361786366,0.024453471414744854,10.0,3,2003,1262.015502691269
305,0.5346156169764029,1.0,230.0,122.96159190457267,7.174733765135833,6.64011814815943,305,7.174733765135833,154.0,22.44109087297693,164.2919328219723,1.5359105099923909,50.11942102806643,878.3490069524851,123282,0.007124714126575535,0.00474317472175558,0.06887071018768123,0.03569222764617143,154.0,924.0,0.9152534774371556,1.0,0.9549712325845446,0.03186901212464292,0.006676379790795701,0.021820245546518596,154.0,0.8795180916786194,1.0,0.9358974695205688,0.028560250997543335,0.007129316125065089,0.02587511222809553,10.0,3,2003,1262.015502691269
