n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.4814155613455175,0.3396480375553201,0.6549522358144216,1.0,0.0,0.0,4.2654619148139385,0.6341493867144753,30,-3.558713864570872,,21.39463323199925,131.5990247030004,,,0.0,0,,,,,,,,,,,,,,,,,,,,,0,2000,458.31865096092224
40,0.453043892921852,0.3582301252231852,0.6549522358144216,0.9410661584258536,9.705330792129269,4.672297271336847,4.160181626423517,0.7733618589820848,40,-3.558713864570872,30.0,21.39463323199925,131.5990247030004,0.5100507081951946,28.74493606714532,24.818915785988796,5250,0.0047274125306645,0.0003860730519452,0.0196487417394911,0.0134364068963141,30.0,60.0,0.8609668672084808,0.8779323836167653,0.863685550292333,0.0706503891696532,0.0039477314722413,0.0094243560762455,30.0,0.7971193730831146,0.7392376661300659,0.7666951715946198,0.0542424242943525,0.0039636626839637,0.0091237162239849,10.0,0,2000,458.31865096092224
50,0.4527273678368515,0.3584374340352976,0.6549522358144216,0.9404086701549804,19.11270493503344,9.201153575130364,2.8552506301368115,0.6604632153957556,50,-3.558713864570872,40.0,21.39463323199925,131.5990247030004,0.2296106121502816,17.417675979901105,39.52000512718223,8361,0.0047267079448848,0.0002715563061282,0.0164789655660849,0.0096776614697481,40.0,80.0,0.8450049936771393,0.8432587042450905,0.8394379556179047,0.066548397950828,0.0039517142751719,0.0093491961131803,40.0,0.9573643386363984,0.897176468372345,0.9242179989814758,0.0832013517618179,0.0039531268412247,0.0097148130647838,10.0,0,2000,458.31865096092224
60,0.3673952740671646,0.4143258796364799,0.6549522358144216,0.7631562075815012,27.630529323715848,13.301766784650445,2.86388289907846,0.6937447396575539,60,-3.558713864570872,50.0,21.39463323199925,131.5990247030004,0.3524230269249528,36.41278398805298,72.04464698350057,13735,0.0052453328710229,5.74339942311008e-06,0.0023965390510296,0.001715678319459,50.0,100.0,0.867476862668991,0.8540422570705414,0.8563939642906189,0.069878988713026,0.0039519967883825,0.009422319503501,50.0,0.7739270031452179,0.7309973120689393,0.7515517771244049,0.0559595964848995,0.0041230141650885,0.010220568999648,10.0,0,2000,458.31865096092224
70,0.3030772547192917,0.4564511102115245,0.6549522358144216,0.6295543373633692,34.5940820484402,16.654129428582728,2.2737714724527263,0.8356986722898478,70,-3.558713864570872,60.0,21.39463323199925,131.5990247030004,0.4268253298941999,23.085914870956916,91.86305456398986,17986,0.0051074755122867,0.0023635709918492,0.0486165711650792,0.0242229654481452,60.0,120.0,0.8518852194150289,0.833534766236941,0.8389202664295833,0.0675590900083382,0.0039804996845001,0.0095553610861922,60.0,0.7926384449005127,0.9503533363342284,0.8639357388019562,0.0677310958504676,0.0040788356447592,0.0094643895514309,10.0,0,2000,458.31865096092224
80,0.3009651293906358,0.457834451417848,0.6549522358144216,0.6251670148539915,40.867688809527,19.67434134913237,2.27335166421464,0.9405740025513092,80,-3.558713864570872,70.0,21.39463323199925,131.5990247030004,0.3040009711403399,20.19316303404048,108.9553315055091,21972,0.0049588263019073,0.0010090583653428,0.0317656790474071,0.0156525422709128,70.0,140.0,0.8434213944843837,0.8502231333936964,0.8424939053399222,0.0675836622714996,0.0039945476788229,0.0095423651526549,70.0,0.8651061296463013,0.939393937587738,0.9002977013587952,0.0758620724081993,0.0042277710977941,0.0106067192740738,10.0,0,2000,458.31865096092224
90,0.2477092367690128,0.4927145173606727,0.6549522358144216,0.5145434769010906,46.56624126830241,22.417713179930608,1.8639850085732024,1.0087675567538812,90,-3.558713864570872,80.0,21.39463323199925,131.5990247030004,0.4297857820056379,23.924716518027708,129.01870829728432,27154,0.0047513702694735,0.0005666178466403,0.0238037359807311,0.0109334431262862,80.0,160.0,0.8461319863796234,0.8613694839179515,0.8497193798422813,0.0686184635385871,0.0040237006061943,0.0096754094178322,80.0,0.8107887268066406,0.9655011653900146,0.8803968548774719,0.0757386058568954,0.004068174958229,0.0104181384667754,10.0,0,2000,458.31865096092224
100,0.2198215991688075,0.5109795879585095,0.6549522358144216,0.4566150677689438,51.42203399165258,24.75536735961971,1.7641961139365274,0.9792583057880276,100,-3.558713864570872,90.0,21.39463323199925,131.5990247030004,0.5772026239428669,37.15233982191421,162.23406819091178,32805,0.0049454067425975,0.0006279143951376,0.0250582201111263,0.0152221683083089,90.0,180.0,0.8425822582509782,0.8702117111947801,0.8518725766075982,0.0691990182217624,0.0040277811569265,0.0097479158650255,90.0,0.694915235042572,0.7321428656578064,0.7130435109138489,0.0565656572580337,0.0040640742518007,0.0093764975666999,10.0,0,2000,458.31865096092224
110,0.2177602415784245,0.5123296787211439,0.6549522358144216,0.4523332003847203,55.9667753324209,26.943276563355877,1.2650042802020185,1.086026415775482,110,-7.868792933674926,100.0,21.39463323199925,131.5990247030004,0.4131776168942451,15.322585450019687,174.8596013020724,36063,0.004848725876995,0.0004918609086227,0.022177937429409,0.0105495775260336,100.0,200.0,0.8278155559301377,0.8564048266410828,0.8379896700382232,0.0679356821253895,0.0040314104664139,0.009710774035193,100.0,1.0,1.0,1.0,0.099567100405693,0.0043150095269083,0.0123214568011462,10.0,0,2000,458.31865096092224
120,0.2177602415784245,0.5123296787211439,0.6549522358144216,0.4523332003847203,60.4901073362681,29.12087897914012,1.2650042802020185,1.086026415775482,120,-7.868792933674926,110.0,21.39463323199925,131.5990247030004,0.4791519469581544,11.544646444963291,184.0439203986898,38601,0.0047678536928755,0.000300396191678,0.01733194137072,0.0073786022427581,110.0,220.0,0.8434686872092161,0.8694589333100753,0.8527178818529303,0.0708112656054171,0.0040571921991861,0.0099481088320978,110.0,0.9525935351848602,0.9720930218696594,0.9617534637451172,0.0918869659304618,0.0040380960563197,0.0103710238821804,10.0,0,2000,458.31865096092224
