x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4078227784484625,0.5,0.5,0.48287268821150064,0.5,0.5,0.4213161487132311,0.5,0.5,-3.3876832151957728,18.089368951898358,9,2009
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7707439437508583,0.5,0.5,0.7363477628678083,0.5,0.5,0.8135058274492621,0.7957398779690266,0.5,-3.634556204135861,33.731884397516964,9,2009
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6054543238133192,0.5,0.5,0.24626616016030312,0.5,0.5,0.06580145936459303,0.6909384187310934,0.5,-3.647017858934359,24.084060797105643,9,2009
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21813049912452698,0.5,0.5,0.9691094486042857,0.9124078936874866,0.5,0.6689886879175901,0.5,0.5,-3.7053029226372405,31.636102583794383,9,2009
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11677852366119623,0.5,0.5,0.8048258032649755,0.8035508543252945,0.5,0.1389801111072302,0.6069570081308484,0.5,-4.013879950776445,34.221343226089516,9,2009
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906334152445197,0.5,0.5,0.0354892173781991,0.1566767282783985,0.5,0.5939746899530292,0.25258723460137844,0.5,-4.266692318997579,29.571188821032194,9,2009
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935503819026053,0.40005343314260244,0.5,0.5415015025064349,0.5,0.5,0.3460549181327224,0.5,0.5,-3.4711214495771103,29.071809537305533,9,2009
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2591137206181884,0.5535831768065691,0.5,0.30278144404292107,0.5,0.5,0.8869250360876322,0.8758127754554152,0.5,-3.755551670355326,35.50827531050679,9,2009
0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.36410547979176044,0.22460659500211477,0.5,0.07068702019751072,0.5,0.5,0.23807739093899727,0.5055267363786697,0.880122035741806,-3.9660882433057174,34.94762556007173,9,2009
0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.937964390963316,0.8227781672030687,0.5,0.8320966633036733,0.5,0.5,0.528933116234839,0.3540375856682658,0.04939285386353731,-3.7742522681836683,46.98394909241047,9,2009
2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6862504128366709,0.5,0.5,0.33810881432145834,0.9786124601960182,0.5896114856004715,0.2810305701568723,0.5,0.5,-3.706383078661572,36.92075738547843,9,2009
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009863857179880142,0.5,0.5,0.5686425268650055,0.12170682474970818,0.11019433941692114,0.9860089048743248,0.9775237757712603,0.5,-4.000327996723814,41.085139299812575,9,2009
2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1589987324550748,0.5,0.5,0.6544809537008405,0.23068616539239883,0.45756872557103634,0.456023246049881,0.040865303948521614,0.35427284333854914,-4.022605694825663,41.84034760646361,9,2009
0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219163550063968,0.5926515115424991,0.7659059371799231,0.3772097993642092,0.5,0.5,0.8091961415484548,0.5,0.5,-3.5645351951618283,37.09014644802558,9,2009
0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522374154999852,0.05987211875617504,0.4483106844127178,0.8871283307671547,0.5,0.5,0.06150518450886011,0.5,0.5,-3.5169316208157344,33.70793136084342,9,2009
0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.46490957122296095,0.8927841885015368,0.5986755741760135,0.1407178482040763,0.5,0.5,0.7036785595119,0.441939041018486,0.5,-3.876121071275326,43.819331410783086,9,2009
0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.4981412682682276,0.009388187900185585,0.12315752264112234,0.5227469308301806,0.5,0.5,0.8600372718647122,0.6439250772818923,0.02325198333710432,-3.6996156053675784,44.64357203613252,9,2009
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229716308414936,0.9129794826731086,0.5,0.26096321269869804,0.005004499107599258,0.5,0.40505873411893845,0.5,0.5,-3.8741394484893235,34.601855562215164,9,2009
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512419063597918,0.4426689688116312,0.5,0.7549511101096869,0.42441278882324696,0.5,0.6529594846069813,0.01667097769677639,0.5,-6.951362814525357,38.59273035435166,9,2009
1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12582945451140404,0.6037067612633109,0.5,0.024791465140879154,0.5352804716676474,0.5,0.11210350040346384,0.8732382552698255,0.3817063895985484,-7.31131605566154,42.2247848290059,9,2009
2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03912448603659868,0.27927916031330824,0.5,0.188570324331522,0.676486374810338,0.8236507326364517,0.5796539941802621,0.5,0.5,-3.934013819732562,39.66686157930199,9,2009
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6530211297795177,0.6743250247091055,0.5,0.9662308124825358,0.2832071240991354,0.3442337056621909,0.1874808482825756,0.5,0.5,-3.834167633516604,41.3549707873708,9,2009
1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711313741281629,0.20427450817078352,0.5809040144085884,0.456312351860106,0.1460253894329071,0.5,0.9351659417152405,0.5,0.5,-4.203613458428212,44.4809379592729,9,2009
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3347852034494281,0.8733684923499823,0.5,0.7023335080593824,0.7531680203974247,0.5960092600435019,0.3319933386519551,0.3303317790850997,0.5,-7.566970220718947,52.906991028572676,9,2009
2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.29234655015170574,0.4193936614319682,0.5,0.9232138469815254,0.07156666368246078,0.6810175152495503,0.5430090902373195,0.21020369231700897,0.6583299245685339,-7.788344642242271,53.853547238662806,9,2009
1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9062396436929703,0.5020010676234961,0.3784248558804393,0.16912056412547827,0.9686930440366268,0.5,0.1898220907896757,0.9298085300251842,0.5,-7.2176924058886565,51.06003052056995,9,2009
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7199577149003744,0.09535034280270338,0.8367676669731736,0.6592022078111768,0.6020191255956888,0.5,0.9375244099646807,0.5832997718825936,0.5,-7.284252965019719,55.28554958478707,9,2009
2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.083607517182827,0.9520058091729879,0.24097965471446514,0.43697713501751423,0.49883425049483776,0.8910217089578509,0.29533502366393805,0.30705475993454456,0.5,-7.486722035663744,54.87497256971638,9,2009
2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.24739226046949625,0.18073984421789646,0.36338851414620876,0.3506339257583022,0.3577506486326456,0.5510170925408602,0.7629084354266524,0.7454222161322832,0.5,-8.06094764244282,53.687841149235005,9,2009
2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5722266500815749,0.7718916675075889,0.7129168370738626,0.6206039786338806,0.7431029658764601,0.030426126904785633,0.47203811444342136,0.3949582437053323,0.9945820439606905,-11.021885992438046,69.05484235524982,9,2009
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793268265640309,0.5,0.5,0.0005544699804877772,0.5,0.5,0.0,0.5,0.5,-3.5079058429337886,12.510548709340895,9,2009
1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12099061949075035,0.5,0.9990222501525714,0.01210463308359944,0.5,0.4211400106964418,0.6637270173507879,0.4166044086342929,-7.7689565771597096,51.17806102953945,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17784498453413802,0.17296657660510437,0.5,7.25416357435038e-18,0.0009664565542015775,0.5,0.024409274090799755,0.0237160632115223,0.5,-6.980940464427553,23.725374689164205,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993889670360049,0.13519882088769486,0.5,0.1464422605101994,0.15959227589213892,0.5,0.12872088238585327,0.03600364689422852,0.5,-6.932425558437943,32.943953594313534,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46852829604627194,0.3914176019940367,0.5,0.245230462492726,0.9583470074176564,0.5,0.21348720961426249,0.04762243701862587,0.5,-6.8571552913570235,34.39720822268712,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9898489266911491,0.11370335245133675,0.5,0.004845038343450188,0.007511053229679337,0.5,0.03275081710533845,0.05163006712449048,0.5,-7.081214491659425,30.5295273050298,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14700408752918204,0.19424832008490406,0.5,1.2741531642243498e-18,0.0,0.5,0.3297198582225046,0.02228423185878259,0.5,-6.9958021505552335,25.527422821730386,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32108068169994564,0.16787506989740855,0.5,9.38885885888846e-18,0.0016257173355389498,0.5,0.38263215791473243,0.0566117771043943,0.5,-7.012225008249932,26.564141816905725,9,2009
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32600770945960006,0.16228596480460702,0.5,7.476450290452874e-18,6.8768909519387716e-18,0.5,0.11142344356979567,0.06607495661424222,0.5,-6.9950443243514,24.99331472810183,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5546645084396005,0.923700793646276,0.33362427074462175,0.7066370202228427,0.19859433081001043,0.4824542645365,0.9121528165414929,0.11111710034310818,0.9967070743441582,-11.182945605883571,72.85124283073498,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7953757924533025,0.5328083429774363,0.553335463850657,0.018736357247230655,0.542103284444843,1.0842021724855044e-18,0.8626809488782602,0.2813118597312719,0.24818987313729104,-11.313862613344254,59.77694656048669,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7823237782992276,0.5249582256198814,0.5372731529123891,2.0238464931184355e-06,0.33950000356967663,0.000785567797575696,0.0989824845921378,0.04418258503802613,0.02082378473788133,-11.18928959690016,51.759577212542155,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.829261316954684,0.523198542041469,0.5216510748958408,0.007715410371926941,0.5157376740626185,2.710505431213761e-19,0.11517116157415329,0.27459169251579,0.10419683938007508,-11.208526389663751,55.23919289834943,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8278806109710436,0.5272946469326163,0.5435478843176926,0.0013780813811851255,0.5134912670620392,0.000679369631522205,0.022157024137403,0.020969526882813762,0.196910573737024,-11.19998001949232,53.84560682975467,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8808358289077202,0.529444130123906,0.5318859638805855,0.0062319088712482935,0.5438515128839645,0.005462909071854953,0.1456989927353425,0.5894872608496895,0.24542366943964208,-11.289930812014886,59.090536183994175,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7818869538606439,0.5225607497971744,0.5521828462312846,0.0010353675995770108,0.3947841609737299,0.00013648103588675313,0.018748242981101414,0.4904007924148204,0.04239380500056521,-11.233228859652026,54.510252990661094,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8849537725858942,0.5204392366296654,0.5343809482390474,0.0007048753588203456,0.5222162955291426,0.00012185776427262371,0.11001137087376817,0.5731551058391127,0.028161531885357614,-11.285321874642667,57.283168458852614,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7923991689008438,0.530299167030023,0.5139247126751822,0.007448727859960185,0.49596748402110347,0.006021090450992043,0.06892555588082316,0.4750249618913136,0.03296805701426331,-11.220065524109039,55.230761080791005,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8948025944449639,0.5259055830239375,0.5294824913691423,0.0005332133615007864,0.5461005033509307,0.0015688713996190279,0.13127798683020842,0.5894890598673795,0.09775509933146091,-11.294465621832483,58.20354892248021,9,2009
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7927620381349471,0.5223645605939072,0.5242930072444116,0.003249229588753173,0.5218741909295618,0.00010985156878871367,0.07564221713081196,0.5102027926146585,0.040816634659518077,-11.23481545174225,55.64490628397667,9,2009
