n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.6020069038952893,0.26066646813248423,0.6549522358144216,1.0,0.0,0.0,3.439892756226017,0.7270068080630829,30,-3.3876832151957728,,21.44552874299916,131.568022251,,,0.0,0,,,,,,,,,,,,,,,,,,,,,9,2009,556.9358847141266
40,0.4504041906149921,0.3599590041509476,0.6549522358144216,0.7481711384049735,8.740855692024867,5.262055472551407,2.703412081366429,0.881465808253975,40,-7.31131605566154,30.0,21.44552874299916,131.568022251,0.3969433540478349,29.264758310979232,25.32611397956498,5320,0.004760547740519733,0.0002767212107688516,0.016634939457925647,0.010090690995594453,30.0,60.0,0.8645150184631347,0.9859110395113627,0.9193137149016063,0.07124702408909797,0.004352691482442121,0.009595579591890176,30.0,0.8191833078861237,0.9977272748947144,0.8951562583446503,0.07087819576263428,0.004635211080312729,0.010931061580777168,10.0,9,2009,556.9358847141266
50,0.2965738151686632,0.46071055248569265,0.6549522358144216,0.4926418837552868,14.944920802826168,8.996945501469684,2.6218254071768254,0.8795095265936604,50,-7.31131605566154,40.0,21.44552874299916,131.568022251,0.22345035406760871,36.30645884014666,57.73204548237845,10591,0.005451047633120428,0.0005862305993270539,0.02421219939053563,0.014429030664274256,40.0,80.0,0.8491379737854003,0.9880176410079002,0.9107152968645096,0.07015553852543235,0.0044357766804751005,0.009920900547876954,40.0,0.7915757954120636,0.96422079205513,0.8693851053714752,0.05646464712917805,0.004915210278704762,0.011684482544660568,10.0,9,2009,556.9358847141266
60,0.2897726776020716,0.46516497274101326,0.6549522358144216,0.4813444426087072,19.814852434646138,11.928677965323358,2.507221341427652,0.8794899029469823,60,-3.5079058429337886,50.0,21.44552874299916,131.568022251,0.3239312709774822,35.08369902195409,88.87921244162135,15910,0.005586374132094365,3.0293791952931363e-06,0.0017405111879252992,0.001238516469329373,50.0,100.0,0.837625538110733,0.9832582712173462,0.9024492585659027,0.06741736024618149,0.0045316634001210335,0.010273616947233676,50.0,0.7959476828575134,0.9767857253551483,0.8768049836158752,0.05708177089691162,0.004731685435399413,0.010606455709785223,10.0,9,2009,556.9358847141266
70,0.2876600582891099,0.46654863748346226,0.6549522358144216,0.47783514844730807,24.610750389926213,14.815841644779265,2.5036976380965044,0.94705995121758,70,-3.5079058429337886,60.0,21.44552874299916,131.568022251,0.2757427808828652,34.9789535230957,119.90535501460545,21217,0.005651381204440093,8.30984176409208e-05,0.00911583334868079,0.005524822232806033,60.0,120.0,0.8306792289018631,0.9821795135736465,0.8981752127408982,0.06569476202130317,0.004565000406000763,0.010329090074325602,60.0,0.7482864320278168,0.9707350313663483,0.8450942933559418,0.05722979009151459,0.00481701111420989,0.011674730572849512,10.0,9,2009,556.9358847141266
80,0.28322260727008725,0.4694549559496881,0.6549522358144216,0.47046405188627183,29.352246391594115,17.67025497257525,1.9080969047193628,0.8985452869519437,80,-3.5079058429337886,70.0,21.44552874299916,131.568022251,0.3010309061501175,24.378150479169562,140.63113460526802,25973,0.005414512555548763,6.321857308270032e-05,0.007951010821442788,0.005034687880666326,70.0,140.0,0.8189088293484279,0.9805445875440325,0.890592224257333,0.06448548031704766,0.004601001935744924,0.010521324431257589,70.0,0.8963560044765473,1.0,0.9449466168880463,0.07677419483661652,0.004441022407263517,0.011339496355503798,10.0,9,2009,556.9358847141266
90,0.2723242824960749,0.4765928381270592,0.6549522358144216,0.45236072997502014,33.96637030090058,20.44798942140606,1.8787710618595077,0.9759175226714658,90,-3.5079058429337886,80.0,21.44552874299916,131.568022251,0.33448166004382074,35.11879510106519,171.7513333002571,31346,0.0054792105308574335,8.353294463933102e-05,0.00913963591393722,0.005765844219326117,80.0,160.0,0.8263140134513378,0.9829765141010285,0.8960605181753636,0.06577515383251012,0.004577729242737405,0.010588738380465656,80.0,0.8301249444484711,0.9877551078796387,0.9019541800022125,0.05737514607608318,0.005027883918955922,0.012414423283189535,10.0,9,2009,556.9358847141266
100,0.24801323350377918,0.49251541401955723,0.6549522358144216,0.4119773907890558,38.28806090472096,23.04967700140533,1.7762738680539114,1.0365133085889808,100,-3.5079058429337886,90.0,21.44552874299916,131.568022251,0.38738627918064594,32.50602660491131,200.10355034051463,36656,0.005458957615138439,8.851835295307908e-06,0.0029752034040226405,0.0021998093445852202,90.0,180.0,0.8267374502287971,0.9835074689653185,0.8967153694894578,0.06484181963735157,0.004627746428983907,0.010791592258546088,90.0,0.7026195049285888,0.9812499940395355,0.8187032222747803,0.0585365854203701,0.005105822253972292,0.01315198875963688,10.0,9,2009,556.9358847141266
110,0.24801323350377918,0.49251541401955723,0.6549522358144216,0.4119773907890558,42.40783481261151,25.52980933644312,1.7762738680539114,1.0365133085889808,110,-3.5079058429337886,100.0,21.44552874299916,131.568022251,0.37418641499243677,31.935931170824915,228.1511087990366,41736,0.005466530304749775,2.3865987389386734e-05,0.0048852827338227555,0.003290663475001284,100.0,200.0,0.8143256556987762,0.9832817214727402,0.8889141547679901,0.06421129621565341,0.0046755540114827455,0.011027631908655166,100.0,0.848224538564682,0.8583333313465118,0.8528033018112182,0.05574912950396538,0.005101303569972515,0.011727510299533606,10.0,9,2009,556.9358847141266
120,0.24547327753714399,0.49417896385877513,0.6549522358144216,0.40775824321749077,46.506512982644246,27.997241891647736,1.720746138453526,0.977652012600276,120,-3.5079058429337886,110.0,21.44552874299916,131.568022251,0.4225261891260743,31.668090065009892,255.8834329729434,47049,0.005438658270589033,1.2735368665092392e-05,0.0035686648294694745,0.002601586396798101,110.0,220.0,0.8165415715087544,0.9734620332717896,0.8858612618663094,0.06344024857336825,0.004710590282709084,0.011083849798887968,110.0,0.8566930949687958,0.9795918464660645,0.913619476556778,0.059756096452474594,0.004624128015711904,0.011207947041839361,10.0,9,2009,556.9358847141266
130,0.24547327753714399,0.49417896385877513,0.6549522358144216,0.40775824321749077,50.58409541481915,30.451974667019176,1.720746138453526,0.977652012600276,130,-3.5079058429337886,120.0,21.44552874299916,131.568022251,0.4304387921001762,34.07432949705981,286.02953336946666,52389,0.005459725006575171,1.8607161969817953e-05,0.004313601971649442,0.003027314022157023,120.0,240.0,0.8198875317970912,0.9739728510379791,0.8881744464238485,0.0631332358966271,0.0047033850937926525,0.011094191235800584,120.0,0.767969936132431,0.9508772134780884,0.8495648682117463,0.057575758546590805,0.0048813583794981245,0.012680168449878692,10.0,9,2009,556.9358847141266
