n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.540530666173454,0.2785499504343979,0.606242745548614,1.0,0.0,0.0,6.186334520901934,0.7251627805066264,30,-3.62936450295366,,30.29179861396551,128.5879377478268,,,0.0,0,,,,,,,,,,,,,,,,,,,,,7,2007,712.9138264656067
40,0.5260524903657395,0.28732723948660227,0.606242745548614,0.9732148854565293,9.866074427282648,5.332915782695968,5.796568410438686,0.6117044123667587,40,-3.62936450295366,30.0,30.29179861396551,128.5879377478268,0.661853538127616,34.99299220694229,31.563335368642583,5393,0.005852648872360947,4.4149420127629884e-05,0.006644503000799223,0.0039419257356078695,30.0,60.0,0.8895831306775411,0.9810332318147024,0.9311335782210032,0.07098326347768306,0.004622127627953887,0.010139025871952374,30.0,0.8310087084770202,0.9917942225933075,0.9038109540939331,0.0565621379762888,0.0048308056779205796,0.010319088026881218,10.0,7,2007,712.9138264656067
50,0.5113516534823062,0.2962395152006772,0.606242745548614,0.9460178403980054,19.46223805655532,10.519936501936197,5.739673505099955,0.6778349362390769,50,-3.62936450295366,40.0,30.29179861396551,128.5879377478268,0.2430131419096142,32.89636935014278,61.159666577586904,10640,0.00574808896405892,8.219337285480961e-05,0.009066056080502129,0.005471450139777694,40.0,80.0,0.8749395251274109,0.9837234795093537,0.9243029221892357,0.0673779821023345,0.0046742971404455606,0.010184041410684585,40.0,0.6800159692764283,0.983285790681839,0.8031615555286408,0.05528208799660206,0.005018671229481697,0.01104863528162241,10.0,7,2007,712.9138264656067
60,0.49642244705227756,0.3052902382956798,0.606242745548614,0.9183983039603856,28.784318778347277,15.558807004609115,5.7193733488451635,0.7306282334473597,60,-4.2488235388613775,50.0,30.29179861396551,128.5879377478268,0.2532095101196319,20.629288189811632,79.29550622799434,14858,0.005336889637097479,0.0002362969642544973,0.015371953820334528,0.011423817543920078,50.0,100.0,0.8359548139572144,0.9836359417438507,0.9000746488571167,0.06495880328118801,0.004743171958252788,0.01035696018487215,50.0,0.8359918057918548,1.0,0.9083784341812133,0.07354838550090789,0.00430910182185471,0.009489449579268694,10.0,7,2007,712.9138264656067
70,0.49642244705227756,0.3052902382956798,0.606242745548614,0.9183983039603856,37.96830181795113,20.52303147513189,5.716763511355542,0.8018807837337582,70,-4.2488235388613775,60.0,30.29179861396551,128.5879377478268,0.307869192911312,37.365077186143026,112.8206237219274,20161,0.0055959835187702695,0.00014969918373390224,0.012235161778002865,0.007866542409932497,60.0,120.0,0.8343663881222407,0.9857460012038549,0.9002585689226786,0.06608085328092178,0.004682062566280365,0.010230877110734582,60.0,0.7782962501049042,0.9284858584403992,0.8463265359401703,0.05878788009285927,0.004915583971887827,0.00984399477019906,10.0,7,2007,712.9138264656067
80,0.4486697790975745,0.3342399468238103,0.606242745548614,0.830054254412271,46.71056460981441,25.24849260588115,5.55712573894945,0.7866521657586065,80,-4.2488235388613775,70.0,30.29179861396551,128.5879377478268,0.28299890412017703,35.28483278513886,144.49966877000406,25486,0.00566976649023009,0.0003008845730847787,0.01734602470552774,0.013393176510994361,70.0,140.0,0.8263563684054783,0.9775659808090755,0.8925539927823203,0.06503899996834142,0.004715422767081431,0.010175608204943794,70.0,0.7372036576271057,0.904411768913269,0.8119963347911835,0.051818181201815604,0.005294401245191693,0.012087493389844894,10.0,7,2007,712.9138264656067
90,0.4481752556883772,0.33453974805314013,0.606242745548614,0.8291393693925214,55.00653272883837,29.73271777981091,5.5479787578732545,0.8056452224049824,90,-4.2488235388613775,80.0,30.29179861396551,128.5879377478268,0.3228523579891771,33.78548634797335,174.49656008579768,30554,0.005711087258159248,0.0010582053447712326,0.03253006831796135,0.020902888803620717,80.0,160.0,0.8162776201963424,0.9682867512106895,0.8830585941672325,0.06344952895306051,0.004788132174871862,0.010413570248056203,80.0,0.8062500059604645,0.9629629850387573,0.8776527643203735,0.05454545468091965,0.00544695882126689,0.013069787994027138,2.0,7,2007,712.9138264656067
100,0.4481752556883772,0.33453974805314013,0.606242745548614,0.8291393693925214,63.29792642276359,34.21447033669468,5.5479787578732545,0.8056452224049824,100,-4.2488235388613775,90.0,30.29179861396551,128.5879377478268,0.3882663429249078,33.06773126218468,204.2348857494071,36100,0.005657476059540363,0.00172276330029865,0.041506183880220184,0.027192890454104886,90.0,180.0,0.8169034871790144,0.9693932778305477,0.8841558337211609,0.06288302222059833,0.004813729257633289,0.010477519138819641,90.0,0.7812879860401154,0.9810595154762268,0.869370311498642,0.05343434326350689,0.004961895337328315,0.010396101139485836,10.0,7,2007,712.9138264656067
110,0.44184991904159504,0.3383744375084046,0.606242745548614,0.8174372828271824,71.5308096838621,38.66459621034454,1.8707539741925936,0.8497191947868339,110,-4.2488235388613775,100.0,30.29179861396551,128.5879377478268,0.36572949192486703,16.87906613899395,218.92366693844087,39697,0.005514866789390656,0.0015889822626331156,0.03986204037217758,0.026364768336653435,100.0,200.0,0.8133419370651245,0.9705599015951156,0.882677281498909,0.06193815432488918,0.004828545865602791,0.010469377338886261,100.0,0.9875,1.0,0.9933333337306977,0.09822577461600304,0.004287440795451403,0.010645817872136832,10.0,7,2007,712.9138264656067
120,0.34170912879684356,0.3990840651277906,0.606242745548614,0.6321734365524241,78.77886328076013,42.582391449536736,1.71544481558193,0.8894610201473784,120,-10.629068937602494,110.0,30.29179861396551,128.5879377478268,0.38386671408079565,29.19664107495919,244.98215785482898,44953,0.005449739902894778,0.001501440538941083,0.03874842627696102,0.022664880999454354,110.0,220.0,0.8291744882410222,0.9732362741773779,0.8927369226108898,0.06523702889680863,0.0047793544955890286,0.010485417387363586,110.0,0.7150374531745911,0.9767441809177398,0.8247701168060303,0.0611664280295372,0.00460628243163228,0.010255621466785669,10.0,7,2007,712.9138264656067
130,0.34170912879684356,0.3990840651277906,0.606242745548614,0.6321734365524241,85.10059764628437,45.999482737505176,1.71544481558193,0.8894610201473784,130,-10.629068937602494,120.0,30.29179861396551,128.5879377478268,0.41861091484315693,34.13859864510596,275.8173400904052,50262,0.0054875918206678045,0.0013539822467856406,0.036796497751629034,0.02211453671977277,120.0,240.0,0.819663068652153,0.9735285997390747,0.8870730221271514,0.06489781215786934,0.004764931823592633,0.010466267727315426,120.0,0.7935656070709228,0.9063829898834228,0.8460952818393708,0.05731707438826561,0.004817196214571595,0.010994031466543675,10.0,7,2007,712.9138264656067
140,0.34170912879684356,0.3990840651277906,0.606242745548614,0.6321734365524241,91.4223320118086,49.41657402547361,1.71544481558193,0.8894610201473784,140,-10.629068937602494,130.0,30.29179861396551,128.5879377478268,0.4487350299023092,27.097965588094667,299.77437486243434,55496,0.005401729401442164,0.00011403968823099541,0.010678936661999424,0.0077741591540219845,130.0,260.0,0.817655571607443,0.9683635528271015,0.8839208882588606,0.06431467848328444,0.004768952161360245,0.01050686493802529,130.0,0.7805122554302215,1.0,0.8764923274517059,0.0665546253323555,0.004585885209962726,0.010719415359199047,10.0,7,2007,712.9138264656067
150,0.34170912879684356,0.3990840651277906,0.606242745548614,0.6321734365524241,97.74406637733284,52.83366531344204,1.71544481558193,0.8894610201473784,150,-10.629068937602494,140.0,30.29179861396551,128.5879377478268,0.530547047033906,39.22619162220508,334.78509618202224,60877,0.0054993691571861665,8.447114668116557e-05,0.009190818607782746,0.006179218742665207,140.0,280.0,0.8150024775947843,0.9706232990537371,0.8833902767726354,0.06447467468678951,0.004755875950546137,0.010522047110966274,140.0,0.8492527365684509,0.9398467540740967,0.8916864097118378,0.05232323184609413,0.005431930208578706,0.012708982825279236,10.0,7,2007,712.9138264656067
