n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
30,0.628710273756292,0.2489758184007402,0.6705701795726954,1.0,0.0,0.0,8.35983390870692,0.602818376332444,30,-7.222052259313486,,30.03896013298072,129.20441829808988,,,0.0,0,,,,,,,,,,,,,,,,,,,,,30,2030,639.9410707950592
40,0.5048786297772961,0.3320136261405175,0.6705701795726954,0.8030386186642834,9.015193093321416,5.66794451766794,8.906668524262878,1.1283934260961392,40,-3.621711508708211,30.0,30.03896013298072,129.20441829808988,0.6874603850010317,28.8504585710034,25.732529245040496,5269,0.00488375958342,1.7868821534635306e-05,0.0042271528875397,0.003431554244926,30.0,60.0,0.8820293704668681,1.0,0.9349512378374736,0.0710824674616257,0.0051882652410616,0.0120724698528647,30.0,0.696342384815216,1.0,0.8200878739356995,0.0643322303891182,0.0049905521329492,0.0117989772930741,10.0,30,2030,639.9410707950592
50,0.4860725866654308,0.3446243978470929,0.6705701795726954,0.7731265209988408,16.896018791637037,10.622700599881576,2.871254588655803,1.0175533350613066,50,-11.23434085433997,40.0,30.03896013298072,129.20441829808988,0.2224823650030885,24.863343509001425,47.28673169211834,10185,0.0046427817076208,0.0001436977549551,0.011987399841296,0.006834490148186,40.0,80.0,0.8356076240539551,1.0,0.90623539686203,0.0693949081934988,0.0051388369640335,0.012004096712917,40.0,0.816681855916977,0.9901960790157318,0.8912132084369659,0.0753762975335121,0.0053537053987383,0.0128969012759625,10.0,30,2030,639.9410707950592
60,0.4674390053047805,0.3571195218461866,0.6705701795726954,0.7434887337088032,24.479095065175258,15.390258559732633,2.5414603888541443,0.9106317966056326,60,-11.23434085433997,50.0,30.03896013298072,129.20441829808988,0.2733426650083856,35.74231732200133,79.15346490808588,15461,0.0051195566204052,6.908518471897223e-05,0.0083117497988673,0.0048077493083972,50.0,100.0,0.8318224704265594,0.9980392158031464,0.9032309591770172,0.0705911860615015,0.0051818106509745,0.0121826576255261,50.0,0.6891489207744599,1.0,0.815136605501175,0.0560588464140892,0.0050368315540254,0.0114907439798116,10.0,30,2030,639.9410707950592
70,0.4674390053047805,0.3571195218461866,0.6705701795726954,0.7434887337088032,31.91398240226329,20.064648612780438,2.5414603888541443,0.9106317966056326,70,-11.23434085433997,60.0,30.03896013298072,129.20441829808988,0.2898518959991634,27.335686147998786,103.06878044611948,20494,0.0050292173536703,8.269201301499112e-05,0.0090935148878192,0.0052491540836179,60.0,120.0,0.8084627270698548,0.9983660131692886,0.8888152331113816,0.0681859644750754,0.0051632784539833,0.012075980597486,60.0,0.6951219439506531,1.0,0.8201438784599304,0.0575757585465908,0.0054938760586082,0.0140499910339713,1.0,30,2030,639.9410707950592
80,0.4628202569244072,0.3602167167770146,0.6705701795726954,0.7361423476655496,39.31213780913505,24.715944923926376,2.5458163283396877,0.96907304607962,80,-11.23434085433997,70.0,30.03896013298072,129.20441829808988,0.3599193140107672,28.51278507699317,128.3049359280849,25806,0.0049719032755206,0.0001139725172082,0.010675791174813,0.0064952549949709,70.0,140.0,0.8080898327486855,0.9985994398593904,0.8890786818095616,0.0668714696275336,0.0051981868421924,0.0122242125948624,70.0,0.745511382818222,1.0,0.8539734065532685,0.0680674035102129,0.0047431187238544,0.010915385838598,10.0,30,2030,639.9410707950592
90,0.42755823676466453,0.3838623759676293,0.6705701795726954,0.6800560681316299,46.39312988812095,29.167837392371734,2.449223831933971,0.9157250120860458,90,-11.23434085433997,80.0,30.03896013298072,129.20441829808988,0.3704810159979388,29.36694600599003,154.26898186113976,31039,0.0049701659802551,0.0001236421868231,0.0111194508328035,0.0067105848222734,80.0,160.0,0.8002675265073776,0.9987745098769664,0.884690522402525,0.0670209613628685,0.0051413033274002,0.0120606092503294,80.0,0.8168842673301697,1.0,0.899034732580185,0.0687394991517067,0.005135169159621,0.0120136878453195,10.0,30,2030,639.9410707950592
100,0.42755823676466453,0.3838623759676293,0.6705701795726954,0.6800560681316299,53.19369056943725,33.44341976001838,2.449223831933971,0.9157250120860458,100,-11.23434085433997,90.0,30.03896013298072,129.20441829808988,0.3749999810097506,24.1069738889928,175.34230502192804,35958,0.0048763086106548,8.136755734787786e-05,0.0090203967400485,0.0055437281423256,90.0,180.0,0.8021138310432434,0.9989106754461924,0.886284323533376,0.0672119100060727,0.0051406217532025,0.0120553957608838,90.0,0.86670982837677,1.0,0.924460357427597,0.0742175582796335,0.0050563698634505,0.0114187126979231,10.0,30,2030,639.9410707950592
110,0.33212155019078055,0.4478593720213017,0.6705701795726954,0.5282585064285452,59.23526344223813,37.241818694795604,2.3951515583472864,0.906084789731685,110,-11.23434085433997,100.0,30.03896013298072,129.20441829808988,0.4091121499950532,38.71187441700022,208.8182853159524,41293,0.0050569899333047,0.0003261961548596,0.0180609012748429,0.0108638360829723,100.0,200.0,0.808573430776596,0.9990196079015732,0.8901019269227981,0.0679124748334288,0.0051321965642273,0.0119917274545878,100.0,0.6003148317337036,0.9941176474094392,0.7473949909210205,0.0525252521038055,0.0044634680729359,0.0103753479197621,10.0,30,2030,639.9410707950592
120,0.3167443434404997,0.458170868313164,0.6705701795726954,0.5038001710200776,64.39555682948124,40.486148162952006,2.4025318216177367,1.028092859408721,120,-11.23434085433997,110.0,30.03896013298072,129.20441829808988,0.3905211240053177,22.814612874994054,228.93359327793587,45751,0.0050039035928818,0.0008673540517088,0.0294508752282321,0.0179485711572309,110.0,220.0,0.7896408308636058,0.998573975129561,0.8771285691044547,0.0665136364034631,0.005071403065019,0.0118447838605127,110.0,0.7909207940101624,1.0,0.8821715950965882,0.0731182768940925,0.0053007634356617,0.0128198607824742,10.0,30,2030,639.9410707950592
130,0.3167443434404997,0.458170868313164,0.6705701795726954,0.5038001710200776,69.43355853968201,43.653591597357,2.4025318216177367,1.028092859408721,130,-11.23434085433997,120.0,30.03896013298072,129.20441829808988,0.4412701370019931,23.911753180000233,249.82054082487593,50973,0.0049010366434166,0.001019601059459,0.0319311925780902,0.0203012580589265,120.0,240.0,0.7897474944591523,0.9986928105354308,0.8775488212704659,0.0670640231110155,0.0050905164292392,0.0119260402706762,120.0,0.8717948794364929,1.0,0.9315068125724792,0.0731182768940925,0.0061673256102949,0.0147549591958522,10.0,30,2030,639.9410707950592
