n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
75,1.2381953034278128,1.0,0.0,0.0,7.878313451587243,6.64011814815943,75,7.878313451587243,,,,,,0.0,0,,,,,,,0,2000,2117.180712461472
85,1.2381953034278128,1.0,10.0,12.381953034278128,7.878313451587243,6.64011814815943,85,7.878313451587243,37.0,,,18.44120544800535,50.123240916989744,40.74260309385136,5211,0.0078185766827578,0.0065307811726486,0.0808132487445506,0.0475222556927751,37.0,222.0,0,2000,2117.180712461472
95,1.2381953034278128,1.0,20.0,24.763906068556256,7.878313451587243,6.64011814815943,95,7.878313451587243,42.0,,,22.48451361386105,58.67179590603337,87.66552791697904,10515,0.0083371876288139,0.0062784674713144,0.079236781050939,0.0480446895731945,42.0,252.0,0,2000,2117.180712461472
105,0.1184281425270556,0.0956457694510711,25.478228847255355,31.5470232983306,6.7585462906864855,6.64011814815943,105,6.7585462906864855,42.0,,,21.49820366781205,86.84173854393885,150.55070398375392,16286,0.0092441792941025,0.0062784674713144,0.079236781050939,0.0480446895731945,42.0,252.0,0,2000,2117.180712461472
115,0.1184281425270556,0.0956457694510711,26.434686541766062,32.73130472360116,6.7585462906864855,6.64011814815943,115,6.7585462906864855,48.0,,,21.500287726987157,57.81013710517436,193.89835612801835,21690,0.0089395277145236,0.0052634227165548,0.072549450146468,0.0430953450377774,48.0,288.0,0,2000,2117.180712461472
125,0.1184281425270556,0.0956457694510711,27.391144236276777,33.91558614887171,6.7585462906864855,6.64011814815943,125,6.7585462906864855,52.0,,,26.18720989488065,64.62265621079132,244.8105440037325,27069,0.0090439448817367,0.0070657015855028,0.0840577276965229,0.0541541037611892,52.0,312.0,0,2000,2117.180712461472
135,0.1184281425270556,0.0956457694510711,28.347601930787487,35.099867574142266,6.7585462906864855,6.64011814815943,135,6.7585462906864855,62.0,,,32.59804338775575,56.34926736727357,290.2839882336557,32338,0.0089765597202565,0.0070717188981464,0.0840935128184477,0.0521244680682347,62.0,372.0,0,2000,2117.180712461472
145,0.1184281425270556,0.0956457694510711,29.3040596252982,36.28414899941282,6.7585462906864855,6.64011814815943,145,6.7585462906864855,66.0,,,34.539436272811145,64.25962126022205,339.2570901894942,37774,0.0089812328635965,0.0066919662084018,0.0818044388062276,0.0506236610634574,66.0,396.0,0,2000,2117.180712461472
155,0.1184281425270556,0.0956457694510711,30.26051731980891,37.468430424683376,6.7585462906864855,6.64011814815943,155,6.7585462906864855,69.0,,,34.50278225820512,51.03006271086633,382.2105861357413,42936,0.0089018675734987,0.0066224295568543,0.0813783113418703,0.0494652441905273,69.0,414.0,0,2000,2117.180712461472
165,0.1184281425270556,0.0956457694510711,31.21697501431962,38.65271184995393,6.7585462906864855,6.64011814815943,165,6.7585462906864855,75.0,,,30.51537052029744,47.15115274302661,421.4815245508216,48091,0.0087642495383922,0.0058065149367802,0.0762004917095702,0.046912127490494,75.0,450.0,0,2000,2117.180712461472
175,0.1184281425270556,0.0956457694510711,32.17343270883033,39.836993275224486,6.7585462906864855,6.64011814815943,175,6.7585462906864855,81.0,,,33.38433819497004,42.53423922415823,459.7700374810957,53106,0.0086575911851974,0.007268561560007,0.085255859388121,0.0557615113430293,81.0,486.0,0,2000,2117.180712461472
185,0.1184281425270556,0.0956457694510711,33.129890403341044,41.02127470049504,6.7585462906864855,6.64011814815943,185,6.7585462906864855,85.0,,,34.50610371818766,51.0718255629763,497.9478133399971,58255,0.0085477266044115,0.0077548579488287,0.0880616712811465,0.0517746707445913,85.0,510.0,0,2000,2117.180712461472
195,0.1184281425270556,0.0956457694510711,34.086348097851754,42.2055561257656,6.7585462906864855,6.64011814815943,195,6.7585462906864855,90.0,,,33.242652740795165,55.36439671320841,540.6122286473401,63588,0.008501796386855,0.0060619437513749,0.0778584854166518,0.0480335822909508,90.0,540.0,0,2000,2117.180712461472
205,0.1184281425270556,0.0956457694510711,35.042805792362465,43.38983755103615,6.7585462906864855,6.64011814815943,205,6.7585462906864855,98.0,,,36.31981114624068,52.87449405994266,584.5029519768432,68785,0.0084975351017931,0.0071605706410214,0.0846201550519821,0.0494538806162231,98.0,588.0,0,2000,2117.180712461472
215,0.1184281425270556,0.0956457694510711,35.999263486873176,44.57411897630671,6.7585462906864855,6.64011814815943,215,6.7585462906864855,108.0,,,39.80893052695319,28.81755912303925,610.1657605832443,72399,0.0084278202818166,0.0055742622317326,0.0746609819901445,0.0420625674963979,108.0,648.0,0,2000,2117.180712461472
225,0.1184281425270556,0.0956457694510711,36.955721181383886,45.75840040157726,6.7585462906864855,6.64011814815943,225,6.7585462906864855,112.0,,,46.44933170406148,42.85943820886314,645.9719910542481,77519,0.0083330795166894,0.0070782817463963,0.0841325249020635,0.0480358272179255,112.0,672.0,0,2000,2117.180712461472
235,0.1184281425270556,0.0956457694510711,37.9121788758946,46.94268182684782,6.7585462906864855,6.64011814815943,235,6.7585462906864855,120.0,,,44.89498007204384,53.04071909794584,691.5604655919597,82658,0.0083665279294437,0.0057560566728987,0.0758686804478549,0.0447792644112763,120.0,720.0,0,2000,2117.180712461472
245,0.1184281425270556,0.0956457694510711,38.86863657040531,48.12696325211837,6.7585462906864855,6.64011814815943,245,6.7585462906864855,127.0,,,51.9851307910867,43.20451412489638,728.0479040332139,87766,0.008295329672461,0.005447711682322,0.0738086152310285,0.0431159008943291,127.0,762.0,0,2000,2117.180712461472
255,0.1184281425270556,0.0956457694510711,39.82509426491602,49.31124467738893,6.7585462906864855,6.64011814815943,255,6.7585462906864855,132.0,,,53.17958738096058,41.04743875004351,764.1125721582212,92809,0.0082331732068896,0.0056274078804922,0.0750160508190898,0.0431872059781352,132.0,792.0,0,2000,2117.180712461472
265,0.1184281425270556,0.0956457694510711,40.78155195942673,50.49552610265948,6.7585462906864855,6.64011814815943,265,6.7585462906864855,139.0,,,51.24095987575129,50.3854847913608,807.2725513326004,97937,0.008242773939702,0.0035901383793633,0.0599177634709722,0.0331566972318535,139.0,834.0,0,2000,2117.180712461472
275,0.1184281425270556,0.0956457694510711,41.73800965393744,51.67980752793004,6.7585462906864855,6.64011814815943,275,6.7585462906864855,145.0,,,55.836353437043726,46.75117992097512,845.6413529082201,103110,0.0082013514975096,0.003540320774492,0.0595005947406583,0.0336818194781329,145.0,870.0,0,2000,2117.180712461472
285,0.1184281425270556,0.0956457694510711,42.69446734844815,52.86408895320059,6.7585462906864855,6.64011814815943,285,6.7585462906864855,154.0,,,57.76070548780263,42.05442147795111,878.6842538709752,108304,0.0081131283597187,0.0051346144890182,0.0716562243564242,0.0409425829106359,154.0,924.0,0,2000,2117.180712461472
295,0.1184281425270556,0.0956457694510711,43.65092504295886,54.04837037847115,6.7585462906864855,6.64011814815943,295,6.7585462906864855,164.0,,,60.048334187828,50.93032450089231,916.8439149595796,113641,0.0080678972814352,0.0059302168519889,0.0770079012309055,0.0428921468439448,164.0,984.0,0,2000,2117.180712461472
