n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
75,1.122613839929298,1.0,0.0,0.0,7.762731988088728,6.64011814815943,75,7.762731988088728,,,,,,0.0,0,,,,,,,32,2032,1762.0252594947815
85,1.122613839929298,1.0,10.0,11.22613839929298,7.762731988088728,6.64011814815943,85,7.762731988088728,33.0,,,17.854581134859473,42.72961420426145,35.97861453704536,5171,0.006957767266881717,0.005992965631334026,0.07741424695321932,0.04789306348208001,33.0,198.0,32,2032,1762.0252594947815
95,1.122613839929298,1.0,20.0,22.45227679858596,7.762731988088728,6.64011814815943,95,7.762731988088728,43.0,,,17.694915977772325,32.53858007257804,64.38529104460031,10023,0.006423754469180915,0.005086955172987438,0.07132289375079673,0.04424123652959771,43.0,258.0,32,2032,1762.0252594947815
105,0.3625739679394657,0.32297300731861683,26.614865036593084,29.87821583792978,7.0026921160988955,6.64011814815943,105,7.0026921160988955,49.0,,,15.661685397382826,53.783541017677635,108.71215507015586,15326,0.007093315612042011,0.0046452544892025575,0.06815610382938976,0.04376169410313801,49.0,294.0,32,2032,1762.0252594947815
115,0.34694424906870847,0.30905039358018155,29.774982041087075,33.42580692297065,6.987062397228138,6.64011814815943,115,6.987062397228138,59.0,,,18.234275279566646,37.61451943125576,141.85656086402014,20391,0.006956822169781773,0.005335492451880851,0.07304445531237022,0.04703641216070919,59.0,354.0,32,2032,1762.0252594947815
125,0.34694424906870847,0.30905039358018155,32.86548597688889,36.89524941365774,6.987062397228138,6.64011814815943,125,6.987062397228138,64.0,,,23.074369171168655,36.78472458710894,174.12127014854923,25458,0.0068395502454454095,0.0053526010591365076,0.07316147250525039,0.04671432079214886,64.0,384.0,32,2032,1762.0252594947815
135,0.34694424906870847,0.30905039358018155,35.955989912690704,40.364691904344824,6.987062397228138,6.64011814815943,135,6.987062397228138,69.0,,,28.942308117169887,17.716885603033006,189.4935412942432,28381,0.006676774648329629,0.0054737235222688625,0.07398461679476932,0.04750994148548452,69.0,414.0,32,2032,1762.0252594947815
145,0.34694424906870847,0.30905039358018155,39.04649384849252,43.83413439503191,6.987062397228138,6.64011814815943,145,6.987062397228138,73.0,,,25.35762181505561,37.581206085160375,222.53327383752912,33448,0.006653111511526224,0.00850459240841189,0.0922203470412679,0.053835703233680185,73.0,438.0,32,2032,1762.0252594947815
155,0.34694424906870847,0.30905039358018155,42.13699778429433,47.303576885718996,6.987062397228138,6.64011814815943,155,6.987062397228138,75.0,,,26.172044068109244,32.770846378058195,251.9415516583249,37974,0.006634580282780979,0.005093288956510036,0.07136728211519643,0.04541429070766185,75.0,450.0,32,2032,1762.0252594947815
165,0.34694424906870847,0.30905039358018155,45.22750172009614,50.77301937640608,6.987062397228138,6.64011814815943,165,6.987062397228138,77.0,,,31.26049014599994,34.690754102077335,282.7127573522739,43012,0.006572880994891517,0.0047411347692367725,0.0688558985798368,0.043772537078039964,77.0,462.0,32,2032,1762.0252594947815
175,0.3467984728425044,0.3089205392874416,48.31735638443426,54.241732985962145,6.986916621001934,6.64011814815943,175,6.986916621001934,81.0,,,36.16939840000123,38.74771359516308,317.192386649549,48067,0.006598963668411779,0.008401951065862246,0.0916621572180267,0.051502673949368305,81.0,486.0,32,2032,1762.0252594947815
185,0.21897713205231817,0.19506006808726795,50.83725942130781,57.07061101043626,6.859095280211748,6.64011814815943,185,6.859095280211748,90.0,,,36.47646828275174,79.85812245169654,374.0006603654474,53723,0.006961648835051047,0.004746899854659645,0.06889774927136331,0.04215748668222093,90.0,540.0,32,2032,1762.0252594947815
195,0.21897713205231817,0.19506006808726795,52.787860102180495,59.260382330959445,6.859095280211748,6.64011814815943,195,6.859095280211748,98.0,,,33.84934231871739,48.43203525058925,411.3171653873287,59103,0.0069593280440473195,0.004824821555729347,0.06946093546540635,0.042329285494002486,98.0,588.0,32,2032,1762.0252594947815
205,0.21897713205231817,0.19506006808726795,54.73846078305318,61.45015365148262,6.859095280211748,6.64011814815943,205,6.859095280211748,103.0,,,41.99003643030301,46.688974015880376,446.88434135587886,63802,0.007004237192499904,0.005064702458882753,0.0711667229741735,0.04201903485593121,103.0,618.0,32,2032,1762.0252594947815
215,0.21897713205231817,0.19506006808726795,56.68906146392586,63.6399249720058,6.859095280211748,6.64011814815943,215,6.859095280211748,108.0,,,42.82968353200704,47.98548356909305,486.70683441404253,69038,0.007049839717460565,0.004737518765940394,0.06882963581147582,0.041306888207308434,108.0,648.0,32,2032,1762.0252594947815
225,0.16354438576373997,0.14568178294865844,58.39277071910549,65.5525325610861,6.80366253392317,6.64011814815943,225,6.80366253392317,117.0,,,39.08512640884146,39.38520606001839,519.839958012104,74183,0.00700753485316183,0.005297869125009716,0.07278646251199268,0.045301365397759454,117.0,702.0,32,2032,1762.0252594947815
235,0.16354438576373997,0.14568178294865844,59.849588548592074,67.1879764187235,6.80366253392317,6.64011814815943,235,6.80366253392317,125.0,,,44.982433908153325,57.54304363578558,563.924993540626,79677,0.00707763838423417,0.003965567031483028,0.06297274832404115,0.037319118246524605,125.0,750.0,32,2032,1762.0252594947815
245,0.16354438576373997,0.14568178294865844,61.306406378078655,68.82342027636089,6.80366253392317,6.64011814815943,245,6.80366253392317,128.0,,,45.04474107734859,40.97796573583037,599.5749737187289,84778,0.0070722943890953885,0.00349345008136423,0.05910541499189588,0.03417548901055347,128.0,768.0,32,2032,1762.0252594947815
255,0.16354438576373997,0.14568178294865844,62.76322420756524,70.45886413399829,6.80366253392317,6.64011814815943,255,6.80366253392317,133.0,,,52.356720170006156,30.383575399871916,626.2118876092136,89804,0.0069730957152155095,0.0044145103671872485,0.06644178178817338,0.03863149172724843,133.0,798.0,32,2032,1762.0252594947815
