n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
30,0.5743145833938716,0.27880361535977727,0.6549522358144216,1.0,0.0,0.0,3.8786157945923616,0.7090143978876935,30,-3.5566794506218837,,,,,,0.0,0,,,,,,,5,2005,782.7151255607605
40,0.5630638205651739,0.2861723276290507,0.6549522358144216,0.9804101042285708,9.902050521142854,5.686892019795228,3.858406215629697,0.6940571695274104,40,-3.5566794506218837,30.0,,,7.8561111288145185,26.557029648683965,23.885688270442188,3393,0.00703969592409142,0.0020526572901242175,0.04530626104772074,0.02385581997919933,30.0,60.0,5,2005,782.7151255607605
50,0.4608739484140555,0.3531018128720156,0.6549522358144216,0.8024764854316484,18.816483469443952,10.806580864691373,3.817929579138962,1.0425656703611468,50,-3.5566794506218837,40.0,,,6.645242088939995,39.338576439768076,59.10913878818974,8657,0.006827900980500143,0.004263214027502263,0.06529329236225007,0.037904530646984076,40.0,80.0,5,2005,782.7151255607605
60,0.4485259171923723,0.3611891835285633,0.6549522358144216,0.7809760193478632,26.73374599334151,15.353580192723513,3.7970920914389903,1.0318656091814205,60,-3.5566794506218837,50.0,,,8.11080452799797,35.3088907552883,90.49778840318322,13896,0.006512506361771964,0.003537458339359195,0.0594765360403512,0.033423640340744826,50.0,100.0,5,2005,782.7151255607605
70,0.42700991963883084,0.37528113423203285,0.6549522358144216,0.7435122352551902,34.35618726635678,19.731259376879528,3.759625250137342,1.0087077415319434,70,-3.5566794506218837,60.0,,,8.583677437156439,29.613592046312988,116.09385385690257,18909,0.006139608327087766,0.003588644675652498,0.05990529755916832,0.03181805591196708,60.0,120.0,5,2005,782.7151255607605
80,0.4270099196379743,0.37528113423259385,0.6549522358144216,0.7435122352536988,41.791309618901224,24.001358573263552,2.930714986875856,1.0270639486696873,80,-3.5566794506218837,70.0,,,12.756158125121146,8.84132810216397,122.93173284782097,20625,0.005960326441106471,0.0029172089916662722,0.054011193207207264,0.028657702980941238,70.0,140.0,5,2005,782.7151255607605
90,0.28371090933942056,0.46913514141762547,0.6549522358144216,0.49399913835175646,47.9788664869285,27.554962718150527,2.721993248317996,0.9739266691471595,90,-3.5566794506218837,80.0,,,12.009993636980653,36.982073994819075,155.94168961653486,25853,0.006031860504256174,0.0024549624171788745,0.04954757730887429,0.027464676112764385,80.0,160.0,5,2005,782.7151255607605
100,0.25481298537134317,0.48806190133091293,0.6549522358144216,0.44368189967516364,52.667271677063106,30.247582191704346,2.3863697878053216,1.1212979261771645,100,-3.5566794506218837,90.0,,,14.392286586109549,29.607355205807835,181.35400868114084,31068,0.005837324857768149,0.001970825476176807,0.04439398017948838,0.024365713914012006,90.0,180.0,5,2005,782.7151255607605
110,0.24618545843472162,0.49371251938760236,0.6549522358144216,0.4286595979853166,57.028979165365506,32.75257441073467,2.190295034476983,1.0493889198113866,110,-3.5566794506218837,100.0,,,18.343285224866122,28.04572839476168,205.61249514389783,36204,0.0056792756365014315,0.0011529594848254225,0.03395525710144782,0.020026209013459285,100.0,200.0,5,2005,782.7151255607605
120,0.24120300676122922,0.4969757872509935,0.6549522358144216,0.41998412322364687,61.272197771410326,35.189516736714424,2.1138090927667963,1.0584775163680553,120,-3.5566794506218837,110.0,,,20.112136207986623,30.897254947107285,232.51027885638177,41400,0.005616190310540623,0.0011891434822725662,0.03448395978237659,0.02041298885957561,110.0,220.0,5,2005,782.7151255607605
130,0.23558016770327428,0.5006584782636258,0.6549522358144216,0.4101936021041462,65.42308639804929,37.57343260903694,1.9824102906657253,1.0289621155379196,130,-3.5566794506218837,120.0,,,20.08414213405922,28.13242668006569,256.8900131774135,46105,0.005571847157085207,0.0021376797963981297,0.04623504943652737,0.025378352497230514,120.0,240.0,5,2005,782.7151255607605
140,0.23073407866316498,0.5038324351154011,0.6549522358144216,0.40175556277825675,69.48283222246131,39.90500384086914,1.4961368277160516,0.9877789254356705,140,-11.572325600037725,130.0,,,18.74434758676216,16.523955838289112,270.7246050373651,49387,0.0054816977147298905,0.001020781919423682,0.03194967792362987,0.017533332591191473,130.0,260.0,5,2005,782.7151255607605
150,0.20929274355117233,0.5178754854858469,0.6549522358144216,0.3644217813769791,73.31371894323749,42.105137951940826,1.4135397106918892,0.918594108528535,150,-11.572325600037725,140.0,,,28.594745211768895,12.906445153988898,281.13039943482727,51915,0.005415205613692136,0.0008284905138210731,0.028783511144769555,0.01656652029748153,140.0,280.0,5,2005,782.7151255607605
160,0.20774029053414061,0.5188922680603487,0.6549522358144216,0.3617186408649315,76.94442105444705,44.19030312236739,1.359771393454968,0.899238989060808,160,-11.572325600037725,150.0,,,28.817394034937024,12.346858783159405,291.5517258574255,53896,0.005409524377642598,0.0010812471517348458,0.032882322784968304,0.01826045029195565,150.0,300.0,5,2005,782.7151255607605
