x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014884775236619565,0.17648693319669848,0.5,8.472361954578435e-05,0.00027597111400453294,0.5,0.0004955410535171018,0.0019143192290709014,0.5,-7.274731940923559,26.236207688957975,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014536519492898511,0.12396450910739162,0.5,0.00015969441933156794,0.001137910821399516,0.5,4.175852270831557e-05,0.00036640182615739784,0.5,-7.272469551392196,26.11928416295801,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007771286271581692,0.00997055382844874,0.5,6.593853264121083e-19,4.4442640691717284e-20,0.5,0.0,1.7684609299970556e-16,0.5,-7.26989964091369,26.001118633837727,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02549875675728276,0.07770627576740723,0.5,2.1710566508798308e-05,0.00021465207864535527,0.5,0.0005511009091299969,0.0003087723760342247,0.5,-7.271716571899005,26.053396578810563,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14852668427563762,0.12133630253000151,0.5,0.0006252656654639634,0.0,0.5,0.0,1.0842021724855044e-19,0.5,-7.2815669689627285,26.261230313767754,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01979634772060622,0.026513466995311208,0.5,0.0,8.331771436672872e-18,0.5,0.0,1.4739695979479744e-17,0.5,-7.270453781643588,26.007664015206306,7,2007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25962261498968797,0.07583475417831786,0.5,0.00021630299527937696,0.001197864972837776,0.5,0.000487177046492873,0.001901595859014014,0.5,-7.2925008295425275,26.534901330329333,7,2007
1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.85722573273506e-17,0.0,1.9081958235744878e-17,8.153200337090993e-17,8.586881206085195e-17,0.5,1.0668549377257364e-16,9.84455572616838e-17,5.377642775528102e-17,-7.585024526402147,33.0,7,2007
2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,2.0903417885520525e-16,6.245004513516506e-17,2.3418766925686896e-17,5.377642775528102e-17,0.5,-7.30669707471176,32.5,7,2007
2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.890457814381136e-17,0.0,0.0,0.0,2.42861286636753e-17,4.85722573273506e-17,1.5612511283791264e-17,1.1449174941446927e-16,-10.693028040621298,36.5,7,2007
