n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
30,0.7474906548594205,0.15308195867470753,0.606242745548614,1.0,0.0,0.0,7.755161575419719,1.013891825256822,30,-10.92292019885556,,,,,,0.0,0,,,,,,,2,2002,1399.7455434799194
40,0.48353443769570714,0.3131035004726633,0.606242745548614,0.646876900135487,8.234384500677436,6.155125462775638,7.732901134181434,0.9218036789119382,40,-10.92292019885556,30.0,,,8.664238311932422,53.21498634305317,46.80454205325805,5054,0.009260890790118331,0.003588237861295536,0.059901901983956535,0.03516968382143068,30.0,60.0,2,2002,1399.7455434799194
50,0.30075269886675843,0.42391360365647485,0.606242745548614,0.40234977776855363,13.480517890197639,10.076561145587966,3.8820663595310063,0.8363238693652125,50,-3.740281546319732,40.0,,,9.090436376980506,65.06631586700678,102.47449679940473,10399,0.009854264525377895,0.004442652712857374,0.06665322732514438,0.040428614036001814,40.0,80.0,2,2002,1399.7455434799194
60,0.29866665507616175,0.42517825257142083,0.606242745548614,0.3995590488450074,17.490062023265445,13.073657915302569,2.140227981132391,1.0216122360226703,60,-3.740281546319732,50.0,,,10.694307073950768,22.189475874998607,121.4321613261709,13707,0.008859134845419924,0.0036781108793109978,0.06064743093743541,0.03640570304579261,50.0,100.0,2,2002,1399.7455434799194
70,0.24755046538524506,0.4561670717516259,0.606242745548614,0.33117533145856054,21.143733924783284,15.804743517609602,2.005987853194698,1.2321868302540941,70,-3.740281546319732,60.0,,,10.415702759986743,39.48622972005978,156.52010458160657,18465,0.008476582972196403,0.0030980060935823076,0.05565973493992141,0.031090648792904758,60.0,120.0,2,2002,1399.7455434799194
80,0.2355282853823702,0.4634554311640484,0.606242745548614,0.3150919464359935,24.375070314256053,18.220137271447676,1.4782519301935468,1.0536279509516897,80,-3.740281546319732,70.0,,,15.15118977194652,51.28112891595811,202.972725075786,23704,0.008562804804074672,0.0018745944893465677,0.04329658750232595,0.02277146707681277,70.0,140.0,2,2002,1399.7455434799194
90,0.23247325585758208,0.46530752065088804,0.606242745548614,0.31100489932051795,27.50555454303861,20.56014497764744,1.5084266021484733,1.0942880006142075,90,-3.740281546319732,80.0,,,16.43265888199676,56.4031571589876,254.05485726392362,28963,0.008771703803608867,0.0021583048395555334,0.04645755955230035,0.026062362104957392,80.0,160.0,2,2002,1399.7455434799194
100,0.10830853436063163,0.5405814823114783,0.606242745548614,0.1448961718203702,29.78505989874305,22.26405392873851,1.4214236231236292,1.0742433872670176,100,-3.740281546319732,90.0,,,20.5044325850904,61.2395878440002,309.15596684324555,34194,0.009041234334773515,0.002331558561207706,0.04828621502258906,0.027066099954489026,90.0,180.0,2,2002,1399.7455434799194
110,0.1044260818278597,0.5429351909944081,0.606242745548614,0.1397021904541388,31.208051710115594,23.327727009680967,1.4150304799099271,1.071217417114001,110,-3.740281546319732,100.0,,,22.373887335998006,27.219524956075475,332.7305652385112,38508,0.008640556903461908,0.002438487040832122,0.04938103928464975,0.027303686332216727,100.0,200.0,2,2002,1399.7455434799194
120,0.09697105923212826,0.5474547443609713,0.606242745548614,0.1297287913925365,32.55520661934897,24.334712714980906,1.238721577390738,1.0870224308088643,120,-7.191419744118038,110.0,,,21.51173923292663,26.555235637933947,356.3771560185123,42281,0.008428777843913634,0.0029160798821077426,0.05400073964408027,0.028990271486905125,110.0,220.0,2,2002,1399.7455434799194
130,0.08804184489747545,0.5528680157748033,0.606242745548614,0.11778320481348808,33.792766600379096,25.259777235628924,1.3598565152682256,1.0549459200298854,130,-7.191419744118038,120.0,,,26.894570838077925,17.07642420893535,370.8532986936625,44593,0.008316401648098637,0.0025948096318225995,0.05093927396246043,0.027115394519577306,120.0,240.0,2,2002,1399.7455434799194
140,0.08697274955026223,0.5535161470733511,0.606242745548614,0.1163529590435068,34.96344741966407,26.13485020786761,1.1000028716817534,1.1017188475573247,140,-7.191419744118038,130.0,,,26.552004744997248,19.9628540269332,388.2647375917295,47764,0.00812881537542353,0.002517047212912669,0.05017018250826549,0.028072837796020864,130.0,260.0,2,2002,1399.7455434799194
150,0.034413902680732966,0.5853795667024037,0.606242745548614,0.046039241369786946,35.77540842173054,26.741783469022586,1.105623489936669,1.134704251082488,150,-10.963265463123053,140.0,,,30.508449251996353,42.948828116990626,426.8422291051829,52992,0.008054842789575464,0.0011728125135978364,0.034246350369022335,0.018506826340662943,140.0,280.0,2,2002,1399.7455434799194
160,0.034413902680732966,0.5853795667024037,0.606242745548614,0.046039241369786946,36.23580083542841,27.085922495829916,1.105623489936669,1.134704251082488,160,-10.963265463123053,150.0,,,34.49301092198584,49.95457624900155,471.6365394020686,58202,0.008103442139480922,0.0004023059481555258,0.020057565858187423,0.01268505992217478,150.0,300.0,2,2002,1399.7455434799194
170,0.03437016593464375,0.5854060817874341,0.606242745548614,0.04598072994117593,36.69590069198322,27.4298428389068,1.0678485207095916,1.1851953045314965,170,-10.963265463123053,160.0,,,38.69760345190298,22.542087374953553,490.9351286715828,61540,0.007977496403503133,0.0021426764611503966,0.04628905336200338,0.02529116726136197,160.0,320.0,2,2002,1399.7455434799194
180,0.033893080075073745,0.5856953116288023,0.606242745548614,0.045342480009262415,37.15251674173541,27.771159068955388,0.9941072853612096,1.1561229452495971,180,-10.963265463123053,170.0,,,37.641028289915994,51.919783979072236,537.7633867014665,66730,0.00805879494532394,0.001082966893027568,0.03290846233155794,0.01858388405210133,170.0,340.0,2,2002,1399.7455434799194
