n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
30,0.6519630812052515,0.2333831791341221,0.6705701795726954,1.0,0.0,0.0,5.295597270738956,0.6165255596632939,30,-7.31793370487169,,,,,,0.0,0,,,,,,,5,2005,1064.633386850357
40,0.22885615261795933,0.5171060682153542,0.6705701795726954,0.3510262455274069,6.755131227637035,4.404096169116054,5.517459038297242,0.551436848844613,40,-3.4258565133413015,30.0,,,7.429510125890374,36.90779434191063,33.34564176434651,5224,0.0063831626654568,0.0026306278292432,0.0512896464137084,0.0334035329825856,30.0,60.0,5,2005,1064.633386850357
50,0.2288458490151437,0.5171129775041445,0.6705701795726954,0.3510104415607213,10.265314663077676,6.692606177281569,3.231474981731686,0.7603469712129595,50,-3.4258565133413015,40.0,,,5.170352869667113,4.640204757917672,37.15332204522565,6332,0.0058675492806736,0.0026491537560879,0.051469930601157,0.0310594829592388,40.0,80.0,5,2005,1064.633386850357
60,0.21958908116806553,0.5233202899816225,0.6705701795726954,0.3368121408993316,13.704427575377942,8.934780828197615,2.264647681829623,0.7821010490783787,60,-7.404796158070993,50.0,,,8.629842873197049,35.22404114110395,67.29827138921246,11474,0.0058652842416953,0.0026865120057497,0.0518315734446657,0.0310721574001456,50.0,100.0,5,2005,1064.633386850357
70,0.21067177827791553,0.5292999673819745,0.6705701795726954,0.32313452149538463,17.004160887351524,11.08608512542752,2.050891659257453,0.8972763725732943,70,-7.404796158070993,60.0,,,12.304242943879215,34.4787541590631,97.41623416682704,16671,0.0058434547517741,0.0024388199347758,0.0493844098352495,0.0305550616805547,60.0,120.0,5,2005,1064.633386850357
80,0.2090478179183194,0.5303889467719278,0.6705701795726954,0.32064364370427717,20.223051713349832,13.184683106408695,1.6724250296498364,0.9057586228085736,80,-7.404796158070993,70.0,,,8.837197838816792,16.14950445620343,111.49318457162008,20321,0.0054865993096609,0.0020013150432054,0.0447360597639695,0.0282210005316254,70.0,140.0,5,2005,1064.633386850357
90,0.20901080460553478,0.5304137667957284,0.6705701795726954,0.3205868716049795,23.429204289896116,15.274976219027966,1.5351885746187166,0.9101784489149904,90,-7.404796158070993,80.0,,,10.375594804994762,15.251663278788328,124.77782031148672,23009,0.0054230005785339,0.0017479482646369,0.0418084712066455,0.0216018796208186,80.0,160.0,5,2005,1064.633386850357
100,0.20814109247436155,0.5309969698157058,0.6705701795726954,0.31925288175763195,26.628403056709175,17.360735704427448,1.6394714242275588,0.8933189143062226,100,-7.404796158070993,90.0,,,18.21225832263008,35.23697742400691,155.64698374224827,27512,0.0056574216248272,0.0013535782608579,0.0367910078804306,0.0181356881617286,90.0,180.0,5,2005,1064.633386850357
110,0.20713319839081476,0.5316728335323,0.6705701795726954,0.31770694439921043,29.81320218749339,19.437107158753328,1.658619116172069,0.9175655384696924,110,-7.404796158070993,100.0,,,20.289189770817757,19.32574729481712,172.55229215556756,31293,0.0055140859666879,0.0009081666232005,0.0301358030123731,0.0160133647341058,100.0,200.0,5,2005,1064.633386850357
120,0.2066307496810598,0.5320097606538264,0.6705701795726954,0.31693627390537493,32.98641827901631,21.5059268991127,1.6460758751395983,0.9270963791022484,120,-7.404796158070993,110.0,,,16.939826696179807,32.832727764733136,201.11119281314313,35476,0.0056689365433854,0.0007285109028351,0.0269909411254056,0.0134878319829663,110.0,220.0,5,2005,1064.633386850357
130,0.2066307496810598,0.5320097606538264,0.6705701795726954,0.31693627390537493,36.15578101807006,23.5722343959233,1.6460758751395983,0.9270963791022484,130,-7.404796158070993,120.0,,,22.429839828051627,13.7327274158597,213.01202179351824,38625,0.0055148743506412,0.0007147811352512,0.0267353910622458,0.0140394427017772,120.0,240.0,5,2005,1064.633386850357
140,0.20659417049316856,0.5320342895664193,0.6705701795726954,0.31688016767950766,39.32486322599447,25.63835899679444,1.6216681977746903,0.97972666446448,140,-7.404796158070993,130.0,,,16.277123718056828,17.66525270603597,228.3526832703501,41877,0.0054529379676278,0.0006822663007457,0.0261202278080761,0.013894235927728,130.0,260.0,5,2005,1064.633386850357
150,0.206583358941784,0.5320415394703727,0.6705701795726954,0.31686358460648373,42.49358198742443,27.704246643969203,1.6127953649142028,0.9938601195843088,150,-7.404796158070993,140.0,,,28.80798458913341,14.743753142654896,241.06160083645955,44432,0.0054254051322573,0.0005574682992215,0.0236107665953799,0.0128649352650704,140.0,280.0,5,2005,1064.633386850357
160,0.18127787312396995,0.5490106436393986,0.6705701795726954,0.2780492919765497,45.468146370339596,29.643552804297972,1.5667992287368149,1.0133153775903176,160,-7.404796158070993,150.0,,,30.297516249120235,39.74753393372521,276.8331797593273,49726,0.005567171696081,0.0001238903110766,0.0111306024579381,0.0067294377686957,150.0,300.0,5,2005,1064.633386850357
170,0.18127787312396995,0.5490106436393986,0.6705701795726954,0.2780492919765497,48.248639290105096,31.45633153553767,1.5667992287368149,1.0133153775903176,170,-7.404796158070993,160.0,,,31.36439468432218,45.58220075024292,318.01001071883366,54976,0.0057845243509683,0.0001978797461332,0.0140669735953855,0.0088134805716289,160.0,320.0,5,2005,1064.633386850357
180,0.18098625587232375,0.5492061934722015,0.6705701795726954,0.277602000925794,51.02689575461682,33.26765218051914,1.5763326725022957,0.9378765957910268,180,-7.404796158070993,170.0,,,27.18250537896529,14.681907495018097,330.65378787973896,57441,0.0057564072331564,0.0006914768915713,0.0262959481968486,0.0126980456458103,170.0,340.0,5,2005,1064.633386850357
190,0.17015089856689863,0.5564720609662347,0.6705701795726954,0.26098241368567865,53.71981782767418,35.02333795271525,1.5787698004937465,1.0021811361995543,190,-7.404796158070993,180.0,,,36.00196083821356,26.459964477922767,354.1452826857567,62629,0.0056546533185226,0.0005318330113712,0.0230615049676136,0.010534225603856,180.0,360.0,5,2005,1064.633386850357
200,0.16864729391040031,0.5574803334107491,0.6705701795726954,0.2586761409842878,56.31811060102401,36.717328915101746,1.4505385682010636,0.9566439015866446,200,-7.404796158070993,190.0,,,30.525079771876335,33.258017900865525,384.4201441593468,67855,0.0056653178713336,0.0008065898083584,0.0284005247901942,0.0122674293302007,190.0,380.0,5,2005,1064.633386850357
210,0.16860535122991055,0.5575084589215369,0.6705701795726954,0.25861180807695167,58.904550346330204,38.4035921408033,1.4538385236719318,0.9613481785139976,210,-7.404796158070993,200.0,,,30.439417894929647,11.22845990397036,394.1351335356012,70301,0.0056063944116812,0.0008269963748964,0.0287575446604268,0.0122836672336334,200.0,400.0,5,2005,1064.633386850357
220,0.16860535122991055,0.5575084589215369,0.6705701795726954,0.25861180807695167,61.49066842709972,40.0896456531024,1.4538385236719318,0.9613481785139976,220,-7.404796158070993,210.0,,,27.32743075210601,12.182103283237666,404.7333810082637,72947,0.0055483211236687,0.0005418834987883,0.0232783912414141,0.0107663954942221,210.0,420.0,5,2005,1064.633386850357
230,0.16860147256503583,0.5575110598385384,0.6705701795726954,0.25860585886757687,64.07675676182237,41.77567977207713,1.4525892758604797,0.9742361166974188,230,-7.404796158070993,220.0,,,32.404569131787866,9.036679519340396,412.57590820547193,74788,0.0055166057148937,0.0007192964685506,0.0268197029914691,0.0121644430292139,220.0,440.0,5,2005,1064.633386850357
240,0.16221759472069955,0.5617918979509852,0.6705701795726954,0.2488140807310991,66.61385645981575,43.42977510850581,1.0375825366734246,1.0052575367154926,240,-7.404796158070993,230.0,,,34.760176985990256,47.30613156687468,455.1676659346558,80457,0.005657278620066,0.0002089089812889,0.0144536840040492,0.0078189520142807,230.0,460.0,5,2005,1064.633386850357
