n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
100,0.24269941155524033,0.6097582662079517,0.8051733690847775,1.0,0.0,0.0,0.44245014107928027,0.8766439919227116,100,7.620995302626974,,,,,,0.0,0,,,,,,,16,2016,9661.005103111267
110,0.20316092633513824,0.64159360156113,0.8051733690847775,0.8370886646706895,9.185443323353448,2.229301689451893,0.3689345381938959,0.734648445565318,110,7.620995302626974,100.0,,,41.06608763709664,30.533397424966097,28.13718335982412,3106,0.00905897725686546,0.015710033280022802,0.12533967161287285,0.05905133246509196,100.0,500.0,16,2016,9661.005103111267
120,0.20316092633513824,0.64159360156113,0.8051733690847775,0.8370886646706895,17.556329970060343,4.260910952803275,0.3689345381938959,0.734648445565318,120,7.620995302626974,110.0,,,38.707623755559325,12.908122985623777,39.88648530654609,4472,0.008919160399495996,0.01728224835025826,0.13146196541303595,0.06043941753150826,110.0,550.0,16,2016,9661.005103111267
130,0.20184960144433278,0.6426494454414245,0.8051733690847775,0.8316855823871258,25.90020120534942,6.2859635917006305,0.3653650738789401,0.7759304568499357,130,7.620995302626974,120.0,,,43.61538425926119,12.21523568034172,50.990962294861674,5824,0.008755316328101248,0.028640742160140745,0.16923575910587202,0.08560508508224424,120.0,600.0,16,2016,9661.005103111267
140,0.18206066836449528,0.6585829673599105,0.8051733690847775,0.7501487836242933,33.809373035406516,8.20551494074477,0.3481151605297745,0.7307539958738063,140,7.620995302626974,130.0,,,45.22252832073718,12.713941113092005,62.678434514440596,7127,0.0087945046323054,0.01994172862901123,0.14121518554677903,0.0694967737031822,130.0,650.0,16,2016,9661.005103111267
150,0.18187961696805005,0.6587287451227638,0.8051733690847775,0.7494027933671062,41.30713092036351,10.025216367407497,0.3471689389665044,0.7821806910524888,150,7.620995302626974,140.0,,,48.91127742268145,12.672428819350898,74.23066453263164,8470,0.008763950948362648,0.025182095323685916,0.1586886742136499,0.0879393609403256,140.0,700.0,16,2016,9661.005103111267
160,0.18080494865882624,0.6595940394259502,0.8051733690847775,0.7449748126714085,48.779018950556086,11.838639195541878,0.34351978355765,0.9241221592471001,160,7.620995302626974,150.0,,,53.166513035073876,24.4655120652169,95.56970016472042,12016,0.00795353696444078,0.02440668935466311,0.1562264041532772,0.08255247533896821,150.0,750.0,16,2016,9661.005103111267
170,0.18080494865882624,0.6595940394259502,0.8051733690847775,0.7449748126714085,56.22876707727017,13.64668868213014,0.34351978355765,0.9241221592471001,170,7.620995302626974,160.0,,,56.76350164413452,9.357454860582948,103.82318155094981,13223,0.007851711529225577,0.024190520356049298,0.15553302014700704,0.07988025678171067,160.0,800.0,16,2016,9661.005103111267
180,0.18080494865882624,0.6595940394259502,0.8051733690847775,0.7449748126714085,63.678515203984254,15.454738168718402,0.34351978355765,0.9241221592471001,180,7.620995302626974,170.0,,,59.59781101066619,19.804390784353018,120.75411541201174,16476,0.0073290917341594895,0.020366721449831034,0.14271202279356507,0.06890425404133099,170.0,850.0,16,2016,9661.005103111267
190,0.18080494865882624,0.6595940394259502,0.8051733690847775,0.7449748126714085,71.12826333069835,17.262787655306663,0.34351978355765,0.9241221592471001,190,7.620995302626974,180.0,,,63.98207946121693,55.1223373496905,171.3622230840847,22735,0.007537375108162951,0.019054199598008255,0.1380369501184674,0.06800102447084988,180.0,900.0,16,2016,9661.005103111267
