n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
100,0.21017313621690492,0.6359475569058983,0.8051733690847775,1.0,0.0,0.0,0.690111933122203,,100,7.744623456262052,,36.19636413594708,363.0879793718923,,,0.0,0,,,,,,,,,,,,,,,,,,,,,18,2018,1350.4290549755096
110,0.21017313621690492,0.6359475569058983,0.8051733690847775,1.0,10.0,2.1017313621690494,0.690111933122203,,110,7.744623456262052,100.0,36.19636413594708,363.0879793718923,4.342043299227953,12.222419102210552,10.999453255906701,1231,0.008935380386601707,0.024514169369383207,0.15657001427279493,0.09586296225030543,100.0,500.0,0.0,0.0,0.0,0.03976398834958673,0.010471474416553973,0.0472361996024847,100.0,0.0,0.0,0.0,0.024096384644508362,0.009469053708016872,0.04328203201293945,1.0,18,2018,1350.4290549755096
120,0.2098448941280949,0.6362118486944209,0.8051733690847775,0.9984382300482434,19.99219115024122,4.201821513894049,0.6745331922508767,0.5544771306000664,120,7.744623456262052,110.0,36.19636413594708,363.0879793718923,0.9131719353608787,11.547205485869199,21.329394722357392,2497,0.008542008298901638,0.026135024533209008,0.16166330608152552,0.09846203094487925,110.0,550.0,0.0,0.0,0.0,0.03870630809529261,0.010421401702544906,0.04697981778193604,110.0,0.0,0.0,0.0,0.02380952425301075,0.009526309557259083,0.03878093883395195,1.0,18,2018,1350.4290549755096
130,0.2098448941280949,0.6362118486944209,0.8051733690847775,0.9984382300482434,29.976573450723652,6.3002704551749975,0.6745331922508767,0.5544771306000664,130,7.744623456262052,120.0,36.19636413594708,363.0879793718923,0.9330031159333885,12.359637876041234,32.50044965185225,3902,0.008329177255728409,0.027355451286680873,0.1653948345223661,0.10384396117562268,120.0,600.0,0.0,0.0,0.0,0.03773099333047867,0.010378923531000813,0.04667258271947503,120.0,0.0,0.0,0.0,0.02500000037252903,0.009739796631038189,0.041709840297698975,1.0,18,2018,1350.4290549755096
140,0.2098448941280949,0.6362118486944209,0.8051733690847775,0.9984382300482434,39.960955751206086,8.398719396455947,0.6745331922508767,0.5544771306000664,140,7.744623456262052,130.0,36.19636413594708,363.0879793718923,1.0081002288497984,11.23072695499286,42.56031235773116,5210,0.008168965903595234,0.025980260634935484,0.1611839341712923,0.09426143596609281,130.0,650.0,0.0,0.0,0.0,0.03709065975764623,0.010355299173925931,0.04660016713807216,130.0,0.0,0.0,0.0,0.024096384644508362,0.009480521082878113,0.04261091351509094,1.0,18,2018,1350.4290549755096
150,0.2098448941280949,0.6362118486944209,0.8051733690847775,0.9984382300482434,49.94533805168852,10.497168337736897,0.6745331922508767,0.5544771306000664,150,7.744623456262052,140.0,36.19636413594708,363.0879793718923,1.040153079200536,11.841027380898595,53.22111295675859,6616,0.00804430365126339,0.025427121085971536,0.15945883821843032,0.09245382199916147,140.0,700.0,0.0,0.0,0.0,0.036429837252944706,0.010311608635155218,0.04643742391573531,140.0,0.0,0.0,0.0,0.02380952425301075,0.01065838523209095,0.048733483999967575,1.0,18,2018,1350.4290549755096
160,0.20561701015043213,0.6396160282808152,0.8051733690847775,0.9783220341643913,59.8291393727517,12.574477859129532,0.6688610741197945,0.9026383945719542,160,7.744623456262052,150.0,36.19636413594708,363.0879793718923,1.025447784923017,10.070087105035782,62.13630850799382,7994,0.007772868214660222,0.024782957204864578,0.15742603725198884,0.09059283480005043,150.0,750.0,0.0,0.0,0.0,0.03592571907987197,0.010302956396092971,0.04636973013480505,150.0,0.0,0.0,0.0,0.028169013559818268,0.009739679284393787,0.041668713092803955,1.0,18,2018,1350.4290549755096
170,0.20529968003571006,0.639871534038398,0.8051733690847775,0.9768121831889813,69.60481045951856,14.629061310060242,0.6677459351615883,0.9683349749557858,170,7.744623456262052,160.0,36.19636413594708,363.0879793718923,1.1224805400706828,9.874462165404111,70.84345598658547,9316,0.007604492913974395,0.024974227744351218,0.1580323629651573,0.09353352779128876,160.0,800.0,0.0,0.0,0.0,0.03546051213052124,0.01029300851514563,0.046331864991225304,160.0,0.0,0.0,0.0,0.02380952425301075,0.010087825357913971,0.0438578762114048,1.0,18,2018,1350.4290549755096
180,0.20529968003571006,0.639871534038398,0.8051733690847775,0.9768121831889813,79.37293229140838,16.682058110417344,0.6677459351615883,0.9683349749557858,180,7.744623456262052,170.0,36.19636413594708,363.0879793718923,1.1623691921122372,9.513274112250656,79.27476516971365,10694,0.007413013387854278,0.02515883453317178,0.15861536663631232,0.0929192638560344,170.0,850.0,0.0,0.0,0.0,0.03502175393788254,0.010286068916320801,0.04630687942399698,170.0,0.0,0.0,0.0,0.02777777798473835,0.009362325072288513,0.03944268450140953,1.0,18,2018,1350.4290549755096
190,0.20529968003571006,0.639871534038398,0.8051733690847775,0.9768121831889813,89.14105412329819,18.735054910774444,0.6677459351615883,0.9683349749557858,190,7.744623456262052,180.0,36.19636413594708,363.0879793718923,1.1970035140402615,10.069484204985201,88.30862451670691,12065,0.007319405264542637,0.0257624380861886,0.16050681632313502,0.09332223350108844,180.0,900.0,0.0,0.0,0.0,0.03463802257966664,0.010267580978365408,0.04622372008032269,180.0,0.0,0.0,0.0,0.03125,0.010257693007588387,0.04591851681470871,1.0,18,2018,1350.4290549755096
200,0.20529968003571006,0.639871534038398,0.8051733690847775,0.9768121831889813,98.909175955188,20.788051711131544,0.6677459351615883,0.9683349749557858,200,7.744623456262052,190.0,36.19636413594708,363.0879793718923,1.2903277007862926,9.580116006080061,96.77540461812168,13451,0.007194662450235796,0.02678527224212648,0.16366206720595486,0.09444398594597188,190.0,950.0,0.0,0.0,0.0,0.03427881432795211,0.010264547762313956,0.04622743861063531,190.0,0.0,0.0,0.0,0.032258063554763794,0.009840141981840134,0.04444176331162453,1.0,18,2018,1350.4290549755096
210,0.202926137234578,0.6417826474922524,0.8051733690847775,0.9655189092537126,108.62083141740148,22.829180797482984,0.6426677749003362,0.9695088143949012,210,7.744623456262052,200.0,36.19636413594708,363.0879793718923,1.2603466450236738,10.626112082973123,106.23195041297004,14857,0.0071502961844901415,0.02876849912017459,0.16961279173510055,0.09798884535316219,200.0,1000.0,0.0,0.0,0.0,0.034063771227374674,0.010255567370913923,0.046209764759987594,200.0,0.0,0.0,0.0,0.02500000037252903,0.009918502531945705,0.04433262720704079,1.0,18,2018,1350.4290549755096
