n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,,,0.0,0,,0,52,1180.5165088176727
40,0.5511081881671815,0.2940026957986911,0.6549522358144216,0.8552652456363409,9.276326228181704,5.977396330020709,4.386049750332936,0.6413142771508461,40,-3.459310703065289,30.0,29.423674104000384,6.043405707001512,2.9174075199480285,3662,0.0007966705406739,0,52,1180.5165088176727
50,0.5485783918758261,0.2956595915358693,0.6549522358144216,0.8513392527133694,17.809348719930256,11.475829230235746,4.208085692932349,0.6162098450609691,50,-3.459310703065289,40.0,18.45217983299517,5.423054167004011,6.31481822396745,5715,0.0011049550698105,0,52,1180.5165088176727
60,0.5416804927611928,0.3001773859834207,0.6549522358144216,0.8406343974647628,26.26921697082092,16.927123653420843,4.135012996457104,0.5960387753090686,60,-3.459310703065289,50.0,19.27276880900172,6.943539949999831,10.2504962519306,9312,0.001100783532209,0,52,1180.5165088176727
70,0.5302404239269777,0.3076700846442609,0.6549522358144216,0.822880545332514,34.5867916848073,22.28672823686169,2.641989106560094,0.6004126133770411,70,-3.7078954633422554,60.0,18.22371236300387,7.241150508001738,14.629804221869565,12746,0.0011477957180189,0,52,1180.5165088176727
80,0.494289131844116,0.3312164637743484,0.6549522358144216,0.7670877058966663,42.5366329409532,27.409376015717164,2.108321927884527,0.7693718531403956,80,-10.97126296831562,70.0,20.80714663700201,7.922511883996776,19.42772768788564,16525,0.0011756567435936,0,52,1180.5165088176727
90,0.4868579372138253,0.3360835413122294,0.6549522358144216,0.7555552289033849,50.14984761495346,32.31511136100687,2.059030993175568,0.970022325688264,90,-10.97126296831562,80.0,28.093157123999845,8.81350936099625,25.022766207985114,20455,0.0012233080522114,0,52,1180.5165088176727
100,0.4229561800769421,0.3779361400215013,0.6549522358144216,0.6563860400077719,57.20955395950924,36.86418194746071,1.9590580016741077,1.0032947339613352,100,-10.97126296831562,90.0,27.841419955002493,14.81170505099726,35.75394304905785,26068,0.0013715644870744,0,52,1180.5165088176727
110,0.2102842785272401,0.5172260774363832,0.6549522358144216,0.3263403429482391,62.1231858742893,40.03038424048162,1.8468294610006293,0.925424261343237,110,-3.488218611819701,100.0,34.40497818699805,17.062919591000536,48.79824395812466,31875,0.001530925300647,0,52,1180.5165088176727
120,0.1988386724963984,0.5247224026965339,0.6549522358144216,0.3085778976360403,65.2977770772107,42.07599899559981,1.226678053222547,0.8912218006753142,120,-3.488218611819701,110.0,40.96599846400204,13.06662248900102,57.85004191316693,37138,0.0015577048282935,0,52,1180.5165088176727
130,0.1208347051922229,0.5758112754847987,0.6549522358144216,0.187523477307274,67.77828395192726,43.67436588404292,0.9639281169924596,0.9058769671478843,130,-3.488218611819701,120.0,47.64353623600618,14.942878642003052,68.69745633817365,42514,0.0016158784479976,0,52,1180.5165088176727
140,0.0999151306976926,0.5895125975722777,0.6549522358144216,0.1550583726276015,69.49119320160165,44.7781150634925,0.8925088463658394,0.8702863399841645,140,-3.488218611819701,130.0,59.25848927599873,12.708577221004816,77.84713824717619,46921,0.0016591108085329,0,52,1180.5165088176727
150,0.096778952325498,0.5915666446090594,0.6549522358144216,0.1501913348599813,71.01744173903955,45.76158547860845,0.8039115622396187,0.8236649212677178,150,-3.488218611819701,140.0,68.41002008399664,14.75801186800527,88.59026375221583,52186,0.0016975867809798,0,52,1180.5165088176727
160,0.0957134728034051,0.5922644828042686,0.6549522358144216,0.1485378163226977,72.51108749495295,46.724047604252966,0.7023236480640712,0.8427210915084058,160,-3.488218611819701,150.0,84.68645628300146,14.82139677399391,99.44183136109496,57343,0.0017341581598642,0,52,1180.5165088176727
170,0.0957134728034051,0.5922644828042686,0.6549522358144216,0.1485378163226977,73.99646565817993,47.681182332287015,0.7023236480640712,0.8898549133995433,170,-3.488218611819701,160.0,95.96198685200216,18.27308340099989,113.70515941712802,62824,0.0018099000289241,0,52,1180.5165088176727
180,0.0957134728034051,0.5922644828042686,0.6549522358144216,0.1485378163226977,75.48184382140691,48.63831706032106,0.7023236480640712,0.9198906186180072,180,-3.488218611819701,170.0,114.52327578300174,17.701490956998896,127.4056798941383,68170,0.0018689405881493,0,52,1180.5165088176727
190,0.0957134728034051,0.5922644828042686,0.6549522358144216,0.1485378163226977,76.9672219846339,49.59545178835511,0.7023236480640712,0.9113960590825304,190,-3.488218611819701,180.0,108.2817912860046,18.396282502995746,141.79758914707054,73517,0.0019287727892469,0,52,1180.5165088176727
200,0.0948686606472465,0.5928177944147879,0.6549522358144216,0.1472267516501576,78.44604482449817,50.54836245560837,0.6503833918659936,0.8895867214299535,200,-3.488218611819701,190.0,135.73913125999388,17.929007835002267,155.6119015380973,78793,0.0019749457634319,0,52,1180.5165088176727
30,0.5682713059480861,0.2827616734345414,0.6549522358144216,1.0,0.0,0.0,3.673599089744762,0.5355154332100325,30,-3.442439242563571,,,,0.0,0,,1,53,1131.9835970401764
40,0.4772105141236072,0.3424021426350154,0.6549522358144216,0.8397582442200634,9.198791221100318,5.227409100358466,3.615996186254375,0.8105250848938005,40,-3.442439242563571,30.0,32.209235506998084,6.734291731001576,3.784334703050263,3615,0.0010468422415076,1,53,1131.9835970401764
50,0.4617298366390794,0.3525412469654289,0.6549522358144216,0.8125165423736183,17.460165154068726,9.9221108541719,2.815301180846588,0.7666298962511241,50,-3.7457404844988935,40.0,34.17767522599752,9.637514463000116,9.50484460406733,8908,0.0010670009658809,1,53,1131.9835970401764
60,0.4115845473770891,0.3853840162831303,0.6549522358144216,0.7242747312226409,25.14412152205002,14.288682774252742,2.8013483701449484,0.7602304640504005,60,-3.7457404844988935,50.0,36.35671645600087,9.087887219997356,15.217141578097651,13391,0.0011363708145842,1,53,1131.9835970401764
70,0.2996797819975405,0.458676292566754,0.6549522358144216,0.527353358969206,31.402261973009256,17.84500442112589,2.566236525434116,0.8688785146472635,70,-3.651632469224047,60.0,34.745672557000944,6.6623843160050455,19.204875618059305,16506,0.0011635087615448,1,53,1131.9835970401764
80,0.2995665269413718,0.4587504692190089,0.6549522358144216,0.5271540614594018,36.67479907515229,20.84123596582045,2.531741970034997,0.9976858656172168,80,-3.651632469224047,70.0,36.54979692299821,6.420180599001469,23.26036917910824,19050,0.0012210167548088,1,53,1131.9835970401764
90,0.299354706659347,0.4588892013863119,0.6549522358144216,0.5267813164698032,41.94447596479832,23.83584213382405,2.384302124592174,0.9871306500066748,90,-3.651632469224047,80.0,65.38599088299816,9.462612356997852,29.201610499127128,23602,0.0012372515252574,1,53,1131.9835970401764
100,0.2943221944297765,0.4621852565228326,0.6549522358144216,0.5179254897249098,47.16800999577188,26.804226639269665,2.24455067588935,0.9400408522755892,100,-3.651632469224047,90.0,24.889905039999576,13.819342751005024,38.9950444421047,29097,0.0013401740537548,1,53,1131.9835970401764
110,0.2895816945195598,0.4652900575379071,0.6549522358144216,0.5095835237297981,52.30555506304542,29.723746084016348,2.228945684767978,0.9425454780946414,110,-3.651632469224047,100.0,29.667153007001616,10.465974442995504,45.74882199012791,33844,0.0013517557614385,1,53,1131.9835970401764
120,0.1911661461765537,0.5297475409640612,0.6549522358144216,0.3363994348748934,56.53546985606887,32.12748528749692,2.160632922122068,0.877509395372615,120,-3.651632469224047,110.0,38.95058233099553,14.325511602997722,56.1387240791737,39229,0.0014310516219932,1,53,1131.9835970401764
130,0.1871101030837164,0.5324040554562747,0.6549522358144216,0.3292619231786615,59.863776646336646,34.01886653379827,2.205793439688698,0.6846505895451359,130,-7.097960950345674,120.0,39.22230158699677,7.726684647001093,61.56782601829036,41783,0.001473513773982,1,53,1131.9835970401764
140,0.1843371673895147,0.5342201958889616,0.6549522358144216,0.3243823248861253,63.13199788666058,35.876102886164425,2.178400612917316,0.8000931030607712,140,-7.097960950345674,130.0,47.95064409000042,17.603269957995508,75.17000009024923,47413,0.0015854301581897,1,53,1131.9835970401764
150,0.1803358512854449,0.5368408668175224,0.6549522358144216,0.3173411175223395,66.3406150987029,37.69946797953922,2.0852401547820443,0.8544570455254314,150,-7.097960950345674,140.0,59.90909039600229,21.37970907000272,92.5148850621772,53412,0.0017320992485242,1,53,1131.9835970401764
160,0.1778227894308277,0.5384868022979439,0.6549522358144216,0.3129188251624878,69.49191481212704,39.49026118312059,1.4403146051181197,0.8056689951983945,160,-7.097960950345674,150.0,58.62036773600266,15.30265258900181,103.87308612618654,58670,0.0017704633735501,1,53,1131.9835970401764
170,0.1713020610620381,0.5427575679222212,0.6549522358144216,0.301444150477109,72.56372969032502,41.23588543558492,1.3736005195257406,0.8275301272823972,170,-7.097960950345674,160.0,75.29046595199907,16.71949133599992,116.60066915622885,64021,0.0018212878454917,1,53,1131.9835970401764
180,0.1695141929235436,0.5439285361568695,0.6549522358144216,0.2982979980675453,75.5624404330483,42.93996670551283,1.2152194202935442,0.7920505334206493,180,-7.097960950345674,170.0,89.27637328000128,17.262050470002578,129.95888632121205,69337,0.0018743078921962,1,53,1131.9835970401764
190,0.1628772514912579,0.5482754157869144,0.6549522358144216,0.2866188205992886,78.48702452638247,44.60192392758684,1.254304603533318,0.7915272248172376,190,-7.097960950345674,180.0,98.892862693996,17.39364339799795,143.3112694982119,74605,0.0019209338448925,1,53,1131.9835970401764
200,0.1612190890695311,0.5493614329723678,0.6549522358144216,0.2837009143028228,81.33862320089303,46.22240563039078,1.234051953220236,0.7759211267478106,200,-7.097960950345674,190.0,97.44632662799997,18.661515205996693,158.05669741528254,79966,0.0019765487509101,1,53,1131.9835970401764
30,0.6065093766546663,0.2577175635320368,0.6549522358144216,1.0,0.0,0.0,4.334362302176666,0.854354190978625,30,-3.540551982110368,,,,0.0,0,,2,54,973.0998864173888
40,0.5593160962007888,0.2886269080807208,0.6549522358144216,0.922188704296408,9.61094352148204,5.829127364277276,4.306147446328859,0.9358466790711948,40,-3.540551982110368,30.0,24.96887719300139,4.41286209700047,2.4261095069523435,3288,0.0007378678549125,2,54,973.0998864173888
50,0.4769676858808008,0.3425611835355604,0.6549522358144216,0.7864143642949417,18.15395886443879,11.010546274685224,3.8643440251687657,0.8738171812682042,50,-3.540551982110368,40.0,23.964207302000432,5.665298018997419,5.4090320139803225,8473,0.0006383845171698,2,54,973.0998864173888
60,0.4767674474054704,0.3426923301726741,0.6549522358144216,0.786084215276579,26.01645176229639,15.77922194111658,3.8643440251687657,0.851812398877518,60,-3.540551982110368,50.0,27.26066673999594,6.68348216600134,9.33386119199713,13740,0.0006793203196504,2,54,973.0998864173888
70,0.4583976772283956,0.3547236522215463,0.6549522358144216,0.7557965216577314,33.72585544696794,20.455047564285916,2.0494970841208664,0.7794741985746482,70,-7.470042153893229,60.0,33.01043440799549,4.534816364001017,12.24148977592995,16356,0.0007484403140089,2,54,973.0998864173888
80,0.381859780578177,0.4048523187571402,0.6549522358144216,0.6296024353067833,40.65285023179052,24.65633485331877,1.9683930510435892,0.7331366899910419,80,-7.470042153893229,70.0,28.37854503300332,4.587851876996865,15.091982122881744,19086,0.0007907357289574,2,54,973.0998864173888
90,0.374316729564598,0.4097926568833459,0.6549522358144216,0.6171656102486378,46.886690459567625,28.43721740403265,1.777114888143034,0.7621347803528735,90,-8.215986098236748,80.0,41.38238279399957,8.824213232001057,21.136646421946352,24515,0.0008621923892288,2,54,973.0998864173888
100,0.374316729564598,0.4097926568833459,0.6549522358144216,0.6171656102486378,53.058346562054005,32.18038469967863,1.777114888143034,0.7621347803528735,100,-8.215986098236748,90.0,27.93343400600133,7.386683456003084,25.81012144300621,29624,0.0008712571375575,2,54,973.0998864173888
110,0.369938485909068,0.4126601973544756,0.6549522358144216,0.6099468535005077,59.19390888079973,35.90166077704696,1.7527043638463422,0.8176987978353844,110,-8.215986098236748,100.0,36.71980521099613,9.684079734004628,32.6894532049846,35043,0.0009328383187793,2,54,973.0998864173888
120,0.3697397902365835,0.4127903335294159,0.6549522358144216,0.609619248223273,65.29173938941864,39.60005215777522,1.678981629200244,0.8473642210030611,120,-8.215986098236748,110.0,50.124943271999655,9.31149365499732,39.254390944042825,40346,0.0009729438096476,2,54,973.0998864173888
130,0.3186089281409444,0.4462786059780737,0.6549522358144216,0.5253157501015085,70.96641438104254,43.04179574966287,1.893448962589023,1.030879687224226,130,-8.215986098236748,120.0,45.5510174719966,10.318328982997627,46.79086987694609,45725,0.0010233104401737,2,54,973.0998864173888
140,0.3177347254298219,0.4468511669982784,0.6549522358144216,0.5238743829194472,76.21236504614731,46.2235140175167,1.82595614553368,1.008035309308553,140,-8.215986098236748,130.0,47.64635642000212,8.776767226001539,53.36183375289693,49756,0.0010724703302696,2,54,973.0998864173888
150,0.3161584628625052,0.447883543690973,0.6549522358144216,0.5212754741012342,81.43811433125072,49.39297995897834,1.8262446117528452,0.9952858005960696,150,-8.215986098236748,140.0,52.859133371996,14.096307281004556,64.67985048284027,55603,0.0011632438984018,2,54,973.0998864173888
160,0.1756594352857963,0.5399036959320906,0.6549522358144216,0.2896236101982197,85.49260975274798,51.85206944971984,1.7972545421415056,1.0613637949749777,160,-4.102132439352014,150.0,60.67072799599555,11.988587678999464,73.90020894583722,61043,0.0012106254434716,2,54,973.0998864173888
170,0.1642873500604144,0.5473518685763267,0.6549522358144216,0.2708735534586073,88.29509557103212,53.5518033764509,1.2729095072786931,1.0255785612447432,170,-3.5027618116634485,160.0,69.12185598199721,10.641674923004755,81.82918674479879,66253,0.0012351016066411,2,54,973.0998864173888
180,0.1629114221157871,0.5482530356599798,0.6549522358144216,0.2686049521845157,90.99248809924774,55.18779723733191,1.2488329770497493,1.0481681739998598,180,-3.5027618116634485,170.0,73.26787522300583,9.61178693799593,88.95901845577464,70819,0.0012561462101381,2,54,973.0998864173888
190,0.1629114221157871,0.5482530356599798,0.6549522358144216,0.2686049521845157,93.6785376210929,56.81691145848978,1.2488329770497493,1.0481681739998598,190,-3.5027618116634485,180.0,75.2972006669952,14.946097408996138,101.13136074582872,76493,0.0013220995482701,2,54,973.0998864173888
200,0.1626349930662169,0.5484340834840399,0.6549522358144216,0.2681491817377424,96.3623082907042,58.4446435343998,1.2327430971656477,1.0113639209440486,200,-3.5027618116634485,190.0,82.86242034900351,16.41307293799764,114.75637976471626,82326,0.0013939263387595,2,54,973.0998864173888
30,0.4998181270855287,0.3275952359791779,0.6549522358144216,1.0,0.0,0.0,3.299570298603057,0.7067994283854259,30,-3.491220255252267,,,,0.0,0,,3,55,735.3374526500702
40,0.4986970153777481,0.3283295105987865,0.6549522358144216,0.9977569606882448,9.988784803441224,4.992575712316384,3.295820659300764,0.7681199056014281,40,-3.491220255252267,30.0,27.28555406899977,5.95655964800244,3.0980302130119526,5086,0.0006091290233999,3,55,735.3374526500702
50,0.4655746677103387,0.3500230662589789,0.6549522358144216,0.9314881603537154,19.635010408651027,9.813934127756818,2.5879761010401734,0.6710984116462966,50,-3.491220255252267,40.0,17.14636055399751,3.234225535998121,4.86918742099806,7103,0.0006855113925099,3,55,735.3374526500702
