n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.ld_wloa,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_sum,run,seed,runtime_sec
30,0.6346938836461301,0.22146418294407152,0.606242745548614,1.0,0.0,0.0,6.296890044912403,0.4505066278981022,30,-7.69353909446112,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,4891.083451032639
40,0.6239773262038497,0.227961018150709,0.606242745548614,0.9831153919733449,9.915576959866724,6.2933560492498986,6.26706896234623,0.41564838176578556,40,-7.69353909446112,30.0,46.107045095996,49.30780737400346,46.332697057092446,4809,0.009634580382011322,0.08730081829589321,0.9126991817041068,0.01347208461462498,0.986527915385375,0.3961099172864207,1.0,0.1015509639945632,2.925134697063293e-18,0.0,0.0,0.0,0.0,9.182309359463938e-18,1.497660881280984,0.9311147458030894,1.0,0.2926210793795768,3.3640671647433614e-19,2.440664076619131e-18,0.0,1.0383600679813582e-18,0.0,8.83214109237903e-20,2.223735825182666,15,67,4891.083451032639
50,0.3993023932849469,0.36416856633941536,0.606242745548614,0.6291259512240323,17.97678367585361,11.40975464669388,3.470726955473167,0.8000329377610655,50,-7.69353909446112,40.0,48.60485321900342,64.15215374900436,107.36200720113993,9354,0.011477657387335891,0.9897153471939707,0.010284652806029311,0.4280654006069561,0.5719345993930439,1.0,0.9999754488284858,0.7683722142096684,0.0,0.702566508543638,3.3034284942917713e-20,1.821022897453095e-05,7.258949684012464e-06,0.0,3.4709396407604505,0.9996301655907148,0.9737438832822705,7.683436338978703e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.9733817323093243,15,67,4891.083451032639
60,0.33446162624877745,0.4034778109709008,0.606242745548614,0.5269652581609792,23.757239722778667,15.078574744362502,3.387136789259939,0.830443109736834,60,-7.69353909446112,50.0,47.79531147000671,76.9584452239942,181.129795336994,12316,0.014706868734734816,0.030679638612184507,0.9693203613878155,0.030964382180796324,0.9690356178192037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,67,4891.083451032639
70,0.2835065812530753,0.4343689373486484,0.606242745548614,0.44668239061075116,28.62547796663732,18.168415781871765,3.215418942259692,0.9586443397424942,70,-3.5178568903727694,60.0,49.937312099005794,109.67491177999182,287.3198785098939,16897,0.017004194739296555,0.01962909665059568,0.9803709033494044,0.0191914152135335,0.9808085847864665,0.9999999999999999,0.23533588668579403,0.0,0.0,0.0,7.093123559205621e-19,0.0,0.0,1.1893248094569975e-17,1.235335886685794,1.0,0.0,0.0,0.0,0.0,2.5003689570176305e-17,0.0,0.0,0.0,1.0,15,67,4891.083451032639
80,0.27453367664279055,0.43980869567513325,0.606242745548614,0.43254501692323727,33.021615004307264,20.958617071351092,3.1770063642802953,0.9757525952688961,80,-3.5178568903727694,70.0,58.40397292900889,134.6822796619963,414.2654566707497,22227,0.01863793839342915,0.028795764186082658,0.9712042358139173,0.017111309458480717,0.9828886905415193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,67,4891.083451032639
90,0.2725902289561541,0.44098689673650987,0.606242745548614,0.4294829932663022,37.33175505525496,23.694236599345814,3.1724113679338184,0.9760532465490286,90,-3.5178568903727694,80.0,63.10346682999807,125.6183980259957,534.7468486997241,27523,0.019429090168212915,0.01034145675027452,0.9896585432497255,0.009900990099009901,0.9900990099009901,1.0,0.5247365737010156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5247365737010155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,67,4891.083451032639
100,0.2725902289561541,0.44098689673650987,0.606242745548614,0.4294829932663022,41.62658498791798,26.420138888907356,3.1724113679338184,0.9760532465490286,100,-3.5178568903727694,90.0,57.599489587999415,143.37990694199107,673.4701285388583,32913,0.020462131332265616,0.0099009900990099,0.9900990099009901,0.009900990099009901,0.9900990099009901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,67,4891.083451032639
110,0.2708211041247893,0.44205941583149466,0.606242745548614,0.42669562619542123,45.9074780852266,29.137195554312072,2.7164038332990272,0.9318153397382314,110,-3.5178568903727694,100.0,62.808055386994965,113.82671173199196,783.8265915877855,38172,0.02053407187435255,0.021677861717433217,0.9783221382825668,0.009900990099009901,0.9900990099009901,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,67,4891.083451032639
120,0.2708211041247893,0.44205941583149466,0.606242745548614,0.42669562619542123,50.174434347180814,31.845406595559965,2.7164038332990272,0.9318153397382314,120,-3.5178568903727694,110.0,64.07828031299869,153.0370465270098,932.5383766907617,43533,0.021421413104788588,0.03442161094692013,0.9655783890530799,0.03308620223843849,0.9669137977615615,0.9992088387674677,5.066006793660472e-20,5.7057669457420756e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.9992088387674677,0.6460947647354853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6460947647354853,15,67,4891.083451032639
