n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.ld_wloa_adsg,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g0_jet_mach.graph_0.ld_wloa_adsg,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g1_pr.graph_0.ld_wloa_adsg,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g2_pr.graph_0.ld_wloa_adsg,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g3_pr.graph_0.ld_wloa_adsg,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g4_pr_perc_sum.graph_0.ld_wloa_adsg,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_ld_wloa_adsg_sizing,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_sum,run,seed,runtime_sec
75,0.7465628699146327,1.0,0.0,0.0,7.3866810180740625,6.64011814815943,75,7.3866810180740625,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,14051.172635793686
85,0.2957455693843283,0.3961428853515658,6.980714426757829,5.211542196494805,6.935863717543758,6.64011814815943,85,6.935863717543758,28.0,,,161.3057213621214,348.4311499169562,331.5781145731453,5528,0.05998156920643,0.0065711392773641,0.6166700383463752,0.3767588223762606,0.0064338361452673,0.5390377686094221,0.4545283952453106,0.0120939398336199,0.0183335593401871,0.9695725008261932,0.0099000099000098,0.99000099000099,9.900009900009662e-05,0.9628096483027412,0.0275622552142314,0.0096280964830274,0.0121274475012621,0.0190189681402779,0.96885358435846,0.2767731520207905,0.5536271205102912,0.0,0.9257096193627072,0.9999999999999998,0.0,0.0,0.0,0.0,2.7561098918937885,0.9948245109915076,0.6415477489287396,0.0262065633560299,0.0,0.1791801735973264,2.243974889381225e-15,0.0,9.948086148023807e-17,0.0,1.841758996873606,0.0,0.1620517952522377,0.9926841076425702,0.6588225834738711,0.7959495357855423,0.0,0.0,0.0989213374966253,0.0,2.708429359650846,0.2457610675611051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2457610675611051,0.0008023977566406,0.0068909631872924,0.0284314574677041,1.0,1.0,0.9971504583323512,0.9591665701636124,0.0002592985621928,2.624737037825652e-19,3.992701145469794,0.0,0.0,1.0,0.8642194695313121,0.5257310494219781,1.2449100056572717e-17,0.0,0.0,0.0,2.3899505189532904,0,52,14051.172635793686
95,0.2957455693843283,0.3961428853515658,10.942143280273488,8.168997890338087,6.935863717543758,6.64011814815943,95,6.935863717543758,38.0,,,174.49853759701364,443.2621622718871,749.4817880878691,11397,0.0657613221100174,0.007423960958729,0.514381806066758,0.4781942329745131,0.0063899022147437,0.5364368137440046,0.4571732840412515,0.0120258052212078,0.0100264183362257,0.9779477764425664,0.0104050174943508,0.614732054529635,0.3748629279760141,0.0099000099000099,0.99000099000099,9.900009900009884e-05,0.0120727635662548,0.023927288294248,0.9639999481394972,0.1682229897566653,0.7736401594437192,0.0,0.7204340667255801,0.6590509657882159,0.2503955476444459,0.0,0.0,0.0,2.5717437293586265,0.3072964675011302,0.0,0.0607402247653962,0.920890340364853,1.0,0.7126754623591725,0.0,0.0,0.195083859261669,3.1966863542522206,0.0,0.0,0.9813599056644629,0.6869058979988949,0.9988052169071936,0.0,0.1742784578639978,0.0464423533642301,0.0002392919770473,2.8880311237758267,0.887895198463724,0.9621153622885494,0.9948411730473364,0.0,0.0,0.0,0.0,0.0,0.0,2.8448517337996098,4.1093175237912617e-17,3.3306690738754696e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,4.781651546455831e-19,0.9999999999999996,0.0,5.888130704495575e-20,0.0,0.0,0.0,3.0710768191563823e-19,0.9999999999999996,0,52,14051.172635793686
105,0.2120372548300455,0.2840179486213818,14.342947450138226,10.707912011409956,6.852155402989475,6.64011814815943,105,6.852155402989475,38.0,,,174.62594631896354,365.8676988161169,1096.4618488179983,16999,0.0645015500216482,0.007423960958729,0.514381806066758,0.4781942329745131,0.0063899022147437,0.5364368137440046,0.4571732840412515,0.0120258052212078,0.0100264183362257,0.9779477764425664,0.0104050174943508,0.614732054529635,0.3748629279760141,0.0099000099000099,0.99000099000099,9.900009900009884e-05,0.0120727635662548,0.023927288294248,0.9639999481394972,0.1682229897566653,0.7736401594437192,0.0,0.7204340667255801,0.6590509657882159,0.2503955476444459,0.0,0.0,0.0,2.5717437293586265,0.3072964675011302,0.0,0.0607402247653962,0.920890340364853,1.0,0.7126754623591725,0.0,0.0,0.195083859261669,3.1966863542522206,0.0,0.0,0.9813599056644629,0.6869058979988949,0.9988052169071936,0.0,0.1742784578639978,0.0464423533642301,0.0002392919770473,2.8880311237758267,0.887895198463724,0.9621153622885494,0.9948411730473364,0.0,0.0,0.0,0.0,0.0,0.0,2.8448517337996098,4.1093175237912617e-17,3.3306690738754696e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,4.781651546455831e-19,0.9999999999999996,0.0,5.888130704495575e-20,0.0,0.0,0.0,3.0710768191563823e-19,0.9999999999999996,0,52,14051.172635793686
115,0.2120372548300455,0.2840179486213818,17.183126936352046,12.828284559710411,6.852155402989475,6.64011814815943,115,6.852155402989475,44.0,,,157.26930712582543,298.22010067803785,1384.56219919282,22247,0.0622359059285665,0.0101557712771866,0.6159358483960243,0.3739083803267889,0.0120207927563282,0.0277285042702821,0.9602507029733895,0.0122849096425146,0.0145818055538182,0.973133284803667,0.011726298700642,0.478678676171375,0.5095950251279829,0.006664894001999,0.5314834759138763,0.4618516300841245,0.0170108973666833,0.4797210985242747,0.5032680041090418,0.8750317317302466,0.0151758674218349,0.388922768201745,0.9780775112635488,0.7983127922372407,0.7941050112955507,0.0,0.0,0.0,3.849625682150167,0.9984677752183264,0.9976937630021696,0.607531725335463,0.8409409126633409,0.4540116108562993,0.0,0.0,0.0,0.0,3.898645787075599,1.6080214867775686e-16,0.5088586513968173,0.7106113879286333,0.9961152918937348,0.7740634549399401,0.4242868879771051,0.1771510803937444,0.2080506099249744,4.768725191112229e-18,3.799137364454949,1.0,0.8870782785731586,0.7473667530604533,0.3227062654767892,0.5462053063948868,0.0,0.0,0.0,0.0,3.503356603505288,0.3726125922820443,0.7769436630159192,0.9967479080875592,0.8495295258407008,0.0017698138892414,0.0,0.0,0.0,0.0,2.997603503115465,0.0011086518945433,0.981700341264459,1.0,0.3994505267293835,7.010227292350545e-18,0.0,0.0,0.0,1.5514489672040616e-18,2.382259519888386,0,52,14051.172635793686
125,0.1597991626887873,0.2140464910973404,19.673449134945656,14.687466647304577,6.799917310848217,6.64011814815943,125,6.799917310848217,49.0,,,163.47277799877338,484.7342760341708,1842.5409321272743,28165,0.0654195253728838,0.0063892795571907,0.5391357200966918,0.4544750003461175,0.0072803493253767,0.5227202924804458,0.4699993581941775,0.0119703588805228,0.0130232844268739,0.9750063566926032,0.0124878817499425,0.4898181826356244,0.497693935614433,0.0920429836338643,0.907036586529797,0.0009204298363386,0.0066018884184429,0.4036180965778755,0.5897800150036815,0.4082741519943713,0.0997832541307825,0.4692351008629723,0.6279353745806179,0.9656067166436364,0.1365469761172875,1.45962118569794e-17,0.0019916631467543,0.0,2.7093732374764223,0.9983806823223936,0.901419124438656,0.1884702149840581,0.0620118387943837,0.0301754965479214,0.0,0.0,0.0,0.0,2.180457357087413,2.5153490401663706e-17,0.0298916511787945,1.0,0.4851105970202231,1.0,0.8158639830900396,0.6662152287313214,1.5311281370454265e-17,0.0,3.997081460020379,0.0156521196752586,0.0428840576766174,0.8803541734955321,0.0,0.0,0.0,0.0,0.0,0.0,0.9388903508474082,0.0,0.0,0.998982877949594,0.201261397957992,0.0,7.121449687967107e-19,0.0,9.116460252493572e-20,0.0,1.2002442759075862,0.0,0.5840146742237307,1.0,0.0329081236820037,0.8005549523168624,0.003554509118702,0.0,0.0,0.0,2.421032259341299,0,52,14051.172635793686
135,0.1597991626887873,0.2140464910973404,21.81391404591906,16.28545827419245,6.799917310848217,6.64011814815943,135,6.799917310848217,58.0,,,171.05375619092956,284.7024246780202,2118.0238560137805,33373,0.0634651921018122,0.0063849871779415,0.5389210754055488,0.4546939374165097,0.0176638424544031,0.444924802131692,0.5374113554139047,0.0121739015282693,0.0001217390152826,0.987704359456448,0.0121238370560947,0.0288656381065559,0.9590105248373494,0.0066854006557761,0.3998409247837975,0.5934736745604261,0.0066038123813866,0.3964017373591904,0.596994450259423,0.1927376307160693,0.0016018381677816,0.0009233262954423,0.9814888288761958,0.5835230123869047,0.0012198735546153,0.0,0.0,7.413796551202297e-20,1.7614945099970094,0.979013292601908,0.8878469244555413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866860217057449,0.0,0.4244167307308633,0.9465833743498238,1.0,1.0,0.0,0.8717593439398539,0.0,0.0,4.242759449020541,0.0271343578965457,0.8162888547638352,0.7319620664703756,0.6769834158588214,0.8724703781535452,0.5499610766596202,0.8828496810095052,0.7823130967783278,0.9234305217448096,6.263393449335386,2.2803010541544877e-31,9.832122141477851e-17,0.4059318551625872,0.9999999999999998,0.9309294264981636,0.9570491110028412,0.0,3.534106110022018e-18,0.0,3.293910392663592,0.0,0.0,1.0,1.0,0.0025493727818977,0.0,0.0,0.0,0.0,2.002549372781898,0,52,14051.172635793686
145,0.1591208281256264,0.2131378809983162,23.949835906397343,17.88005822826452,6.799238976285056,6.64011814815943,145,6.799238976285056,61.0,,,171.63539321604185,335.6797308190726,2442.2809756624047,38671,0.0631553612697474,0.0119941712944546,0.4705424534307421,0.5174633752748032,0.0063425012089389,0.5334142793692122,0.4602432194218488,0.0120500395956341,0.0179366608965136,0.9700132995078522,0.0181170482246122,0.4763321711153788,0.5055507806600089,0.014657798459267,0.9851956235561402,0.0001465779845926,0.0056698425245941,0.5471499212211107,0.4471802362542952,0.0512872889985228,0.0,0.2081247169114683,1.0,0.2710868759552182,0.0,0.0,0.0,0.0,1.5304988818652094,1.0,0.9636654130066632,0.2509380963898768,0.0533953662537263,0.0,0.0,1.0451370199441733e-17,0.0,0.0231256025909583,2.291124478241225,0.0,0.0,0.9967218252801816,0.4801431083688895,0.3923863576516371,0.8401086695758029,0.0,0.0313515362898759,0.0,2.7407114971663877,0.0,0.0,0.0,0.0,0.831566999119847,1.0,0.8610091830487625,0.7858697563649174,0.0058177005298721,3.484263639063399,0.0064283242293509,0.6464019677597413,1.0,0.4996990639755436,0.8313593839661563,0.2649376173528278,0.0,0.0,0.0,3.24882635728362,0.0,4.737223883062025e-16,0.7901279263630092,0.2036976111974193,0.1734639743421556,2.5322544600873186e-17,0.0,0.0,3.00228184192482e-20,1.1672895119025848,0,52,14051.172635793686
155,0.1540101491182515,0.2062922699810427,26.046986661294135,19.445713114483908,6.794128297277681,6.64011814815943,155,6.794128297277681,71.0,,,181.9049121509306,350.1288960680831,2781.4306735920254,43954,0.0632804903670206,0.0065549440639025,0.399912968655826,0.5935320872802714,0.0066529227402507,0.6292674537778342,0.3640796234819149,0.0119945549643311,0.0223769545387213,0.9656284904969475,0.0119311173118943,0.0236575382030138,0.9644113444850918,0.0057599333661695,0.5522447144411678,0.4419953521926626,0.006332342669669,0.5539440955668711,0.4397235617634598,0.8528885652556226,1.0,0.7608341875171398,0.9696297332504628,0.9921017450782345,0.4931260756667662,0.0016084594734827,0.0,1.7171813534346316e-16,5.070188766241708,1.0,0.6230233673174482,0.0,0.5695150627564115,0.0,0.0,0.0,0.0,0.0,2.19253843007386,0.2857501265168426,0.0813138955400746,0.538660775109591,0.9957937985905922,0.3679868484548046,0.4327999557505682,0.9103451668914632,0.0,0.0,3.6126505668539366,0.3339430149262373,0.0,0.0833855168132344,0.7681171621709639,1.0,1.0,0.9307132367884638,0.0,0.0,4.1161589306989,0.0,0.0,0.2278282711764607,0.9999999999999998,1.0,0.7954979517898051,0.0,0.0,0.0,3.023326222966266,0.0218411339291973,0.0479539543117241,0.7479449723707288,0.6774831771533019,0.5705956279639195,0.0,0.0,0.0,0.0,2.065818865728872,0,52,14051.172635793686
165,0.1540101491182515,0.2062922699810427,28.109909361104567,20.985814605666423,6.794128297277681,6.64011814815943,165,6.794128297277681,81.0,,,187.48482813010924,325.8507400520612,3096.4369198523927,48456,0.0639020331816987,0.0065574200038952,0.6122238030990352,0.3812187768970694,0.017730788722465,0.4701280484452381,0.5121411628322968,0.0119826537896423,0.0173097722331806,0.9707075739771772,0.012287523128146,0.0101558239012448,0.977556652970609,0.01779077531231,0.4499465927105217,0.5322626319771683,0.0074466025423927,0.5449240863307656,0.4476293111268418,0.0,0.8460620468620154,1.0,0.8338936697494554,0.7366165781615471,0.8685677276566911,0.0,0.0,0.0,4.285140022429709,0.9151800439521398,0.9005389905671525,0.7191817808693195,0.8227060278940523,0.915065912714611,0.1134606907405699,0.4898655235027391,0.3612808067907729,0.0056881115733199,5.242967888604677,0.0757201578888545,0.574431068137735,1.0,0.9454065931822352,0.5722182217688474,0.6117027576151784,0.7524470863404388,0.0,0.0,4.5319258849332895,0.0457078068725056,0.1762411391833505,0.9067462636678362,0.5298630345488915,0.9999999999999998,0.9237202714715952,0.9216688317395206,0.0,0.0044773829112949,4.508424730394994,0.0005699989351449,0.0,0.1753414357959709,0.9836671138168126,0.7207808163401548,0.0049757359165729,0.0,0.0,0.0,1.885335100804656,0.0315623153292215,0.3947243632892948,0.6200407250362676,0.2668501879409949,0.8096792667876742,0.0044041338836732,0.0006100694908798,0.0,0.0,2.1278710617580066,0,52,14051.172635793686
