n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.ld_wloa_adsg,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g0_jet_mach.graph_0.ld_wloa_adsg,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g1_pr.graph_0.ld_wloa_adsg,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g2_pr.graph_0.ld_wloa_adsg,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g3_pr.graph_0.ld_wloa_adsg,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.g4_pr_perc_sum.graph_0.ld_wloa_adsg,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_ld_wloa_adsg_sizing,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g1_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g2_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g3_pr.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_adsg.w_sum,run,seed,runtime_sec
75,2.5872474214817442,1.0,0.0,0.0,9.227365569641174,6.64011814815943,75,9.227365569641174,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,14504.126418590546
85,2.3723031052395394,0.916921623166947,9.584608115834735,24.797752633606418,9.01242125339897,6.64011814815943,85,9.01242125339897,28.0,,,153.55637478106655,268.28697526385076,257.8987023050431,5262,0.049011535975872884,0.05514665869286042,0.800029260876333,0.14482408043080655,0.011992482046220668,0.47332348232308197,0.5146840356306973,0.012312282408544177,0.012951297764077113,0.9747364198273787,0.006700057410463794,0.3233281301806633,0.6699718124088729,0.9803921568627451,0.009803921568627437,0.009803921568627425,0.012276890387288021,0.010252327640319315,0.9774707819723927,0.00040098338932566453,0.07105086892390586,0.5887966302996583,0.9968981284789824,1.0,0.7277202035100221,0.0,0.0,0.0,3.384866814601894,0.30721898419382554,0.0,0.0,1.0,0.8881478823497713,1.0,0.0,0.0,6.938893903907228e-18,3.195366866543597,0.7807252791332242,1.0,1.0,0.0,0.0047318017338245175,0.0,0.0,0.0,0.0,2.785457080867049,0.0,0.0,0.9963435458905339,0.0,0.0,0.0,0.0,0.0,0.0,0.9963435458905339,0.0,0.17015227515481182,0.6556358530271934,0.704987248279908,0.9999999999999869,0.9999999999999973,0.17740624283987103,0.7489358737618669,0.0,4.4571174930636355,0.16621481022524337,0.830034982980701,1.0,0.9999999999999996,0.40214071891454994,0.10185466478821212,1.124816769843606e-18,0.32317736939757524,0.012860268625918422,3.8362828149321997,3,55,14504.126418590546
95,2.318976565518704,0.8963103204836131,18.650767834087535,48.25415098739764,8.959094713678134,6.64011814815943,95,8.959094713678134,30.0,,,154.99622809910215,316.415092702955,559.8363470155746,10686,0.05238970119928641,0.05187824731218074,0.8084346498294915,0.13968710285832764,0.017990481478299538,0.4572888260360748,0.5247206924856256,0.012009970805424805,0.4754041765757198,0.5125858526188554,0.012050963552503917,0.00277734176689002,0.9851716946806061,0.9803921568627451,0.00980392156862745,0.00980392156862745,0.012257457465102647,0.48767050830383435,0.500072034231063,0.0,7.286675805337452e-05,0.0010257618319452243,0.9664866603479426,0.4853354361310928,0.022590104792521243,5.669666616207175e-20,0.0,0.0,1.4755108298615554,0.0,0.0,0.0,0.9902013160129359,0.8920976943623153,0.46359094391728506,0.0,0.0,0.0,2.345889954292536,0.0,5.068365925749559e-17,0.9722298765783659,0.0,1.5095869261273496e-16,0.0,4.1848348449294204e-17,0.0,3.3819635665693197e-18,0.9722298765783661,0.0,2.1207846126968846e-19,0.9999999999999998,0.9934981097445618,0.7904871303103729,0.0,7.258982710751656e-20,0.0,0.0,2.7839852400549345,1.2011941914687905e-17,0.0,0.027590802662659487,0.022709888279194526,0.0,0.918625866756324,4.571196500045078e-16,0.0,0.0,0.9689265576981785,2.5514655234703913e-18,0.38279021416603354,0.9984697085960433,0.0,0.0013284265013990713,0.28947264629223507,9.193710206097263e-20,4.1454230264416737e-19,0.0,1.672060995555711,3,55,14504.126418590546
105,0.16431582172025294,0.06350989872709875,23.449868930141093,60.67061292359242,6.804433969879683,6.64011814815943,105,6.804433969879683,36.0,,,155.51477893604897,286.0177199570462,835.3012448961381,15662,0.05333298715975853,0.011959358679955031,0.03305708570181864,0.9549835556182263,0.011773382358754593,0.03251744865647668,0.9557091689847688,0.012043108343705047,0.015009126906332793,0.9729477647499623,0.0057713218995624135,0.5385444642022964,0.4556842138981413,0.0099000099000099,0.99000099000099,9.900009900009899e-05,0.006522522355336923,0.40166625372629244,0.5918112239183707,1.0,0.8474515748766475,4.8874603469281927e-17,0.9951785512075,0.19135722040842684,0.0,0.0,0.0,0.24171671497626443,3.275704061468838,0.3738553559058214,0.7634451163529344,0.0,0.7936097771249971,0.3994396899686356,0.0,0.0,0.0,0.0,2.3303499393523888,0.32361143599122205,0.4340376372761221,0.9912452792151419,0.7295990860872883,0.7308673850968113,0.2169114292751367,0.0,0.0,0.0,3.4262722529417227,0.0,0.3575192592371627,0.9936888931688445,0.04058816679516916,0.43976285718969876,0.0,0.0,0.0,0.0,1.8315591763908752,0.0,0.9761500000002622,0.0,0.0,0.0,0.0,0.0,7.0561903291744426e-09,0.0,0.9761500070564525,0.2977328992414324,0.46901159816125265,0.9952405120896773,0.9738887138635695,0.7410940385960929,0.1966909848280497,0.0,1.6689524655929632e-18,0.0,3.6736587467800748,3,55,14504.126418590546
115,0.16015756424279282,0.06190268580925626,24.076931852822867,62.29297985340765,6.800275712402223,6.64011814815943,115,6.800275712402223,46.0,,,154.18126972205937,330.4644931561779,1153.8180844213348,20986,0.05498037188703587,0.006445321073449072,0.5420748602829656,0.4514798186435854,0.01643787001271413,0.6859491716247407,0.29761295836254514,0.01200903208730461,0.014987478953626895,0.9730034889590685,0.006570992322889649,0.402439553359065,0.5909894543180453,0.014053621651231729,0.15501629346658172,0.8309300848821866,0.012301751748985828,0.0026337584714328723,0.9850644897795814,0.45565849662565355,0.4738470825133582,0.3534340654783325,0.5303764143613847,0.9947569128662345,0.1882391854228319,0.0,0.0,0.0,2.9963121572677953,0.6647684214946378,0.0071893858123935365,0.0008626167756076889,1.0,0.9654003761201969,0.5931720347228939,3.0666446608318266e-19,2.1797946607331794e-18,0.0,3.23139283492573,0.0,0.5660584607050997,0.9999999999999998,1.0,0.8453822366363796,0.7070769409937007,8.326672684688674e-17,0.0,9.531750521175827e-18,4.118517638335179,0.1479168768177708,0.8027042247042822,0.8483577350786304,0.0,0.7603268510477376,0.9362902532977745,0.04020400528833482,0.0,0.0,3.53579994623453,0.0,0.0009463834390867147,0.0004587466816672018,0.9999745002728818,0.9999092778693862,0.7707670946315677,0.0,0.0,0.0,2.7720560028945895,0.00355585546488359,0.774093814532719,1.0,0.8985873551711543,0.5784829703359076,0.0,0.0,0.0,0.0,3.254719995504664,3,55,14504.126418590546
125,0.15888208262404913,0.0614096979302643,24.69349377152047,63.88817808774186,6.799000230783479,6.64011814815943,125,6.799000230783479,53.0,,,153.08848923584446,289.9530331431888,1435.2042666019406,26172,0.05483739364977612,0.005789095762953169,0.5522205415920263,0.4419903626450207,0.007385820747778337,0.5182062250310775,0.47440795422114423,0.011995107207963616,0.02171518133386082,0.9662897114581755,0.01694065960792934,0.4388290407964574,0.5442302995956132,0.047982928372476905,0.8381208368610555,0.11389623476646751,0.006603598486262698,0.3846704126187085,0.6087259888950288,0.010373716662005875,0.005100214247868469,0.3240575449367227,0.9022513279871144,0.8071607864221081,0.0,0.0,0.0,0.0,2.0489435902558197,0.0,0.0,0.0,0.7160157084601948,0.9617471527727239,0.39417005101184194,0.0,0.0,0.0,2.071932912244761,0.0,0.7795971278976339,0.37786242603349623,0.9162482685867877,0.9999999999999998,0.9820048409906341,0.5159141890512747,0.0,0.0,4.571626852559826,0.0,0.0,0.9365944543912934,0.9119716296529872,0.9304573856885622,0.5347659557972705,0.0,0.0,0.0,3.3137894255301132,0.0,0.0,0.0,0.13434581776473328,0.7723658768081824,1.0,0.0,1.8342007057184312e-16,7.8121923925459975e-16,1.9067116945729166,0.04529362893037724,0.017515305123697093,0.9348172890034185,0.9951694154907369,0.9488557453840963,0.0010605026031219676,0.002620398468559407,0.0,3.535329980908382e-18,2.9453322850040076,3,55,14504.126418590546
135,0.15398618609782488,0.05951737928861684,25.298129157614873,65.45251943135123,6.794104334257255,6.64011814815943,135,6.794104334257255,63.0,,,156.3941506498959,328.40471298317425,1753.1056251258124,31435,0.055769226185010734,0.006375853593697877,0.5383644584583575,0.4552596879479447,0.006338620328988448,0.5419277512592361,0.4517336284117754,0.011904396414381164,0.023678472583947938,0.9644171310016709,0.017534730248870804,0.43266478571469175,0.5498004840364374,0.009708908878599933,0.963912457786569,0.026378633334831123,0.012152966063219662,0.008725889031411221,0.9791211449053691,0.037905191138957586,0.05993471443469063,0.008018170063278198,0.9865587066150769,0.9660512259430597,5.204468878895966e-17,0.0,1.0052092521045309e-17,0.0,2.0584680081950633,0.9999999999999998,0.44679301967386453,1.4961989980299961e-15,0.11051585231646356,0.0,0.0,0.0,0.0,0.0,1.5573088719903294,0.0,8.272494383573093e-17,0.5755919146170528,1.0,0.8533461760233618,0.26647476674821907,0.0,0.0,0.0,2.695412857388634,0.0,1.5178830414797062e-18,1.0,0.7783255614701114,0.6698330899189153,0.9999999999999999,0.07411394469384516,1.9244838379232432e-05,0.001183384782397968,3.523475225703649,0.0,0.0,0.9811198695974999,0.9999999999999999,0.4441253940537033,0.004358220954306205,0.0,0.0,0.0,2.4296034846055092,0.0,0.8074526376623663,0.9998392268172802,0.5273561665575034,0.8823076985559976,0.9560671370441354,0.797819377301716,0.0,0.0,4.970842243939,3,55,14504.126418590546
145,0.15398618609782488,0.05951737928861684,25.89330295050104,66.99238129232948,6.794104334257255,6.64011814815943,145,6.794104334257255,73.0,,,160.46687380503863,392.42096052109264,2131.5096988736186,36840,0.05785856945911017,0.006356143625229046,0.5368505191617876,0.4567933372129833,0.06273157023107637,0.9366411140666129,0.000627315702310783,0.012110591239773833,0.01120948563682215,0.976679923123404,0.012123649683982012,0.02135844930884099,0.9665179010071769,0.011927587359566044,0.020086906378526267,0.9679855062619077,0.012051060050549716,0.028592797196981604,0.9593561427524687,0.0,0.0,0.009098024931954931,1.0,0.4649345115141936,0.0,3.467371212748591e-17,0.0,0.0,1.4740325364461486,0.6807812097251184,0.6472589185948256,0.0,1.0,0.9854060527013245,0.04299657833084034,1.3877787807814457e-17,1.0438352998606676e-17,0.0,3.3564427593521087,0.0,0.0,0.94109073161144,0.7874840417985489,0.7483847678251133,0.4109740729915021,0.0,0.0,0.0,2.8879336142266046,0.00012405167212566285,0.17567364520284853,0.211158742109675,0.9100190091017412,0.9541915143381672,0.21158930047704486,0.0,0.0,0.0,2.4627562629016024,0.41543256494224,0.009229971111036735,0.7448408901896753,0.8079235429024098,0.9242817062063698,0.9984787329847047,0.932669603350131,0.0,0.0,4.832857011686567,2.6116200280094145e-17,0.949569358863896,0.35685527782858356,0.7778733464781866,0.8085132301798189,0.26442735521906613,7.979727989493313e-17,0.21539952855049602,0.9999999999999999,4.372638097120047,3,55,14504.126418590546
155,0.15361794951341778,0.05937505173951981,26.487765105641724,68.5304019703857,6.793736097672848,6.64011814815943,155,6.793736097672848,82.0,,,170.1713227860164,443.9428464479279,2559.5935188436415,42320,0.060481888441484916,0.055806803684317806,0.7007689035268034,0.24342429278887867,0.05824114015134886,0.7461356703284847,0.19562318952016644,0.0121932615531394,0.0038738399189608406,0.9839328985278998,0.012471680954956805,0.015862372847113813,0.9716659461979293,0.012152117885918997,0.010336062150536719,0.9775118199635443,0.01241036170253186,0.0009878147136118919,0.9866018235838563,1.5072157670475674e-17,0.0,0.0,0.29904916317017816,0.7989978272865627,0.90192347097274,7.968604207489291e-17,0.0,0.0,1.9999704614294809,0.978488044855661,0.8432681322406409,0.8168394449845758,0.34021936445910955,0.0,0.0,0.0,0.0,0.0,2.9788149865399873,0.0,0.0,0.9376049042469166,0.27550003429197534,0.789672315312264,0.8074478473912635,0.0,0.0,0.0,2.8102251012424193,0.0012620119047622577,0.0008516705151903481,0.8533919609535129,0.9224028639924778,0.9999233821556118,0.04952245224687166,0.39283885241098704,0.0,0.0,3.220193194179414,0.0,0.010776484752889821,0.8629502763629167,0.2997443681387107,0.9417381328973164,0.8651650731508089,0.009857208299708337,2.0145099045444568e-17,0.0,2.9902315436023508,0.0,1.0,0.9771412013031489,0.2667205608001896,0.8116994052462385,0.0,0.12441407481970973,0.6808372153262102,0.9203119772160162,4.781124434711513,3,55,14504.126418590546
165,0.15361794951341778,0.05937505173951981,27.08151562303692,70.06658146551987,6.793736097672848,6.64011814815943,165,6.793736097672848,92.0,,,172.17411137418821,416.1278831490781,2962.623485609656,47687,0.06212643876967845,0.01226520941935676,0.015171820746748674,0.9725629698338947,0.06811351948103249,0.9312053453241572,0.0006811351948103192,0.012110196979679343,0.027372560610615167,0.9605172424097055,0.01213090319342733,0.011832142183090635,0.976036954623482,0.012182948645485595,0.02042199227895233,0.9673950590755621,0.0120529468402956,0.028017628138977818,0.9599294250207265,0.23184614588135338,0.34011782862504025,0.2843213465654438,0.9509410604076345,0.9964024498686832,0.0,0.0,0.0,0.0,2.803628831348155,0.6840842850085276,0.6715219139510294,0.926929969706728,0.6160941286232414,0.8338724841191658,0.5879935322373184,0.0,0.0,0.0,4.320496313646011,0.0,0.0,0.2538402265515714,0.9526389275442968,0.6763230290255959,0.0,0.0,0.0,0.0,1.882802183121464,0.0,0.0,0.7262860715761151,0.8737581638053579,0.5484694967463791,0.3953014182392136,0.0,0.0,0.0,2.543815150367066,0.0,0.024257001070307333,1.0,1.0,0.005953696584408507,0.9571520032310192,0.0,0.003204067315341839,0.0018485464571348959,2.9924153146582118,0.005904224918822863,0.9601508034330771,1.0,0.9108775858857354,0.515352449817923,0.0,0.6118535862203894,0.7821397439308273,1.0,5.786278394206775,3,55,14504.126418590546
