n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.ld_wloa_dsg,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.g0_jet_mach.graph_0.ld_wloa_dsg,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.g1_pr.graph_0.ld_wloa_dsg,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.g2_pr.graph_0.ld_wloa_dsg,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.g3_pr.graph_0.ld_wloa_dsg,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.g4_pr_perc_sum.graph_0.ld_wloa_dsg,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_ld_wloa_dsg_sizing,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.f0_tsfc.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.g0_jet_mach.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.g1_pr.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.g2_pr.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.g3_pr.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.g4_pr_perc_sum.graph_0.ld_wloa_dsg.w_sum,run,seed,runtime_sec
75,4.148264948316771,1.0,0.0,0.0,10.7883830964762,6.64011814815943,75,10.7883830964762,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,63,12684.478452444077
85,0.5145556480752509,0.12404117251094113,5.620205862554705,23.31410298196011,7.154673796234681,6.64011814815943,85,7.154673796234681,29.0,,,178.0361083310563,220.5472041971516,212.10289371549152,4694,0.04518595946218396,0.006609576985737757,0.6196386124730935,0.3737518105411687,0.006415810646067771,0.5406214465278731,0.4529627428260591,0.012209881594899618,0.0027432279305524905,0.9850468904745479,0.0099000099000099,0.99000099000099,9.900009900009898e-05,0.9803921568627451,0.00980392156862745,0.009803921568627449,0.06113684356857743,0.5486557361028465,0.3902074203285761,0.3527270400465906,0.9153097543381254,0.836746786245875,1.0,1.0,0.09183002196048463,0.0,0.0,0.0,4.196613602591076,0.927085770950871,1.0,0.8159248544865713,0.6845803007007897,0.42701651546352276,0.007021344967066821,0.0,0.005762438821701727,0.0,3.8673912253905236,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.3693390043179194,0.0,0.0,0.0,2.369339004317919,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8609339972365504,0.3482607394931048,0.9435344138738376,0.533158409260885,0.9999999999999999,2.8189256484623115e-18,0.11182054420685492,0.9737688478142064,4.77147695188544,1.5614748571481897e-18,2.357784807053085e-18,0.015350640506931886,0.9999999999999999,1.0,0.8944962577072829,0.0,0.0,0.0,2.9098468982142145,11,63,12684.478452444077
95,0.14627551206128508,0.03526185378314345,6.416720994025129,26.61825878264279,6.786393660220715,6.64011814815943,95,6.786393660220715,38.0,,,163.51580339181237,259.23773858579807,464.6892915116623,9804,0.04739792855076115,0.01023602960657985,0.6067112158455991,0.3830527545478212,0.006443421323639273,0.5369133663287216,0.45664321234763905,0.011958370251801667,0.003639303961659922,0.9844023257865384,0.011965838650806256,0.0187296267414739,0.9693045346077198,0.9803921568627451,0.009803921568627444,0.009803921568627447,0.5400942719282119,0.45450478535250605,0.005400942719282117,0.3619621548746635,0.9991294937256158,0.5622800455377833,0.3391703378783451,1.0,0.6598609013277356,2.035479146952041e-17,0.0,0.0,3.9224029333441437,0.6172611049325818,0.7840958604021822,0.00043256313636524593,0.0,0.0,0.0,0.0,0.0,0.0,1.4017895284711293,0.0,0.0,0.0,0.9782340677262089,0.9557964448282367,0.1071059364832251,0.001542322889987506,0.0,0.07631860255416674,2.118997374481825,0.0,0.0,0.0,0.9913268270240512,1.0,0.9999999999999999,0.8827044051578716,0.0,0.0,3.874031232181923,0.8807904405287137,0.3980192076631337,0.6289550624485136,0.810094573848993,0.015092699977292835,0.2648561725533363,0.30987774690111336,0.997364327686817,1.0,5.305050231607913,0.6986893711766616,0.5410018277057578,0.9674076630547767,0.6336490554354993,0.6107884443262628,0.7422160909839639,0.14853684998056468,0.2970854522920712,0.15562492850079396,4.794999683456352,11,63,12684.478452444077
105,0.0350029964308165,0.008437984763972119,6.635220186760707,27.5246513251033,6.675121144590246,6.64011814815943,105,6.675121144590246,44.0,,,162.80899949092418,325.36628823401406,778.3125403204467,15120,0.05147569711114065,0.05469510328869444,0.7683343172415142,0.17697057946979142,0.055068228494425546,0.8220365793709964,0.1228951921345781,0.011894089159262005,0.01275221316852791,0.9753536976722101,0.011955650032770123,0.012201849446594727,0.975842500520635,0.9530407911444048,0.037428800944151075,0.009530407911444048,0.016801782421462207,0.28282554272362903,0.7003726748549087,0.002855141355720837,0.16336236747711969,0.9607943683656478,0.9165529386015762,1.0,0.08173919861706613,1.250545187961836e-17,0.0,0.0,3.1253040144171305,0.4140434927916809,0.45045294925232693,0.34127213467695094,0.7620644159164791,0.8208948152573442,0.0,0.0,0.0,0.0,2.788727807894782,0.0024848824292947615,5.436604719837118e-07,0.7592419563029315,0.964423857540361,0.9347643438879055,0.47613070819911435,0.4078409241740278,0.0053866081848625985,0.0003675765909615232,3.5506414009699307,0.0011758811962137563,0.0,0.0,0.9888887060890045,0.9874875031654919,0.03780340220860928,0.0032162742440666964,0.0,0.0,2.0185717669033862,0.2958079287986949,0.9951641933132496,0.9384937927648854,0.9830990653258596,0.03755267554064234,0.0,0.0035864670145055173,0.0,0.0,3.2537041227578376,0.0008811667400806136,0.0,0.0661317728701933,0.9956234330227667,0.9955622686384606,0.6170246009444047,0.06853748040200677,0.0,4.038016843428024e-18,2.7437607226179126,11,63,12684.478452444077
115,0.0350029964308165,0.008437984763972119,6.719600034400428,27.874681289411463,6.675121144590246,6.64011814815943,115,6.675121144590246,48.0,,,167.063106731046,403.1773227918893,1163.0014463369735,20710,0.05615651599888814,0.049387215717857036,0.7692423704486726,0.18137041383347033,0.006380979132078232,0.5398268620443473,0.45379215882357454,0.006545982587230532,0.40168863218288275,0.5917653852298866,0.011929416740078753,0.02265898248225774,0.9654116007776635,0.009900009900009901,0.9900009900009901,9.900009900006384e-05,0.011965341983230487,0.02602729959168569,0.9620073584250839,0.0,0.0,0.8013503601899983,0.9055864048654904,0.9942917363519334,0.18178210036737538,0.0,0.0,0.0,2.883010601774797,0.9478100597974234,0.6057806833160038,0.33769144864864936,0.0,0.0,0.0,0.0,0.0,0.0,1.8912821917620763,0.0,0.0,0.15010866699580291,0.7716931668233383,0.8374519102233137,0.41261162279666863,0.8824346619340053,0.16653349924069227,0.0,3.220833528013821,0.0,0.0,0.42379757177244304,0.9719096727674887,0.8858012680235104,0.8644865429243953,0.3638125128081876,0.0,0.0,3.5098075682960252,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.372152420639722,0.9961313864923599,0.9964066592860646,0.7184739300248724,0.0,0.0,0.0,3.083164396443019,11,63,12684.478452444077
125,0.0350029964308165,0.008437984763972119,6.803979882040149,28.224711253719626,6.675121144590246,6.64011814815943,125,6.675121144590246,50.0,,,163.8211589809507,425.1345828920603,1567.919278395595,26372,0.05945393896540251,0.005782538178928788,0.548485880762587,0.4457315810584842,0.0063635717276768625,0.5414589832951934,0.45217744497712975,0.011882957062909668,0.024796136991976102,0.9633209059451142,0.011992472235567703,0.012735035719779558,0.9752724920446527,0.0099000099000099,0.9900009900009901,9.900009899995717e-05,0.00879139267306381,0.11514216018524627,0.8760664471416899,1.8210368869499307e-06,0.6667905691329761,0.5549449036336175,0.9963895785938477,0.9733145841568906,8.240877572423128e-20,0.0001757070819024915,0.0,0.0,3.1916171636361215,0.7441184490173277,0.18660785141958217,1.0,0.0,0.0,0.5756259965274106,0.8559314341058554,0.0,0.0,3.362283731070176,0.0,0.20050904739932637,0.6484036944807693,0.8904053395377465,0.2643208517041933,0.9798621071241054,0.0905759140498312,0.0014962766287861026,0.015224030162117827,3.090797261086876,0.0,6.946127043044932e-17,0.6843115073165251,0.9998600086350563,0.9546336896636445,0.9999999999999999,0.7341979402409177,6.592419727252515e-19,0.0,4.373003145856144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0025811952967066828,0.8353299410917429,0.1893077810511377,0.8581702611831923,0.2456622208949505,0.00010654673301056022,2.433557308317996e-20,0.0,2.131157946250741,11,63,12684.478452444077
135,0.0350029964308165,0.008437984763972119,6.888359729679871,28.57474121802779,6.675121144590246,6.64011814815943,135,6.675121144590246,54.0,,,162.20964606199414,320.5855986031238,1874.9265148064587,31759,0.05903606898222421,0.015807520288461444,0.667644914925903,0.3165475647856354,0.015454096875632631,0.6173273120187127,0.36721859110565463,0.012030506805689756,0.007815048556749617,0.9801544446375605,0.011945192726044551,0.018039221830868948,0.9700155854430864,0.009900009900009901,0.99000099000099,9.900009900010096e-05,0.012233364214342922,0.01906581135535946,0.9687008244302977,0.0,0.2942474999572742,0.3868495972465925,0.8074153571874245,0.8133313758092685,0.0,0.0,0.0,0.0,2.3018438302005597,0.9804651485082743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804651485082743,4.361225124207799e-18,0.24095645259142254,0.7760593178609525,0.9923141046755029,0.9490915280851351,0.9526963308159383,0.5313777043431139,6.941571099005218e-18,1.097573562006009e-17,4.442495438372065,0.0,0.0,0.5344659316988706,0.9928344283286132,0.9991538882187516,0.8314598818970509,0.03150960225234448,0.0,0.0,3.3894237323956307,0.5000000000000013,1.8236045036137096e-16,0.0,0.0,0.0,2.7977694749739907e-16,0.0,0.0,1.1055836086231437e-16,0.500000000000002,0.015929655773423895,0.005918268765937483,0.6243636502426576,0.9724628291665245,0.8622288555491442,0.8426316012375599,0.028569861958027368,0.0,1.905170678254185e-18,3.352104722693275,11,63,12684.478452444077
145,0.0350029964308165,0.008437984763972119,6.972739577319592,28.924771182335952,6.675121144590246,6.64011814815943,145,6.675121144590246,64.0,,,168.61788652907126,305.519912796095,2170.7240276578814,36993,0.05867931845640747,0.006628285972293848,0.6163294002949867,0.37704231373271946,0.0585805888001272,0.9188105051560799,0.022608906043793002,0.012037272027356966,0.011919102008298115,0.9760436259643449,0.012075256606868893,0.019488350326050972,0.9684363930670802,0.9427170786585006,0.04785575055491442,0.009427170786585006,0.012102804849467162,0.00661440098618402,0.9812827941643487,2.0414941082068664e-16,2.0469737016526324e-16,0.5545913914875837,0.863342265444095,0.5353439146952392,2.120443863561194e-17,0.0,0.0,0.0,1.9532775716269184,0.0,0.3367875200537997,0.978472901677974,0.05851795741035143,0.81254051038027,0.6125948274478265,0.0,0.0,0.0,2.7989137169702216,0.0,0.0,0.9955151704528874,0.8656051690928324,0.8752419568833419,0.2172741210858423,0.4136919896531449,0.0,0.0,3.3673284071680487,2.8011793174506996e-20,0.0,0.979147496541096,0.9214698625019728,1.0,0.9999999999999998,0.6772246483427938,1.0322573058520623e-18,5.227026021054827e-19,4.577842007385862,0.0,0.9987897918919675,0.9985219086646824,0.9998792708423395,0.006078048004573843,0.00030134126406130646,0.0,0.0,0.0,3.0035703606676245,0.009411181019097404,0.026117897623720458,0.849460458745505,0.4818531610235841,1.0,0.9999999999999999,0.05448410214226762,1.5705717082812392e-18,0.0,3.4213268005541746,11,63,12684.478452444077
155,0.03344036093431857,0.008061288599197976,7.055235944135442,29.266987969161626,6.673558509093748,6.64011814815943,155,6.673558509093748,74.0,,,170.6927616139874,347.44514892296866,2506.4549678103067,42307,0.05924445051197926,0.015865456287776414,0.6647805717976752,0.3193539719145483,0.015699633097040207,0.684050098091817,0.30025026881114275,0.012206755650506926,0.003309315390690486,0.9844839289588025,0.012043224187073967,0.018290453975941135,0.969666321836985,0.6504361598297163,0.3430594785719866,0.006504361598297164,0.012321831922694058,0.018735879491233506,0.9689422885860725,0.0,0.0,0.16364981818869817,1.0,0.6043357823816373,0.09552931644025786,0.0,0.0,0.0,1.8635149170105931,1.0,0.9879413718214141,0.3407512682164828,0.0,0.0,0.0,0.0,0.0,0.08818302377355818,2.416875663811455,0.0,0.0,0.9026606426186117,0.47449478399623707,1.0,0.4221621586092153,0.0,0.05364097051393171,0.0,2.8529585557379957,0.0,0.0,0.4361914011962477,0.9929187896387892,0.8084467298778985,0.12547248998803923,0.0,0.0,0.0,2.3630294107009746,0.0,0.00021955665897472582,5.787946388955456e-06,0.9944397911140046,0.0001650070675650806,0.9511463183422264,0.9617840415354281,0.0,1.9914147323321916e-07,2.907760701806061,0.0,0.0,0.9838251533468696,0.6587135587692003,0.3373061758592435,0.5839739090551869,0.0032217660175959855,0.0,0.0,2.567040563048096,11,63,12684.478452444077
165,0.029670928192343737,0.007152611648969823,7.131305445376281,29.58254441479494,6.6697890763517735,6.64011814815943,165,6.6697890763517735,78.0,,,168.6804029031191,374.6718414230272,2867.4119048444554,47701,0.06011219691084999,0.010031855465872494,0.6170356343862692,0.37293251014785844,0.05198005706154152,0.78026073752132,0.1677592054171385,0.012011988277823757,0.0070170221075485425,0.9809709896146277,0.017754258252958385,0.4653933275976773,0.5168524141493643,0.009900009900009905,0.99000099000099,9.900009900010982e-05,0.012134871106761395,0.019004023756241724,0.9688611051369969,0.0,6.106226635438361e-16,0.9632170702677698,0.9998594826558137,0.4458430168755557,0.7179321929626731,0.00724648604158222,0.0,0.0,3.134098248803395,0.0,1.3877787807814457e-17,0.7578509395386007,1.0,1.0,0.31887213415550564,0.8758577711890394,0.0,0.0,3.9525808448831454,0.36889958392241623,0.0,0.6710234562024279,0.6941771639679012,0.9858903403506213,0.9351215842671379,0.5370799356269798,7.700159873770257e-17,0.0,4.192192064337484,0.0,0.0,0.9768693955396861,0.95739605030088,0.9803206610396361,0.9698533543542249,0.6401163723213722,0.0,0.0,4.5245558335558,0.0,0.03505219103171742,7.081927844026364e-18,4.06304789573763e-18,0.0,0.0,0.0,0.0,0.0,0.03505219103171743,4.854979554834705e-16,5.252785982613365e-18,0.35789515873920347,0.9046836275267222,0.7357542913497421,0.061389445017542975,4.6464164595874524e-17,0.0,0.0,2.059722522633211,11,63,12684.478452444077
