n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa_adsg,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.f1_mass.graph_0.ld_wloa_adsg,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_ld_wloa_adsg_sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_sum,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,2594.816667079925
40,0.5979163479905387,0.2633455868680245,0.6549522358144216,0.9279068669525612,9.639534334762804,6.211437129137495,4.826795822277908,0.9136153784209012,40,-3.459310703065289,30.0,,,49.45736571401358,90.83158980216832,86.81810097489506,5270,0.016474022955388,0.006647667501953,0.3919958141600242,0.6013565183380227,0.0065907808417597,0.615633618162414,0.3777756009958263,0.9999865373302956,0.0010250417958039,0.0001553218905434,5.618510559979093e-20,1.5251469453184256e-20,0.0,3.2856800809491064e-20,1.451047863783966e-20,4.553172265621891e-20,1.001166901016643,0.9712482172569576,0.1269915186668316,0.0,0.0,0.0,0.0,0.0001174287653944,0.0003851671713308,0.0015670092998126,1.100309341160327,0,52,2594.816667079925
50,0.4405037538849537,0.3664433173228255,0.6549522358144216,0.6836181340783434,17.697159339917327,11.403537638514956,4.338486737069417,1.0145002664950942,50,-3.459310703065289,40.0,,,52.73304933682084,63.46861868910492,146.7007417762652,9750,0.0150462299257707,0.0065498632411232,0.3924344177405193,0.6010157190183575,0.0073494065121272,0.5232041150541932,0.4694464784336796,0.7257732031195535,0.999904076073308,0.5127864369346092,0.0,0.0,0.0,0.0,0.0,0.0,2.2384637161274705,1.0,0.0932641957742777,6.1223418933795866e-21,0.0,0.0,1.9638626522265904e-24,0.0001386028466922,0.0026349435699089,0.0002132682840342,1.0962510104749132,0,52,2594.816667079925
60,0.3129705893433658,0.4499714485798269,0.6549522358144216,0.4856993122564606,23.54374657159135,15.170909354656557,4.36469734828624,1.0693903460728151,60,-3.459310703065289,50.0,,,54.446504645980895,57.30698834825307,200.7260714508593,13664,0.0146901398895535,0.0118700947090084,0.024925025938268,0.9632048793527236,0.0593175224037049,0.7940872275770275,0.1465952500192676,0.9619770875882188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961977087588219,1.0,0.1649895340093902,0.0,0.0,0.0,6.911261332699446e-05,0.0073561493701362,0.0,0.0,1.1724147959928537,0,52,2594.816667079925
70,0.3093384465154585,0.4523503286457622,0.6549522358144216,0.4800625868464689,28.372556067106,18.28245453395068,3.676315421589948,0.776290526175301,70,-3.459310703065289,60.0,,,55.225133809261024,168.9493953017518,365.6079379543662,19683,0.0185748075981489,0.0103875183667887,0.6129176204859591,0.3766948611472521,0.0063596076732939,0.5385429871406306,0.4550974051860753,0.8379637502786398,0.5657899082268778,0.0007281186044067,0.0011253279530547,8.146883001297491e-18,0.0,0.0,1.2791839414568377e-18,3.2024224012770258e-19,1.405607105062979,1.0,0.9674001944767282,0.0162626581153068,9.622294280808852e-19,4.87890977618477e-19,0.0,7.318364664277155e-19,5.8953493128899296e-18,0.0,1.983662852592035,0,52,2594.816667079925
80,0.3093163216806166,0.4523648193558089,0.6549522358144216,0.4800282512972755,33.17301025782472,21.37572837493105,2.5947611235309624,0.860738774514771,80,-3.7078954633422554,70.0,,,57.12346662674099,33.725895647890866,396.945719528012,22171,0.0179038256969921,0.0101700201860414,0.6106557869448329,0.3791741928691257,0.0063471832779105,0.5370361501172164,0.4566166666048731,0.9836731655938732,0.7059644634762016,0.4390955306584839,0.0,1.540743955509789e-33,0.0,0.0,8.693984883712598e-20,0.0,2.128733159728559,0.9987510738541348,0.6638360402665348,5.837794509290687e-19,9.004927523581603e-19,5.516130759145353e-21,0.0,1.4374962976890888e-18,1.5664056472580761e-18,4.621255598455435e-19,1.6625871141206696,0,52,2594.816667079925
90,0.3063071190712929,0.4543357033328041,0.6549522358144216,0.4753582673193708,37.94994285090795,24.4538455786906,1.929725238097597,0.9098950713018676,90,-3.7078954633422554,80.0,,,58.22419513389468,47.66146534588188,441.8561393041164,25324,0.0174481179633595,0.0120957467514721,0.0134032378194775,0.9745010154290504,0.006546207546439,0.6202628882864774,0.3731909041670836,0.7555654362211296,0.9309603041822474,0.558148818473314,0.0001562132394611,0.0140919969313247,0.0165695790196563,0.0,0.0,0.0,2.2754923480671327,0.9987886393915406,0.9330772701747204,0.0271034149862889,0.0,0.0,0.0,0.0,0.0,0.0043239547127651,1.963293279265315,0,52,2594.816667079925
100,0.3000405576099221,0.4584400017727973,0.6549522358144216,0.4656331854885622,42.654900114947615,27.48558396209668,1.889609179220812,0.8727976332216011,100,-3.7078954633422554,90.0,,,59.53430607449263,65.4095602305606,503.9580389941111,29285,0.0172087430081649,0.0119882033128334,0.021190165019735,0.9668216316674316,0.0065897758667155,0.620576613754473,0.3728336103788114,0.9887414691273478,0.9538644317870384,0.9388344758290796,0.0,0.0,0.0204729874080674,0.0,0.0,0.0,2.9019133641515333,1.0,0.9361429069301804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9361429069301803,0,52,2594.816667079925
110,0.1718605297148462,0.5423917976294322,0.6549522358144216,0.2667104959020688,46.31661852190077,29.84508939872052,1.6497980924116034,0.8704521043091907,110,-7.198086024806798,100.0,,,60.87687742616981,87.73398136347532,587.7356241336092,34413,0.0170788836815624,0.0121110072515475,0.0094019645701219,0.9784870281783306,0.0174778198299645,0.4684990509107161,0.5140231292593194,0.9059878532077396,0.9901833950860632,0.4770848612561896,0.0004858220585961,0.0,0.0832420718239686,0.0,3.1960874499900337e-19,0.0,2.456984003432557,0.9973574185380776,0.9175658862340746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9149233047721523,0,52,2594.816667079925
120,0.1676582735903227,0.5451440746736538,0.6549522358144216,0.2601890112031748,48.95111605742699,31.54268341524636,1.5760390383839369,0.8519872687279187,120,-7.198086024806798,110.0,,,65.80070746596903,132.49012735392898,716.2594516510144,39920,0.017942371033342,0.0120537572532016,0.0121514920820631,0.9757947506647352,0.0065756014207907,0.6179857803604621,0.3754386182187472,0.9361312530005148,0.9963582872508784,0.7444942020444565,0.0,0.0,0.0881899941052341,0.0,0.0,0.0,2.7651737364010835,1.0,0.6033306430182873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6033306430182872,0,52,2594.816667079925
