n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa_adsg,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.f1_mass.graph_0.ld_wloa_adsg,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_ld_wloa_adsg_sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_sum,run,seed,runtime_sec
30,0.6135957839618608,0.25307630522229807,0.6549522358144216,1.0,0.0,0.0,3.7602549744133746,0.8325031518046503,30,-3.455456425906021,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,68,2712.346670150757
40,0.22746647467851383,0.5059725596509045,0.6549522358144216,0.370710621917592,6.85355310958796,4.2053112932018735,2.7472508821876342,0.8283307529467572,40,-3.455456425906021,30.0,,,51.11767098866403,85.67019489686936,81.54182995855808,5235,0.015576280794375947,0.017351786686022462,0.4430917848389063,0.5395564284750711,0.007271725167964192,0.5191000972813528,0.473628177550683,0.8012696877073036,0.015268219824934133,0.0,0.0,0.0,9.75140261282304e-06,0.0004525092488104091,1.769935875292957e-05,5.652141416494088e-07,0.8170184327565554,0.6138568758956299,0.0,1.8765346176061333e-19,4.210165375184927e-20,0.0,3.531310833743196e-20,8.845606708409761e-20,3.465997338987818e-19,2.777051587735694e-20,0.6138568758956299,16,68,2712.346670150757
50,0.22476022219329694,0.5077450257667756,0.6549522358144216,0.3663001410180278,10.538606924266059,6.466444777560927,2.0473497496739013,0.9414509473199926,50,-3.455456425906021,40.0,,,51.05442305840552,36.227395354770124,115.26065543293953,7861,0.014662340088149031,0.012142878014835,0.4770876074385116,0.5107695145466534,0.012182571350801323,0.46231919560529167,0.5254982330439071,0.5071879251193039,0.5322654674033923,0.16790828577032244,0.0,0.0,0.0,0.0,0.0,0.0,1.2073616782930185,0.9847412482089011,0.3246175600006656,0.008706051693291477,0.0,0.0,0.0,0.0,0.0,0.0,1.3180648599028582,16,68,2712.346670150757
60,0.22364507163049163,0.5084753961211547,0.6549522358144216,0.36448273843484025,14.1925213215304,8.70847124667987,1.6717629119058122,0.8811772421422716,60,-3.455456425906021,50.0,,,55.90460704732686,42.76572122517973,154.89720309060067,11479,0.013493963157992915,0.011955641283647156,0.4651658024128165,0.5228785563035363,0.006681347768548507,0.3968242639185559,0.5964943883128956,1.0,0.999160945896094,0.4663698044582445,0.0,0.0,0.0,0.0,0.0,0.0,2.465530750354339,0.9865930332292198,0.5710949144502782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.557687947679498,16,68,2712.346670150757
70,0.218765249766005,0.5116714463616763,0.6549522358144216,0.3565299102179013,17.797584564794107,10.920522853662353,1.8133940458442122,0.8923797769390522,70,-3.455456425906021,60.0,,,58.148340680636466,36.21158894058317,188.60427695233375,14003,0.01346884788633391,0.012011607998426835,0.016338769694545164,0.971649622307028,0.007317281239569852,0.5262795024991356,0.4664032162612946,0.7955330103761425,1.0,0.24851738835958267,0.0,0.0,0.07158131736948388,0.0,0.0,0.0,2.115631716105209,0.9999999999999999,0.7745361858392947,1.0616335061794167e-19,5.56042513478838e-20,0.0,5.745833376910606e-20,1.1484870820008357e-19,4.5340539833539045e-20,4.444354451841443e-20,1.7745361858392945,16,68,2712.346670150757
80,0.21807139909613854,0.5121258854092267,0.6549522358144216,0.3553991158284966,21.357229695026096,13.104706097973072,1.4997755850710208,0.9201798846729172,80,-3.455456425906021,70.0,,,58.961457869037986,58.94911584816873,243.7512826351449,18807,0.012960667976558989,0.011980641704448871,0.017716868425175916,0.9703024898703752,0.007368205910595599,0.5173571167358362,0.47527467735356826,0.49355469665764046,0.9978283946442247,0.4793926621412892,1.6601321882491094e-19,0.0003776122767626628,0.08256685134582453,2.706358491946522e-19,1.1461761819568453e-18,0.0,2.0537202170657416,0.9999173779766766,0.9582069306871795,0.0,0.0,0.0,1.9481757786848908e-20,0.0,6.088049308390284e-22,0.0,1.958124308663856,16,68,2712.346670150757
90,0.2107672697685298,0.5169097412430217,0.6549522358144216,0.34349530306034576,24.851701789470308,15.248899442296413,1.3629431716557023,0.8665880087994363,90,-3.8830911778504067,80.0,,,59.426576119847596,94.0079536633566,333.6501979790628,24084,0.013853603968570952,0.012009715174698229,0.017674566931996018,0.9703157178933057,0.0073447625042375375,0.5232826588320025,0.4693725786637599,0.5062090367322082,1.0,0.8512863608633155,0.09587906002225025,0.0,0.16140228740024745,0.0,0.0,0.00016709459283546186,2.614943839610857,0.9038077059906588,0.9168697164613386,0.0,0.0,0.0,1.0689632887022268e-19,1.3768420827433942e-20,0.0,0.0,1.8206774224519975,16,68,2712.346670150757
100,0.20856117004674213,0.5183546311882361,0.6549522358144216,0.3398999398270078,28.268678003907077,17.345541641372773,1.2946874715186492,0.958585025609554,100,-11.29217170817371,90.0,,,61.009688158519566,64.24999283347279,392.95213164854795,27982,0.014043032365397326,0.012066762395969191,0.011781078624914688,0.9761521589791162,0.011943568574011,0.48042315823716375,0.5076332731888251,0.6547827926375082,1.0,0.6243298470150666,0.0,0.0,0.09784855340384557,0.0,0.0,0.0,2.3769611930564203,1.0,0.9907170663685075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9907170663685076,16,68,2712.346670150757
110,0.2018585755963636,0.5227445104092688,0.6549522358144216,0.32897647094803134,31.61306005778227,19.397640369588302,1.2725505534391182,0.9693880894346001,110,-11.29217170817371,100.0,,,65.29323795903474,114.33760251943022,503.072627437301,33390,0.015066565661494488,0.011911634506635332,0.016960649033642586,0.9711277164597221,0.0064292936439928885,0.5430583391746142,0.4505123671813929,0.8289561484506253,1.0,0.9999999999999999,0.5040928843054103,0.0,0.09257218624426594,0.0,0.0,0.0,3.4256212190003015,1.0,0.9983106726341429,0.0,0.0,0.0,0.0,1.1837285437878847e-19,0.0,6.331571280725895e-20,1.9983106726341429,16,68,2712.346670150757
120,0.20101343699736635,0.5232980358242552,0.6549522358144216,0.3275991169617631,34.895937997331245,21.41200043255695,1.1566701064982894,0.9555580031916867,120,-11.29217170817371,110.0,,,64.77002768777311,78.79800818674266,578.2073420621455,37869,0.015268619241652683,0.0065095509560094255,0.40378972094400817,0.5897007280999823,0.016932812683892223,0.4534257786286067,0.5296414086875011,0.28377588828497524,0.9856251356198019,0.7891437571319148,3.09291395059264e-18,0.18464232797303157,0.03912871171987163,7.848609020456498e-05,0.0,3.7739180996651182e-19,2.2823943068197994,1.0,0.8857761419814132,6.372809597587728e-19,3.729655473350135e-17,0.0,0.0,0.0,0.0,0.0,1.8857761419814132,16,68,2712.346670150757
