n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa_dsg,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_ld_wloa_dsg_sizing,kernel_weight.f1_mass.graph_0.ld_wloa_dsg,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_ld_wloa_dsg_sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_dsg.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa_dsg.w_sum,run,seed,runtime_sec
30,0.5157888993027613,0.3171351430078186,0.6549522358144216,1.0,0.0,0.0,4.4588402316527604,0.857703403997682,30,-3.6118781686112733,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,57,2962.5113141536713
40,0.48713512894353983,0.33590199396910364,0.6549522358144216,0.94444670988857,9.72223354944285,5.0146201412315055,4.444938161723244,1.0986034590978329,40,-3.6118781686112733,30.0,,,51.80470352713019,80.5512856002897,76.51937910541892,5222,0.014653270606169843,0.006598079602968071,0.5291192008890535,0.4642827195079784,0.006324774908915253,0.5338865793808264,0.4597886457102583,1.0,0.0,0.1340439761462178,0.0,0.0,0.0,0.0,0.0,0.0,1.1340439761462178,1.0,0.31531484257184356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3153148425718435,5,57,2962.5113141536713
50,0.4678428455390594,0.34853751811883354,0.6549522358144216,0.9070432616356907,18.97968340706415,9.789510013644502,3.963690913623009,1.0658870495200912,50,-3.6118781686112733,40.0,,,51.491053845733404,62.780342193320394,135.4282486224547,10317,0.013126708211927372,0.011962275186405748,0.019419246163080255,0.9686184786505141,0.05927412566425325,0.7821621927624199,0.15856368157332687,0.9858211239366798,0.00010686838365371327,0.41000748902536704,0.0,0.0,0.0,0.0,0.0,0.0,1.3959354813457006,0.8794061352030174,0.9744586651058472,0.0,0.0,0.003902526295600422,0.0,0.0,0.0,8.767021994344093e-06,1.8577760936264596,5,57,2962.5113141536713
60,0.4474454733112222,0.36189682266419454,0.6549522358144216,0.867497291849582,27.852386174490515,14.36595160789591,2.6018524722079963,1.0795046514714834,60,-3.6118781686112733,50.0,,,51.94074695557356,33.23129319306463,166.09782109130174,13112,0.012667619058213982,0.012202580428723901,0.01013592556317183,0.9776614940081043,0.006580264016745882,0.40399184179267594,0.5894278941905782,0.9674124381918319,0.0,0.4965353436255039,0.0,0.0,0.0,3.520250537426244e-18,0.001215539799458635,5.325080106378833e-19,1.4651633216167945,0.9669332422557658,0.008150736394454426,0.012844460810263875,0.0,0.0,0.0,0.0,0.0,0.0,0.9879284394604841,5,57,2962.5113141536713
70,0.27694357095729244,0.47356742482151304,0.6549522358144216,0.5369320110061737,34.87453268876929,17.987896829238483,2.4948885969874137,1.1214258748851187,70,-6.881941751613579,60.0,,,55.071080945432186,85.76647592894733,247.90074046794325,18377,0.013489728490392516,0.9803921568627455,0.009803921568627336,0.009803921568627262,0.0073231337493530144,0.5211463893692865,0.4715304768813605,0.9999999999999991,0.27526257303856033,0.8858084831734004,0.0,0.0,0.0,0.0,0.0,0.0,2.1610710562119597,0.9612804177586439,0.8228779863494865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841584041081304,5,57,2962.5113141536713
80,0.17189786893756015,0.5423673422220322,0.6549522358144216,0.33327174968272893,39.2255514922138,20.232104028712747,2.3133825376328336,1.1839987984394256,80,-7.539308575470193,70.0,,,55.029029487632215,121.2891695164144,365.1423469632864,23990,0.015220606376126987,0.0064702792742349965,0.3940639397496641,0.5994657809761008,0.016560019729545326,0.6808014523418399,0.3026385279286148,0.9429599556644427,2.1614654510671016e-15,0.9999999999999998,2.4980018054066022e-15,0.0,0.0,0.0,0.0,0.0,1.942959955664447,0.9733715943700681,0.41894167116993797,4.939810322219996e-20,8.338822589577787e-21,0.0,2.0814450126289728e-20,2.449914085072227e-20,0.0,5.880339147895275e-21,1.3923132655400061,5,57,2962.5113141536713
90,0.16736080011260213,0.5453389055929824,0.6549522358144216,0.324475381961184,42.51428715043337,21.92839737396356,1.4180341714445848,1.1120511506880455,90,-7.539308575470193,80.0,,,56.40788094792515,62.94595602992922,424.7261567087844,28175,0.01507457521592846,0.006399167235822822,0.5386948611727067,0.45490597159147045,0.017535696206082245,0.4625830954407939,0.5198812083531239,0.989342465788323,0.05686332113410734,0.9606989786383224,0.12918244596203904,0.0,0.0,0.0,0.0,3.6402297472233905e-19,2.136087211522792,1.0,0.9996895315600917,0.0,0.0,1.3228890467834377e-18,7.563019296598879e-19,0.0,0.0,0.0,1.9996895315600915,5,57,2962.5113141536713
100,0.16728044992972066,0.5453915311249087,0.6549522358144216,0.3243196008208956,45.75826206434377,23.601603624175173,1.381752393161139,1.1230768265558344,100,-7.539308575470193,90.0,,,59.423423008061945,97.7053518826142,518.4416851513088,33558,0.015449123462402669,0.012080522472695414,0.017711310343121577,0.9702081671841829,0.01794188520466162,0.46812771534926445,0.5139303994460739,0.9642101781089205,0.34579683330201316,0.9491083730364016,0.3231538736951776,0.0,0.0,0.0,0.0,0.0,2.582269258142513,0.9361966178467677,0.40562760919101093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3418242270377787,5,57,2962.5113141536713
110,0.14761058988602863,0.5582743499386815,0.6549522358144216,0.28618411541149347,48.810780645505716,25.176058823253918,1.2950311679804576,1.0987698037629778,110,-3.49157553565017,100.0,,,59.78705370053649,106.19663060549647,620.5383484186605,38875,0.01596240124549609,0.012165251983405283,0.013793380241743593,0.9740413677748511,0.007364736663976219,0.5266715552362558,0.465963708099768,0.8708456085478551,0.08371708238777456,1.0,0.6205784430483321,0.0,5.322525697982031e-18,0.0,0.0,0.0,2.5751411339839616,0.8660058016995898,0.8506697127012779,0.47035526145821127,0.0,0.0,0.0,0.0,0.0,2.417511746362267e-18,2.187030775859079,5,57,2962.5113141536713
120,0.13931217682369967,0.5637094141275655,0.6549522358144216,0.2700953374762826,51.592177909944596,26.61067265680256,1.33387172783222,1.0851790707169988,120,-3.49157553565017,110.0,,,63.441883576102555,156.65499615762383,773.1301524536684,44583,0.017341366719459624,0.012121606124345256,0.018142899101918252,0.9697354947737364,0.01641066597043278,0.6875361078267208,0.2960532262028463,0.9922600688774338,0.008032597590590364,0.9849466026052586,0.4009871778140617,0.0,0.01024293477637987,0.0,0.0,0.0,2.3964693816637244,0.9943402409106004,1.0,0.0,1.936011340534493e-18,0.0,0.0,0.0,0.0,0.0,1.9943402409106004,5,57,2962.5113141536713
