n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
75,1.943501080798554,1.0,0.0,0.0,8.583619228957984,6.64011814815943,75,8.583619228957984,,,,,,,20,2020,34.03115224838257
85,1.943501080798554,1.0,10.0,19.43501080798554,8.583619228957984,6.64011814815943,85,8.583619228957984,,,,,,,20,2020,34.03115224838257
95,1.943501080798554,1.0,20.0,38.87002161597108,8.583619228957984,6.64011814815943,95,8.583619228957984,,,,,,,20,2020,34.03115224838257
105,1.943501080798554,1.0,30.0,58.305032423956625,8.583619228957984,6.64011814815943,105,8.583619228957984,,,,,,,20,2020,34.03115224838257
115,1.943501080798554,1.0,40.0,77.74004323194217,8.583619228957984,6.64011814815943,115,8.583619228957984,,,,,,,20,2020,34.03115224838257
125,1.943501080798554,1.0,50.0,97.17505403992772,8.583619228957984,6.64011814815943,125,8.583619228957984,,,,,,,20,2020,34.03115224838257
135,1.943501080798554,1.0,60.0,116.61006484791326,8.583619228957984,6.64011814815943,135,8.583619228957984,,,,,,,20,2020,34.03115224838257
145,1.943501080798554,1.0,70.0,136.0450756558988,8.583619228957984,6.64011814815943,145,8.583619228957984,,,,,,,20,2020,34.03115224838257
155,1.9366030857100052,0.9964507377141697,79.98225368857085,155.4455964884416,8.576721233869435,6.64011814815943,155,8.576721233869435,,,,,,,20,2020,34.03115224838257
165,1.9366030857100052,0.9964507377141697,89.94676106571255,174.81162734554164,8.576721233869435,6.64011814815943,165,8.576721233869435,,,,,,,20,2020,34.03115224838257
175,1.9366030857100052,0.9964507377141697,99.91126844285425,194.17765820264168,8.576721233869435,6.64011814815943,175,8.576721233869435,,,,,,,20,2020,34.03115224838257
185,1.9366030857100052,0.9964507377141697,109.87577581999595,213.54368905974172,8.576721233869435,6.64011814815943,185,8.576721233869435,,,,,,,20,2020,34.03115224838257
195,1.9366030857100052,0.9964507377141697,119.84028319713765,232.90971991684177,8.576721233869435,6.64011814815943,195,8.576721233869435,,,,,,,20,2020,34.03115224838257
205,1.9366030857100052,0.9964507377141697,129.80479057427934,252.2757507739418,8.576721233869435,6.64011814815943,205,8.576721233869435,,,,,,,20,2020,34.03115224838257
215,1.9366030857100052,0.9964507377141697,139.76929795142104,271.64178163104185,8.576721233869435,6.64011814815943,215,8.576721233869435,,,,,,,20,2020,34.03115224838257
225,1.9366030857100052,0.9964507377141697,149.73380532856274,291.0078124881419,8.576721233869435,6.64011814815943,225,8.576721233869435,,,,,,,20,2020,34.03115224838257
235,1.9366030857100052,0.9964507377141697,159.69831270570444,310.37384334524194,8.576721233869435,6.64011814815943,235,8.576721233869435,,,,,,,20,2020,34.03115224838257
245,1.9366030857100052,0.9964507377141697,169.66282008284614,329.739874202342,8.576721233869435,6.64011814815943,245,8.576721233869435,,,,,,,20,2020,34.03115224838257
255,1.9366030857100052,0.9964507377141697,179.62732745998784,349.105905059442,8.576721233869435,6.64011814815943,255,8.576721233869435,,,,,,,20,2020,34.03115224838257
265,1.2726548239200612,0.6548258894701244,187.88371059590932,365.1521946075924,7.912772972079491,6.64011814815943,265,7.912772972079491,,,,,,,20,2020,34.03115224838257
275,1.2726548239200612,0.6548258894701244,194.43196949061056,377.878742846793,7.912772972079491,6.64011814815943,275,7.912772972079491,,,,,,,20,2020,34.03115224838257
285,1.2726548239200612,0.6548258894701244,200.9802283853118,390.6052910859936,7.912772972079491,6.64011814815943,285,7.912772972079491,,,,,,,20,2020,34.03115224838257
295,1.2726548239200612,0.6548258894701244,207.52848728001302,403.3318393251942,7.912772972079491,6.64011814815943,295,7.912772972079491,,,,,,,20,2020,34.03115224838257
305,1.2726548239200612,0.6548258894701244,214.07674617471426,416.0583875643948,7.912772972079491,6.64011814815943,305,7.912772972079491,,,,,,,20,2020,34.03115224838257
