n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.4814155613455175,0.3396480375553201,0.6549522358144216,1.0,0.0,0.0,4.2654619148139385,0.6341493867144753,30,-3.558713864570872,,,,,,,0,2000,5.799591541290283
40,0.4808117670357357,0.3400434939884837,0.6549522358144216,0.99874579394963,9.993728969748153,4.811136641906266,3.443995203719718,0.6354214393149473,40,-3.558713864570872,,,,,,,0,2000,5.799591541290283
50,0.472884647581641,0.345235378598511,0.6549522358144216,0.9822795222073144,19.898855550532872,9.579618714993147,2.648808361813489,0.7014021991626515,50,-3.558713864570872,,,,,,,0,2000,5.799591541290283
60,0.4666879617027968,0.3492939118694997,0.6549522358144216,0.9694077200131248,29.65729176163507,14.277481761415338,2.6398723989984423,0.6673166099341357,60,-3.558713864570872,,,,,,,0,2000,5.799591541290283
70,0.4606762019362243,0.3532313273697955,0.6549522358144216,0.9569200477206672,39.28893060030403,18.91430257961044,2.606402419229567,0.6911002277984591,70,-3.558713864570872,,,,,,,0,2000,5.799591541290283
80,0.4601260779877392,0.3535916322798309,0.6549522358144216,0.9557773261456776,48.85241746963575,23.51831397923026,2.5400784375639773,0.7915343305996604,80,-3.558713864570872,,,,,,,0,2000,5.799591541290283
90,0.4569015155805032,0.3557035666379732,0.6549522358144216,0.9490792410272332,58.37670030550031,28.103451947071477,2.4926369157777466,0.7169434481866529,90,-3.692611673918108,,,,,,,0,2000,5.799591541290283
100,0.4498765783852722,0.3603045649604456,0.6549522358144216,0.934486989011954,67.79453145569624,32.63734241690035,2.428420532257528,0.7403156155411874,100,-3.692611673918108,,,,,,,0,2000,5.799591541290283
110,0.4435197003881402,0.3644680164174668,0.6549522358144216,0.9212824345530888,77.07337857352145,37.10432381076741,2.390075214044437,0.683274268565697,110,-3.692611673918108,,,,,,,0,2000,5.799591541290283
120,0.439306948399512,0.3672271677513505,0.6549522358144216,0.9125316746548132,86.24244911956096,41.51845705470567,2.3671814912318223,0.7578034984060508,120,-3.692611673918108,,,,,,,0,2000,5.799591541290283
