n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6020069038952893,0.26066646813248423,0.6549522358144216,1.0,0.0,0.0,3.439892756226017,0.7270068080630829,30,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
40,0.6020069038952893,0.26066646813248423,0.6549522358144216,1.0,10.0,6.020069038952894,3.439892756226017,0.7270068080630829,40,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
50,0.597630749972242,0.26353263992865217,0.6549522358144216,0.9927307246898143,19.96365362344907,12.01825730829055,3.418696947550583,0.749992233891449,50,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
60,0.5943003890225774,0.265713867278704,0.6549522358144216,0.987198627087419,29.863300382335236,17.977913003264646,3.4181677533601844,0.7573245121398062,60,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
70,0.5916981495320472,0.26741820985115133,0.6549522358144216,0.9828760196992107,39.71367361626838,23.90790569603777,3.370635203475537,0.7936969213182609,70,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
80,0.5916981495320472,0.26741820985115133,0.6549522358144216,0.9828760196992107,49.54243381326049,29.824887191358243,3.363647349000216,0.7554240981940743,80,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
90,0.5910475674666823,0.26784431002944287,0.6549522358144216,0.9817953309875774,59.36579056669443,35.73861577635189,3.360415599386433,0.9031513512937998,90,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
100,0.5865186610454792,0.2708105274158041,0.6549522358144216,0.9742723168960467,69.14612880611256,41.6264469189127,3.3326599908944234,0.8794517254165521,100,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
110,0.5652374827730647,0.2847486827060873,0.6549522358144216,0.9389219278312129,78.71210002974885,47.38522763800542,3.191366987524203,0.8243128233457235,110,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
120,0.5510280896525838,0.2940551564999123,0.6549522358144216,0.9153185554636553,87.98330244622319,52.96655550013366,3.1708163055169867,0.9006748479578568,120,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
130,0.5496911733085542,0.2949307728485313,0.6549522358144216,0.9130977896628331,97.12538417185563,58.47015181493935,3.1348676457588938,0.9350115520431098,130,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
140,0.5407802233242883,0.30076701946395673,0.6549522358144216,0.8982957169181394,106.18235170476049,63.922508798103564,3.129740781697051,0.9132100776992376,140,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
150,0.5318403503290137,0.30662220927010886,0.6549522358144216,0.8834455998556453,115.09105828862941,69.28561166637007,3.0706945269884063,0.7905937592167492,150,-3.3876832151957728,,,,,,,9,2009,5.713399171829224
160,0.5241425358189247,0.31166391009437633,0.6549522358144216,0.8706586792069281,123.86157968394228,74.56552609710977,3.0030745551017373,0.8142348900309917,160,-4.266692318997579,,,,,,,9,2009,5.713399171829224
170,0.5241425358189247,0.31166391009437633,0.6549522358144216,0.8706586792069281,132.56816647601156,79.80695145529901,3.0030745551017373,0.8142348900309917,170,-4.266692318997579,,,,,,,9,2009,5.713399171829224
180,0.4930892340046795,0.33200233954703623,0.6549522358144216,0.819075712943062,141.0168384367615,84.89311030441704,2.368478318337183,0.7432558425707836,180,-4.266692318997579,,,,,,,9,2009,5.713399171829224
190,0.481365448413017,0.3396808591325045,0.6549522358144216,0.7996012093853724,149.11022304840367,89.76538371650551,2.3031493812484003,0.7539983593766804,190,-4.266692318997579,,,,,,,9,2009,5.713399171829224
200,0.47941415701820844,0.3409588617942598,0.6549522358144216,0.7963598987256728,157.0900285889589,94.56928174366163,2.250589708398296,0.8512610135102239,200,-4.266692318997579,,,,,,,9,2009,5.713399171829224
