n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6090215080910435,0.2560722374311218,0.6549522358144216,1.0,0.0,0.0,3.8259249881499136,0.677744381548512,30,-4.507007076768097,,,,,,,0,2000,4.448052644729614
40,0.6063319985107335,0.2578337377439901,0.6549522358144216,0.9955838840753914,9.977919420376956,6.076767533008884,3.607255252848118,0.8209426697189285,40,-4.507007076768097,,,,,,,0,2000,4.448052644729614
50,0.524471074499305,0.3114487329511097,0.6549522358144216,0.8611700367417912,19.261689024462868,11.730782898059076,3.3344290377709744,0.7558306233743594,50,-3.709961654395524,,,,,,,0,2000,4.448052644729614
60,0.5223649032376079,0.3128281745279663,0.6549522358144216,0.8577117495816237,27.856097956079942,16.96496278674364,3.3101204527843286,0.8429901600115739,60,-3.709961654395524,,,,,,,0,2000,4.448052644729614
70,0.5220443093711399,0.3130381481975979,0.6549522358144216,0.857185341462684,36.43058341130149,22.187008849787382,3.305058351964958,0.8236664655523067,70,-3.709961654395524,,,,,,,0,2000,4.448052644729614
80,0.509016641126355,0.3215706486419683,0.6549522358144216,0.8357941950553599,44.8954810938917,27.342313602274857,3.2835638929892736,0.790166174400672,80,-3.709961654395524,,,,,,,0,2000,4.448052644729614
90,0.5061272164632519,0.3234630837852851,0.6549522358144216,0.8310498229359581,53.22970118384829,32.41803289022289,3.2825397637811333,0.8058413904925772,90,-10.807764073906087,,,,,,,0,2000,4.448052644729614
100,0.4522181371304997,0.3587709558249681,0.6549522358144216,0.7425322933962736,61.09761176550945,37.20975965819164,3.0935428623328667,0.7647085382463955,100,-10.807764073906087,,,,,,,0,2000,4.448052644729614
110,0.448753699954019,0.3610399966995428,0.6549522358144216,0.7368437633025829,68.49449204900372,41.71461884361424,3.0641211019206915,0.7141695973684437,110,-10.807764073906087,,,,,,,0,2000,4.448052644729614
120,0.4474290711114356,0.361907565321617,0.6549522358144216,0.7346687517061365,75.85205462404733,46.19553269894151,3.049652530749297,0.7247513533486691,120,-10.807764073906087,,,,,,,0,2000,4.448052644729614
130,0.4433233198103109,0.3645966363159866,0.6549522358144216,0.7279271978421457,83.16503437178874,50.64929465355024,3.050308569527212,0.7634209407164103,130,-10.807764073906087,,,,,,,0,2000,4.448052644729614
140,0.4433233198103109,0.3645966363159866,0.6549522358144216,0.7279271978421457,90.4443063502102,55.08252785165335,3.050308569527212,0.7634209407164103,140,-10.807764073906087,,,,,,,0,2000,4.448052644729614
150,0.4426503330733554,0.3650374104840291,0.6549522358144216,0.7268221683349531,97.7180531810957,59.512396116071685,3.0264860434516936,0.7214148910090419,150,-10.807764073906087,,,,,,,0,2000,4.448052644729614
160,0.4414787447065795,0.3658047449043031,0.6549522358144216,0.7248984458535449,104.97665625203818,63.93304150497136,2.9686725301979906,0.7239019388250042,160,-10.807764073906087,,,,,,,0,2000,4.448052644729614
170,0.4413970999983997,0.3658582182884679,0.6549522358144216,0.7247643870278793,112.2249704164453,68.34742072849625,2.9686725301979906,0.7799223022673972,170,-10.807764073906087,,,,,,,0,2000,4.448052644729614
180,0.4227950290162969,0.3780416862689747,0.6549522358144216,0.6942201932104715,119.31989331763704,72.66838137356973,2.720874293626804,0.5756317705722442,180,-10.807764073906087,,,,,,,0,2000,4.448052644729614
190,0.4227950290162969,0.3780416862689747,0.6549522358144216,0.6942201932104715,126.26209524974176,76.8963316637327,2.720874293626804,0.5756317705722442,190,-10.807764073906087,,,,,,,0,2000,4.448052644729614
200,0.4227950290162969,0.3780416862689747,0.6549522358144216,0.6942201932104715,133.20429718184647,81.12428195389566,2.720874293626804,0.5756317705722442,200,-10.807764073906087,,,,,,,0,2000,4.448052644729614
30,0.6124295017127172,0.2538401643889653,0.6549522358144216,1.0,0.0,0.0,3.6913379422952377,0.4956309222779962,30,-4.431672402851781,,,,,,,1,2001,4.224791765213013
40,0.608925951140483,0.256134822669539,0.6549522358144216,0.9942792589801176,9.971396294900588,6.106777264266001,3.4836709189478934,0.4987759292424636,40,-4.431672402851781,,,,,,,1,2001,4.224791765213013
50,0.6026239168336547,0.2602623541289754,0.6549522358144216,0.9839890389805844,19.86273778470409,12.16452660413669,3.473425847342582,0.5852750979611379,50,-4.431672402851781,,,,,,,1,2001,4.224791765213013
60,0.5969467062174613,0.2639806559152406,0.6549522358144216,0.974719056720885,29.65627826321144,18.16237971939227,3.4297527450091017,0.6709598154517005,60,-4.431672402851781,,,,,,,1,2001,4.224791765213013
70,0.594835788467065,0.265363206215483,0.6549522358144216,0.9712722636704312,39.38623486516802,24.1212921928149,3.4274316751198626,0.7069785691335267,70,-4.431672402851781,,,,,,,1,2001,4.224791765213013
80,0.594055359519573,0.2658743498995372,0.6549522358144216,0.9699979472873872,49.09258591995712,30.06574793274809,3.4257345602610245,0.7140956949623584,80,-4.431672402851781,,,,,,,1,2001,4.224791765213013
90,0.5605899493647944,0.2877925951028561,0.6549522358144216,0.9153542535051814,58.519346923919954,35.83897447716993,3.3146253061106346,0.7587374416860412,90,-4.431672402851781,,,,,,,1,2001,4.224791765213013
100,0.5603961909727906,0.2879194975949068,0.6549522358144216,0.9150378768586254,67.671307575739,41.443905178857854,3.2850208889980266,0.7732735401735218,100,-4.431672402851781,,,,,,,1,2001,4.224791765213013
110,0.5484258626157751,0.2957594909157669,0.6549522358144216,0.895492233933947,76.72395812970186,46.98801544680068,3.239842708293005,0.7861689397400008,110,-4.431672402851781,,,,,,,1,2001,4.224791765213013
120,0.5484258626157751,0.2957594909157669,0.6549522358144216,0.895492233933947,85.67888046904133,52.472274072958434,3.239842708293005,0.7861689397400008,120,-4.431672402851781,,,,,,,1,2001,4.224791765213013
130,0.533875031939252,0.3052895900003127,0.6549522358144216,0.8717330410214071,94.5150068438181,57.88377854573357,3.226344667102736,0.770141497470702,130,-4.431672402851781,,,,,,,1,2001,4.224791765213013
140,0.533875031939252,0.3052895900003127,0.6549522358144216,0.8717330410214071,103.23233725403216,63.222528865126094,3.223966388267713,0.7998195855711432,140,-4.431672402851781,,,,,,,1,2001,4.224791765213013
150,0.533875031939252,0.3052895900003127,0.6549522358144216,0.8717330410214071,111.94966766424623,68.56127918451861,3.223966388267713,0.7998195855711432,150,-4.431672402851781,,,,,,,1,2001,4.224791765213013
160,0.533875031939252,0.3052895900003127,0.6549522358144216,0.8717330410214071,120.66699807446032,73.90002950391113,3.223966388267713,0.7998195855711432,160,-4.431672402851781,,,,,,,1,2001,4.224791765213013
170,0.5332350233808838,0.3057087650365563,0.6549522358144216,0.8706880088069591,129.37910332360215,79.23557978051181,3.2187150990654336,0.7973733813295477,170,-4.431672402851781,,,,,,,1,2001,4.224791765213013
180,0.5321289885432892,0.3064331650263276,0.6549522358144216,0.8688820297767171,138.07695351652052,84.56239984013268,3.217225795742132,0.7631440909121064,180,-4.431672402851781,,,,,,,1,2001,4.224791765213013
190,0.5321289885432892,0.3064331650263276,0.6549522358144216,0.8688820297767171,146.76577381428768,89.88368972556557,3.217225795742132,0.7631440909121064,190,-4.431672402851781,,,,,,,1,2001,4.224791765213013
200,0.5319013704563236,0.3065822440012976,0.6549522358144216,0.8685103656319805,155.45273579133118,95.20384152056364,3.1577531309025493,0.7380419185168843,200,-4.431672402851781,,,,,,,1,2001,4.224791765213013
30,0.6255595252746909,0.2452406261007546,0.6549522358144216,1.0,0.0,0.0,3.611899943556837,0.5894608949219818,30,-8.084859228074576,,,,,,,2,2002,4.2675535678863525
40,0.4849479130595067,0.3373345159025599,0.6549522358144216,0.7752226502291051,8.876113251145526,5.5525371916709885,3.595704196098548,0.6563130545734756,40,-7.214044784821337,,,,,,,2,2002,4.2675535678863525
50,0.4685781083475468,0.3480559560985035,0.6549522358144216,0.7490543895751381,16.49749845016674,10.320167298706256,3.3469868304606742,0.6870503157576083,50,-7.214044784821337,,,,,,,2,2002,4.2675535678863525
60,0.465028209346109,0.3503809703864106,0.6549522358144216,0.7433796314457995,23.959668555271428,14.988198887174535,3.3390418901378154,0.6728089982618349,60,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
70,0.4599670873821457,0.3536957635324378,0.6549522358144216,0.7352890792929234,31.353012108965043,19.61317537081581,3.2303738121106766,0.6495271486814874,70,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
80,0.4557136646215632,0.3564815522793453,0.6549522358144216,0.7284896899642823,38.67190595525107,24.19157913083436,3.096753182665903,0.6931849326171925,80,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
90,0.4493518381944438,0.3606482447216504,0.6549522358144216,0.7183198721130941,45.90595376563795,28.716906644914392,3.061137839173272,0.6493751444431731,90,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
100,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,53.08895248833202,33.21029991593161,3.061137839173272,0.6984226844923546,100,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
110,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,60.271751212589216,37.7035680760216,3.061137839173272,0.6984226844923546,110,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
120,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,67.4545499368464,42.19683623611159,3.061137839173272,0.6984226844923546,120,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
130,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,74.6373486611036,46.690104396201576,3.061137839173272,0.6984226844923546,130,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
140,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,81.8201473853608,51.183372556291566,3.061137839173272,0.6984226844923546,140,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
150,0.4493268160089987,0.3606646330579526,0.6549522358144216,0.7182798724257196,89.002946109618,55.67664071638156,3.061137839173272,0.6984226844923546,150,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
160,0.447431187302036,0.3619061793178518,0.6549522358144216,0.7152495793354973,96.17059336842408,60.16043073293673,3.04683053639715,0.6778565595958075,160,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
170,0.447431187302036,0.3619061793178518,0.6549522358144216,0.7152495793354973,103.32308916177904,64.63474260595709,3.04683053639715,0.6778565595958075,170,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
180,0.447431187302036,0.3619061793178518,0.6549522358144216,0.7152495793354973,110.47558495513402,69.10905447897744,3.04683053639715,0.6778565595958075,180,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
190,0.447431187302036,0.3619061793178518,0.6549522358144216,0.7152495793354973,117.628080748489,73.5833663519978,3.040841574813788,0.6647669116282289,190,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
200,0.4396433004225732,0.3670068732418258,0.6549522358144216,0.7028001056006946,124.71832917316996,78.01873879062084,2.592660636851396,0.6562854194426129,200,-7.130491508001221,,,,,,,2,2002,4.2675535678863525
30,0.6369640113274176,0.2377712324622068,0.6549522358144216,1.0,0.0,0.0,3.938780476611602,0.5729233267759087,30,-8.366027758694097,,,,,,,3,2003,4.284796237945557
40,0.6266422341815336,0.2445315034814817,0.6549522358144216,0.983795352700738,9.91897676350369,6.318031227544756,3.919857700134577,0.4808834587355005,40,-8.366027758694097,,,,,,,3,2003,4.284796237945557
50,0.6139584844916631,0.252838753699373,0.6549522358144216,0.9638825327229844,19.6573661906223,12.52103482091074,3.586450970253357,0.5810295657949279,50,-8.366027758694097,,,,,,,3,2003,4.284796237945557
60,0.6130496712422027,0.2534339829690448,0.6549522358144216,0.9624557437156016,29.28905757281523,18.65607559958007,3.333379624295938,0.5669414813836136,60,-8.366027758694097,,,,,,,3,2003,4.284796237945557
70,0.5176072943411646,0.3159441811118224,0.6549522358144216,0.8126162312726012,38.16441744775624,24.309360427496905,3.31014690641398,0.7387149847704435,70,-3.86936411651107,,,,,,,3,2003,4.284796237945557
80,0.5088735527203099,0.3216643647134267,0.6549522358144216,0.798904716233229,46.2220221852854,29.44176466280428,3.235152811254873,0.6788683149303913,80,-3.86936411651107,,,,,,,3,2003,4.284796237945557
90,0.4973646140866027,0.3292021698034242,0.6549522358144216,0.7808362878306214,54.12072720560465,34.47295549683884,3.208629407724985,0.7193212801440186,90,-3.86936411651107,,,,,,,3,2003,4.284796237945557
100,0.496089978371256,0.3300369953150394,0.6549522358144216,0.7788351767903127,61.91908452870932,39.440228459128136,3.206066091584829,0.7744607575898761,100,-3.86936411651107,,,,,,,3,2003,4.284796237945557
110,0.4954835495087197,0.33043417725442,0.6549522358144216,0.7778831153680785,69.70267598950127,44.398096098528015,3.192510415728361,0.8102086960353074,110,-3.86936411651107,,,,,,,3,2003,4.284796237945557
120,0.4723354429930687,0.3455950813717159,0.6549522358144216,0.7415418054918567,77.29980059380095,49.23719106103696,3.0938026184362237,0.7473555676520856,120,-3.86936411651107,,,,,,,3,2003,4.284796237945557
130,0.4636911352020076,0.3512566900865395,0.6549522358144216,0.7279706968619568,84.64736310557002,53.91732395201234,3.071332170538322,0.770487381489578,130,-3.86936411651107,,,,,,,3,2003,4.284796237945557
140,0.4636911352020076,0.3512566900865395,0.6549522358144216,0.7279706968619568,91.9270700741896,58.55423530403242,3.071332170538322,0.770487381489578,140,-3.86936411651107,,,,,,,3,2003,4.284796237945557
