n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.7092125611859911,0.1904518831979845,0.6549522358144216,1.0,0.0,0.0,4.594936419560521,0.7431332320469217,30,-7.214072996282479,,,,,,,11,2011,4.040603876113892
40,0.7029808130415524,0.194533380578217,0.6549522358144216,0.9912131447107795,9.956065723553898,7.060966871137717,4.478197570140485,0.6842676459161264,40,-7.214072996282479,,,,,,,11,2011,4.040603876113892
50,0.6234780439370818,0.24660389695662763,0.6549522358144216,0.8791130869065003,19.307696881640297,13.69326115603089,4.403640071428202,0.7637943555415508,50,-7.214072996282479,,,,,,,11,2011,4.040603876113892
60,0.5101112634018957,0.32085372333523066,0.6549522358144216,0.7192642817110496,27.299583724728045,19.361207692725777,4.119309222778932,0.6454764866466649,60,-7.214072996282479,,,,,,,11,2011,4.040603876113892
70,0.46589004450959925,0.3498165095191792,0.6549522358144216,0.6569117215443954,34.18046374100527,24.24121423228325,3.9464517700127417,0.5959755192452314,70,-3.725745836653155,,,,,,,11,2011,4.040603876113892
80,0.4635286747187042,0.35136309394331056,0.6549522358144216,0.6535821558822387,40.73293312813844,28.888307828424768,3.9441157389840904,0.6692560882775944,80,-3.725745836653155,,,,,,,11,2011,4.040603876113892
90,0.45760634372589054,0.3552419378682869,0.6549522358144216,0.6452315832656033,47.22700182387765,33.49398292064774,3.931654399470498,0.718394275330513,90,-3.725745836653155,,,,,,,11,2011,4.040603876113892
100,0.45760634372589054,0.3552419378682869,0.6549522358144216,0.6452315832656033,53.679317656533684,38.07004635790664,3.931654399470498,0.718394275330513,100,-3.725745836653155,,,,,,,11,2011,4.040603876113892
110,0.4076685761629152,0.3879487903852385,0.6549522358144216,0.5748186065418602,59.779568605571,42.39642095735067,3.754501356584098,0.6836369426830483,110,-3.725745836653155,,,,,,,11,2011,4.040603876113892
120,0.4076685761629152,0.3879487903852385,0.6549522358144216,0.5748186065418602,65.52775467098961,46.47310671897982,3.754501356584098,0.6836369426830483,120,-3.725745836653155,,,,,,,11,2011,4.040603876113892
130,0.40679416409383795,0.38852148852490376,0.6549522358144216,0.5735856728391422,71.26977606789463,50.54542042026359,2.779115545761978,0.8453408317253821,130,-3.725745836653155,,,,,,,11,2011,4.040603876113892
140,0.40678957556972095,0.38852449378903325,0.6549522358144216,0.5735792029535702,77.00560044685818,54.613339118581386,2.776049572675161,0.9049009893075475,140,-3.725745836653155,,,,,,,11,2011,4.040603876113892
150,0.405036799134541,0.38967247863413723,0.6549522358144216,0.5711077627519912,82.729035275386,58.672470992102696,2.6789164715918248,0.7899235101789336,150,-3.725745836653155,,,,,,,11,2011,4.040603876113892
160,0.405036799134541,0.38967247863413723,0.6549522358144216,0.5711077627519912,88.44011290290591,62.722838983448106,2.6789164715918248,0.7899235101789336,160,-3.725745836653155,,,,,,,11,2011,4.040603876113892
170,0.40241331411401715,0.39139073601395497,0.6549522358144216,0.5674086108134854,94.1326947707333,66.7600895496909,2.6714344053574237,0.7896831252864719,170,-3.725745836653155,,,,,,,11,2011,4.040603876113892
180,0.4020867309665966,0.39160463237653736,0.6549522358144216,0.5669481238377971,99.80447844398971,70.78258977509397,2.639250250116917,0.8212152930472838,180,-3.725745836653155,,,,,,,11,2011,4.040603876113892
190,0.4020123853092035,0.39165332523107005,0.6549522358144216,0.5668432953823216,105.4734355400903,74.80308535647296,2.639250250116917,0.8598327210153264,190,-3.725745836653155,,,,,,,11,2011,4.040603876113892
200,0.4007338147240511,0.39249072789446215,0.6549522358144216,0.5650404923087067,111.13285447854545,78.81681635663924,2.639250250116917,0.7963286720325464,200,-3.725745836653155,,,,,,,11,2011,4.040603876113892
