n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.7133319967041225,0.1922310144478626,0.6705701795726954,1.0,0.0,0.0,10.993454424010377,0.6174448160506252,30,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
40,0.7081911699088872,0.1956782995950957,0.6705701795726954,0.9927932199607084,9.963966099803542,7.107615833065049,10.9379322870664,0.5726755594611214,40,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
50,0.7066147463439988,0.1967354022280855,0.6705701795726954,0.9905832762428153,19.88084858082116,14.181645414329479,10.555664913935926,0.6961975885169017,50,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
60,0.7029489418285829,0.1991935814202663,0.6705701795726954,0.9854442883208472,29.76098640363947,21.229463855192385,7.558953768057371,0.8033590001821983,60,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
70,0.7016630574933511,0.2000558571098524,0.6705701795726954,0.983641643351642,39.60641606200191,28.252523851802056,7.551611059287851,0.8200237893500345,70,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
80,0.678407142322316,0.2156505803222208,0.6705701795726954,0.951039832023275,49.2798234388765,35.152874850880394,7.450807654486232,0.5811624121909749,80,-7.1097092645408475,,,,,,,,,0,2000,7.3661792278289795
90,0.6355340424137078,0.2444000026267743,0.6705701795726954,0.8909372428968949,58.48970881347735,41.72258077456051,7.3569064577375505,0.6333289926074374,90,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
100,0.6344362890430882,0.2451361233016372,0.6705701795726954,0.8893983334189917,67.39138669505678,48.07243243184449,7.169978016857376,0.7301987984101822,100,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
110,0.6330434551687096,0.2460701161628942,0.6705701795726954,0.8874457589083654,76.27560715669357,54.40983115290348,7.166161614254951,0.6275879896846124,110,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
120,0.6304069757157378,0.2478380606631133,0.6705701795726954,0.8837497527497277,85.13158471498403,60.727083307325714,6.1846713467803,0.81610483600657,120,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
130,0.6279263241088221,0.24950151165662,0.6705701795726954,0.8802721972518988,93.95169446499216,67.01874980644851,5.421039613275254,0.8023474208314053,130,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
140,0.6264216486429128,0.2505105021539934,0.6705701795726954,0.8781628351696404,102.74386962709985,73.29048967020718,4.049796204661208,0.8127232078734221,140,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
150,0.5945029449164627,0.2719142330435667,0.6705701795726954,0.8334169049801533,111.30176832784882,79.39511263800406,3.9348955133293257,0.8051870280481596,150,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
160,0.5912972773004376,0.2740638581524951,0.6705701795726954,0.8289229699949899,119.61346770272453,85.32411374908857,3.926752591083825,0.7090820575271933,160,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
170,0.5906280519367864,0.2745126207247733,0.6705701795726954,0.827984801839428,127.89800656189662,91.23374039527468,3.9244052305821913,0.8129535792321584,170,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
180,0.5733984281471147,0.2860662926433834,0.6705701795726954,0.8038310783708617,136.05708596294807,97.05387279569419,3.925135990051095,0.7869001405884881,180,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
190,0.5707159602156533,0.2878650756458815,0.6705701795726954,0.8000706022617631,144.07659436611118,102.77444473750803,3.9077797204263143,0.8078872089292152,190,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
200,0.5694480950559291,0.2887152682137117,0.6705701795726954,0.7982932178663031,152.0684134667515,108.47526501386595,3.8875531516459967,0.534298493010655,200,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
210,0.5665818887797236,0.2906372606710392,0.6705701795726954,0.7942751641557609,160.03125537686182,114.15541493304421,3.861005169491526,0.5608305244982275,210,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
220,0.5665535839313173,0.2906562410583178,0.6705701795726954,0.7942354843873822,167.97380861957754,119.82109229659942,3.8593450386017514,0.6088987473590941,220,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
230,0.560082901064577,0.2949952880302258,0.6705701795726954,0.7851644166424369,175.87080812472664,125.45427472157888,3.849195043514397,0.5807173803308164,230,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
240,0.5589556416120425,0.2957511946037369,0.6705701795726954,0.7835841434207912,183.71455092504277,131.04946743496197,3.812338521023313,0.5751083877439869,240,-7.939187417898682,,,,,,,,,0,2000,7.3661792278289795
250,0.5525840395339658,0.3000238009533985,0.6705701795726954,0.7746519742379759,191.5057315133366,136.607165840692,3.8433958396209222,0.5990818356393427,250,-7.767579117610962,,,,,,,,,0,2000,7.3661792278289795
30,0.677536631163958,0.216234319146001,0.6705701795726954,1.0,0.0,0.0,5.628265925604702,0.7895092862443341,30,-8.020347812202177,,,,,,,,,1,2001,7.238293170928955
40,0.6477929005559081,0.2361795779210029,0.6705701795726954,0.9561001881817779,9.78050094090889,6.626647658599331,5.510847765270789,0.7511641277677146,40,-8.020347812202177,,,,,,,,,1,2001,7.238293170928955
50,0.5760472341114287,0.2842900823522402,0.6705701795726954,0.8502082509130494,18.812043136383025,12.745848331936015,5.53028167751445,0.7332274698859862,50,-3.6172841411768006,,,,,,,,,1,2001,7.238293170928955
60,0.4787194013441856,0.3495552246483916,0.6705701795726954,0.7065587000392598,26.59587789114457,18.019681509214088,5.186813053641004,0.6739540565287768,60,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
70,0.4767831302716272,0.3508536302892185,0.6705701795726954,0.7037008898729932,33.647175840705835,22.797194167293153,4.670865713920917,0.5142301632162386,70,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
80,0.4752473296057547,0.3518834924175205,0.6705701795726954,0.7014341479800359,40.67285102997098,27.557346466680062,4.6649064829362095,0.7058430189576747,80,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
90,0.4635453748840656,0.3597304742965951,0.6705701795726954,0.6841628239165886,47.6008358894541,32.25130998912916,4.644549708381514,0.7230225985212461,90,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
100,0.46105678123888655,0.3613992509841263,0.6705701795726954,0.6804898215566957,54.42409911682052,36.874320769743925,4.633082102701217,0.8085374396431175,100,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
110,0.45077342202704307,0.3682949650174227,0.6705701795726954,0.6653122521990399,61.1531094855992,41.433471786073575,3.850684179026771,0.8228979473229182,110,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
120,0.4490049214500456,0.3694808687669143,0.6705701795726954,0.6627020603722757,67.79318104845578,45.932363503459015,3.8104891654912,0.9487500545422308,120,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
130,0.4438253527722908,0.3729541330652655,0.6705701795726954,0.6550573538877618,74.38197811975597,50.3965148745707,3.747936332643268,0.7676053763428856,130,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
140,0.4394630437704734,0.3758793673959657,0.6705701795726954,0.6486188695296198,80.90035923684287,54.81295685728452,3.666383515427644,0.7008639758741234,140,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
150,0.43759450392959276,0.3771323544926038,0.6705701795726954,0.6458610262560087,87.37275871577101,59.19824459578485,3.6633483642091593,0.7507111063785575,150,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
160,0.4375925927315665,0.3771336360850075,0.6705701795726954,0.645858205452028,93.8313548743112,63.574180079090645,3.6633483642091593,0.7841280059398134,160,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
170,0.43692496471104314,0.3775813275266176,0.6705701795726954,0.6448728299168685,100.28501005115568,67.94676786630369,3.659071151198502,0.7188789093182103,170,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
180,0.4318804435842152,0.3809640329644929,0.6705701795726954,0.6374274448339072,106.69651142490956,72.29079490777998,3.691903838647881,0.804931452332163,180,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
190,0.42765684216590305,0.3837962541260139,0.6705701795726954,0.6311936838473517,113.03961706831585,76.58848133653058,3.689368487373413,0.8492314529475657,190,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
200,0.4153067960129535,0.3920778267925284,0.6705701795726954,0.6129658189838194,119.26041458247171,80.80329952742485,3.6246438074186655,0.8145035579685171,200,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
210,0.4125086276952489,0.3939541950238062,0.6705701795726954,0.6088359045422967,125.36942320010229,84.94237664596587,3.6094938176630222,0.8360055103725336,210,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
220,0.4093988348290225,0.3960395293845455,0.6705701795726954,0.6042460525354998,131.43483298549128,89.05191395858722,3.5963448773902473,0.8337813208423847,220,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
230,0.4093971442256498,0.3960406630527527,0.6705701795726954,0.6042435573148801,137.47728103474319,93.14589385386058,3.583214532046578,0.7924401334226675,230,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
240,0.40323347709458407,0.4001738344276578,0.6705701795726954,0.5951463855199366,143.47423074891728,97.20904696046175,3.57821107462542,0.8621915912894502,240,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
250,0.40099252076173125,0.4016765529181935,0.6705701795726954,0.5918388797264815,149.40915707514938,101.23017694974332,3.571435353252285,0.8477210330106433,250,-3.6141653443177986,,,,,,,,,1,2001,7.238293170928955
30,0.7717137395339362,0.1530819586747075,0.6705701795726954,1.0,0.0,0.0,7.755161575419719,1.013891825256822,30,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
40,0.7042874508793987,0.1982960171657011,0.6705701795726954,0.9126278499392035,9.563139249696018,7.380005952066675,7.451880555780358,0.6420355236855733,40,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
50,0.6984738255176556,0.2021944609684936,0.6705701795726954,0.905094453727735,18.65175076803071,14.393812334051947,7.421206175534133,0.7221574984531004,50,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
60,0.6268039465457276,0.2502541445806527,0.6705701795726954,0.8122233859983826,27.238339966661297,21.020201194368866,7.25376365495835,0.6295545579308404,60,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
70,0.5697341425287492,0.2885234533084964,0.6705701795726954,0.7382713477057319,34.990813635181865,27.00289163974125,7.348752406586955,0.8233916181840321,70,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
80,0.56319318222958,0.2929096262308882,0.6705701795726954,0.7297954583129637,42.331147665275346,32.667528263532894,5.318436191101095,0.8625693454990191,80,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
90,0.5611908568587956,0.2942523259143381,0.6705701795726954,0.7272008104944685,49.6161290093125,38.289448458974775,5.256843693967066,0.7822149233883756,90,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
100,0.5601137760711001,0.2949745841715573,0.6705701795726954,0.7258051105962836,56.881158614766264,43.895971623624256,5.226759285551638,0.764747602398114,100,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
110,0.48577346886113293,0.3448249773268343,0.6705701795726954,0.6294736558072788,63.657552446784074,49.12540784828542,5.159674242283143,0.7502462985094616,110,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
120,0.4761345288967217,0.35128856302966,0.6705701795726954,0.6169833508267915,69.88983747995442,53.934947837074695,5.091069218846081,0.7337106611835152,120,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
130,0.4656990132978978,0.358286308598697,0.6705701795726954,0.6034608293732713,75.99205838095473,58.64411554804779,5.044165979206247,0.6343904654122029,130,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
140,0.46420129105523245,0.3592906364719111,0.6705701795726954,0.6015200550084533,82.01696280286336,63.29361706981344,5.026657930874092,0.5748516321916153,140,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
150,0.4612625162855938,0.3612612911969114,0.6705701795726954,0.5977119398757442,88.01312277728435,67.92093610651757,5.00665006798244,0.5430664536782076,150,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
160,0.46029799493244233,0.3619080704538959,0.6705701795726954,0.5964620964380286,93.98399295885322,72.52873866260775,4.34173660536311,0.5010286810198739,160,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
170,0.4590894883136773,0.362718458954256,0.6705701795726954,0.5948960926767183,99.94078390442695,77.12567607883835,4.258399962305716,0.4243774818685565,170,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
180,0.4518219917167272,0.3675918254523167,0.6705701795726954,0.5854787449937041,105.84265809277906,81.68023347899037,4.246601532912659,0.4243098373765063,180,-10.92292019885556,,,,,,,,,2,2002,7.684922218322754
