x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,run,seed
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,14.0,4.0,41.0,0.7617840953171253,0.7120682895183563,0.23274024948477745,0.6142838448286057,0.944077436812222,0.5110693397000432,0.9434487139806151,0.34562341682612896,0.8768182499334216,-11.201290440382223,83.90259597630798,4,2004
2.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,0.20511848505030916,0.5179900396294363,0.5,0.054861614151129716,0.03483330887586404,0.101329910779559,0.02308603470968751,0.4678378124665596,0.4509617261136094,-7.571349731006859,47.47017336103093,4,2004
1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,0.20962693577425484,0.5002550768014246,0.5,0.12960996030175817,0.03483330887586404,0.5,0.02308603470968751,0.13350030963327716,0.4999358370309393,-7.435768857866832,40.98518286178307,4,2004
1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.6021907460829306,0.5002550768014246,0.5,0.12960996030175817,0.04595934614051589,0.5,0.16036089080824562,0.12013935758993949,0.5,-7.26325297549852,39.026639184777366,4,2004
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.251186867404403,0.5,0.5,0.054257455610315364,0.12601901164139717,0.5,0.4177959915458582,0.5,0.5,-3.65271983654745,25.030098649280486,4,2004
2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.7836654695190501,0.6788933299361516,0.5,0.11794266765836176,0.27006599601024783,0.6825033007910087,0.2127437382214732,0.49648906416824523,0.5462757869502394,-8.60627297073522,58.98131737363562,4,2004
1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.6021907460829306,0.49998463992759307,0.5,0.12960996030175817,0.04595934614051589,0.5,0.16036089080824562,0.12013935758993949,0.5,-7.150763671960472,38.02474567286284,4,2004
2.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,16.0,12.0,0.0,0.20962693577425484,0.504312126608468,0.5,0.12960996030175817,0.03483330887586404,0.5,0.01743724596712959,0.1149416578173825,0.4979631947422829,-8.179708227177697,49.35663141895172,4,2004
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25523850787431,0.5,0.5,0.03954644775834326,0.5,0.5,0.1497848842685604,0.1516594709828496,0.5,-3.5444043425106386,18.00197168937185,4,2004
2.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,0.0,0.7818611045115886,0.5050792250529444,0.5,0.19857519201347798,0.16610560299691052,0.6852335939082693,0.01743724596712959,0.3000558901819705,0.4979631947422829,-8.493709225749496,56.75710699115739,4,2004
2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,6.0,0.0,0.21220076765430357,0.44243779523232857,0.5,0.12927777084243436,0.27006599601024783,0.4972697068824934,0.005946646286985893,0.1000467096957192,0.5,-7.5313718815676465,44.20110355740913,4,2004
1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4303894955664873,0.5,0.5,0.12259045293383361,0.10613579151331953,0.5,0.15233109180453724,0.13562921595582014,0.5,-4.110691126559652,26.396765138502893,4,2004
2.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,50.0,34.0,0.0,0.20962693577425484,0.5050840365433661,0.5,0.13548522869618954,0.03483330887586404,0.49998044447733336,0.01743724596712959,0.13350030963327716,0.49798396165144226,-8.180711735549595,56.50869634901872,4,2004
1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.21753866232473168,0.66319892662796,0.5,0.12960996030175817,0.03483330887586404,0.5,0.02308603470968751,0.13350030963327716,0.49987280605348067,-7.453701321330933,42.33550571864999,4,2004
2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,14.0,5.0,1.0,0.7617840953171253,0.48803145924917424,0.23274024948477745,0.14507006067245828,0.9973172808432024,0.5112903466666558,0.9434487139806151,0.3454867378722446,0.8768182499334216,-11.026265627228678,72.52519249758831,4,2004
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.6380793370221018,0.5,0.5,0.12960996030175817,0.06570142150782532,0.5,0.16036089080824562,0.12012300786518196,0.5,-4.227052640768634,29.70478836524002,4,2004
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.038840468744961276,0.4430755269633953,0.5,0.12960996030175817,0.03483330887586404,0.5,0.00892993707060908,0.10011532044344587,0.5,-7.067357952510134,33.025702692393594,4,2004
1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.18882767700379469,0.5002550768014246,0.5,0.13020674052053297,0.0455255033870089,0.5,0.16036089080824562,0.12013639574955072,0.5,-7.116132831881345,36.73875441706977,4,2004
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.25523850787431,0.5,0.5,0.03954644775834326,0.5,0.5,0.1497848842685604,0.1516594709828496,0.5,-3.5444420144889848,21.00197168937185,4,2004
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11072795729849064,0.5,0.5,0.03924402067760635,0.5,0.5,0.23369741343929723,0.5,0.5,-3.472092992500065,17.223473368393897,4,2004
1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.18607680236486704,0.5,0.5,0.13010443404830807,0.055998430974914054,0.5,0.16036089080824562,0.11995951620973044,0.5,-7.127265739836097,37.790911666895525,4,2004
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.6344494157565855,0.5,0.5,0.1296191597318549,0.06570142150782532,0.5,0.16036089080824562,0.12013935758993949,0.5,-4.224347879856379,28.6726074059043,4,2004
2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,22.0,0.0,0.20962693577425484,0.5050840365433661,0.5,0.6023920077037236,0.027756885235875606,0.49982755744524215,0.01743724596712959,0.13350030963327716,0.49798396165144226,-8.180456781184677,54.26676115903145,4,2004
2.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,4.0,1.0,0.7617840953171253,0.7120682895183563,0.23274024948477745,0.14738250342819542,0.9662774964265451,0.5112222267321346,0.9434487139806151,0.34562341682612896,0.8768182499334216,-11.062484406419221,74.235305607784,4,2004
1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.6380793370221018,0.5,0.5,0.12961280514397885,0.05615082926345103,0.5,0.16036089080824562,0.12012300786518196,0.5,-4.227133963292064,32.6475018808271,4,2004
1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.18607680236486704,0.5,0.5,0.1301107886361841,0.06554902321928835,0.5,0.16036089080824562,0.11995951620973044,0.5,-7.122414279461232,36.84825334788903,4,2004
2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,36.0,1.0,0.7617840953171253,0.713454475642108,0.23274024948477745,0.13298565521869776,0.028565998582391505,0.5111524187058321,0.9434487139806151,0.14050106440474,0.7595577029039496,-10.97961899249433,71.60177156573222,4,2004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11150395032018423,0.5,0.5,0.060755423962597754,0.5,0.5,0.23369741343929723,0.5,0.5,-3.350916466150037,16.353748940970412,4,2004
2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,31.0,9.0,26.0,0.2265059770168611,0.7107792917835889,0.23274024948477745,0.12696535549906177,0.27370883452980505,0.5110693397000432,0.007289867638476222,0.09185622184264605,0.4824186560836864,-10.789535522709834,62.73461093264317,4,2004
2.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,48.0,28.0,0.0,0.7498904597014189,0.6606439035385847,0.5,0.8615844864398241,0.7817580830305815,0.032413718290627,0.20640139002352953,0.479662848636508,0.48406727612018585,-8.56017197227547,69.56682929708487,4,2004
