n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6942594005766319,0.2050205286579915,0.6705701795726954,1.0,0.0,0.0,3.9914640274933673,0.9236426359361458,30,-7.675608429373103,,,,,,,,,13,2013,7.483536958694458
40,0.5955343766921869,0.2712225856525024,0.6705701795726954,0.8577980740304749,9.288990370152375,6.448968886344094,3.664172901201848,0.7169645182479912,40,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
50,0.5520097545767636,0.3004088993202755,0.6705701795726954,0.7951059130323337,17.553510305466418,12.186689542688846,3.5468450395117403,0.768311807166299,50,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
60,0.5520097545767636,0.3004088993202755,0.6705701795726954,0.7951059130323337,25.504569435789755,17.706787088456483,3.5468450395117403,0.768311807166299,60,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
70,0.5383465194721453,0.3095710573379234,0.6705701795726954,0.7754256104058658,33.357227052980754,23.158568458701026,3.4648512585201514,0.8294394423314776,70,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
80,0.5307512374262595,0.3146642269833383,0.6705701795726954,0.7644854891203962,41.05678255061206,28.50405724319305,3.421860960547528,0.8412580244176039,80,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
90,0.5300472352166166,0.3151363098714781,0.6705701795726954,0.7634714557359605,48.696567274893845,33.80804960640743,3.4307686087322313,0.7792481436390157,90,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
100,0.5296317217655013,0.3154149408010073,0.6705701795726954,0.7628729568884547,56.32828933801592,39.10644439131802,3.4307686087322313,0.8369835268355296,100,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
110,0.5245461376091721,0.318825181881949,0.6705701795726954,0.7555477638091744,63.92039294150406,44.377333688191385,3.40563477582561,0.928024424672462,110,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
120,0.5232430731917236,0.3196989780223523,0.6705701795726954,0.7536708509198909,71.46648601514939,49.616279742195864,3.393989694584264,0.9373900591325044,120,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
130,0.5145890746991979,0.3255020913455071,0.6705701795726954,0.74120577160611,78.9408691277794,54.80544048165047,3.3122120967192035,0.9689966430618802,130,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
140,0.5124451272293559,0.3269397585853535,0.6705701795726954,0.7381176643826985,86.33748630772344,59.94061149129324,3.3097867360449915,0.868749268694896,140,-3.55024895771891,,,,,,,,,13,2013,7.483536958694458
150,0.5078540266558982,0.3300184137213333,0.6705701795726954,0.731504717450119,93.68559821688753,65.0421072607195,3.189244229290892,0.8312961660662526,150,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
160,0.5074870855157237,0.3302644735075927,0.6705701795726954,0.7309761813728695,100.99800271100247,70.11881282157762,3.145476958497645,0.788303796070596,160,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
170,0.5074870855157237,0.3302644735075927,0.6705701795726954,0.7309761813728695,108.30776452473117,75.19368367673486,3.145476958497645,0.788303796070596,170,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
180,0.500750552093388,0.3347817919343058,0.6705701795726954,0.7212729877009645,115.56901037010034,80.23487186478042,3.1216372714274354,0.829186683504138,180,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
190,0.4937987219066801,0.3394434819509654,0.6705701795726954,0.711259684055477,122.73167372888255,85.20761823478075,3.090712085924875,0.8198589937674801,190,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
200,0.4927423936062136,0.340151824209097,0.6705701795726954,0.709738165874248,129.8366629785312,90.14032381234522,3.0816799694395747,0.7934730654621391,200,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
210,0.4573803395269568,0.3638645631630836,0.6705701795726954,0.6588032357171827,136.67936998648835,94.89093747801107,2.962134530468428,0.7021778793054955,210,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
220,0.45567777878830534,0.3650062496233345,0.6705701795726954,0.6563508947949894,143.25514063904922,99.45622806958738,2.9572213832934717,0.758027308709522,220,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
230,0.4512917534342524,0.3679473874326122,0.6705701795726954,0.6500333348881159,149.78706178746475,103.99107573070017,2.927426433956846,0.7319522958450623,230,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
240,0.449944357123648,0.3688509112185698,0.6705701795726954,0.6480925670576979,156.27769129719383,108.49725628348968,2.903826777194725,0.6918201992942021,240,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
250,0.447654991501659,0.3703860915348145,0.6705701795726954,0.644795001882365,162.74212914189414,112.9852530266162,2.8873716797421927,0.6381344263068353,250,-3.286212028356547,,,,,,,,,13,2013,7.483536958694458
