n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6456872554867049,0.21479953101660462,0.606242745548614,1.0,0.0,0.0,5.871314396210216,0.8655146057010852,30,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
40,0.6440947721655357,0.21576496247747065,0.606242745548614,0.9975336615247751,9.987668307623876,6.448910138261203,5.859657458899598,0.8050461035161943,40,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
50,0.6198010208005934,0.2304928730046286,0.606242745548614,0.9599090202475825,19.774881716485666,12.768389103091849,5.761985552438956,0.8100849774861233,50,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
60,0.6176821366182382,0.23177743116883923,0.606242745548614,0.9566274250722867,29.35756394308501,18.95580489018601,5.6913224339173425,0.8508480567658377,60,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
70,0.6176550517683459,0.23179385116260062,0.606242745548614,0.9565854777523386,38.92362845720814,25.13249083211893,5.6913224339173425,0.8138452780015432,70,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
80,0.6173603777834826,0.2319724951282259,0.606242745548614,0.956129105131756,48.487201371628615,31.307567979878073,5.6913224339173425,0.8207163320007453,80,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
90,0.6132996677413659,0.23443427113303564,0.606242745548614,0.9498401316269965,58.01704755542238,37.460868207502315,5.696267797135383,0.7848915089484186,90,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
100,0.6117597088405262,0.23536786004511268,0.606242745548614,0.9474551396858455,67.50352391198659,43.586165090411775,5.633234602363006,0.7006339897936072,100,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
110,0.6117450137721354,0.23537676882371997,0.606242745548614,0.9474323808838622,76.97796151483513,49.70368870347508,5.633234602363006,0.7497377234880146,110,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
120,0.6017458062953938,0.24143871581773,0.606242745548614,0.9319462343140271,86.37485459082458,55.77114280381272,5.532122865097569,0.7339363698106941,120,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
130,0.5779297106030601,0.25587705105849895,0.606242745548614,0.895061356240382,95.50989254359664,61.66952038830499,5.508392905111471,0.7690879453401157,130,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
140,0.5345048719164733,0.28220304448886097,0.606242745548614,0.8278076845632879,104.12423774761498,67.23169330090266,5.416869314058677,0.8668067653812572,140,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
150,0.5101211093061523,0.29698552368054765,0.606242745548614,0.7900436395041345,112.2134943679521,72.45482320701579,5.385751019359475,0.7698050462981267,150,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
160,0.5097718806286822,0.29719724103280143,0.606242745548614,0.7895027759908739,120.11122644542714,77.55428815668996,4.966593927316498,0.7488127119674811,160,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
170,0.5092649785261312,0.2975045467551763,0.606242745548614,0.788717717747516,128.0023289141191,82.64947245246402,4.966593927316498,0.8129367778892995,170,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
180,0.49816653472070255,0.30423289779909635,0.606242745548614,0.7715291427661763,135.80356321668756,87.6866300186982,4.938756365561713,0.8865359425308361,180,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
190,0.49360141410698405,0.30700046905371764,0.606242745548614,0.7644589697452184,143.48350377924453,92.64546976283663,4.931958577809725,0.7491802869160754,190,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
200,0.4933371857688054,0.3071606555669068,0.606242745548614,0.7640497494362634,151.12604737515193,97.58016276221558,4.902540408509857,0.6997811224788703,200,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
210,0.4919766310593584,0.30798548198943104,0.606242745548614,0.7619426074756844,158.75600915971165,102.5067318463564,4.90174142541228,0.6569428784025486,210,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
220,0.49196585149777045,0.30799201702044393,0.606242745548614,0.7619259127655189,166.37535176091768,107.42644425914204,4.893903222412424,0.6527363161920315,220,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
230,0.48935424381793363,0.30957528523056405,0.606242745548614,0.7578812182827879,173.9743874161592,112.33304473572056,4.8980514835708835,0.6742030493861477,230,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
240,0.48935424381793363,0.30957528523056405,0.606242745548614,0.7578812182827879,181.55319959898708,117.2265871738999,4.8980514835708835,0.6742030493861477,240,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
250,0.48935424381793363,0.30957528523056405,0.606242745548614,0.7578812182827879,189.13201178181495,122.12012961207924,4.8980514835708835,0.6742030493861477,250,-3.608514967570209,,,,,,,,,39,2039,6.883693695068359
