n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_cost.graph_0.esp_semantic_type,kernel_weight.f0_cost.sizing,kernel_weight.f0_cost.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_payload_mass.graph_0.esp_semantic_type,kernel_weight.f1_payload_mass.sizing,kernel_weight.f1_payload_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g0_delta_delta_v.graph_0.esp_semantic_type,kernel_weight.g0_delta_delta_v.sizing,kernel_weight.g0_delta_delta_v.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g1_structural_constraint.graph_0.esp_semantic_type,kernel_weight.g1_structural_constraint.sizing,kernel_weight.g1_structural_constraint.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g2_volume_constraint.graph_0.esp_semantic_type,kernel_weight.g2_volume_constraint.sizing,kernel_weight.g2_volume_constraint.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_cost.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_payload_mass.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_delta_delta_v.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_structural_constraint.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_volume_constraint.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
100,0.43402895463843366,0.45570481339820584,0.8051733690847775,1.0,0.0,0.0,0.8297460676450499,,100,8.116541797178574,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,1,2001,44517.27482485771
110,0.42323747428659225,0.46439382599051016,0.8051733690847775,0.9751364966864222,9.875682483432112,4.2863321446251295,0.8200101926285366,0.5826112224872623,110,8.116541797178574,100.0,,,71.93709495477378,280.4423436531797,275.3267843769863,6394,0.043060178976694764,0.4227203631292206,0.4247022659775743,0.15257737089320492,0.22684102047014543,0.4489929162164853,0.32416606331336933,0.2457634297013523,0.13688699382212782,0.6173495764765199,0.007250097637402612,0.578137729271513,0.4146121730910844,0.007886309136685081,0.33561246162249153,0.6565012292408233,20.000000000000004,9.570117597550608,9.90784488746889,8.773106030790037,20.000000000000004,1,2001,44517.27482485771
120,0.20555573188736,0.6396653679063447,0.8051733690847775,0.47359912211063776,17.11936057741741,7.430298175494891,0.6758430245671904,0.6848439002804723,120,8.116541797178574,110.0,,,76.50312422122806,108.23832763917744,380.1669174982235,9811,0.0387490487716057,0.33169144253818755,0.38892454948532995,0.2793840079764825,0.02014431142943954,0.3420158026113344,0.6378398859592259,0.007741770177022249,0.2541477691420981,0.7381104606808797,0.015123883874453426,0.8283853953415572,0.15649072078398932,0.24316362775436212,0.26310894013412006,0.49372743211151787,20.000000000000004,6.497642995560104,0.00011233591646730989,0.00011418234975324831,20.000000000000004,1,2001,44517.27482485771
130,0.20453305788518464,0.6404887977781516,0.8051733690847775,0.47124288759852484,21.843570625963224,9.480742124357615,0.6750584170850605,0.6584328997117205,130,8.116541797178574,120.0,,,102.89130601938814,194.90587951429188,570.4931597495452,15162,0.037626510997859464,0.3719791040471023,0.2700445391246069,0.3579763568282908,0.011352602730527473,0.11860781263508229,0.8700395846343904,0.007521680377609125,0.6520042466364134,0.3404740729859776,0.019773084031035237,0.3556291047751567,0.6245978111938081,0.2920663816897549,0.16464570348898816,0.543287914821257,20.000000000000107,10.051714564749249,8.512255723240996,10.731300618387806,20.000000000000004,1,2001,44517.27482485771
140,0.20453305788518464,0.6404887977781516,0.8051733690847775,0.47124288759852484,26.55599950194847,11.526072703209461,0.6750584170850605,0.6584328997117205,140,8.116541797178574,130.0,,,100.56905404198915,257.8221531137824,823.3308977521956,20678,0.0398167568310376,0.011223712826639733,0.13939218542872975,0.8493841017446305,0.010920348635986147,0.2676058070430609,0.7214738443209529,0.010821625623430503,0.18004996781171767,0.8091284065648519,0.020245806876172154,0.34627202827587555,0.6334821648479523,0.02009196376449959,0.3401321597587386,0.6397758764767618,20.000000000000004,8.866678294149226,8.94358004999802,11.094901348404983,20.000000000000004,1,2001,44517.27482485771
150,0.2027318049852331,0.6419391186441793,0.8051733690847775,0.4670928121699119,31.247678000790653,13.562397017561551,0.6734525889567281,0.6895908735056221,150,8.116541797178574,140.0,,,105.96772424411029,204.00542056560516,1022.8358141900972,26145,0.03912166051597235,0.020345198220736656,0.3395345606787878,0.6401202411004755,0.011356587434638053,0.10955470669074795,0.879088705874614,0.02244849254223947,0.3745112028936582,0.6030403045641023,0.011378099457138836,0.1091345261908483,0.8794873743520129,0.02038026553899902,0.3405899571387067,0.6390297773222943,20.000000000000004,10.297190528807594,11.259884423206277,9.932141843948113,19.999999999999993,1,2001,44517.27482485771
160,0.20219604706782207,0.642370496651555,0.8051733690847775,0.46585842927521,35.912434208016265,15.587036277826826,0.6734030665861658,0.8215402249196656,160,8.457774378399955,150.0,,,127.69430342782289,369.80216953437775,1387.1933073010296,33283,0.04167873410753326,0.1688343866427299,0.21419442758154622,0.6169711857757239,0.011210762982548183,0.10798645439851799,0.8808027826189337,0.011598533552277997,0.09922725337562842,0.8891742130720937,0.011186371385886162,0.09756235329625015,0.8912512753178636,0.01119764986040631,0.11486258051621305,0.8739397696233806,20.000000000000004,9.345783771356107,8.88534209784512,7.985060507428807,19.999999999999993,1,2001,44517.27482485771
170,0.18903630981115577,0.6529663666347755,0.8051733690847775,0.4355384768480062,40.419418738632345,17.543198062221716,0.4759287020895761,0.8409867364484241,170,8.457774378399955,160.0,,,122.83377802371979,229.52937393356115,1611.8867800850421,38874,0.04146439214089217,0.020723695664399872,0.30432644236327555,0.6749498619723245,0.018897110117464932,0.9809139187813605,0.00018897110117464897,0.007000100918476006,0.6997131730473435,0.29328672603418043,0.017391523068152014,0.9824345617011665,0.00017391523068151747,0.020729736388080587,0.31151588708211403,0.6677543765298053,20.000000000000004,0.0001349914542266497,13.711891903065384,0.00028358214055870465,20.000000000000004,1,2001,44517.27482485771
180,0.17832078086378278,0.6615942251788572,0.8051733690847775,0.41084996509583627,44.65136094835156,19.379983515596408,0.4429930758064782,0.8126714787815988,180,8.457774378399955,170.0,,,128.14924052357674,207.91914249304682,1815.3568437229842,44307,0.040972235622429506,0.4590477248519895,0.13450462993763584,0.40644764521037446,0.04738877831288034,0.9500610366141116,0.0025501850730080557,0.00724560181253339,0.5793314340778493,0.4134229641096173,0.009925554297059836,0.9887832791939376,0.0012911665090025778,0.020387277709930908,0.33808896685036527,0.6415237554397037,20.000000000000014,20.000000000000004,20.000000000000004,14.6779277842253,20.000000000000004,1,2001,44517.27482485771
190,0.1726141733844621,0.6661890335490263,0.8051733690847775,0.3977019771140793,48.694120659401136,21.13465828683763,0.43575322438363895,0.9193767871537246,190,8.457774378399955,180.0,,,135.58997303061187,210.79499708581716,2022.1297220280394,49913,0.04051308721231021,0.007314614915537201,0.575066430958401,0.41761895412606176,0.01778151107007786,0.9820406738192214,0.00017781511070077863,0.007184304824787289,0.5756390535842197,0.4171766415909928,0.007257910322092533,0.5691619949660061,0.4235800947119013,0.00728987682003851,0.5742718648655395,0.41843825831442205,20.000000000000004,0.00013594546289633127,20.000000000000004,20.000000000000004,19.999999999999993,1,2001,44517.27482485771
