x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.3896277938038111,0.5,0.5,0.15899114716798066,10.915297931060195,7.6479466010602914,-2.2906007284689354,-4.497732879826799e-05,-107507.27629200036,-6.2585604927275735,2,2002
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,29.072391487658024,0.6364029096439481,0.5,0.5,0.18,10.96562678925693,7.70038114666463,-3.2556425026881572,-0.0002999678008563933,-158132.95090454587,-1.9996981364934783,2,2002
2.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,30.0,0.3697334546595812,0.9912425903603435,0.4379284428432584,0.18,10.661240119487047,8.654468294465735,-4.545924540105506,-2.2350007384375203e-05,-114479.11991480226,-9.396116575971641,2,2002
2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,30.0,0.4397991318255663,0.9059913232922554,0.9885107381269336,0.16424692103639243,10.11071893852204,8.669304611289325,-4.780132010195887,-5.228694135439582e-07,-167149.92597442266,-115.58194925000808,2,2002
2.0,0.0,2.0,2.0,0.0,3.0,1.0,5.0,31.241267278790474,0.6121653132140636,0.9564096992835402,0.46937008388340473,0.18,10.000571048818529,9.09148675496226,-4.969258047765308,-5.518557372852229e-06,-164349.0503123936,-8.745107344579282,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,30.000132201629935,0.4920164091476321,0.36080653742549884,0.06898815057276356,0.18,10.939206716552768,8.489187097283319,-4.237970271194858,-2.9517696020775475e-06,-169176.00380606236,-2.552884774421087,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,29.17542074150127,0.22892649473013604,0.6463196421962059,0.4739477567163961,0.18,10.613203456835326,8.470482969232673,-4.162925622120066,-0.00014087594263401115,-159661.50990808255,-2.9245464740495253,2,2002
2.0,1.0,1.0,1.0,0.0,3.0,5.0,1.0,30.0,0.5210760133340955,0.5794339179992676,0.96030393242836,0.20617823816835879,10.048270072788,8.797075299942401,-4.943219239837562,-3.348213795106858e-08,-157578.77154945867,-98.6524503837004,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,28.591412984836367,0.2981232600539348,0.366819353405922,0.6084910683040387,0.18,10.497901164566198,8.464423036436694,-4.154572496794715,-3.2826338610902894e-05,-152640.18927379267,-2.507745002030002,2,2002
2.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,28.862813499457317,0.016872715942065457,0.5407006650178553,0.9824927621404507,0.18,10.476713770280119,8.265868870019895,-3.8800609262735604,-0.0009749052933329949,-134215.3028891278,-1.2597201404452925,2,2002
