x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.8345655640587211,0.5,0.5,0.18,10.635630411095917,7.750856406031692,-3.468978971856457,-1.0518579074414447e-07,-180377.55278136773,-3.4869539829655385,8,2008
0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.70167884696275,0.5,0.5,0.1980745651759207,10.776417045854032,7.718662326079753,-3.071823743529999,-0.0016458473428428988,-166326.85844247317,-14.4321340293506,8,2008
0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,30.115419797599316,0.9355040909722447,0.5,0.5,0.18,10.552261728793383,8.115008797511607,-3.5226288156210024,-0.0003957239150622627,-146126.65143267383,-3.514472249345693,8,2008
2.0,0.0,1.0,2.0,0.0,3.0,4.0,5.0,30.0,0.7458181748260667,0.8234070474281907,0.6989801218733191,0.18,10.380088884586467,8.91222688706592,-4.999671500844963,-1.8110313249053434e-07,-177461.21328207478,-17.41337481463468,8,2008
0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,30.0,0.9821566042965882,0.5,0.5,0.18,10.401215057820082,8.126439214226197,-3.5910610013214503,-0.0011778421994677046,-154561.39252311713,-3.907949256249574,8,2008
2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,30.0,0.03144545014947653,0.7149791510867458,0.733304445737705,0.1652011127841967,10.891565294463298,8.427182701110663,-4.10527027067481,-0.0001935800592036685,-21682.5299593136,-12.683395763322403,8,2008
0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.70167884696275,0.5,0.5,0.1980745651759207,10.721672016863748,7.719874029340577,-3.0812478215044474,-0.00039773005482857116,-166933.23247872328,-14.57497971016294,8,2008
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.91382673640397,0.2879758473013415,0.5,0.5,0.18,10.759135530051438,7.628834651946375,-2.313663434903656,-6.0907978877366986e-05,-93856.45210905903,-1.1923654617242758,8,2008
0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,29.942211732582603,0.9921286389589798,0.5,0.5,0.18,10.416641372794672,8.127871445920334,-3.597018149226773,-0.004487602801418689,-155503.33647884347,-3.9577508339404366,8,2008
2.0,2.0,0.0,0.0,0.0,3.0,4.0,5.0,30.0,0.634390817550329,0.45104543514596795,0.8353256722052929,0.18,10.898087481968105,8.462361132167533,-4.566180745482465,-1.8837164134311024e-05,-176007.80080753632,-11.615928649123902,8,2008
