n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
75,0.5346156169764029,1.0,0.0,0.0,7.174733765135833,6.64011814815943,75,7.174733765135833,,,,,,0.0,0,,3,2003,304.38094186782837
85,0.5346156169764029,1.0,10.0,5.346156169764029,7.174733765135833,6.64011814815943,85,7.174733765135833,35.0,,,0.005940035916864872,9.510927218943834,1.3080771141685545,5182,0.00025242707722280096,3,2003,304.38094186782837
95,0.1593744516337079,0.298110355501909,16.490551777509545,8.816106512814583,6.799492599793138,6.64011814815943,95,6.799492599793138,36.0,,,0.005339495372027159,13.233521493151784,2.734759632498026,10519,0.0002599828531702658,3,2003,304.38094186782837
105,0.12378094946514118,0.23153261059825095,19.138766608010343,10.231883518308829,6.763899097624571,6.64011814815943,105,6.763899097624571,44.0,,,0.0046500880271196365,12.097616232000291,4.130778444930911,15809,0.0002612928360383902,3,2003,304.38094186782837
115,0.04620247534534894,0.08642185876771392,20.728538954840168,11.08180064236128,6.686320623504779,6.64011814815943,115,6.686320623504779,51.0,,,0.004636429715901613,11.004652324132621,5.4993679551407695,21057,0.0002611657859685981,3,2003,304.38094186782837
125,0.04620247534534894,0.08642185876771392,21.592757542517308,11.54382539581477,6.686320623504779,6.64011814815943,125,6.686320623504779,57.0,,,0.004424966871738434,10.530819703824818,6.856714905705303,26283,0.0002608802231748774,3,2003,304.38094186782837
135,0.04620247534534894,0.08642185876771392,22.456976130194448,12.005850149268259,6.686320623504779,6.64011814815943,135,6.686320623504779,64.0,,,0.00420326879248023,13.194979259744287,8.308425897732377,31616,0.0002627918110365757,3,2003,304.38094186782837
145,0.04620247534534894,0.08642185876771392,23.321194717871588,12.467874902721748,6.686320623504779,6.64011814815943,145,6.686320623504779,69.0,,,0.004227518104016781,12.104796341620386,9.726637925487012,36905,0.0002635588111498987,3,2003,304.38094186782837
155,0.04620247534534894,0.08642185876771392,24.185413305548728,12.929899656175238,6.686320623504779,6.64011814815943,155,6.686320623504779,72.0,,,0.00413409061729908,12.897703669965267,11.179262391291559,42225,0.0002647545859394093,3,2003,304.38094186782837
165,0.04620247534534894,0.08642185876771392,25.049631893225868,13.391924409628727,6.686320623504779,6.64011814815943,165,6.686320623504779,76.0,,,0.004168997053056955,11.470903455279768,12.582401587162167,47486,0.00026497076163842323,3,2003,304.38094186782837
