n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
75,1.2381953034278128,1.0,0.0,0.0,7.878313451587243,6.64011814815943,75,7.878313451587243,,,,0.0,0,,0,2000,1739.684735774994
85,0.5431583556650521,0.438669371593783,7.193346857968916,8.906768295464325,7.183276503824482,6.64011814815943,85,7.183276503824482,37.0,0.2974831289611757,62.64062045601895,42.5015237921034,5624,0.0075571699488092,0,2000,1739.684735774994
95,0.2757130920518991,0.2226733466752914,10.500060449314288,13.00112553404908,6.915831240211329,6.64011814815943,95,6.915831240211329,43.0,0.2289044450153596,66.49355997500243,87.14456559484825,11311,0.0077044085929491,0,2000,1739.684735774994
105,0.2757130920518991,0.2226733466752914,12.726793916067203,15.758256454568071,6.915831240211329,6.64011814815943,105,6.915831240211329,53.0,0.2556710839853622,61.48688083497109,129.59364810341503,16892,0.007671894867595,0,2000,1739.684735774994
115,0.2757130920518991,0.2226733466752914,14.953527382820118,18.515387375087062,6.915831240211329,6.64011814815943,115,6.915831240211329,61.0,0.277404316002503,83.07559934700839,182.48593104170868,22902,0.0079681220435642,0,2000,1739.684735774994
125,0.1583491016718854,0.1278870152660995,16.706329192527072,20.685698343705987,6.798467249831315,6.64011814815943,125,6.798467249831315,71.0,0.3159555699676275,171.60626427695388,279.54359628696693,30619,0.0091297428487856,0,2000,1739.684735774994
135,0.1583491016718854,0.1278870152660995,17.985199345188068,22.26918936042484,6.798467249831315,6.64011814815943,135,6.798467249831315,79.0,0.3383028049720451,61.508020733017474,322.54558379232185,36175,0.0089162566355859,0,2000,1739.684735774994
145,0.1243405713266696,0.1004208067842334,19.12673845543973,23.682637725417614,6.7644587194860994,6.64011814815943,145,6.7644587194860994,81.0,0.3582188389846124,60.76324288698379,365.3389014074346,41723,0.0087562951227724,0,2000,1739.684735774994
155,0.1243405713266696,0.1004208067842334,20.130946523282063,24.92604343868431,6.7644587194860994,6.64011814815943,155,6.7644587194860994,86.0,0.3669536650413647,58.18952908698702,406.6560575856711,47233,0.0086095750341005,0,2000,1739.684735774994
165,0.1243405713266696,0.1004208067842334,21.1351545911244,26.169449151951007,6.7644587194860994,6.64011814815943,165,6.7644587194860994,90.0,0.3672841860097833,80.28192891302751,459.38273363700137,53157,0.0086419988644393,0,2000,1739.684735774994
175,0.1243405713266696,0.1004208067842334,22.139362658966736,27.412854865217703,6.7644587194860994,6.64011814815943,175,6.7644587194860994,95.0,0.3874757480225526,53.28271083399886,498.4867063953425,58562,0.0085121188893026,0,2000,1739.684735774994
185,0.1243405713266696,0.1004208067842334,23.14357072680907,28.6562605784844,6.7644587194860994,6.64011814815943,185,6.7644587194860994,98.0,0.4087723170523532,44.02518116496503,533.2842214212869,63769,0.0083627502614324,0,2000,1739.684735774994
195,0.1243405713266696,0.1004208067842334,24.147778794651405,29.899666291751096,6.7644587194860994,6.64011814815943,195,6.7644587194860994,108.0,0.4409464619820937,48.722247145022266,570.4958031940041,69069,0.0082597953234302,0,2000,1739.684735774994
205,0.1243405713266696,0.1004208067842334,25.15198686249374,31.143072005017792,6.7644587194860994,6.64011814815943,205,6.7644587194860994,118.0,0.4765088899875991,73.0611543750274,620.3883550400496,74810,0.0082928532955493,0,2000,1739.684735774994
215,0.1243405713266696,0.1004208067842334,26.156194930336078,32.38647771828449,6.7644587194860994,6.64011814815943,215,6.7644587194860994,128.0,0.5532210140372626,104.78105183900334,686.5081001318176,81163,0.0084583874441779,0,2000,1739.684735774994
225,0.1243405713266696,0.1004208067842334,27.16040299817841,33.629883431551185,6.7644587194860994,6.64011814815943,225,6.7644587194860994,136.0,0.5734238760196604,76.25777477701195,738.4394100240897,86961,0.0084916158970583,0,2000,1739.684735774994
235,0.1243405713266696,0.1004208067842334,28.164611066020743,34.87328914481788,6.7644587194860994,6.64011814815943,235,6.7644587194860994,146.0,0.6188556710258126,49.465403322014026,778.139066226955,92190,0.0084406016512306,0,2000,1739.684735774994
245,0.1243405713266696,0.1004208067842334,29.16881913386308,36.11669485808458,6.7644587194860994,6.64011814815943,245,6.7644587194860994,153.0,0.6619288010406308,103.98337418196024,844.5056620375835,98512,0.0085726171637727,0,2000,1739.684735774994
255,0.1243405713266696,0.1004208067842334,30.173027201705413,37.36010057135128,6.7644587194860994,6.64011814815943,255,6.7644587194860994,163.0,0.7172436339897104,112.77041850902606,916.1955564810778,104956,0.0087293299714268,0,2000,1739.684735774994
265,0.1243405713266696,0.1004208067842334,31.177235269547747,38.60350628461797,6.7644587194860994,6.64011814815943,265,6.7644587194860994,171.0,0.7249081490444951,45.1998381880112,952.0749828376574,109682,0.00868032113599,0,2000,1739.684735774994
275,0.1243405713266696,0.1004208067842334,32.18144333739008,39.84691199788467,6.7644587194860994,6.64011814815943,275,6.7644587194860994,177.0,0.7610651929862797,66.53688522998709,1001.4628081858972,115203,0.0086930271623646,0,2000,1739.684735774994
285,0.1243405713266696,0.1004208067842334,33.18565140523241,41.09031771115136,6.7644587194860994,6.64011814815943,285,6.7644587194860994,187.0,0.8154157749959268,66.04849200195167,1050.3185175486724,120725,0.0087000912615338,0,2000,1739.684735774994
295,0.1243405713266696,0.1004208067842334,34.18985947307475,42.33372342441806,6.7644587194860994,6.64011814815943,295,6.7644587194860994,197.0,0.8989940040046349,79.54237230500439,1107.2395991592202,126459,0.0087557200290941,0,2000,1739.684735774994
305,0.1243405713266696,0.1004208067842334,35.19406754091708,43.57712913768476,6.7644587194860994,6.64011814815943,305,6.7644587194860994,201.0,0.9152888440294192,55.81374936102657,1151.4430517042056,131764,0.0087386771174539,0,2000,1739.684735774994
75,3.048198048756816,1.0,0.0,0.0,9.688316196916244,6.64011814815943,75,9.688316196916244,,,,0.0,0,,1,2001,1706.5027718544006
85,0.5184361648609519,0.170079554073723,5.850397770368615,17.833171068088838,7.158554313020382,6.64011814815943,85,7.158554313020382,32.0,0.307701397978235,46.77612004301045,35.23796126904199,5285,0.0066675423404052,1,2001,1706.5027718544006
95,0.4938140469803045,0.1620019562645225,7.510805322059843,22.89442212729512,7.133932195139734,6.64011814815943,95,7.133932195139734,39.0,0.2227592610288411,46.12292604503455,69.8469091936131,10381,0.0067283411225906,1,2001,1706.5027718544006
105,0.2708567401927784,0.0888579862136074,8.765105034450492,26.71777606316053,6.910974888352208,6.64011814815943,105,6.910974888352208,41.0,0.2327449329895898,52.401487622002605,107.84401138592511,15785,0.0068320564704418,1,2001,1706.5027718544006
115,0.2708567401927784,0.0888579862136074,9.653684896586569,29.42634346508832,6.910974888352208,6.64011814815943,115,6.910974888352208,46.0,0.234958391985856,79.42941112798871,159.06954002851853,21729,0.0073206102456863,1,2001,1706.5027718544006
125,0.1644775188562723,0.0539589345001232,10.36776950015522,31.60301476033357,6.804595667015702,6.64011814815943,125,6.804595667015702,55.0,0.2606910880422219,60.443537327984814,201.1559685076354,27293,0.0073702402999903,1,2001,1706.5027718544006
135,0.1636033222855477,0.0536721432363202,10.905924888837436,33.243418966042675,6.8037214704449775,6.64011814815943,135,6.8037214704449775,65.0,0.303287515998818,48.31288960797247,237.5021689392161,32610,0.0072831085231283,1,2001,1706.5027718544006
145,0.1599241409950913,0.0524651411873697,11.436611310955886,34.86105628244587,6.800042289154521,6.64011814815943,145,6.800042289154521,73.0,0.3203108690213412,102.26102472300408,300.52623585477704,38998,0.0077061961088973,1,2001,1706.5027718544006
155,0.1282567747338765,0.0420762603618177,11.909318318701825,36.30196086109071,6.768374922893306,6.64011814815943,155,6.768374922893306,83.0,0.353304629039485,69.19055342499632,347.5161894756602,44720,0.0077709344694915,1,2001,1706.5027718544006
165,0.1282567747338765,0.0420762603618177,12.33008092232,37.58452860842948,6.768374922893306,6.64011814815943,165,6.768374922893306,90.0,0.3797980230301618,56.67565469897818,388.7172303594998,50172,0.0077476925448357,1,2001,1706.5027718544006
175,0.1282567747338765,0.0420762603618177,12.750843525938178,38.86709635576825,6.768374922893306,6.64011814815943,175,6.768374922893306,97.0,0.4190935320220887,66.93227214203216,435.0325436898274,55827,0.0077925115748621,1,2001,1706.5027718544006
185,0.1282567747338765,0.0420762603618177,13.171606129556356,40.14966410310701,6.768374922893306,6.64011814815943,185,6.768374922893306,101.0,0.4262885510106571,59.011502144974656,477.8335401546792,61307,0.0077941106261059,1,2001,1706.5027718544006
195,0.0471985403027543,0.0154840792979327,13.459407827855108,41.02694067829017,6.687316688462184,6.64011814815943,195,6.687316688462184,105.0,0.4509878230164759,94.55569249298424,538.1015670248889,67500,0.0079718750670353,1,2001,1706.5027718544006
205,0.0471985403027543,0.0154840792979327,13.614248620834434,41.49892608131771,6.687316688462184,6.64011814815943,205,6.687316688462184,115.0,0.4904722240171395,101.24981299700448,602.072248026845,73814,0.0081566132173685,1,2001,1706.5027718544006
215,0.0471985403027543,0.0154840792979327,13.76908941381376,41.97091148434526,6.687316688462184,6.64011814815943,215,6.687316688462184,125.0,0.5296948869945481,62.608118118019775,647.0585777857923,79355,0.0081539736347525,1,2001,1706.5027718544006
225,0.0471985403027543,0.0154840792979327,13.923930206793088,42.4428968873728,6.687316688462184,6.64011814815943,225,6.687316688462184,129.0,0.5535226599895395,70.9323934239801,696.439044277533,85049,0.0081886799877427,1,2001,1706.5027718544006
235,0.0471985403027543,0.0154840792979327,14.078770999772416,42.91488229040035,6.687316688462184,6.64011814815943,235,6.687316688462184,138.0,0.6014177200268023,50.99745961598819,735.9511094749323,90349,0.0081456475387102,1,2001,1706.5027718544006
245,0.0471985403027543,0.0154840792979327,14.23361179275174,43.386867693427895,6.687316688462184,6.64011814815943,245,6.687316688462184,148.0,0.6376488920068368,57.29830421000952,778.9061938778032,95761,0.0081338560988064,1,2001,1706.5027718544006
255,0.0471985403027543,0.0154840792979327,14.388452585731068,43.85885309645544,6.687316688462184,6.64011814815943,255,6.687316688462184,156.0,0.6736083289724775,12.801828961004505,788.7167360007297,96941,0.0081360491020386,1,2001,1706.5027718544006
265,0.0471985403027543,0.0154840792979327,14.543293378710397,44.33083849948299,6.687316688462184,6.64011814815943,265,6.687316688462184,158.0,0.6896437070099637,131.14493383001536,870.1420389906853,103742,0.0083875579706453,1,2001,1706.5027718544006
275,0.0471985403027543,0.0154840792979327,14.698134171689722,44.80282390251053,6.687316688462184,6.64011814815943,275,6.687316688462184,168.0,0.7359806760214269,107.5647085129749,939.9697200210068,110075,0.0085393569840654,1,2001,1706.5027718544006
285,0.0471985403027543,0.0154840792979327,14.852974964669048,45.27480930553808,6.687316688462184,6.64011814815943,285,6.687316688462184,177.0,0.7829574760398827,123.55911075603215,1019.2489488295396,116674,0.0087358704495392,1,2001,1706.5027718544006
295,0.0471985403027543,0.0154840792979327,15.007815757648377,45.74679470856562,6.687316688462184,6.64011814815943,295,6.687316688462184,183.0,0.8091731470194645,63.003444354981184,1067.4136500452296,122106,0.0087416969685783,1,2001,1706.5027718544006
305,0.0471985403027543,0.0154840792979327,15.162656550627702,46.21878011159317,6.687316688462184,6.64011814815943,305,6.687316688462184,190.0,0.9059774139896036,89.70350984396646,1129.538967501372,128045,0.0088214219024668,1,2001,1706.5027718544006
75,1.8513486218994268,1.0,0.0,0.0,8.491466770058857,6.64011814815943,75,8.491466770058857,,,,0.0,0,,2,2002,1330.3258645534515
85,1.8513486218994268,1.0,10.0,18.513486218994267,8.491466770058857,6.64011814815943,85,8.491466770058857,31.0,0.2536297749611549,47.343673944997136,35.09601914440282,5312,0.0066069313148348,2,2002,1330.3258645534515
95,1.4044886796761409,0.7586300403190289,18.793150201595147,34.792672726872105,8.04460682783557,6.64011814815943,95,8.04460682783557,34.0,0.2011150740436278,53.0390185060096,73.3701066057547,10725,0.0068410355809561,2,2002,1330.3258645534515
105,0.6257547318860048,0.3379994045875593,24.27629742612809,44.94388978468284,7.265872880045435,6.64011814815943,105,7.265872880045435,41.0,0.2196798349614255,44.14531462203013,107.51436528255,15957,0.0067377555481951,2,2002,1330.3258645534515
115,0.6257547318860048,0.3379994045875593,27.656291472003684,51.20143710354289,7.265872880045435,6.64011814815943,115,7.265872880045435,47.0,0.2415600190288387,50.12187241500942,144.33100748469587,21322,0.0067691120666305,2,2002,1330.3258645534515
125,0.6257547318860048,0.3379994045875593,31.03628551787928,57.458984422402935,7.265872880045435,6.64011814815943,125,7.265872880045435,55.0,0.2697238550172187,54.15656605502591,183.07051471580053,26771,0.0068383891044712,2,2002,1330.3258645534515
135,0.6257547318860048,0.3379994045875593,34.41627956375487,63.71653174126298,7.265872880045435,6.64011814815943,135,7.265872880045435,65.0,0.3018258320516906,62.54202306701336,226.15932736260584,32377,0.0069851847719864,2,2002,1330.3258645534515
145,0.6257547318860048,0.3379994045875593,37.79627360963046,69.97407906012303,7.265872880045435,6.64011814815943,145,7.265872880045435,65.0,0.2969513310235925,62.678907623980194,269.3646811279468,37985,0.0070913434547307,2,2002,1330.3258645534515
155,0.6257547318860048,0.3379994045875593,41.17626765550605,76.23162637898308,7.265872880045435,6.64011814815943,155,7.265872880045435,68.0,0.3051757009816356,54.65716560202418,308.8408607188612,43422,0.0071125434277292,2,2002,1330.3258645534515
