n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
75,1.2381953034278128,1.0,0.0,0.0,7.878313451587243,6.64011814815943,75,7.878313451587243,,,,0.0,0,,0,2000,3094.5640501976013
85,1.2381953034278128,1.0,10.0,12.381953034278128,7.878313451587243,6.64011814815943,85,7.878313451587243,37.0,18.182032878044996,15.437569183995947,7.870628880627919,5046,0.0015597758384121,0,2000,3094.5640501976013
95,0.6430394050416179,0.5193360072206956,17.59668003610348,21.78812657662528,7.283157553201048,6.64011814815943,95,7.283157553201048,37.0,18.134806522983126,19.720145672967192,16.961257272341754,10215,0.0016604265562742,0,2000,3094.5640501976013
105,0.2995144003341847,0.2418959266805574,21.402839705609743,26.500895603504294,6.939632548493615,6.64011814815943,105,6.939632548493615,47.0,21.481642730010208,26.75749607401667,29.09084856940899,15638,0.0018602665666587,0,2000,3094.5640501976013
115,0.1565392039237672,0.1264252929165576,23.24444580359532,28.78116362479405,6.796657352083197,6.64011814815943,115,6.796657352083197,51.0,23.312079134979285,44.774594856018666,47.036964437691495,21542,0.0021835003452646,0,2000,3094.5640501976013
125,0.1565392039237672,0.1264252929165576,24.50869873276089,30.34655566403173,6.796657352083197,6.64011814815943,125,6.796657352083197,61.0,28.042344113986477,28.184689658985008,60.91320271056611,26952,0.0022600624336066,0,2000,3094.5640501976013
135,0.1565392039237672,0.1264252929165576,25.77295166192647,31.9119477032694,6.796657352083197,6.64011814815943,135,6.796657352083197,71.0,34.03517207701225,51.07575477397768,82.95634547469672,32940,0.0025184075736094,0,2000,3094.5640501976013
145,0.1565392039237672,0.1264252929165576,27.03720459109205,33.47733974250707,6.796657352083197,6.64011814815943,145,6.796657352083197,78.0,38.01414334401488,37.29569722502493,101.2814076319919,38537,0.0026281601482209,0,2000,3094.5640501976013
155,0.1560201341514338,0.126006078136065,28.29936144635516,35.040136432883074,6.796138282310864,6.64011814815943,155,6.796138282310864,88.0,39.39828269497957,41.80517902795691,121.885501393117,44210,0.0027569667811155,0,2000,3094.5640501976013
165,0.1560201341514338,0.126006078136065,29.55942222771581,36.60033777439741,6.796138282310864,6.64011814815943,165,6.796138282310864,97.0,48.33214437100105,46.85103724600049,145.1019566601608,49984,0.0029029680829897,0,2000,3094.5640501976013
175,0.1560201341514338,0.126006078136065,30.81948300907646,38.16053911591175,6.796138282310864,6.64011814815943,175,6.796138282310864,106.0,56.976272473984864,38.65116741595557,166.3574310474214,55509,0.0029969451989302,0,2000,3094.5640501976013
185,0.1560201341514338,0.126006078136065,32.079543790437114,39.72074045742608,6.796138282310864,6.64011814815943,185,6.796138282310864,116.0,65.11833850102266,40.25080866902135,189.0639774469892,61042,0.0030972769150255,0,2000,3094.5640501976013
195,0.1560201341514338,0.126006078136065,33.339604571797764,41.28094179894042,6.796138282310864,6.64011814815943,195,6.796138282310864,126.0,74.41762386995833,51.79019222396892,216.59350591356636,66836,0.003240671283643,0,2000,3094.5640501976013
205,0.1560201341514338,0.126006078136065,34.599665353158414,42.841143140454754,6.796138282310864,6.64011814815943,205,6.796138282310864,136.0,87.93726725596935,36.48140188195976,239.02666265243897,72036,0.003318155681221,0,2000,3094.5640501976013
215,0.1560201341514338,0.126006078136065,35.859726134519065,44.40134448196909,6.796138282310864,6.64011814815943,215,6.796138282310864,145.0,99.76168557995696,46.75722993101226,266.47797654400347,77636,0.0034324021915606,0,2000,3094.5640501976013
225,0.1560201341514338,0.126006078136065,37.11978691587972,45.96154582348343,6.796138282310864,6.64011814815943,225,6.796138282310864,155.0,113.58799847296903,39.167430927976966,291.90158739767503,83020,0.0035160393567534,0,2000,3094.5640501976013
235,0.1560201341514338,0.126006078136065,38.379847697240365,47.52174716499776,6.796138282310864,6.64011814815943,235,6.796138282310864,165.0,131.7172748610028,32.51369155896828,314.6432243277668,87471,0.0035971147503488,0,2000,3094.5640501976013
245,0.1560201341514338,0.126006078136065,39.639908478601015,49.0819485065121,6.796138282310864,6.64011814815943,245,6.796138282310864,167.0,132.11568428901955,46.20049343199935,344.78158852888737,92944,0.0037095626240412,0,2000,3094.5640501976013
255,0.1560201341514338,0.126006078136065,40.89996925996167,50.64214984802644,6.796138282310864,6.64011814815943,255,6.796138282310864,177.0,148.49921376502607,47.85537414898863,375.1884593238356,98469,0.0038102190468455,0,2000,3094.5640501976013
265,0.1544559711426689,0.1247428178051345,42.15371373966767,52.19453037449695,6.794574119302099,6.64011814815943,265,6.794574119302099,177.0,147.807095288008,49.64662843302358,406.2536002635025,104040,0.0039047827783881,0,2000,3094.5640501976013
275,0.1544559711426689,0.1247428178051345,43.40114191771901,53.73909008592364,6.794574119302099,6.64011814815943,275,6.794574119302099,187.0,169.3996346979984,79.02930076699704,449.9256174687762,110275,0.0040800328040696,0,2000,3094.5640501976013
285,0.1544559711426689,0.1247428178051345,44.64857009577035,55.28364979735032,6.794574119302099,6.64011814815943,285,6.794574119302099,195.0,184.5961328329868,46.26989501400385,480.5970174951362,115739,0.004152420683565,0,2000,3094.5640501976013
295,0.1544559711426689,0.1247428178051345,45.8959982738217,56.82820950877701,6.794574119302099,6.64011814815943,295,6.794574119302099,200.0,192.29138872300973,63.284253357036505,519.5132405030308,121551,0.0042740351005177,0,2000,3094.5640501976013
305,0.1544559711426689,0.1247428178051345,47.14342645187304,58.37276922020369,6.794574119302099,6.64011814815943,305,6.794574119302099,209.0,202.94652188703185,45.86014935001731,550.8564858264872,126972,0.0043384091439568,0,2000,3094.5640501976013
75,3.048198048756816,1.0,0.0,0.0,9.688316196916244,6.64011814815943,75,9.688316196916244,,,,0.0,0,,1,2001,3444.6182749271397
85,3.048198048756816,1.0,10.0,30.48198048756816,9.688316196916244,6.64011814815943,85,9.688316196916244,32.0,19.801893475989345,18.65941064496292,8.46925329847727,5248,0.0016138058876671,1,2001,3444.6182749271397
95,3.048198048756816,1.0,20.0,60.96396097513632,9.688316196916244,6.64011814815943,95,9.688316196916244,42.0,20.54142352601048,17.396051143005025,17.400295245286543,10427,0.00166877292081,1,2001,3444.6182749271397
105,3.048198048756816,1.0,30.0,91.44594146270448,9.688316196916244,6.64011814815943,105,9.688316196916244,52.0,17.00211808597669,46.2599578530062,35.84866384771885,16366,0.0021904352833752,1,2001,3444.6182749271397
115,2.991593809882441,0.98143026208633,39.90715131043165,121.64490075590076,9.63171195804187,6.64011814815943,115,9.63171195804187,62.0,20.86733216396533,27.73713077098364,49.62988471530844,21763,0.0022804707400316,1,2001,3444.6182749271397
