n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
75,2.090531797619499,1.0,0.0,0.0,8.730649945778929,6.64011814815943,75,8.730649945778929,,,,0.0,0,,19,2019,3277.426611185074
85,0.2700458432341408,0.1291756688616952,5.645878344308476,11.802888204268198,6.910163991393571,6.64011814815943,85,6.910163991393571,36.0,17.470400656980928,20.073544174956623,9.029196368821431,4994,0.0018080088844255968,19,2019,3277.426611185074
95,0.22371030664155267,0.10701119537922979,6.826812665513101,14.271668953646666,6.8638284548009825,6.64011814815943,95,6.8638284548009825,37.0,17.942381921049673,29.442121115047485,21.000384236045647,10531,0.0019941491060721343,19,2019,3277.426611185074
105,0.22371030664155267,0.10701119537922979,7.896924619305398,16.508772020062192,6.8638284548009825,6.64011814815943,105,6.8638284548009825,44.0,23.966545356961433,17.443637332005892,28.93329350609565,14298,0.002023590257804983,19,2019,3277.426611185074
115,0.22371030664155267,0.10701119537922979,8.967036573097696,18.745875086477717,6.8638284548009825,6.64011814815943,115,6.8638284548009825,53.0,26.184768499981146,27.128063146956265,41.852905705047306,19711,0.0021233273656865357,19,2019,3277.426611185074
125,0.22371030664155267,0.10701119537922979,10.037148526889993,20.982978152893246,6.8638284548009825,6.64011814815943,125,6.8638284548009825,55.0,28.576068511989433,23.331088081991766,53.766690253221896,25010,0.0021498076870540544,19,2019,3277.426611185074
135,0.21258651582259436,0.10169016135734836,11.080655310572883,23.16446226521398,6.852704663982024,6.64011814815943,135,6.852704663982024,60.0,30.705405363987666,23.279988410999067,66.12998962629354,30289,0.0021833005258111372,19,2019,3277.426611185074
145,0.20935612501631695,0.10014491300955672,12.089830682407408,25.274175469408537,6.849474273175747,6.64011814815943,145,6.849474273175747,70.0,33.87552979798056,56.32483824202791,89.71401675225934,36432,0.002462505949502068,19,2019,3277.426611185074
155,0.20935612501631695,0.10014491300955672,13.091279812502975,27.367736719571706,6.849474273175747,6.64011814815943,155,6.849474273175747,80.0,41.608303975022864,27.853618662978988,105.06074588152114,41767,0.0025154008159915995,19,2019,3277.426611185074
165,0.20935612501631695,0.10014491300955672,14.092728942598542,29.461297969734876,6.849474273175747,6.64011814815943,165,6.849474273175747,90.0,48.95186339999782,48.75767879100749,128.1554688256001,47630,0.002690645996758348,19,2019,3277.426611185074
175,0.20484341316764976,0.09798627000120552,15.083384857652353,31.53229566065471,6.84496156132708,6.64011814815943,175,6.84496156132708,100.0,51.66308927698992,38.31173953303369,148.70900032506324,53180,0.0027963332140854315,19,2019,3277.426611185074
185,0.16124641602639134,0.07713176915558213,15.95897505343629,33.36274480662492,6.801364564185821,6.64011814815943,185,6.801364564185821,109.0,62.420947710983455,39.58976329804864,169.41188084351597,58190,0.00291135729237869,19,2019,3277.426611185074
195,0.16124641602639134,0.07713176915558213,16.730292744992113,34.97520896688883,6.801364564185821,6.64011814815943,195,6.801364564185821,119.0,73.46173527202336,49.847082783002406,195.45592384057818,63978,0.0030550489830969735,19,2019,3277.426611185074
205,0.1605059901213508,0.07677758850839769,17.499839533312013,36.58397099762754,6.800624138280781,6.64011814815943,205,6.800624138280781,129.0,84.50976214196999,61.35891192301642,226.4197506699711,70028,0.0032332745568911165,19,2019,3277.426611185074
215,0.15862115904835772,0.07587598487092165,18.26310740020861,38.17960674347608,6.7987393072077875,6.64011814815943,215,6.7987393072077875,138.0,95.65872793697054,38.88374320301227,250.05473856674507,75478,0.0033129486547966965,19,2019,3277.426611185074
225,0.15862115904835772,0.07587598487092165,19.02186724891783,39.76581833395966,6.7987393072077875,6.64011814815943,225,6.7987393072077875,148.0,114.44798589497805,39.990185588016175,274.7931531626964,80928,0.0033955263093452996,19,2019,3277.426611185074
235,0.15862115904835772,0.07587598487092165,19.780627097627047,41.35202992444324,6.7987393072077875,6.64011814815943,235,6.7987393072077875,152.0,117.3377535539912,41.66753023600904,300.4425168268499,86408,0.0034770219982738853,19,2019,3277.426611185074
245,0.15862115904835772,0.07587598487092165,20.539386946336265,42.938241514926816,6.7987393072077875,6.64011814815943,245,6.7987393072077875,161.0,129.1265197750181,88.68002039298881,345.6819454440265,92975,0.003718009631019376,19,2019,3277.426611185074
255,0.15862115904835772,0.07587598487092165,21.298146795045483,44.524453105410394,6.7987393072077875,6.64011814815943,255,6.7987393072077875,171.0,145.9490490409662,97.83309232199099,394.48986160266213,99762,0.0039543098735256126,19,2019,3277.426611185074
