n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6496705359073014,0.22944906577918114,0.6549522358144216,1.0,0.0,0.0,3.624955507736499,0.37507626295613666,30,-3.377763469369345,,,,,,0.0,0,,,,,,,,,,29,2029,1688.6283655166626
40,0.6252081741301189,0.24547074431844806,0.6549522358144216,0.9623465119238946,9.811732559619472,6.374393550187101,3.5460529803743097,0.8823140443902535,40,-3.377763469369345,30.0,,,15.709515441209078,71.06723698414862,67.01378123275936,5225,0.012825604063686002,0.013823605673718596,0.04585491207321015,0.9403214822530712,0.009401611080584857,0.5141215452177029,0.4764768437017122,13.565508379765927,20.000000000000004,29,2029,1688.6283655166626
50,0.43086073462837504,0.3727590343449232,0.6549522358144216,0.6631988228104786,17.939459233291338,11.65473809397957,3.3279591903203896,1.0253434248950812,50,-3.377763469369345,40.0,,,17.178374767303467,61.16962808184326,124.03962700720876,10407,0.011918864899318609,0.7222179343955552,0.27055988626048927,0.007222179343955555,0.49535835545150986,0.49968806099397517,0.004953583554515099,11.010723547768256,20.000000000000004,29,2029,1688.6283655166626
60,0.2372175059906293,0.499586099891538,0.6549522358144216,0.36513508444605963,23.08112876957403,14.995129297074593,3.141418590237163,1.0890572159743435,60,-3.377763469369345,50.0,,,19.532904978841543,80.82614054065198,200.68131958507,15700,0.012782249655100001,0.013832850053197229,0.05544127052138311,0.9307258794254197,0.021385341354250093,0.4290702220213434,0.5495444366244066,11.598350180829607,20.000000000000004,29,2029,1688.6283655166626
70,0.23658566577145562,0.4999999250557633,0.6549522358144216,0.36416252961364554,26.727616839872553,17.36414515588502,3.319811532638928,1.0690788364973436,70,-3.647927061237961,60.0,,,21.65970407333225,39.329229903407395,237.13101542927325,19012,0.012472702263269159,0.013734781405637303,0.04283796267932364,0.9434272559150392,0.009079734907947407,0.5207928089140611,0.4701274561779914,7.605980642791461,20.000000000000004,29,2029,1688.6283655166626
80,0.22800172007276995,0.5056219994832271,0.6549522358144216,0.3509497621811535,30.303178298846547,19.687082085106148,2.0991034444068095,1.0226716996445229,80,-7.745465236309565,70.0,,,24.53451901115477,43.872064295224845,277.93727377429605,22574,0.012312274022073893,0.7540141330747517,0.007540141330747457,0.23844572559450072,0.28744334371972685,0.7096822228430759,0.0028744334371972693,6.879747052285479,20.000000000000014,29,2029,1688.6283655166626
90,0.21608754632189087,0.5134252142192468,0.6549522358144216,0.33261096875836066,33.72098195354412,21.90752841707945,2.0050645543659593,0.9978435123505737,90,-7.265181512769277,80.0,,,25.876040356233716,75.12245816271752,348.92380567546934,27793,0.012554377205608223,0.8241401606103007,0.008241401606102995,0.16761843778359625,0.3387408492310555,0.657871742276634,0.0033874084923105523,7.709669392531923,20.000000000000014,29,2029,1688.6283655166626
100,0.2156203072456603,0.5137312334968839,0.6549522358144216,0.3318917748740666,37.04349567170625,24.066067684917208,2.0016867378325247,0.9951595108833545,100,-7.265181512769277,90.0,,,30.229039365425706,81.72677709255368,426.50781550537795,33235,0.01283309208681745,0.009174534904297134,0.518610211754143,0.4722152533415599,0.009070922773001873,0.5329666922462958,0.4579623849807023,18.30993046432724,20.000000000000004,29,2029,1688.6283655166626
110,0.21150720531047632,0.5164251188054653,0.6549522358144216,0.3255607167332818,40.330758129742996,26.20170524769789,1.483046864316446,0.9436420132087789,110,-7.265181512769277,100.0,,,32.316226514056325,32.18888234347105,456.50349401310086,35388,0.01289995179193797,0.01407703517174219,0.04190082071490876,0.9440221441133491,0.009241317446467768,0.5264536815102451,0.4643050010432871,14.851455251647945,20.000000000000004,29,2029,1688.6283655166626
120,0.21059547812237442,0.5170222565657654,0.6549522358144216,0.3241573481984465,43.57934845440164,28.312218664862144,1.4545183981592171,0.9633920269081848,120,-7.265181512769277,110.0,,,33.45227535441518,33.31181250885129,486.82703247480094,38698,0.012580160020538553,0.0074307622173042905,0.3622274041977236,0.6303418335849721,0.00923785801988197,0.6737592571074111,0.3170028848727069,0.0001695082952418834,19.999999999999993,29,2029,1688.6283655166626
130,0.20905730958337537,0.5180296834894422,0.6549522358144216,0.3217897349945463,46.80908387036661,30.410482603390893,1.4387687893082255,0.8853251984498067,130,-7.265181512769277,120.0,,,37.4429513560608,71.52419218979776,554.2436208203435,43923,0.012618528352351695,0.0074057526657537705,0.35700401856164726,0.6355902287725991,0.009703325386378131,0.6914149918858016,0.2988816827278203,0.00010214242948066417,20.000000000000004,29,2029,1688.6283655166626
140,0.2087734599198707,0.5182155914611898,0.6549522358144216,0.32135282174726737,50.02479665407567,32.499636450907126,1.2839722942719862,0.9059125152532456,140,-7.265181512769277,130.0,,,38.85121506545693,50.7614304125309,601.5595721211284,48049,0.012519710548005753,0.007336834652149925,0.35873182238656426,0.6339313429612857,0.009292262903471814,0.6840485014657787,0.3066592356307495,0.00014580076793545505,20.000000000000004,29,2029,1688.6283655166626
150,0.19471457919891172,0.5274234868224301,0.6549522358144216,0.2997128058562512,53.13012479209326,34.51707664650104,1.258238195237486,0.899498440356165,150,-7.265181512769277,140.0,,,40.02092516515404,92.55670727975667,690.2221201797947,53522,0.012896044994204154,0.008989477569441013,0.5202068688545518,0.47080365357600723,0.009172747218091654,0.6751941589849615,0.3156330937969469,20.000000000000004,19.999999999999993,29,2029,1688.6283655166626
160,0.19471457919891172,0.5274234868224301,0.6549522358144216,0.2997128058562512,56.12725285065577,36.464222438490154,1.258238195237486,0.899498440356165,160,-7.265181512769277,150.0,,,43.62461107689887,57.50076939444989,740.4400904932991,57888,0.01279090814146799,0.007356714074683576,0.3618473807403542,0.6307959051849622,0.009293408615655098,0.682117593332219,0.3085889980521259,0.0005689820765325091,20.000000000000004,29,2029,1688.6283655166626
170,0.19467125143107883,0.5274518644408451,0.6549522358144216,0.29964611394790974,59.124047449676574,38.411151591640106,1.2563710346957895,0.8994959168633191,170,-7.265181512769277,160.0,,,47.02704365365207,48.979550930671394,785.8980687484145,62214,0.012632173927868558,0.007394646946156652,0.36165652634305084,0.6309488267107926,0.009469102452736005,0.6829620197376903,0.3075688778095736,0.00020402776063986814,20.000000000000004,29,2029,1688.6283655166626
180,0.19452497646244185,0.5275476675585976,0.6549522358144216,0.2994209614120437,62.11938282647634,40.35713273110771,1.2563710346957895,0.9174184659576285,180,-7.265181512769277,170.0,,,49.24856675602496,64.84603235777467,846.623636403121,67426,0.012556337857845951,0.007399855923778952,0.3586699780104466,0.6339301660657746,0.009361468591677554,0.6719885446929235,0.31864998671539896,0.001465770048632043,20.000000000000014,29,2029,1688.6283655166626
190,0.19452497646244185,0.5275476675585976,0.6549522358144216,0.2994209614120437,65.11359244059678,42.30238249573213,1.2563710346957895,0.9174184659576285,190,-7.265181512769277,180.0,,,51.56074955500662,100.99790592864156,943.4920710446313,73048,0.012916056169157695,0.018553547413793062,0.744564527464699,0.2368819251215079,0.009211779498089271,0.6867652658351191,0.3040229546667916,0.0012361118012592716,20.000000000000014,29,2029,1688.6283655166626
200,0.1939883003800244,0.527899164758685,0.6549522358144216,0.29859488719017996,68.1036716836079,44.24494887994447,1.2456899460650204,0.9247890505506274,200,-7.265181512769277,190.0,,,55.91359365172684,82.06305387336761,1020.9176068427041,78501,0.013005154161637484,0.007354284300456542,0.3582051685975142,0.6344405471020292,0.00942430108434651,0.6785562306590631,0.3120194682565903,0.00018397654795750066,20.000000000000004,29,2029,1688.6283655166626
