x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.888110898170996e-18,0.8950673962428093,0.0,0.0,3.8876490831337737e-17,0.010071208346078787,0.4282959920001488,0.0,-11.434395382789017,55.73822270879554,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0584781422511072e-17,0.8939940761215436,0.0,0.0,4.257090190155698e-18,0.02258937514040777,0.4302796071529684,1.024057846835075e-17,-11.420391746908184,54.81179175074314,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-17,2.42861286636753e-17,0.5,9.974659986866641e-18,1.3877787807814457e-17,0.5,5.204170427930421e-18,0.5026181384200287,0.5,-7.096008038896083,27.015708830520172,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-16,0.0,0.5,0.0,3.469446951953614e-17,0.5,5.2909066017292616e-17,0.2815188754240174,0.5,-7.066163675299594,25.689113252544104,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006956302080272469,0.015051659906503501,0.5,0.006863249521622646,0.014759906524909716,0.5,0.00319471773192761,0.09548827320156171,0.5,-7.047531928460519,24.723761480112138,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4633441998765369,0.5,0.5,7.806255641895632e-18,0.5,0.5,5.204170427930421e-18,0.5,0.5,-3.5174988937274336,13.002814932914596,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17705896467280424,0.5,0.5,1.0408340855860843e-17,0.5,0.5,1.3877787807814457e-17,0.5,0.5,-3.490788962350667,11.719449138797037,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779230139931194,0.5,0.5,0.00045818401480340225,0.5,0.5,0.14701038424727855,0.5,0.5,-3.5491937222094,15.601868699883099,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042604252304088,0.5,0.5,1.8342244330014097e-17,0.00039641747540274336,0.5,1.1685823857916209e-17,4.85722573273506e-17,0.5,-4.204457839852197,22.558293135349857,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212880743233411,0.5,0.5,2.2639787897572594e-17,0.0006053235299180893,0.5,6.34884599725986e-18,0.0,0.5,-4.215725783262045,22.705624040254346,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057076510317351,0.5,0.5,0.0,0.0009086569071042233,0.5,1.5041865251435088e-17,0.0,0.5,-4.205398092307984,22.5736242510713,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6156317284600441,0.5,0.5,1.0880186077959643e-17,0.0010631371949311771,0.5,0.0,0.0,0.5,-4.211932653834659,22.659395798776497,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6522403410506471,0.5,0.5,5.333954646051021e-17,1.1699269350571686e-18,0.5,5.138915406637032e-18,3.749289901478208e-17,0.5,-4.237410960379032,22.97792223745705,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326196597172027,0.5,0.5,0.00022673260993925307,0.0016586242407645138,0.5,0.012538502572371314,0.1549459370181798,0.5,-4.112020560097822,22.326337168464327,23,2023
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6996104953843887,0.4680856579664571,0.22335717125088744,0.006316765677867047,0.011224216386957631,0.01066875930011772,0.8904428402527031,0.9563073743714272,0.8631255642622756,-11.517112595989083,61.23764530227365,23,2023
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6863350143295468,0.4075127017181128,0.22631236548675787,2.629748830434125e-18,6.829532706306214e-18,1.5718838542123687e-18,0.9976493192237047,0.986904594602745,0.8823307921862392,-11.584922299270616,61.51968572117596,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.03828185482741116,0.09603566574456783,3.3495483777490353e-18,0.0,0.0,0.9503842671586982,1.0,0.8274750808959987,-11.800749221518231,62.24197453485638,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0818930852259448,0.09356089124346349,0.0,0.0,0.0,0.9683387493947435,1.0,0.9100001612744184,-11.82197562996505,62.87825428846163,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.10888800454151852,0.018562634568884843,8.392871751948458e-18,5.724829232850069e-18,0.0,0.954544167969082,1.0,0.7105080250413763,-11.789203068934807,61.57572134060895,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07708123356056461,0.0,2.0231057901727852e-17,0.0,0.9480640873016773,1.0,0.8715850296922326,-11.804575210721472,62.45948531793399,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.06883731850875355,0.10474283755350478,8.042536155621142e-18,0.0,0.0,0.9614061908729895,1.0,0.9074662332639577,-11.818382841712616,62.82320201388933,23,2023
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10028988226901496,0.5,0.5,0.0010932963520109053,0.5,0.5,0.10437865250920444,0.07829632513279132,0.5,-3.7521390337325196,16.67301606736277,23,2023
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6073232139399826,0.5,0.5,4.607859233063394e-18,0.5,0.5,0.015656966505469026,0.03187994327444682,0.5,-3.850306343678934,18.367111862012223,23,2023
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5957867963208088,0.5,0.5,0.0008138973899040976,0.5,0.5,0.022476494610279885,0.004987113441764885,0.5,-3.845924277432681,18.154398379343185,23,2023
1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.983219562199628,0.08932830851420347,0.5,1.7271151332614814e-16,0.0,0.5,6.867059362937609e-17,1.749615125234044e-16,0.09085944229849016,-7.994113205595199,37.3680584331492,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12174851102889556,0.5,0.5,2.8082941965722707e-17,0.0,0.5,0.0,1.9683806082786185e-17,0.5,-4.014886886502286,20.10375889956427,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18172773623786126,0.5,0.5,0.0001995218933333155,0.0005892910405778703,0.5,0.0072529099045502195,0.005135003090518722,0.5,-4.027652779243934,20.310235146400846,23,2023
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08112944251198563,0.27024257777017463,0.5,8.225769576989666e-18,2.765511965628537e-17,0.5,0.00246379892444349,0.008287168185354757,0.0,-7.825050760819249,30.621797063634013,23,2023
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09077990795368542,0.14719785556801446,0.5,8.358750732630756e-05,6.235269783522986e-05,0.5,0.027326833250339237,0.012842411562770606,0.0009454662349506056,-7.807068415448049,30.456921310122645,23,2023
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08713825259915653,0.2460266097211904,0.5,2.8726953613634614e-17,1.4376483770271692e-17,0.5,7.746892564577931e-17,2.3899920441688185e-17,5.0820866772444334e-18,-7.821406820895933,30.476855174298564,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940221098628219,0.5,0.5,0.00017136070081165246,0.5,0.5,0.0003072450761179462,0.5,0.5,-3.5096782764467567,12.589645596086825,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3526040284049423,0.5,0.5,0.0,0.5,0.5,2.7077949257825473e-17,0.5,0.5,-3.5055408770672027,12.370307205931754,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36622127598916593,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,-3.5069053614152925,12.43882616090993,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849805351387243,0.5,0.5,0.0,0.5,0.5,1.385881426979596e-16,0.5,0.5,-3.5088342327095936,12.53747008704989,23,2023
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776853879212766,0.5,0.5,2.293087594806842e-17,0.5,0.5,0.0,0.5,0.5,-3.5080773886068664,12.498523765744716,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7802083719075861,0.5,0.5,0.004046912879430925,0.0024018132966662827,0.5,0.02055162672033697,0.0033762890382935,0.5,-4.34778571719004,24.44333557677117,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939146890462097,0.5,0.5,2.414099436694948e-18,0.01187992824348218,0.5,3.469446951953614e-18,0.0,0.5,-4.36213309375733,24.48338330384427,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7783474396490839,0.5,0.5,0.004407810989058486,0.0018809570221682006,0.5,0.02221143681960752,0.0034965411106451564,0.5,-4.345883057922645,24.432753633306866,23,2023
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837630121747565,0.5,0.5,0.003669427517074238,0.002359053436378454,0.5,0.01802854127064017,0.002475661146652231,0.5,-4.351450027650649,24.4591873149972,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.17369523501721654,0.11408564729234244,0.04181080745575674,5.5003420535403334e-18,2.34155297790027e-17,2.8126590303219056e-17,1.0,0.0,0.0,-11.355655602202189,46.81453599244131,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.07252611008775289,0.17414839960001172,0.10308416312461044,1.7678361848996812e-17,6.378937742440388e-18,1.8816587659818814e-17,0.9745771142674408,3.1752421572415575e-17,1.680396796270644e-16,-11.32898223335759,46.67096101050829,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.30590411769943854,0.19428798308984296,0.09822214733524358,0.0,0.0,0.0,1.0,0.0,0.0,-11.388179136197008,47.48680917878016,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.32525503010473805,0.22689583886271916,0.2398027797114418,0.0,1.734723475976807e-18,0.0,0.5827051495545709,0.30420828850839093,0.12340522133413233,-11.049139961410205,46.065357462595465,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4384170621602288,0.12595909108432687,0.05844866289111163,0.0,0.0,0.0,1.0,4.918039149374771e-16,1.676388516472932e-17,-11.411092285624596,47.980440214496284,23,2023
2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0965469955786977,0.16935380754558743,0.16035536041372964,0.0,3.2212896928311608e-18,0.0,0.0,2.3504507796776426e-19,3.0946838839825883e-18,-11.043440304280438,40.94601113269215,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-17,0.238162358644604,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-7.4223797930692905,27.397049163526127,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.540979117872439e-18,0.2826599614684711,0.5,8.630249292984615e-17,0.0,0.5,0.0,0.0,0.5,-7.425519929960852,27.5592765767215,23,2023
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003977134751375978,0.6188842469544172,0.5,0.0003915838359661095,0.0003810940193443827,0.5,0.0014148167700108597,0.01590384614768527,0.5,-7.457574727716948,29.789782745742205,23,2023
