n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,kernel_weight.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,run,seed,runtime_sec
30,0.5398690329589804,0.30136380563096776,0.6549522358144216,1.0,0.0,0.0,3.362413336170734,0.8418657852603553,30,-3.37249896726474,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2025,3598.292679309845
40,0.5182792606148753,0.31550407529846375,0.6549522358144216,0.9600092410824654,9.800046205412327,5.290741467869278,3.1413786633911682,0.9828738999427833,40,-3.37249896726474,30.0,,,57.438475200906396,89.0409731939435,85.0833224626258,5198,0.016368472963183108,0.0075211295163047105,0.368810072901919,0.6236687975817764,0.007472756640110039,0.3672922630527268,0.6252349803071631,0.9999999999999999,0.7277261072759438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7277261072759438,1.0,0.0,1.0,0.8674968592644735,0.0,0.0,0.0,0.0,0.0,0.0,6.891410335024627e-21,1.8674968592644734,1.0,1.0587911840678754e-20,25,2025,3598.292679309845
50,0.2690817256259945,0.4787165579988738,0.6549522358144216,0.49842037456969585,17.092194283673134,9.227546399073628,4.016870706628315,1.0002222952203672,50,-3.37249896726474,40.0,,,59.247274078428745,101.40073524322361,182.50453816819936,10398,0.01755188864860544,0.013048834749423198,0.08269559120774073,0.9042555740428361,0.012105990266381109,0.889591914723727,0.09830209500989187,0.8127626601222033,0.9641714977947274,0.409507165317484,0.0,0.0,0.0,0.0,0.0,0.0,2.1864413232344146,1.0,0.0,0.928366488025101,0.22781109218454856,0.3381263922342939,0.0,0.0,0.0,0.0,0.0,0.0,1.4943039724439435,0.37320437845572185,0.6267956215442781,25,2025,3598.292679309845
60,0.2467564028587066,0.4933385780605876,0.6549522358144216,0.4570671547991072,21.869631930517148,11.806737041497133,2.9359841886852664,1.1391174953967915,60,-3.37249896726474,50.0,,,59.48170379269868,117.63562358450145,296.5675948401913,15030,0.019731709570205674,0.0074927698609620515,0.36231435793447914,0.6301928722045588,0.01224684870115764,0.8883369423840677,0.09941620891477462,0.990332535841388,0.959590682086372,0.3209977603653081,0.0,0.0,0.0,0.0,0.0,0.0,2.270920978293068,1.0,0.0,0.9942167226928337,0.12699373450060142,0.0144079059082613,2.0036718239963796e-20,8.526739997496458e-07,0.0,0.0,0.0,0.0,1.1356192157756964,0.9998843565837382,0.00011564341626181974,25,2025,3598.292679309845
70,0.24346912127633,0.49549159048271674,0.6549522358144216,0.4509781195300175,26.40985830216277,14.257864662172317,2.7644734404923166,1.0554251555907275,70,-7.089574236672404,60.0,,,61.950024710036814,18.180375209078193,313.11516812536865,16142,0.01939754479775546,0.013041752605830854,0.06815130296284065,0.9188069444313285,0.012151501558690807,0.883152390558809,0.10469610788250018,0.8304130312751329,0.5635294618159405,0.25581843887917693,0.0,0.0,0.0,0.0,0.0,0.0,1.6497609319702502,1.0,0.0,0.9918209027710159,1.0,0.005405198713689316,0.0,0.0,0.0,0.0,0.0,0.0,1.9972261014847053,0.6412001020133594,0.3587998979866406,25,2025,3598.292679309845
80,0.23567870004249813,0.5005939442877511,0.6549522358144216,0.4365479137611606,30.84748846861866,16.65360376876646,1.5899641451085935,1.0878460543272253,80,-7.089574236672404,70.0,,,68.8617753405124,95.94284851755947,405.1088007632643,21311,0.019009375475729166,0.00744691314206336,0.3652582174008573,0.6272948694570794,0.012221371203675446,0.6466192824236912,0.34115934637263345,0.996294758685074,0.969573613604042,0.454069038633359,0.0,0.0,0.0001561127554232317,0.0,0.0,0.0,2.420093523677898,1.0,0.0,0.7960415898955138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7960415898955138,0.9995407459245211,0.00045925407547882575,25,2025,3598.292679309845
90,0.23300245098107492,0.5023467595941264,0.6549522358144216,0.43159069469868744,35.1881815109179,18.997009523884323,1.2425277556014818,1.070550476374984,90,-7.089574236672404,80.0,,,71.96323728840798,135.31365723349154,536.4032539688051,26614,0.02015492800664331,0.007461959718721997,0.37273604208762817,0.6198019981936498,0.010251010753346277,0.841694685598224,0.1480543036484297,0.898141492762422,0.8800531092711499,0.07210761678130506,0.00021821229879974974,0.0,0.05177265838116217,1.4416965920346916e-18,0.0,4.8141488824747605e-19,1.9022930894948389,1.0,0.0,0.9999999999999997,0.6534205389079094,0.0928949010532057,0.0,0.0,0.0,0.0,0.0,0.0,1.7463154399611147,2.220446049250313e-16,0.9999999999999998,25,2025,3598.292679309845
100,0.23252299950400976,0.5026607774109948,0.6549522358144216,0.43070260620352535,39.49964801542897,21.324636776309745,1.0899563354189927,1.0721976552618435,100,-7.089574236672404,90.0,,,72.33726399298757,90.60742002911866,623.6548743033782,30890,0.0201895394724305,0.0075073930643255295,0.36631329236613297,0.6261793145695415,0.01237069760618039,0.8887515007328726,0.09887780166094691,1.0,0.5984195862331632,0.9484972572459953,0.0,0.0,0.0381471716593105,0.0,0.0,0.0,2.585064015138469,1.0,8.98033336630246e-19,0.9999999999999963,0.8187136355197335,0.04640679800934544,0.0,0.0,0.0,0.0,0.0,0.0,1.8651204335290754,1.4876988529977098e-14,0.9999999999999851,25,2025,3598.292679309845
110,0.20985741394219085,0.5175056533507512,0.6549522358144216,0.38871911728661046,43.59675663287965,23.536538843540747,1.0822251159507332,1.121705348185649,110,-7.089574236672404,100.0,,,73.0372513923794,152.86985692754388,772.500351655297,36272,0.02129742919208472,0.01374505725736663,0.20523830997682307,0.7810166327658103,0.012172243056342789,0.886943529258533,0.10088422768512417,0.7397119301957331,0.748026100792522,0.19092228731163607,0.0,0.0,0.0,0.0,2.1598580894791837e-20,2.8567024516911223e-05,1.678688885324408,1.0,1.1526724159355488e-20,0.9829383164453339,0.7349726796062491,2.117582368135751e-21,8.470329472543003e-22,1.2705494208814505e-21,5.69629657028517e-20,1.8041801776516597e-19,0.0,1.1434944787933055e-20,1.717910996051583,1.0,2.541098841762901e-21,25,2025,3598.292679309845
120,0.10031804550483558,0.5892487076184967,0.6549522358144216,0.18581922536841972,46.4694483461548,25.08741614077588,0.8398279197128461,1.094182053358391,120,-7.089574236672404,110.0,,,75.75543999485672,231.04944898188114,999.4337358092889,41853,0.023879619998788352,0.013763295156185374,0.1857939306547249,0.8004427741890897,0.012301366950603916,0.8897100424828043,0.09798859056659176,0.9999999999999998,0.8194139294371618,0.7821383140043298,0.010697215053070877,0.0,0.0,0.0,0.0,0.0,2.612249458494562,1.0,0.0,0.9999546602334187,0.3404320968019131,0.8872179419934241,0.0,0.0,0.0,0.0,0.0,0.0,2.227604699028756,0.9420360791647789,0.057963920835221096,25,2025,3598.292679309845
