n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.4814155613455175,0.3396480375553201,0.6549522358144216,1.0,0.0,0.0,4.2654619148139385,0.6341493867144753,30,-3.558713864570872,,,,,,0.0,0,,0,2000,80.23318290710449
40,0.4731034031302178,0.3450921041628738,0.6549522358144216,0.9827339228668308,9.913669614334154,4.772594822378676,3.0293048728859744,0.5416462287430022,40,-6.946249359781236,30.0,,,0.0153616252355277,3.978168616071344,0.4273753492161631,4630,9.23056909754132e-05,0,2000,80.23318290710449
50,0.429283349743068,0.3737921461022949,0.6549522358144216,0.8917105806535538,19.28589213193608,9.284528586745104,2.886771702622493,0.454317041183926,50,-6.946249359781236,40.0,,,0.0212031700648367,4.404587947763503,0.91583730885759,9835,9.312021442375088e-05,0,2000,80.23318290710449
60,0.3569683422123869,0.4211550219674512,0.6549522358144216,0.7414973068479326,27.45193156944351,13.215787046522378,2.256396792330257,0.6960520169128026,60,-6.946249359781236,50.0,,,0.0108025572262704,4.243710460141301,1.3813371756114066,14890,9.276945437282783e-05,0,2000,80.23318290710449
70,0.3569522651341523,0.4211655516857863,0.6549522358144216,0.7414639114209347,34.86673766078785,16.785390083255074,2.2453131670245674,0.9673070926676364,70,-6.946249359781236,60.0,,,0.0232676989398896,4.305550060700625,1.8749399641528728,20117,9.32017678656297e-05,0,2000,80.23318290710449
80,0.2148361888577424,0.5142447935881939,0.6549522358144216,0.4462593362318673,40.80535389905186,19.644332353214548,2.074329377720368,1.0341921249518282,80,-6.946249359781236,70.0,,,0.0041703376919031,4.21700838021934,2.3159320959821343,25137,9.213239829661988e-05,0,2000,80.23318290710449
90,0.2105283647877127,0.517066212594355,0.6549522358144216,0.4373110918959557,45.22320603969098,21.771155121441826,1.9819420554685023,0.9495296456116208,90,-6.946249359781236,80.0,,,0.0040329028852283,4.42009011702612,2.941862186416984,30911,9.517201599485568e-05,0,2000,80.23318290710449
100,0.207526434093137,0.5190323338145273,0.6549522358144216,0.4310754590340152,49.56513879434083,23.86142911584607,1.9769285800188503,0.8235669689771635,100,-6.946249359781236,90.0,,,0.0040235291235148,3.713992903009057,3.346497588325292,35316,9.475868128681878e-05,0,2000,80.23318290710449
110,0.207526434093137,0.5190323338145273,0.6549522358144216,0.4310754590340152,53.875893384680985,25.93669345677744,1.9769285800188503,0.8235669689771635,110,-6.946249359781236,100.0,,,0.0040814350359141,2.461738887242973,3.5522083644755185,37655,9.433563575821322e-05,0,2000,80.23318290710449
120,0.2071659986750125,0.5192684017974947,0.6549522358144216,0.4303267598911849,58.18290447930698,28.01015562061819,1.9766585623969664,0.9591506886007716,120,-6.946249359781236,110.0,,,0.0040351320058107,4.377853840123862,4.106311975978315,43133,9.52011679219696e-05,0,2000,80.23318290710449
