n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6200755900150665,0.24883234176010713,0.6549522358144216,1.0,0.0,0.0,3.8899602949276533,0.6099876928867152,30,-3.4382502337486147,,,,,,0.0,0,,7,2007,87.00459122657776
40,0.48577182005897696,0.33679489617115377,0.6549522358144216,0.7834074230323657,8.917037115161827,5.529237050370217,3.0184068529872716,1.1700165688562632,40,-3.4382502337486147,30.0,,,0.010114787612110376,4.292819606605917,0.4819997171871364,5197,9.274576047472319e-05,7,2007,87.00459122657776
50,0.413871837405318,0.3838859505651858,0.6549522358144216,0.6674538460629644,16.17134346063848,10.027455337691691,2.592498981741964,1.0131356775400995,50,-3.6223783152829516,40.0,,,0.008747261948883533,2.076814610976726,0.6514937449246645,6991,9.319035115500851e-05,7,2007,87.00459122657776
60,0.21820988410434533,0.5120351843434748,0.6549522358144216,0.3519085215062946,21.268155298484775,13.187863945240007,2.202999644679185,1.1671164467159885,60,-3.6223783152829516,50.0,,,0.006879033055156469,4.314133694861084,1.1474586091935635,12222,9.388468411009356e-05,7,2007,87.00459122657776
70,0.21134503996639945,0.51653132936014,0.6549522358144216,0.34083754201848876,24.73188561610869,15.335638565593731,2.127177902169935,1.1032570845750997,70,-3.6223783152829516,60.0,,,0.005337352864444256,4.2517992509528995,1.6231958260759711,17351,9.355056343011764e-05,7,2007,87.00459122657776
80,0.21134503996639945,0.51653132936014,0.6549522358144216,0.34083754201848876,28.14026103629358,17.449088965257726,2.127177902169935,1.1032570845750997,80,-3.6223783152829516,70.0,,,0.005482789594680071,4.2300482341088355,2.1297803041525185,22621,9.415058150181329e-05,7,2007,87.00459122657776
90,0.20835921634177362,0.5184869012188362,0.6549522358144216,0.3360222845358433,31.52456016906524,19.54761024679859,2.1108228506076845,1.108280106731254,90,-3.6223783152829516,80.0,,,0.0045637208968400955,4.201306460890919,2.574156215414405,27639,9.313492584443739e-05,7,2007,87.00459122657776
100,0.20835921634177362,0.5184869012188362,0.6549522358144216,0.3360222845358433,34.884783014423675,21.63120241021633,2.1108228506076845,1.108280106731254,100,-3.6223783152829516,90.0,,,0.004298863932490349,2.943255539983511,2.85326023446396,30766,9.274069539309498e-05,7,2007,87.00459122657776
110,0.20470802360059687,0.5208782580680593,0.6549522358144216,0.3301339818837618,38.2155643465217,23.696538609928183,1.916679608773681,1.0867872300717276,110,-6.969912146080057,100.0,,,0.003847538959234953,4.291625465732068,3.3471843553707004,35968,9.306006326097366e-05,7,2007,87.00459122657776
120,0.20465082214740496,0.5209157222877192,0.6549522358144216,0.3300417327223482,41.516442919552254,25.74333283866819,1.916679608773681,1.0904438731779542,120,-6.969912146080057,110.0,,,0.0038750977255403996,4.5304716089740396,3.962669240310788,41691,9.504855341226616e-05,7,2007,87.00459122657776
130,0.20465082214740496,0.5209157222877192,0.6549522358144216,0.3300417327223482,44.81686024677574,27.78984106014224,1.916679608773681,1.0904438731779542,130,-6.969912146080057,120.0,,,0.003729145973920822,3.629873880650848,4.327154285740107,45811,9.445666511842368e-05,7,2007,87.00459122657776
140,0.20465082214740496,0.5209157222877192,0.6549522358144216,0.3300417327223482,48.117277573999225,29.83634928161629,1.916679608773681,1.0904438731779542,140,-6.969912146080057,130.0,,,0.0038093561306595802,3.086590665858239,4.621833982877433,49061,9.420586581760325e-05,7,2007,87.00459122657776
150,0.20094886873406062,0.5233403249526699,0.6549522358144216,0.32407156799895637,51.38784407760575,31.864347736023618,1.9240533938545956,1.1633206623980614,150,-6.969912146080057,140.0,,,0.0036177649162709713,3.7289296719245613,5.001599183771759,53380,9.369799894664217e-05,7,2007,87.00459122657776
160,0.19993466754701192,0.5240045782876931,0.6549522358144216,0.32243595904517697,54.620381712826415,33.86876541742898,1.603833170813752,1.1169133615646278,160,-6.969912146080057,150.0,,,0.0038604666478931904,3.545090809930116,5.3889818508178,57532,9.366929449380865e-05,7,2007,87.00459122657776
170,0.19985663227698922,0.5240556876622668,0.6549522358144216,0.3223101110497401,57.844112063301,35.86772191654899,1.6037338083189479,1.1446054254616655,170,-6.969912146080057,160.0,,,0.0040496960282325745,4.1491559450514615,5.840623657219112,62592,9.331262233542804e-05,7,2007,87.00459122657776
180,0.17536656829763125,0.5400955098207856,0.6549522358144216,0.28281482309821326,60.869736734040764,37.74383791942209,1.5398748260133028,1.0669495648309129,180,-6.969912146080057,170.0,,,0.004086073953658342,4.372941957786679,6.409886934794486,68138,9.40721320671943e-05,7,2007,87.00459122657776
190,0.17536656829763125,0.5400955098207856,0.6549522358144216,0.28281482309821326,63.697884965022894,39.4975036023984,1.5398748260133028,1.0669495648309129,190,-6.969912146080057,180.0,,,0.004152145702391863,4.231958401855081,6.854630491230637,73156,9.369881474152e-05,7,2007,87.00459122657776
200,0.17536656829763125,0.5400955098207856,0.6549522358144216,0.28281482309821326,66.52603319600503,41.251169285374715,1.5398748260133028,1.0669495648309129,200,-6.969912146080057,190.0,,,0.004219712223857641,4.1917593269608915,7.306382729206234,78246,9.337707651772913e-05,7,2007,87.00459122657776
