n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.4814155613455175,0.3396480375553201,0.6549522358144216,1.0,0.0,0.0,4.2654619148139385,0.6341493867144753,30,-3.5587138645708714,,,,0.0,0,,0,2000,312.4157955646515
40,0.4454209667218277,0.3632227777813395,0.6549522358144216,0.9252317591830895,9.626158795915448,4.634182640336726,2.9527007010388666,0.6284439182722054,40,-3.5587138645708714,30.0,0.16042670904425904,10.08218145504361,8.11767896724632,2139,0.003795081331110949,0,2000,312.4157955646515
50,0.37284890420702294,0.41075401238307485,0.6549522358144216,0.7744845288443533,18.12474023605266,8.72553199498098,2.487677500312635,0.9574368912064438,50,-10.525674039132543,40.0,0.0797981380019337,17.699888736999128,22.009591364418156,7470,0.0029463977730144787,0,2000,312.4157955646515
60,0.30417979069118345,0.45572900181166826,0.6549522358144216,0.6318445333196658,25.156385546872755,12.110675469472012,2.366772503035399,1.0308003485749873,60,-3.4865177678958323,50.0,0.09227857500081882,14.210758954985067,33.83841251017293,10497,0.003223626989632555,0,2000,312.4157955646515
70,0.30191957358386257,0.45720933605953407,0.6549522358144216,0.6271495934614615,31.45135618077839,15.141172290847242,2.1011836576910494,0.99850476523177,70,-3.4865177678958323,60.0,0.10444266896229237,13.558255620009732,44.19085453386651,14587,0.0030294683302849465,0,2000,312.4157955646515
80,0.2129048209085834,0.5155097473446759,0.6549522358144216,0.44224748430136257,36.79834156959251,17.715294263309474,1.797464890033446,0.8324930691133071,80,-3.4865177678958323,70.0,0.11955776601098478,21.362302077992354,61.61266277707182,20142,0.0030589148434649895,0,2000,312.4157955646515
90,0.2127619818132042,0.5156033001295562,0.6549522358144216,0.44195077786549253,41.219332880426784,19.843628276918412,1.7338302210234136,0.9039025231324932,90,-3.4865177678958323,80.0,0.13493175798794255,16.906843940960243,75.26759395212866,24579,0.0030622724257345158,0,2000,312.4157955646515
100,0.21133429350642063,0.5165383677781302,0.6549522358144216,0.43898517305040663,45.62401263500628,21.964109653516537,1.652600780364738,0.9140915967097162,100,-3.4865177678958323,90.0,0.14758232596796006,15.830561993003357,87.66265485563781,29194,0.0030027627202725837,0,2000,312.4157955646515
110,0.21130638950384525,0.5165566435670051,0.6549522358144216,0.4389272106478258,50.01357455349744,24.077313068567868,1.6357211737134059,0.9354748647668578,110,-3.4865177678958323,100.0,0.16483731695916504,11.27702151297126,96.59025292732986,31812,0.003036283569952529,0,2000,312.4157955646515
120,0.21130638950384525,0.5165566435670051,0.6549522358144216,0.4389272106478258,54.4028466599757,26.19037696360632,1.6357211737134059,0.9354748647668578,120,-3.4865177678958323,110.0,0.17945331597002223,18.51955452299444,111.49850744416472,36776,0.003031828024912027,0,2000,312.4157955646515
130,0.21130392934880177,0.5165582548510513,0.6549522358144216,0.43892210039539314,58.7920932151918,28.303428557869555,1.6164396990398724,0.9225501335107803,130,-3.4865177678958323,120.0,0.19561336399056017,19.86792486702325,127.56315784330945,42046,0.0030338952062814407,0,2000,312.4157955646515
140,0.20981242749937895,0.5175351173220522,0.6549522358144216,0.4358239416128764,63.16582342523314,30.40901034211046,1.5838988986449507,0.8724889962750283,140,-3.4865177678958323,130.0,0.21317393804201856,22.37068526400253,146.2821788477595,47278,0.0030940855968475717,0,2000,312.4157955646515
150,0.20981242749937895,0.5175351173220522,0.6549522358144216,0.4358239416128764,67.52406284136191,32.50713461710425,1.5838988986449507,0.8724889962750283,150,-3.4865177678958323,140.0,0.23948746698442847,22.053398268006276,164.46734512329567,52742,0.003118337285717183,0,2000,312.4157955646515
160,0.2097937991632435,0.5175473179924536,0.6549522358144216,0.43578524669391,71.88210878289584,34.60516575041736,1.5777918883088033,0.8891039825697953,160,-3.4865177678958323,150.0,0.2541748569929041,20.11571618099697,180.70415594545193,58027,0.0031141392101168754,0,2000,312.4157955646515
170,0.20743952834509158,0.5190892529285148,0.6549522358144216,0.4308949377650255,76.21550970519051,36.69133238795904,1.5101975963522307,0.8627564708938631,170,-3.4865177678958323,160.0,0.2787956339889206,21.926335146999918,198.75548235332826,63445,0.0031327209764887426,0,2000,312.4157955646515
180,0.2062001486926023,0.5199009874029356,0.6549522358144216,0.4283204890932266,80.51158683948178,38.7595307731475,1.5097522914760955,0.8833223465555251,180,-3.4865177678958323,170.0,0.30049914796836674,13.370092506986111,209.14245536952512,67031,0.003120085562941402,0,2000,312.4157955646515
190,0.1615863519201869,0.5491208933471993,0.6549522358144216,0.33564837719114465,84.33143117090364,40.59846327621145,0.984905214203366,0.9511854189662289,190,-3.4865177678958323,180.0,0.3209908999851905,21.204161375004333,226.9888034503674,71592,0.0031705889408085736,0,2000,312.4157955646515
200,0.1615863519201869,0.5491208933471993,0.6549522358144216,0.33564837719114465,87.68791494281508,42.214326795413314,0.984905214203366,0.9511854189662289,200,-3.4865177678958323,190.0,0.3420870049740188,13.354731311963405,237.58878694952,74872,0.0031732662003087935,0,2000,312.4157955646515
