x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2296014865860343,0.5,0.5,0.5473503395915031,0.5,0.5,0.4703041035681963,0.5,0.5,-3.377763469369345,17.974944557455814,29,2029
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657868022099137,0.5,0.5,0.36848375108093023,0.5,0.5,0.6339675383642316,0.4424047712236643,0.5,-3.597263314810929,26.4099393028974,29,2029
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885589293204248,0.5,0.5,0.7717935098335147,0.5,0.5,0.052722685970366,0.06094291806221008,0.7790324939414859,-3.6703056218670094,34.97682842051145,29,2029
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28377842996269464,0.5,0.5,0.09325551614165306,0.5,0.5,0.8410844933241606,0.868297453969717,0.08888237923383713,-3.68941320517519,31.41283043720085,29,2029
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264680240303278,0.5,0.5,0.17111246474087238,0.7947492739185691,0.5,0.1670384667813778,0.5,0.5,-3.647927061237961,24.07052606128724,29,2029
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7782791219651699,0.5,0.5,0.9746982650831342,0.22324966918677092,0.5,0.941122273914516,0.9983756951987743,0.5,-4.345868787928897,43.064704162107304,29,2029
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084933090955019,0.7117414548993111,0.5,0.38387121353298426,0.5,0.5,0.37441886123269796,0.5,0.5,-3.48822547552434,28.10951112218107,29,2029
1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12230870500206947,0.5,0.5,0.6877245809882879,0.6050686948001385,0.5,0.5233079046010971,0.31488425470888615,0.7077802354469895,-4.014949695159114,41.13730995850737,29,2029
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01834069099277258,0.9519915534183383,0.5,0.8953234720975161,0.5,0.5,0.24905665591359138,0.21883939299732447,0.5,-3.8171904170636073,35.025687217132266,29,2029
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6821550959721208,0.4847209993749857,0.5,0.21667854953557253,0.5,0.5,0.8981365291401744,0.9133998574689031,0.5,-3.808057220145178,36.571319772238624,29,2029
2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8623530184850097,0.5,0.5,0.674691186286509,0.9192252941429615,0.6064106896519661,0.2923707505688071,0.5,0.5,-3.7510896431422363,40.66175662333291,29,2029
