n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.4814155613455175,0.3396480375553201,0.6549522358144216,1.0,0.0,0.0,4.2654619148139385,0.6341493867144753,30,-3.558713864570872,,,,0.0,0,,0,2000,911.9190518856047
40,0.4610487537348952,0.3529873237362994,0.6549522358144216,0.9576939150996724,9.78846957549836,4.712321575402063,4.117845230288916,0.6815628006569536,40,-3.558713864570872,30.0,31.451352912001312,7.461392467026599,3.6285651896032505,5184,0.0006999547047845,0,2000,911.9190518856047
50,0.4565327953876582,0.355945060752667,0.6549522358144216,0.9483133326884698,19.31850581443907,9.30022932101483,3.9948162733626313,0.8513124668616758,50,-3.558713864570872,40.0,18.22467591497116,8.204550580994692,8.019315493642353,10404,0.0007707915699387,0,2000,911.9190518856047
60,0.4443111550391601,0.3639496514242356,0.6549522358144216,0.9229264500660228,28.674704728211537,13.804449073148923,2.8334734798065364,0.7800792488712885,60,-3.558713864570872,50.0,13.759035199007483,5.365454851998948,10.980109625554178,13089,0.0008388807109446,0,2000,911.9190518856047
70,0.4410824337051465,0.3660643096807695,0.6549522358144216,0.9162197259938104,37.870435608510704,18.231417016870456,2.7943315785440275,0.8365088933916036,70,-3.558713864570872,60.0,17.40002275601728,10.156435171025803,17.255255031748675,18390,0.0009382955427813,0,2000,911.9190518856047
80,0.3529680496019158,0.4237750225565911,0.6549522358144216,0.7331878691569478,46.117473584264495,22.20166943340577,2.3381761863347146,0.8289346432463384,80,-3.558713864570872,70.0,23.62757530598901,10.046974550001323,23.436178848263808,23610,0.0009926378165295,0,2000,911.9190518856047
90,0.3430784628887297,0.430252229485673,0.6549522358144216,0.712645145765237,53.34663865887542,25.681901995859,1.6871891747328014,0.8947335039368653,90,-10.525674039132545,80.0,26.37894037301885,9.131428783002775,29.343947772984396,27603,0.0010630709623223,0,2000,911.9190518856047
100,0.3155177571539554,0.4483031753272868,0.6549522358144216,0.6553958419460079,60.18684359743165,28.97488309607242,1.6585206519941158,0.9769862437653698,100,-10.525674039132545,90.0,20.16166743199574,12.152073848992586,37.58996393973939,32936,0.0011413032529675,0,2000,911.9190518856047
110,0.1492308726518768,0.5572131421185377,0.6549522358144216,0.3099834833647434,65.01374022398541,31.298626245101584,1.5959267421282226,0.9476045136159706,110,-11.035246568461677,100.0,28.481850910000503,12.454050463042222,46.1984622013988,38233,0.001208339973358,0,2000,911.9190518856047
120,0.1475020012081036,0.5583454703360726,0.6549522358144216,0.3063922586877904,68.09561893424808,32.78229061440149,1.4013295549639735,1.005743678974597,120,-11.035246568461677,110.0,41.30038706900086,13.692055565014016,56.20605829899432,43416,0.0012945931983368,0,2000,911.9190518856047
