n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.graph_1.edge_weight,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f0_failure_rate.interaction.graph_1_edge_weight_sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.graph_1.edge_weight,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_mass.interaction.graph_1_edge_weight_sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.5741138199928579,0.2581904070587411,0.606242745548614,1.0,0.0,0.0,6.38833100919783,0.896985434347402,30,-3.3381707176817077,,,,,,0.0,0,,,,,,,,,,,,,,,,9,2009,2915.383148431778
40,0.533711567092734,0.2826839797832616,0.606242745548614,0.9296267543243838,9.648133771621918,5.53912693542796,5.57716819483555,0.9992788668811378,40,-3.3381707176817077,30.0,,,26.080980111844838,62.93610969372094,58.5398319484666,4676,0.01251921128068148,0.003061462186104841,0.23912807279245638,0.16787984920250199,0.28005903586762854,0.05313922059753648,0.2567323593537719,0.002504402874398839,0.13936857745462292,0.2447128880478607,0.21880509455852493,0.22461664575677254,0.16999239130781998,12.660413543540555,19.999999999999993,9,2009,2915.383148431778
50,0.391063086756847,0.36916358615042727,0.606242745548614,0.6811595072937138,17.702065079712405,10.163000204675866,5.377073838669829,1.008433995242327,50,-3.3381707176817077,40.0,,,27.831028372980654,58.860596254467964,114.27346090506762,9641,0.011852863904684952,0.0034420966615079395,0.10908294240290088,0.15508649654439133,0.2608020563873423,0.1440209007123351,0.32756550729152256,0.0025211081884195545,0.14216584206780988,0.24501749640946985,0.21697119394858205,0.22302834195962634,0.17029601742609227,10.901529418617827,19.999999999999993,9,2009,2915.383148431778
60,0.38803287515806834,0.3710006299496641,0.606242745548614,0.6758814396122628,24.48726981424229,14.058480014250442,2.5117328412266833,1.003632336037737,60,-8.135155283724755,50.0,,,31.26314023695886,29.835207954980433,142.1690511656925,12676,0.0112156083279972,0.0025019073533517544,0.1398695280461682,0.24430901432168425,0.21874785720824455,0.22467702332077563,0.16989466974977557,0.0025000526379158707,0.13957175236490316,0.24430382327980268,0.21808236623778188,0.22453819335518024,0.17100381212441623,10.009362834751709,20.000000000000004,9,2009,2915.383148431778
70,0.3837622550879915,0.3735896623861425,0.606242745548614,0.6684428099862942,31.208891062235075,17.91745566548074,2.0775845708788583,0.8553016138613323,70,-8.135155283724755,60.0,,,36.62747237831354,68.82522643078119,206.3308482337743,17945,0.011497957549945629,0.0034484572416495036,0.10487403457918934,0.15777195472611874,0.2619269200405869,0.1480372502924637,0.32394138311999193,0.0030468318938936417,0.2342241619925959,0.17085900548197872,0.27976477947565676,0.056764584324163196,0.2553406368317117,8.352059540803438,20.000000000000004,9,2009,2915.383148431778
80,0.3571270975907892,0.38973703339536614,0.606242745548614,0.6220492960703017,37.66135159251805,21.621902428874645,2.1502873164081686,0.9472958521431959,80,-8.135155283724755,70.0,,,38.56047308631241,83.26695936266333,286.26214557979256,23256,0.012309173786540787,0.2562146884332331,0.2676957668214438,0.002562146884332329,0.38851652802883047,0.04747760586843768,0.037533263963722474,0.1833501169379798,0.15172450435982723,0.27179690663406236,0.13823877634118356,0.0018335011693797912,0.25305619455756717,9.90934713148407,20.000000000000014,9,2009,2915.383148431778
90,0.26393267233601564,0.44623547763164517,0.606242745548614,0.4597218585319876,43.0702073655295,24.72720127850867,1.793351647286161,0.8507513276167348,90,-8.135155283724755,80.0,,,42.79394184332341,82.61430638097227,365.42909869737923,28625,0.012766082050563466,0.17626886399502426,0.4067917762619146,0.0017626886399502398,0.3248049587866039,0.08860902367655685,0.0017626886399502435,0.13063807103846845,0.22783894545174438,0.18880748487387056,0.20740051403522794,0.0013063807103846803,0.24400860389030407,10.163948936572726,19.999999999999993,9,2009,2915.383148431778
100,0.26282208507371996,0.4469087631027106,0.606242745548614,0.45778742110229903,47.65775376370093,27.360975065557348,1.778005177762088,0.8932321991723788,100,-8.135155283724755,90.0,,,49.91899097710848,52.79747629258782,415.20410785637796,33868,0.012259481157918329,0.006707547198277382,0.2765531699503129,0.07820391555828914,0.2683248560084407,0.2332904482013043,0.13692006308337556,0.003081948655002934,0.23972861335406978,0.16843207280442443,0.2794206949797255,0.05179104053018788,0.2575456296765894,5.518199332501688,20.000000000000004,9,2009,2915.383148431778
110,0.26068333637214836,0.4482053639875899,0.606242745548614,0.4540621167687468,52.21700145305616,29.97850217278669,1.2753431092581158,0.8584987345926878,110,-8.135155283724755,100.0,,,52.38351573422551,42.33545703627169,455.580145874992,37278,0.012221153116449167,0.006765859485839885,0.2780979540902233,0.08200451316347286,0.2706080023376796,0.22093071134377232,0.14159295957901197,0.0030727499036459455,0.23664907919633277,0.16957080878970526,0.2816131057436421,0.0529001309418342,0.2561941254248397,5.178220699996065,19.999999999999993,9,2009,2915.383148431778
120,0.21421688484056467,0.4763753131399988,0.606242745548614,0.3731261596232426,56.35294283501611,32.35300327885025,1.1616314359331015,0.8486034152966948,120,-8.135155283724755,110.0,,,57.16549622453749,40.99641891103238,494.13995195925236,40515,0.012196469257293653,0.16200188138875568,0.4170930915265348,0.0016200188138875554,0.28585856145526334,0.115781912051819,0.01764453476373969,0.13902637136705673,0.17954237481604163,0.32187778449932614,0.1912842433570854,0.0013902637136705637,0.16687896224681958,6.147083548537133,20.000000000000004,9,2009,2915.383148431778
