n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.graph_1.edge_weight,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f0_failure_rate.interaction.graph_1_edge_weight_sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.graph_1.edge_weight,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_mass.interaction.graph_1_edge_weight_sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.668160813483812,0.2225214628914174,0.6705701795726954,1.0,0.0,0.0,7.013189717089733,0.8091198991389875,30,-3.620352764266624,,,,,,0.0,0,,,,,,,,,,,,,,,,39,2039,2711.2513558864594
40,0.4964887764085009,0.3376396116206191,0.6705701795726954,0.7430677860615508,8.715338930307755,5.823247949461564,6.917974887112771,0.8781500043780462,40,-3.620352764266624,30.0,,,26.637492060661316,55.39660540316254,52.16978333052248,5150,0.0101300550156354,0.0034580356748972,0.1080646930110854,0.1583485597615573,0.2619476462613994,0.1418946239169363,0.3262864413741243,0.0024941266935896,0.1388218730787076,0.2424703229661079,0.2184287984851245,0.2271947028029695,0.1705901759735008,10.094846604020502,20.000000000000043,39,2039,2711.2513558864594
50,0.48980216655357967,0.3421234527917662,0.6705701795726954,0.7330603002587587,16.0959793619093,10.754702664271967,2.334253000490711,0.8663202033016631,50,-3.620352764266624,40.0,,,28.777595420368016,23.547367089428008,73.98692618403584,7640,0.0096841526418895,0.0031090642780392,0.2775263831331035,0.2524563058588044,0.1550355462901147,0.1791816675962729,0.132691032843665,0.0025078102575156,0.140029003763122,0.2443928772986545,0.2199377878025398,0.2251298774474975,0.1680026434306704,10.292603329102144,20.000000000000004,39,2039,2711.2513558864594
60,0.458135143721319,0.3633584139789279,0.6705701795726954,0.6856659871035952,23.18961079872107,15.49438921564646,2.3309796312366227,0.95746728894866,60,-3.620352764266624,50.0,,,31.984267245978117,67.1867621652782,137.8217046763748,12655,0.0108906917958415,0.0031283212280054,0.2781421076879106,0.2526970745825733,0.1561441926859008,0.1767727607700604,0.1331155430455493,0.0034410737922605,0.0986450624284303,0.1614373145774812,0.2663736005112623,0.1479910593859315,0.322111889304634,9.883405621230349,20.000000000000004,39,2039,2711.2513558864594
70,0.4009344228928825,0.4017155116165402,0.6705701795726954,0.6000567749587072,29.61822460903258,19.78973704871747,1.6439245563900509,0.8795295326182081,70,-3.620352764266624,60.0,,,36.06909469421953,76.69501215126365,210.9347875220701,18176,0.0116051269543392,0.1576801476243647,0.3232123958750652,0.0016878885503046,0.5016703199737951,0.0045277192737198,0.0112215287027505,0.1716638905952668,0.0319029280066582,0.2902541418075346,0.4222658243299237,0.0017166389059526,0.0821965763546638,9.868600055943473,19.999999999999993,39,2039,2711.2513558864594
80,0.308274438465778,0.4638505340130268,0.6705701795726954,0.46137760886997425,34.92539652817599,23.335781355510772,1.7376338124356017,0.8831690526470928,80,-3.620352764266624,70.0,,,39.917604584246874,74.24959140829742,280.7025188114494,22890,0.0122631069817146,0.0031137966547945,0.2759532535082034,0.2543043825754477,0.1552188927186299,0.1781371204127446,0.1332725541301797,0.0034380788918335,0.1060969863638133,0.1625736519098874,0.2609743963154532,0.144309813802085,0.3226070727169276,9.693765667715123,20.000000000000004,39,2039,2711.2513558864594
90,0.30712924721209317,0.4646184651176553,0.6705701795726954,0.45966366331888187,39.53060288912027,26.412799783900127,1.6984918872146746,0.8840420947946827,90,-3.620352764266624,80.0,,,44.56380064226687,22.056264812126756,301.4191950345412,24747,0.0121800297019655,0.0031099246863632,0.2761159555039288,0.2550322060484884,0.155904447127816,0.1760374507343658,0.1338000158990376,0.0034443852201392,0.105609033393424,0.1582414744608784,0.2645221451474708,0.1434526280044144,0.3247303337736732,9.634279882110436,19.999999999999993,39,2039,2711.2513558864594
100,0.3068885200492418,0.4647798895744766,0.6705701795726954,0.45930338004875676,44.12543810595846,29.4828886202068,1.547805157951262,0.9167021670301262,100,-3.620352764266624,90.0,,,50.01648215204477,85.2694468582049,382.8870993833989,30286,0.0126423792968169,0.0031067535585341,0.2782532555731009,0.2530762051852707,0.1558682691895627,0.177055435305733,0.1326400811877983,0.0034457802462978,0.1061512658077046,0.1582114654700373,0.2627603003672736,0.1450653747026581,0.3243658134060282,6.963290295649649,20.000000000000004,39,2039,2711.2513558864594
110,0.30051493427014186,0.4690538261348896,0.6705701795726954,0.44976438037909966,48.67077690809774,32.51990589180372,1.4113056469609333,1.030124646970551,110,-6.846666737416413,100.0,,,53.29574457835406,36.31009163707495,416.97520027682185,33683,0.012379396142767,0.0031172154492311,0.2785977158835695,0.2516001547221912,0.155198618913778,0.1768879523562435,0.1345983426749865,0.0031114982130573,0.2805912549547007,0.251301619251682,0.1559475284604768,0.1770173008890692,0.1320307982310139,6.309447715710518,20.000000000000004,39,2039,2711.2513558864594
120,0.3005130486266759,0.4690550905911672,0.6705701795726954,0.4497615582389383,53.16840660118793,35.52504580628781,1.351477178202103,1.0013358060768365,120,-6.846666737416413,110.0,,,57.98083755839616,22.846367552876472,438.198262155056,35991,0.0121752177531898,0.0031041678374216,0.2762677149367958,0.2538239392549254,0.1554042257391504,0.1767153895134079,0.1346845627182984,0.0031230095445374,0.2781571750653742,0.2575514140100949,0.1523908553007483,0.1728412508643617,0.1359362952148832,7.136927669259939,20.000000000000018,39,2039,2711.2513558864594
