n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.68291412002975,0.19223101444786264,0.606242745548614,1.0,0.0,0.0,10.993454424010375,0.6174448160506252,30,-7.1097092645408475,,,,,,0.0,0,,0,2000,79.15956735610962
40,0.46883646735109313,0.32201403836837417,0.606242745548614,0.686523317647421,8.432616588237105,5.758752936904216,3.0896116413564534,0.7893574827294183,40,-7.1097092645408475,30.0,,,0.0032950169406831264,4.601164866704494,0.47291858680546284,5443,8.688564887111204e-05,0,2000,79.15956735610962
50,0.2769767691372996,0.43832758857363285,0.606242745548614,0.4055806740754366,13.893136546851393,9.48781911934618,2.984066921384194,0.9955690725329813,50,-3.8832109333761684,40.0,,,0.0023477948270738125,6.450300720985979,0.9383633472025394,10861,8.639750917986737e-05,0,2000,79.15956735610962
60,0.26821792373958403,0.4436375750553798,0.606242745548614,0.392754983200376,17.884814833230458,12.213792583730598,2.621141729719902,0.9202378840765053,60,-3.8832109333761684,50.0,,,0.0017570550553500652,3.551419381983578,1.342535283882171,16009,8.386128327079586e-05,0,2000,79.15956735610962
70,0.26821792373958403,0.4436375750553798,0.606242745548614,0.392754983200376,21.812364665234217,14.895971821126437,2.621141729719902,0.9202378840765053,70,-3.8832109333761684,60.0,,,0.0017843889072537422,2.849023014307022,1.6986356894485652,20444,8.308724757623582e-05,0,2000,79.15956735610962
80,0.24547240456823652,0.45742688104674617,0.606242745548614,0.35944842458015497,25.57338170413687,17.46442346266554,2.3344537561636187,0.9200500445349674,80,-3.3676111933964474,70.0,,,0.0018370742909610271,3.6761519392021,2.1495125023648143,25802,8.330798009320263e-05,0,2000,79.15956735610962
90,0.24547240456823652,0.45742688104674617,0.606242745548614,0.35944842458015497,29.16786594993842,19.919147508347905,2.098294925751144,0.9707125605664174,90,-3.3676111933964474,80.0,,,0.0018371720798313618,1.0334818670526147,2.2488508950918913,26998,8.329694403629496e-05,0,2000,79.15956735610962
100,0.24547240456823652,0.45742688104674617,0.606242745548614,0.35944842458015497,32.76235019573997,22.37387155403027,2.098294925751144,0.9707125605664174,100,-3.3676111933964474,90.0,,,0.00171200605109334,3.2924980740062892,2.6684208805672824,32206,8.285477490428126e-05,0,2000,79.15956735610962
110,0.24547240456823652,0.45742688104674617,0.606242745548614,0.35944842458015497,36.35683444154152,24.828595599712635,2.098294925751144,0.9707125605664174,110,-3.3676111933964474,100.0,,,0.0017230147495865822,2.7607066691853106,2.984396452549845,36350,8.21016905790879e-05,0,2000,79.15956735610962
120,0.24509004449481606,0.45765868406744475,0.606242745548614,0.3588885297673141,39.94851921327887,27.2814078450279,2.096944973746695,0.9719270492844393,120,-3.3676111933964474,110.0,,,0.00176538759842515,3.246885631699115,3.4125969875603914,41582,8.206909209658966e-05,0,2000,79.15956735610962
130,0.24302609970322026,0.45890993562456256,0.606242745548614,0.35586626864975823,43.522293205364235,29.72198856601808,1.9835651709187008,0.9114592752658197,130,-3.3676111933964474,120.0,,,0.0017844089306890965,3.7108156830072403,3.9319892171770334,47222,8.326604585102354e-05,0,2000,79.15956735610962
140,0.2430229711141685,0.458911832308979,0.606242745548614,0.3558616874162473,47.08093298569426,32.152233920105026,1.8438947028356663,0.9861745992103463,140,-3.3676111933964474,130.0,,,0.0018373485654592514,2.066289766691625,4.1559084937907755,50230,8.273757702151654e-05,0,2000,79.15956735610962
150,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,50.60482554774168,34.558749908195026,1.6325089481431267,0.9810627811034117,150,-3.3676111933964474,140.0,,,0.0018840879201889038,2.142255183774978,4.442426231689751,53498,8.303910859639147e-05,0,2000,79.15956735610962
160,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,54.09399379767405,36.94155217323333,1.6325089481431267,0.9562423272032268,160,-3.3676111933964474,150.0,,,0.0019410368986427784,2.664396271109581,4.757943550590426,57416,8.286790355633318e-05,0,2000,79.15956735610962
170,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,57.58316204760642,39.32435443827164,1.6325089481431267,0.9562423272032268,170,-3.3676111933964474,160.0,,,0.0019477172754704952,2.940137946046889,5.127853055950254,61979,8.273533061117886e-05,0,2000,79.15956735610962
180,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,61.07233029753879,41.70715670330995,1.6325089481431267,0.9562423272032268,180,-3.3676111933964474,170.0,,,0.002120416145771742,4.2816861579194665,5.651218532584608,67596,8.360285420120432e-05,0,2000,79.15956735610962
190,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,64.56149854747116,44.089958968348256,1.6325089481431267,0.9562423272032268,190,-3.3676111933964474,180.0,,,0.002128791995346546,3.3115566642954946,6.077978760935366,72814,8.347266680769312e-05,0,2000,79.15956735610962
200,0.23828022650383077,0.461787086822986,0.606242745548614,0.348916824993237,68.05066679740354,46.472761233386564,1.6325089481431267,0.9562423272032268,200,-3.3676111933964474,190.0,,,0.0021851537749171257,3.3657609396614134,6.508073947392404,78034,8.340049141902766e-05,0,2000,79.15956735610962
210,0.20847433327294146,0.4798566933688092,0.606242745548614,0.30527166909927067,71.32160926786608,48.706534032270426,1.5521748474730706,0.9557690950639548,210,-3.3676111933964474,200.0,,,0.0021818261593580246,3.361888217739761,6.931864521931857,83224,8.329165291180257e-05,0,2000,79.15956735610962
220,0.20847433327294146,0.4798566933688092,0.606242745548614,0.30527166909927067,74.37432595885879,50.79127736499984,1.5521748474730706,0.9557690950639548,220,-3.3676111933964474,210.0,,,0.0021944507025182247,2.5845846380107105,7.25565394340083,87101,8.330161471625848e-05,0,2000,79.15956735610962
230,0.20382431344653143,0.4826757341552275,0.606242745548614,0.29846258477955057,77.3929972282529,52.85277059859721,1.4892761041124851,0.8676538439158004,230,-3.3676111933964474,220.0,,,0.0022785780020058155,1.020124910864979,7.3338965703733265,88213,8.313850079209784e-05,0,2000,79.15956735610962
240,0.20306839306437988,0.48313400540311924,0.606242745548614,0.2973556807633931,80.37208855596761,54.887234131151764,1.4528496434573834,0.9779242349991075,240,-3.3676111933964474,230.0,,,0.002294569741934538,3.0330752967856824,7.700029406696558,92856,8.292441421875331e-05,0,2000,79.15956735610962
250,0.202801057643564,0.48329607556261706,0.606242745548614,0.29696421804066564,83.3436880499879,56.91658138469148,1.4604539253622506,1.014433717404594,250,-3.3676111933964474,240.0,,,0.0024176770821213722,1.7557186079211533,7.9011865691281855,95301,8.290769844102565e-05,0,2000,79.15956735610962
