x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,run,seed
2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,12.0,16.0,0.11384909263030463,0.0,0.4476531553231947,0.0,1.440139033017197e-18,0.0,0.4896180092250873,0.07734213222527801,0.28341029396399553,-10.8557758140775,53.095707356031056,5,2005
2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,16.0,41.0,0.6282509710792176,0.0,0.42400109094062793,1.0418909284951639e-18,0.017835731442312267,3.3241720147711086e-18,0.5755227345258396,0.1211272993548347,0.2736790882122181,-10.988272279610694,58.450322575676985,5,2005
2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,12.0,11.0,1.3877787807814457e-17,1.0408340855860843e-17,0.47126987972619466,1.214306433183765e-17,0.008974566193491938,0.0,0.5249190640315883,0.13474894815484462,0.30088927567863616,-10.688355505228202,51.87185822111136,5,2005
2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,16.0,38.0,0.6268675542221891,0.0,0.4256803529960324,1.8496845759398342e-18,0.016848287306049217,0.0,0.5417001760401138,0.11759050966141857,0.2727406540611738,-10.86685329134368,58.21244461665589,5,2005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.245004513516506e-17,0.5,0.5,3.144186300207963e-17,0.5,0.5,2.0816681711721685e-17,0.5,0.5,-3.276635086584403,11.5,5,2005
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.5,0.5,5.800566567717166e-17,0.5,0.5,0.17828335818721344,0.0,1.3879153155095544e-17,-3.747166099213464,23.569700149123282,5,2005
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0018575821346736396,0.5,0.5,1.9949319973733282e-17,0.5,0.5,0.38123801561603,8.239936510889834e-18,0.0,-3.747181640393891,24.78745224797589,5,2005
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,6.718438483158314e-17,0.5,1.604873418416524e-17,0.0,0.5,-6.805888128706304,26.0,5,2005
1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.008894686512435412,0.024884831084617233,0.5,0.022756976202810676,0.06725431367618678,0.5,0.0020729396289901874,0.2061722808879325,0.5,-7.061310305077153,31.79442765423937,5,2005
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.006592049742788113,8.068072731815698e-18,0.5,7.037129495003425e-18,0.0,0.5,0.0,0.1396562339982647,0.5,-7.016234440470661,27.838241589828268,5,2005
2.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.03191573205169365,3.694826030437064e-18,0.0,0.15489439133081598,5.6041300651159265e-18,0.01714514022885185,0.5,-7.4404267718824695,40.539367487024776,5,2005
2.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.02298781108959738,0.00614611510101757,0.0020490627850065536,0.021692898516215153,0.010703978751377208,0.08840749791016003,0.008762850469899263,0.02563706921337875,0.5,-7.468825396583294,43.43521865910094,5,2005
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,7.0,44.0,0.5515499645844102,0.9908066326752305,0.5687997303903103,0.25910836458206177,0.09075000975281,0.6833878457546234,0.3305285656824708,0.48993239738047123,0.12367543391883373,-11.16864310923181,72.63036366297631,5,2005
2.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,22.0,10.0,51.0,1.0,2.7685816958618733e-17,1.0,0.8900189465238046,0.8295788479609386,1.0,0.9387340134942496,0.5355495379841914,0.8270136180122403,-11.373845193357893,96.62536978385255,5,2005
2.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,22.0,10.0,51.0,1.0,1.491977207113767e-17,1.0,0.8949820903071424,0.842799127451372,1.0,0.9287450501629082,0.590910620425711,0.8342752107593562,-11.385770443202015,97.05027259463894,5,2005
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.01143757320174784,0.5,0.5,0.008414824187954887,0.5,0.5,0.0002301049111191142,0.00014940128818545948,0.5,-3.5488089391282585,15.553681708888774,5,2005
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.02941102696612618,0.5,0.5,0.006157553169709673,0.5,0.5,9.806733846965891e-18,2.903990594755305e-17,1.2478185745167905e-16,-3.7416201054347247,20.543000378568674,5,2005
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.11950412382815663,0.5,0.5,0.008510488980527753,0.5,0.5,5.232352746802e-18,1.360742923618261e-17,0.0,-3.7461467998732054,21.651031583166713,5,2005
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.11231942922790049,0.5,0.5,0.008801751695454815,0.5,0.5,4.76848783437477e-17,6.082761671813616e-17,2.713756686909778e-16,-3.745132217452064,20.641120089447302,5,2005
2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,16.0,0.1090714739911643,0.0,0.8907884565693612,7.219825816067169e-18,0.0,0.09526528725400604,3.6639187487480593e-17,1.0195645520695276e-17,0.08646994811065771,-10.431927274699577,47.22821603775879,5,2005
2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,0.046689319000485216,2.370768074154949e-16,0.9533069958098691,6.95639688419165e-16,3.1003988739949246e-14,0.0,5.023959271986915e-16,7.744844111175925e-16,3.3525524303899832e-15,-10.234998298307262,45.876818845381585,5,2005
