n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6149688505038106,0.2581904070587411,0.6705701795726954,1.0,0.0,0.0,6.38833100919783,0.896985434347402,30,-3.3381707176817077,,,,,,0.0,0,,9,2009,84.37047076225281
40,0.5465860377564401,0.3040458820824313,0.6705701795726954,0.8888028024649571,9.444014012324786,5.8077744413012535,3.376053397517244,0.8386044033870282,40,-4.196106900225894,30.0,,,0.0042073829099535,4.457178596872836,0.5161810270510614,5614,9.194532010172094e-05,9,2009,84.37047076225281
50,0.4983690768266058,0.3363787382315999,0.6705701795726954,0.810397268769498,17.94001436849706,11.032550014216483,3.2165560840759015,0.8094282095332249,50,-3.467860234702557,40.0,,,0.0029404899105429,4.073575971182436,0.9468229743652046,10854,8.723263076885983e-05,9,2009,84.37047076225281
60,0.49550155344833036,0.338301613898299,0.6705701795726954,0.8057343929572902,26.020672677131003,16.001903165591163,3.18047894734692,0.8723358009501327,60,-3.7003549167931498,50.0,,,0.0022629699669778,2.045730312820524,1.2027802085503936,13910,8.646874252698731e-05,9,2009,84.37047076225281
70,0.44942958193170124,0.3691961041114731,0.6705701795726954,0.730816823589533,33.70342875986512,20.726558842491322,2.247241165782927,0.8563641842064322,70,-3.7003549167931498,60.0,,,0.0023499359376728,4.549748106859624,1.7499725511297584,19647,8.907072586805917e-05,9,2009,84.37047076225281
80,0.3662096522992999,0.4250009072690995,0.6705701795726954,0.5954930107423884,40.334977931524726,24.80475501364633,2.030699637439512,0.7930193923575173,80,-8.135155283724755,70.0,,,0.0019216751679778,3.472178300842643,2.2320961328223348,25076,8.901324504794763e-05,9,2009,84.37047076225281
90,0.25588708916531777,0.4989799282407739,0.6705701795726954,0.41609764292237467,45.39293119984854,27.915238720969416,1.7193286296523305,0.7217715032668478,90,-8.135155283724755,80.0,,,0.0017254250124096,4.557859513908625,2.7589839776046574,30712,8.983407064354836e-05,9,2009,84.37047076225281
100,0.25483880916593815,0.4996828735482004,0.6705701795726954,0.41439303626055624,49.545384595763196,30.468868212625697,1.6080437746893144,0.7278770400546047,100,-8.135155283724755,90.0,,,0.0017635989934206,2.8368704640306532,3.0941618187353015,34964,8.849564748699524e-05,9,2009,84.37047076225281
110,0.24723475076106766,0.5047819283582357,0.6705701795726954,0.4020280873714525,53.62749021392324,32.97923601226073,0.9834349008358984,0.7687256600000254,110,-8.135155283724755,100.0,,,0.0018196520395576,3.1479084729216993,3.497194539755583,39907,8.76336116409548e-05,9,2009,84.37047076225281
120,0.24723475076106766,0.5047819283582357,0.6705701795726954,0.4020280873714525,57.647771087637764,35.451583519871406,0.9834349008358984,0.7687256600000254,120,-8.135155283724755,110.0,,,0.0018069096840918,3.4025175478309393,3.9554924480617046,45189,8.75321969519508e-05,9,2009,84.37047076225281
130,0.24636964690726953,0.5053620412048261,0.6705701795726954,0.40062134318743503,61.6610182404322,37.919605508213095,0.98183835328908,0.8146406444658107,130,-8.135155283724755,120.0,,,0.0018569356761872,3.629402899183333,4.4004904380999506,50411,8.729226633274385e-05,9,2009,84.37047076225281
140,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,65.62288763869105,40.356031777906566,1.0252612634052567,0.8563089153588291,140,-8.135155283724755,130.0,,,0.001828824635595,3.445978385861963,4.853268807288259,55662,8.719177908246666e-05,9,2009,84.37047076225281
150,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,69.54041300333441,42.76518784822081,1.0252612634052567,0.8429799652938215,150,-8.135155283724755,140.0,,,0.0018925769254565,3.259040573146194,5.261505043134093,60758,8.659773269584406e-05,9,2009,84.37047076225281
160,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,73.45793836797776,45.17434391853506,1.0252612634052567,0.8202440224566561,160,-8.135155283724755,150.0,,,0.0019268169999122,3.380061839707196,5.6667045671492815,65819,8.609526986355432e-05,9,2009,84.37047076225281
170,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,77.37546373262111,47.583499988849304,1.0252612634052567,0.7966345277855783,170,-8.135155283724755,160.0,,,0.0019286330789327,3.4097616798244417,6.075074391439557,70903,8.568148585306062e-05,9,2009,84.37047076225281
180,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,81.29298909726447,49.99265605916355,1.0252612634052567,0.7966345277855783,180,-8.135155283724755,170.0,,,0.0021613254211843,1.7188689378090205,6.26421505631879,73313,8.54448059187155e-05,9,2009,84.37047076225281
190,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,85.21051446190782,52.4018121294778,1.0250420099666042,0.7842558393193393,190,-8.135155283724755,180.0,,,0.0021782489493489,3.332455659750849,6.6774629657156765,78403,8.516846250418577e-05,9,2009,84.37047076225281
200,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,89.12803982655117,54.81096819979204,1.0250420099666042,0.7842558393193393,200,-8.135155283724755,190.0,,,0.0021745362319052,3.2810363499447703,7.057569389697164,83229,8.479699851851115e-05,9,2009,84.37047076225281
210,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,93.04556519119453,57.22012427010629,1.0250420099666042,0.7842558393193393,210,-8.135155283724755,200.0,,,0.0021842289716005,2.7512960573658347,7.356049733702093,86909,8.464082815015814e-05,9,2009,84.37047076225281
220,0.24091560703142464,0.509019357703768,0.6705701795726954,0.39175253646433567,96.96309055583788,59.629280340420536,1.0250420099666042,0.7842558393193393,220,-8.135155283724755,210.0,,,0.0021876129321753,4.53676332719624,7.856786479707807,92369,8.505869371442592e-05,9,2009,84.37047076225281
230,0.24063679560511794,0.5092063203319734,0.6705701795726954,0.3912991615883915,100.87834904610152,62.03704235360325,1.0269331357296636,0.835417308789828,230,-8.135155283724755,220.0,,,0.0022344309836626,2.712497980799526,8.161935078445822,96280,8.47729027674057e-05,9,2009,84.37047076225281
240,0.24063679560511794,0.5092063203319734,0.6705701795726954,0.3912991615883915,104.79134066198543,64.44341030965442,1.0216811016773486,0.8441456911767627,240,-8.135155283724755,230.0,,,0.0022881920449435,1.682709728833288,8.348833987955004,98630,8.464801772234618e-05,9,2009,84.37047076225281
250,0.24063679560511794,0.5092063203319734,0.6705701795726954,0.3912991615883915,108.70433227786934,66.84977826570561,1.0216811016773486,0.8441456911767627,250,-8.135155283724755,240.0,,,0.0024561448954045,3.277727518696338,8.736255229916424,103540,8.437565414251906e-05,9,2009,84.37047076225281
