n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.6409076027286066,0.2176971608274432,0.606242745548614,1.0,0.0,0.0,6.644542718404789,0.8224636711955065,30,-10.740019339025547,,,,,,0.0,0,,8,2008,1509.7725071907043
40,0.6266033674351897,0.22636899970469757,0.606242745548614,0.977681283179482,9.88840641589741,6.337554850818981,6.622579236935797,0.9472935828818371,40,-10.740019339025547,30.0,,,27.86949345120229,3.9223052891902626,2.285258748102933,2545,0.0008979405689991879,8,2008,1509.7725071907043
50,0.5803918860544931,0.25438437505279976,0.606242745548614,0.9055780951630574,19.304703307610108,12.372531118267396,6.47309790659007,0.9498811211675754,50,-10.740019339025547,40.0,,,27.52437681518495,4.5605103590060025,4.66702585760504,5240,0.0008906537896192824,8,2008,1509.7725071907043
60,0.5765453385027818,0.25671631660143257,0.606242745548614,0.8995763758273295,28.330475662562044,18.15721724105377,6.4273591946099975,0.8352211909943166,60,-10.740019339025547,50.0,,,24.87052564113401,8.117788806790486,9.03674996481277,10426,0.0008667513873789344,8,2008,1509.7725071907043
70,0.5765453385027818,0.25671631660143257,0.606242745548614,0.8995763758273295,37.326239420835336,23.92267062608159,6.4273591946099975,0.8352211909943166,70,-10.740019339025547,60.0,,,24.250959650846198,7.741966316010803,13.805234456202015,15544,0.0008881391183866454,8,2008,1509.7725071907043
80,0.5522887948584221,0.271421670217909,0.606242745548614,0.8617291985726213,46.13276729283509,29.56684129288761,2.48080306358054,0.784075796100943,80,-10.740019339025547,70.0,,,18.87948971404694,7.326281646033749,18.445967251900584,20202,0.0009130762920453709,8,2008,1509.7725071907043
90,0.5522887948584221,0.271421670217909,0.606242745548614,0.8617291985726213,54.7500592785613,35.08972924147183,2.48080306358054,0.784075796100943,90,-10.740019339025547,80.0,,,23.143984209978953,6.88233232893981,22.863296629395336,24255,0.0009426220007996427,8,2008,1509.7725071907043
100,0.40406581445719514,0.3612807768097472,0.606242745548614,0.6304587630680635,62.21099908676473,39.87150228804992,3.004821540714791,0.9028320541267446,100,-10.740019339025547,90.0,,,17.990362020907924,9.313602925045416,29.22036620345898,29394,0.0009940928830189488,8,2008,1509.7725071907043
110,0.3888507105531875,0.3705048231743202,0.606242745548614,0.606718829512539,68.39688704966774,43.83608491310183,2.411470475024852,0.8822504608386497,110,-10.740019339025547,100.0,,,24.18417411809787,11.644911363022402,37.31942611071281,34704,0.0010753638229227989,8,2008,1509.7725071907043
120,0.2409979571755823,0.4601394823188817,0.606242745548614,0.37602605453509236,73.3106114699059,46.98532825174568,2.317204985264118,1.1436626034938129,120,-10.740019339025547,110.0,,,28.39657331001945,13.352029429981485,47.26118411542848,40198,0.0011757098391817623,8,2008,1509.7725071907043
130,0.22638664022892133,0.46899748722070644,0.606242745548614,0.35322820210760575,76.95688275311939,49.322251238768196,1.9798154621705648,1.0170435656728514,130,-10.740019339025547,120.0,,,32.13637618115172,12.107843726873398,56.57624665554613,45099,0.0012544900475741398,8,2008,1509.7725071907043
140,0.19063147421300197,0.4906737972337439,0.606242745548614,0.29743987027366436,80.21022311502574,51.40734181097781,1.8725726135199523,1.017612333125913,140,-10.740019339025547,130.0,,,37.01104249083437,12.433326981030405,65.97586480621248,50369,0.0013098505987058009,8,2008,1509.7725071907043
150,0.14090092305309354,0.5208225831065726,0.606242745548614,0.21984592233454636,82.7966520780668,53.065003797308286,1.867833087294433,1.0034360100787594,150,-3.3804911362354217,140.0,,,41.252366558182985,14.198846562067047,77.14115541568026,55455,0.0013910586135728114,8,2008,1509.7725071907043
160,0.1341942663853137,0.5248884450582993,0.606242745548614,0.20938161103721295,84.94278974492559,54.44047974450032,1.7233164941983636,0.971300821452879,160,-3.3804911362354217,150.0,,,49.20104044792242,16.91342397290282,90.4509577578865,61139,0.0014794314227888337,8,2008,1509.7725071907043
170,0.13238272824397104,0.525986676914773,0.606242745548614,0.20655509106205552,87.02247325542193,55.77336471764674,1.6326772099356646,0.9445748678163607,170,-3.3804911362354217,160.0,,,56.33328404300846,10.781645098002627,99.28045196877792,64572,0.0015375155170782682,8,2008,1509.7725071907043
180,0.07982511880638081,0.5578493463596894,0.606242745548614,0.1245501199650816,88.67799931055761,56.834403952898505,1.8024247027306355,0.9629443035229158,180,-3.3804911362354217,170.0,,,59.92172061605379,19.039583520963788,114.72659351956099,70348,0.0016308437129635667,8,2008,1509.7725071907043
190,0.07501761780514081,0.5607638589659089,0.606242745548614,0.11704903715568366,89.88599509616144,57.608617635956115,1.7914280815927242,0.9925251841873997,190,-3.3804911362354217,180.0,,,72.01145314914174,12.511347400955856,124.55862702708691,75002,0.0016607374073636292,8,2008,1509.7725071907043
200,0.06919502865393205,0.5642937613991392,0.606242745548614,0.1079641251864394,91.01106090787205,58.32968086825148,1.2330881217629175,0.9604662875383053,200,-3.3804911362354217,190.0,,,85.91018165415153,18.722058702958748,139.60775138786994,80699,0.0017299811817726358,8,2008,1509.7725071907043
210,0.0678552613906184,0.5651059855832467,0.606242745548614,0.10587370332592516,92.08025005043388,59.01493231847423,1.1340176311726018,0.9364117214547653,210,-3.3804911362354217,200.0,,,84.52322578290477,20.772187839029357,156.70279382308945,86482,0.001811970049525791,8,2008,1509.7725071907043
220,0.06570571075263133,0.5664091350637157,0.606242745548614,0.10251978674132615,93.12221750077013,59.68273717919048,1.1396735745610054,0.9275403035518324,220,-4.286198675720584,210.0,,,98.7724601791706,15.922787211136892,169.65287313447334,91557,0.0018529754484580463,8,2008,1509.7725071907043
230,0.06561666801750336,0.5664631165759308,0.606242745548614,0.1023808544915777,94.14672070693466,60.339349073041156,1.0836189778430232,0.9945159579774644,230,-4.286198675720584,220.0,,,109.1598204690963,17.810991566162556,183.93633515271358,96839,0.001899403496036861,8,2008,1509.7725071907043
240,0.05831868733503,0.5708874644218342,0.606242745548614,0.09099390783748457,95.11359451857997,60.95902584980382,1.0504348213879007,1.0001618825632255,240,-7.130396738654166,230.0,,,127.55614722287282,15.332039413042367,196.42942890594713,101543,0.001934445790511873,8,2008,1509.7725071907043
250,0.04782494427909782,0.5772492200231443,0.606242745548614,0.07462065370341593,95.94166732628447,61.489744007874464,0.9365803312843844,0.9045742795943581,250,-7.130396738654166,240.0,,,144.9442012209911,24.70639726705849,216.07014928897843,107347,0.00201281963435381,8,2008,1509.7725071907043
