n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
30,0.628710273756292,0.2489758184007402,0.6705701795726954,1.0,0.0,0.0,8.35983390870692,0.602818376332444,30,-7.222052259313486,,,,,,0.0,0,,30,2030,1326.0070223808289
40,0.628710273756292,0.2489758184007402,0.6705701795726954,1.0,10.0,6.28710273756292,8.35983390870692,0.602818376332444,40,-7.222052259313486,30.0,,,22.04443829297088,5.491663679946214,2.822422956349328,4657,0.000606060329901,30,2030,1326.0070223808289
50,0.6275163422673707,0.2497764332536636,0.6705701795726954,0.9981009830143415,19.990504915071707,12.568235817681233,8.359682610478238,0.694563033719773,50,-7.222052259313486,40.0,,,11.611774026881903,1.6834923911374062,3.5921204627957195,5791,0.0006202936388871,30,2030,1326.0070223808289
60,0.586374684248735,0.2773648022591386,0.6705701795726954,0.9326627999020617,29.64432382965372,18.63769095026176,8.275009472609481,0.6418032073401153,60,-3.6922110919776263,50.0,,,12.420091309817508,11.252182768890634,9.013450510567054,11183,0.0008059957534263,30,2030,1326.0070223808289
70,0.5799310946478832,0.2816856812948746,0.6705701795726954,0.9224138985084931,38.9197073217065,24.46921984474485,4.720243262066913,0.9926442405393424,70,-3.6922110919776263,60.0,,,14.958542962791398,6.023877741070464,12.556285500293598,15549,0.0008075300984174,30,2030,1326.0070223808289
80,0.5768960838879374,0.2837208690051764,0.6705701795726954,0.9175865386153379,48.11970950732565,30.253355737423952,4.697930623912807,0.9640955707260196,80,-3.6922110919776263,70.0,,,12.601047842996197,3.2657736279070377,14.4549059944693,17417,0.0008299308718188,30,2030,1326.0070223808289
90,0.4542446259078893,0.3659672792077102,0.6705701795726954,0.7225023112696404,56.32015375675054,35.409059286403085,4.592745183949244,1.0547558132086303,90,-3.6922110919776263,80.0,,,14.445851755794138,8.942309960955754,20.46535853506066,22654,0.0009033882994199,30,2030,1326.0070223808289
100,0.4455831326041057,0.3717754183277961,0.6705701795726954,0.7087257059470733,63.47629384283411,39.90819807896306,4.561806574095927,1.2390674014460838,100,-7.1593369716777655,90.0,,,19.913285566028208,8.907221239060163,26.404770803637803,27804,0.0009496752554897,30,2030,1326.0070223808289
110,0.26805121646255436,0.4908230272147209,0.6705701795726954,0.4263509404117985,69.15167707462847,43.47636982429636,4.640289603902368,1.1827839825204398,110,-11.23434085433997,100.0,,,22.41426543216221,11.424402516102418,34.50230060168542,33082,0.0010429327308411,30,2030,1326.0070223808289
120,0.23366814190846663,0.5138792916927168,0.6705701795726954,0.37166267462497965,73.14174514981235,45.98496661615147,4.536862395511172,1.194045262138881,120,-11.23434085433997,110.0,,,26.19925021007657,10.774320916971192,42.38234305684455,38293,0.0011067908771014,30,2030,1326.0070223808289
130,0.22977971712137846,0.5164867534004495,0.6705701795726954,0.3654779104348601,76.82744807511155,48.302205911300696,2.354722048386238,1.1727430991448204,130,-11.23434085433997,120.0,,,31.77378455316648,5.1049601030536,45.92703878879547,40725,0.0011277357590864,30,2030,1326.0070223808289
140,0.2290766293319598,0.5169582231056553,0.6705701795726954,0.3643596087007116,80.4766356707894,50.596487643567386,2.2138959043127935,1.1582002921809142,140,-11.23434085433997,130.0,,,35.97849142085761,12.25383056490682,55.27920521260239,46020,0.0012011995917558,30,2030,1326.0070223808289
150,0.2237918253659874,0.5205020550501239,0.6705701795726954,0.35595382278218696,84.0782028282039,52.860829917057124,2.1090839994783894,1.1574334038908234,150,-11.23434085433997,140.0,,,37.68321697390638,9.382746329065412,62.43780429614708,49957,0.0012498309405317,30,2030,1326.0070223808289
160,0.21844992750792627,0.524084172456063,0.6705701795726954,0.34745722573098015,87.59525807076973,55.07203868142669,1.9460880654010733,1.091499837433058,160,-11.23434085433997,150.0,,,44.544260075083,15.096688915975392,74.52025672816671,55474,0.0013433366392934,30,2030,1326.0070223808289
170,0.21559738764424563,0.5259970006246896,0.6705701795726954,0.34292009633648524,91.04714468110706,57.24227525718755,1.8338350484762664,1.0908906912126275,170,-11.23434085433997,160.0,,,53.5138936729636,13.489719389006495,85.02678235457279,60700,0.0014007707142433,30,2030,1326.0070223808289
180,0.21532096256029623,0.5261823630428719,0.6705701795726954,0.3424804262762238,94.4741472941706,59.39686700821026,1.6308224211941909,1.084811655016135,180,-11.23434085433997,170.0,,,78.00899658887647,11.15827189409174,93.61732893134467,65154,0.0014368623404755,30,2030,1326.0070223808289
190,0.21495292200277227,0.5264291600656208,0.6705701795726954,0.3418950365142193,97.89602460812281,61.5482364310256,1.5741295452770991,1.0645915709539164,190,-11.23434085433997,180.0,,,66.99570736312307,13.221940712071955,103.77236007642932,70114,0.001480051916542,30,2030,1326.0070223808289
