problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc,BLR,10,0,25,0.0135326534509658,0.0005947779864072,0.0845546787604689,1.8789928613437548e-05,25,4500
mdgnc,BLR,10,0,50,0.0086006885394454,0.0010407296940684,0.0849953331053257,1.888785180118349e-05,50,4500
mdgnc,BLR,10,0,75,0.0079832430928945,0.0015058135613799,0.0853126309812069,1.89583624402682e-05,75,4500
mdgnc,BLR,10,0,100,0.0079067610204219,0.002000618726015,0.085247203707695,1.8943823046154445e-05,100,4500
mdgnc,BLR,10,0,125,0.0103151351213455,0.0024531753733754,0.0850299270823597,1.889553935163551e-05,125,4500
mdgnc,BLR,10,0,150,0.0099068414419889,0.0031073754653334,0.0851186979562044,1.891526621248987e-05,150,4500
mdgnc,BLR,10,0,175,0.0105072474107146,0.0033630216494202,0.0852731605991721,1.894959124426047e-05,175,4500
mdgnc,BLR,10,0,200,0.0106752859428524,0.0038366327062249,0.0848549176007509,1.8856648355722423e-05,200,4500
mdgnc,BLR,10,0,225,0.0101392576470971,0.0043160319328308,0.0848870184272527,1.886378187272284e-05,225,4500
mdgnc,BLR,10,0,250,0.0104087581858038,0.0048673572018742,0.0881433468312025,1.958741040693389e-05,250,4500
mdgnc,BLR,10,0,275,0.0088784834370017,0.0054425504058599,0.084911236539483,1.886916367544068e-05,275,4500
mdgnc,BLR,10,0,300,0.0080389911308884,0.0056833317503333,0.0848371153697371,1.8852692304386034e-05,300,4500
mdgnc,BLR,10,1,25,0.013478772714734,0.000573250465095,0.0848621847108006,1.885826326906681e-05,25,4500
mdgnc,BLR,10,1,50,0.0114680640399456,0.0010329512879252,0.0841317288577556,1.8695939746167923e-05,50,4500
mdgnc,BLR,10,1,75,0.0121464012190699,0.0015173880383372,0.0856935763731598,1.904301697181331e-05,75,4500
mdgnc,BLR,10,1,100,0.0124272806569933,0.0019829021766781,0.0847186865285039,1.8826374784111978e-05,100,4500
mdgnc,BLR,10,1,125,0.010473801754415,0.0024383096024394,0.0851479088887572,1.892175753083494e-05,125,4500
mdgnc,BLR,10,1,150,0.0100129973143339,0.0029184510931372,0.0858764015138149,1.9083644780847763e-05,150,4500
mdgnc,BLR,10,1,175,0.0115070361644029,0.0033999811857938,0.0854201726615428,1.8982260591453976e-05,175,4500
mdgnc,BLR,10,1,200,0.011794033460319,0.0038662953302264,0.0877418546006083,1.94981899112463e-05,200,4500
mdgnc,BLR,10,1,225,0.0117904478684067,0.0043487213551998,0.0853629233315587,1.896953851812416e-05,225,4500
mdgnc,BLR,10,1,250,0.0116436332464218,0.0048039816319942,0.0856035090982914,1.9023002021842533e-05,250,4500
mdgnc,BLR,10,1,275,0.0124939596280455,0.0052475407719612,0.0850113620981574,1.8891413799590536e-05,275,4500
mdgnc,BLR,10,1,300,0.0118291042745113,0.0058772126212716,0.085151957347989,1.892265718844202e-05,300,4500
mdgnc,BLR,10,2,25,0.0109950527548789,0.0005685621872544,0.0850913757458329,1.890919461018509e-05,25,4500
mdgnc,BLR,10,2,50,0.0144123528152704,0.0018156766891479,0.0842665573582053,1.8725901635156735e-05,50,4500
mdgnc,BLR,10,2,75,0.0122543843463063,0.0015643192455172,0.0846275268122553,1.8806117069390083e-05,75,4500
mdgnc,BLR,10,2,100,0.0118452915921807,0.0020702257752418,0.0853547248989343,1.896771664420764e-05,100,4500
mdgnc,BLR,10,2,125,0.0120453359559178,0.0025090686976909,0.0850382167845964,1.8897381507688097e-05,125,4500
mdgnc,BLR,10,2,150,0.0126118594780564,0.0029834387823939,0.0843649012967944,1.874775584373209e-05,150,4500
mdgnc,BLR,10,2,175,0.0041109328158199,0.0047172056511044,0.0878785932436585,1.9528576276368564e-05,175,4500
mdgnc,BLR,10,2,200,0.0020023109391331,0.0038648885674774,0.085770689882338,1.906015330718623e-05,200,4500
mdgnc,BLR,10,2,225,0.0021966602653265,0.0043875030241906,0.0861775870434939,1.915057489855422e-05,225,4500
mdgnc,BLR,10,2,250,0.0027754427865147,0.0047868839465081,0.0854456140659749,1.898791423688332e-05,250,4500
mdgnc,BLR,10,2,275,0.0023839306086301,0.0053026070818305,0.0860587847419083,1.912417438709073e-05,275,4500
mdgnc,BLR,10,2,300,0.0020799660123884,0.0057192649692296,0.0852458919398486,1.8943531542188592e-05,300,4500
mdgnc,BLR,10,3,25,0.0070221847854554,0.0006037377752363,0.0862896288745105,1.917547308322456e-05,25,4500
mdgnc,BLR,10,3,50,0.0052937921136617,0.001034821383655,0.0846337303519249,1.880749563376109e-05,50,4500
mdgnc,BLR,10,3,75,0.0048944456502795,0.0015044324100017,0.084710894152522,1.882464314500491e-05,75,4500
mdgnc,BLR,10,3,100,0.0061175413429737,0.0019579408690333,0.0850443299859762,1.8898739996883605e-05,100,4500
mdgnc,BLR,10,3,125,0.0037750210613012,0.0026493687182664,0.0848821466788649,1.886269926196999e-05,125,4500
mdgnc,BLR,10,3,150,0.010010415688157,0.0029317773878574,0.0848972396925091,1.886605326500204e-05,150,4500
mdgnc,BLR,10,3,175,0.0179488938301801,0.0096624959260225,0.0937277851626277,2.0828396702806155e-05,175,4500
mdgnc,BLR,10,3,200,0.0131410327740013,0.0038492628373205,0.085650582332164,1.90334627404809e-05,200,4500
mdgnc,BLR,10,3,225,0.0134724830277264,0.00429870467633,0.0847345259971916,1.8829894666042597e-05,225,4500
mdgnc,BLR,10,3,250,0.0135860801674425,0.0047631892375648,0.0847107428126037,1.8824609513911932e-05,250,4500
mdgnc,BLR,10,3,275,0.0127361509948968,0.0052197049371898,0.0852071670815348,1.893492601811886e-05,275,4500
mdgnc,BLR,10,3,300,0.0132762207649648,0.0057000117376446,0.0848060827702283,1.8845796171161863e-05,300,4500
mdgnc,BLR,10,4,25,0.0168111831881105,0.0005787722766399,0.0846312441863119,1.880694315251377e-05,25,4500
mdgnc,BLR,10,4,50,0.014049993827939,0.0010349419899284,0.0844362238422036,1.876360529826747e-05,50,4500
mdgnc,BLR,10,4,75,0.0133959800004959,0.0015028310008347,0.0851457738317549,1.892128307372332e-05,75,4500
mdgnc,BLR,10,4,100,0.0136780431494116,0.0019592512398958,0.0842845779843628,1.8729906218747297e-05,100,4500
mdgnc,BLR,10,4,125,0.0133142126724123,0.00248240865767,0.084370566997677,1.874901488837269e-05,125,4500
mdgnc,BLR,10,4,150,0.0140165127813816,0.0029378728941082,0.084242005366832,1.8720445637073786e-05,150,4500
mdgnc,BLR,10,4,175,0.0129080428741872,0.0034101051278412,0.0854372228495776,1.898604952212837e-05,175,4500
mdgnc,BLR,10,4,200,0.0159141258336603,0.0080101150088012,0.0855877543799579,1.901950097332398e-05,200,4500
mdgnc,BLR,10,4,225,0.0123795769177377,0.0043295118957757,0.0854058950208127,1.8979087782402836e-05,225,4500
mdgnc,BLR,10,4,250,0.0133707830682396,0.0049395929090678,0.0869334093295037,1.9318535406556394e-05,250,4500
mdgnc,BLR,10,4,275,0.0210662651807069,0.0052145170047879,0.0851604677736759,1.8924548394150203e-05,275,4500
mdgnc,BLR,10,4,300,0.0212318645790219,0.0057744421064853,0.0850961180403828,1.891024845341841e-05,300,4500
mdgnc,BLR,10,5,25,0.0225429739803075,0.0005811126902699,0.0850068386644125,1.8890408592091663e-05,25,4500
mdgnc,BLR,10,5,50,0.0217084400355815,0.0010384665802121,0.0868151010945439,1.929224468767643e-05,50,4500
mdgnc,BLR,10,5,75,0.0211229706183075,0.0014998177066445,0.085162378847599,1.892497307724423e-05,75,4500
