problem,cv_folds,fold,budget,sample_id,discrete_arch_id,f0,f1
mdgnc,10,8,150,8,0,-3.503782163880912,23.705449339421545
mdgnc,10,8,150,188,1,-3.606718186578141,25.099635550153685
mdgnc,10,8,150,558,3,-3.708919304332695,27.49134710708592
mdgnc,10,8,150,748,4,-4.254656868833717,28.622642332658778
mdgnc,10,8,150,1118,6,-4.11371657300003,46.99431603735638
mdgnc,10,8,150,1298,8,-3.816797574040188,30.877717022334156
mdgnc,10,8,150,1318,7,-4.0274704213530255,22.68121093968892
mdgnc,10,8,150,1328,10,-4.09863715786317,37.02159518672425
mdgnc,10,8,150,1348,9,-3.954088007640753,24.412193090510183
mdgnc,10,8,150,1358,12,-3.819682403615973,27.544461769747244
mdgnc,10,8,150,1498,31,-3.763002922106154,35.48115552678566
mdgnc,10,8,150,1518,26,-3.706264044040143,40.62446112506459
mdgnc,10,8,150,1528,36,-3.712669220868556,43.37170920893048
mdgnc,10,8,150,1858,40,-4.019268738866042,41.93564434013126
mdgnc,10,8,150,2038,41,-4.049846637257417,40.08605481973015
mdgnc,10,8,150,2408,44,-3.816291614364271,36.99874459572475
mdgnc,10,8,150,2418,54,-3.770390030071345,41.02762584670123
mdgnc,10,8,150,2438,49,-3.7067278770253993,37.51372919863921
mdgnc,10,8,150,2448,59,-3.702605261517685,47.87178537055976
mdgnc,10,8,150,2598,74,-3.701299381417012,45.16594046619592
mdgnc,10,8,150,2618,94,-3.7499844698905633,50.760146383721015
mdgnc,10,8,150,2628,104,-3.7222346528961854,45.66540680996751
mdgnc,10,8,150,2648,124,-3.7576423422883303,50.05797742646492
mdgnc,10,8,150,2658,134,-3.7264385987122473,47.357431303756464
mdgnc,10,8,150,2678,154,-4.074042921010337,34.64775313133361
mdgnc,10,8,150,2688,164,-3.719922153677425,51.56470645561248
mdgnc,10,8,150,2708,184,-3.802683933281172,50.417967512069175
mdgnc,10,8,150,2718,194,-3.898899873812462,50.1582188575174
mdgnc,10,8,150,2738,214,-4.051521020008332,37.024682456847785
mdgnc,10,8,150,2748,224,-3.9032474069649914,50.68648392182519
mdgnc,10,8,150,2768,244,-3.926605892368965,40.50087350310325
mdgnc,10,8,150,2788,257,-3.824111990691279,35.04521224020962
mdgnc,10,8,150,2798,260,-3.8284667060534856,33.50545905278476
mdgnc,10,8,150,2818,259,-4.030700122617311,33.80552477874818
mdgnc,10,8,150,2828,255,-3.964178879826992,38.035600596084535
mdgnc,10,8,150,2968,266,-7.087263814759922,41.92693509791784
mdgnc,10,8,150,2978,276,-7.194192059252082,41.40117125799627
mdgnc,10,8,150,2998,296,-7.04307064924913,36.881937005148046
mdgnc,10,8,150,3008,306,-7.338548851653765,47.54120162653396
mdgnc,10,8,150,3028,277,-6.7883253494125,36.40325436283466
mdgnc,10,8,150,3048,297,-7.375586673381564,44.02598303303728
mdgnc,10,8,150,3058,307,-7.275387230471716,43.2133021783473
mdgnc,10,8,150,3078,278,-6.879187923560795,37.188082902192576
mdgnc,10,8,150,3088,288,-7.159626128164873,46.34820079976439
mdgnc,10,8,150,3108,308,-7.265632463763295,46.29919224924774
mdgnc,10,8,150,3118,261,-6.996941207753956,41.88385386697084
mdgnc,10,8,150,3138,302,-7.1407631751391945,35.91814705571899
mdgnc,10,8,150,3148,310,-6.948307291501756,46.37778531965962
mdgnc,10,8,150,3168,330,-7.038491478790984,50.82248902273179
mdgnc,10,8,150,3178,340,-7.186510046156892,45.98197779238718
mdgnc,10,8,150,3198,360,-6.994793282531879,45.24282684342477
mdgnc,10,8,150,3218,380,-7.118781723406063,37.39994909118725
mdgnc,10,8,150,3228,390,-7.297336120648317,50.66150772316219
mdgnc,10,8,150,3248,410,-7.1199793968310825,57.17952284755698
mdgnc,10,8,150,3258,420,-7.316127338229873,51.63037445308988
mdgnc,10,8,150,3278,440,-7.097464510012906,49.049961743506245
mdgnc,10,8,150,3288,450,-7.370573950062245,57.405256220641135
mdgnc,10,8,150,3308,470,-7.455524235509425,49.54944073975726
mdgnc,10,8,150,3318,480,-7.221864742044904,48.87145385855151
mdgnc,10,8,150,3338,489,-3.825317894490652,36.860156986056495
mdgnc,10,8,150,3358,509,-4.137929845014432,42.26671813697308
mdgnc,10,8,150,3368,494,-3.97880474458233,42.65131373487265
mdgnc,10,8,150,3518,495,-4.289184680329681,37.273922353470894
mdgnc,10,8,150,3528,519,-3.841686476407421,38.33879877040016
mdgnc,10,8,150,3548,514,-4.064465450216511,39.34383029771482
mdgnc,10,8,150,3558,524,-3.941576887072253,33.507932626285644
mdgnc,10,8,150,3708,540,-7.098239045754328,42.49160557210624
mdgnc,10,8,150,3718,550,-7.317886952973155,41.8715765264861
mdgnc,10,8,150,3738,570,-7.380705883330203,44.85876769015432
mdgnc,10,8,150,3748,580,-7.500846592726544,50.691764489670085
mdgnc,10,8,150,3768,600,-7.204959536348513,43.053236701330505
mdgnc,10,8,150,3788,620,-7.499669059305756,48.99891639859442
mdgnc,10,8,150,3798,630,-7.442565718148611,47.8568712793283
mdgnc,10,8,150,3818,650,-7.568718308547567,45.60711630979491
mdgnc,10,8,150,3828,660,-7.81605874073789,44.20283659349729
mdgnc,10,8,150,3848,680,-7.912484508559467,52.78954892763146
mdgnc,10,8,150,3858,690,-7.41521375554024,42.67230532235469
mdgnc,10,8,150,3878,606,-7.295201683057705,41.98174959773724
mdgnc,10,8,150,3888,574,-7.762334346850714,55.98782155481946
mdgnc,10,8,150,3908,729,-7.798336122165889,58.39692914355778
mdgnc,10,8,150,3928,749,-8.019513987922728,56.101027846101445
mdgnc,10,8,150,3938,759,-7.553936532405642,55.663237054786414
mdgnc,10,8,150,3958,779,-7.620376363297624,51.468438159391226
mdgnc,10,8,150,3968,789,-8.618793892478674,54.60741326402241
mdgnc,10,8,150,3988,809,-7.654630139502066,49.02435853681214
mdgnc,10,8,150,3998,819,-7.460464427119837,44.49763078371343
mdgnc,10,8,150,4018,839,-8.127183305684218,57.63957878177752
mdgnc,10,8,150,4028,849,-7.934017520722527,52.368993284902615
mdgnc,10,8,150,4048,869,-7.872672717098939,53.20681180051728
mdgnc,10,8,150,4058,879,-7.61128060013637,50.4109011384851
mdgnc,10,8,150,4078,899,-7.0725567721980696,46.00227459381952
mdgnc,10,8,150,4098,919,-7.304832082668742,40.883982899549565
mdgnc,10,8,150,4108,929,-7.14375970326649,37.07566322770991
mdgnc,10,8,150,4128,949,-7.611124672938296,51.951118816212166
mdgnc,10,8,150,4138,959,-7.448017339406738,43.972996898293616
mdgnc,10,8,150,4158,979,-7.209855899336814,46.62954390759293
mdgnc,10,8,150,4168,989,-7.204818125124307,49.277071558399896
mdgnc,10,8,150,4188,1009,-7.250946931693734,52.40299122343558
mdgnc,10,8,150,4198,1019,-7.023789797983708,43.0555681026964
mdgnc,10,8,150,4218,1039,-7.344820694718292,50.01314278794409
mdgnc,10,8,150,4238,1059,-7.1342828287589946,39.875698752198815
mdgnc,10,8,150,4248,1069,-7.39186855135691,53.69795071278296
mdgnc,10,8,150,4268,1089,-7.420693896022276,55.28224323048825
mdgnc,10,8,150,4278,1099,-7.489229280238737,57.81371083475224
mdgnc,10,8,150,4298,1119,-7.510721055656845,52.24917647593137
mdgnc,10,8,150,4308,1129,-7.33496906718285,52.906538569828456
mdgnc,10,8,150,4328,1149,-7.586808172971343,67.34736382073132
mdgnc,10,8,150,4338,1159,-7.773965935894931,46.9797925249158
mdgnc,10,8,150,4358,1179,-7.453413575275497,53.88236485787567
mdgnc,10,8,150,4368,1189,-7.2472401132658275,53.46093719100087
mdgnc,10,8,150,4388,1209,-7.282398787647043,56.9568517141574
mdgnc,10,8,150,4408,1229,-7.621584643407292,56.54998172359083
mdgnc,10,8,150,4418,1239,-7.101595052763199,44.038448740535394
mdgnc,10,8,150,4438,1259,-7.421669463243776,53.85465061123261
mdgnc,10,8,150,4448,1269,-3.8382534634730554,56.30311758996044
mdgnc,10,8,150,4468,1289,-4.057072458265339,53.88372822043053
mdgnc,10,8,150,4478,1299,-4.142632197324495,54.99900558191017
mdgnc,10,8,150,4498,1319,-3.8751964241754577,45.21790768578916
mdgnc,10,8,150,4508,1329,-3.824711617510113,54.13789725096677
mdgnc,10,8,150,4528,1349,-4.079155910690666,52.54690145556565
mdgnc,10,8,150,4548,1369,-3.8786695261658313,45.57345334771324
mdgnc,10,8,150,4558,1379,-3.844779467797917,46.29158842074678
mdgnc,10,8,150,4578,1399,-3.954089477784424,54.880404906018256
mdgnc,10,8,150,4588,1409,-4.264400579844026,52.78667558221769
mdgnc,10,8,150,4608,1429,-4.018110817621336,56.66725745456068
mdgnc,10,8,150,4618,1439,-3.933840277850179,46.35649602863482
mdgnc,10,8,150,4638,1459,-7.257443624388128,52.908075128140496
mdgnc,10,8,150,4648,1469,-7.669577337734807,55.62932659083456
mdgnc,10,8,150,4668,1489,-7.959725718918639,56.53573158446916
mdgnc,10,8,150,4678,1499,-7.711218756969777,53.15670647502694
mdgnc,10,8,150,4698,1519,-7.443823426307068,51.45993249062098
mdgnc,10,8,150,4718,1539,-7.763600173807571,50.29710680533545
mdgnc,10,8,150,4728,1549,-7.754123793138085,58.74762160127281
mdgnc,10,8,150,4748,1569,-7.27087196497911,62.44150808505711
mdgnc,10,8,150,4758,1579,-7.912603474286563,56.9240483592988
mdgnc,10,8,150,4778,1599,-7.540559739013469,55.31636771186241
mdgnc,10,8,150,4788,1609,-7.888438510806765,58.82266257117719
mdgnc,10,8,150,4808,1629,-7.635299851797785,62.6380647279673
mdgnc,10,8,150,4818,1639,-10.599883802121312,56.131676112924254
mdgnc,10,8,150,4838,1659,-10.6867706305107,59.33637503152246
mdgnc,10,8,150,4858,1679,-10.776624042243132,61.43632568753534
mdgnc,10,8,150,4868,1689,-11.232009053320938,66.2062777784409
mdgnc,10,8,150,4888,1709,-10.921161584274998,69.3025226573413
mdgnc,10,8,150,4898,1719,-10.92924980776437,60.48171048850965
mdgnc,10,8,150,4918,1739,-10.801999152231929,63.355900647550655
mdgnc,10,8,150,4928,1749,-10.814826668534694,68.03128288841194
mdgnc,10,8,150,4948,1769,-11.0917792630121,66.0148829102435
mdgnc,10,8,150,4958,1779,-10.824690236628523,60.001820004977816
mdgnc,10,8,150,4978,1799,-10.728765080306102,61.55466048307802
mdgnc,10,8,150,4998,1819,-10.771536258406076,60.4952787908212
