problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc,ESP,10,0,25,train,f0,1.5906898599232494e-13,7.414524185979814e-14,1.247535408310796e-13,1.0,25
mdgnc,ESP,10,0,25,train,f1,3.8290364829700815e-12,4.3418970870392713e-13,3.120277369816904e-12,1.0,25
mdgnc,ESP,10,0,25,test,f0,0.741442855123698,0.3824862076223546,0.5564463510391701,0.8537043009786691,4500
mdgnc,ESP,10,0,25,test,f1,5.0073280766109365,0.4357231269114184,4.00586720995629,0.8101453566745359,4500
mdgnc,ESP,10,0,50,train,f0,9.79366035176536e-14,4.7968464466621167e-14,7.192468842731614e-14,1.0,50
mdgnc,ESP,10,0,50,train,f1,6.128943612660205e-12,6.487344484586908e-13,5.024389793106821e-12,1.0,50
mdgnc,ESP,10,0,50,test,f0,0.5019071017562098,0.2589175181915163,0.3267616357778257,0.9329617187735458,4500
mdgnc,ESP,10,0,50,test,f1,1.6271349161724509,0.141588548370344,1.1227462658220124,0.9799526829703789,4500
mdgnc,ESP,10,0,75,train,f0,2.598977912093356e-13,1.2105007272684128e-13,1.7807385196041045e-13,1.0,75
mdgnc,ESP,10,0,75,train,f1,5.872637487772008e-12,6.249614821936812e-13,4.685555647180687e-12,1.0,75
mdgnc,ESP,10,0,75,test,f0,0.5052469715024398,0.2606404481575419,0.3192820650871569,0.9320665567842356,4500
mdgnc,ESP,10,0,75,test,f1,1.5028818476240928,0.1307764076981329,0.998051258106846,0.9828975311895716,4500
mdgnc,ESP,10,0,100,train,f0,1.1919308601792632e-12,5.73751792452187e-13,6.70623556686678e-13,1.0,100
mdgnc,ESP,10,0,100,train,f1,9.10078360660237e-12,9.676766321526698e-13,7.026876858162723e-12,1.0,100
mdgnc,ESP,10,0,100,test,f0,0.578592726899227,0.298477133254782,0.3301861426089649,0.9109114009240072,4500
mdgnc,ESP,10,0,100,test,f1,1.457071038781631,0.1267900843396905,0.9592966339790644,0.983924274513134,4500
mdgnc,ESP,10,0,125,train,f0,3.653578429324858e-13,1.691995077568594e-13,2.7704061267286313e-13,1.0,125
mdgnc,ESP,10,0,125,train,f1,1.0811716942470484e-11,1.1303051407247706e-12,8.614250646132859e-12,1.0,125
mdgnc,ESP,10,0,125,test,f0,0.2903728384627533,0.1497938850076691,0.1641671262453508,0.9775617920143091,4500
mdgnc,ESP,10,0,125,test,f1,1.1471809827139636,0.0998243528831754,0.6942670895598326,0.9900350985714552,4500
mdgnc,ESP,10,0,150,train,f0,6.915916846613298e-13,3.250288035162396e-13,4.875240951681312e-13,1.0,150
mdgnc,ESP,10,0,150,train,f1,1.1814385316045888e-11,1.2927327763410466e-12,8.473553710549216e-12,1.0,150
mdgnc,ESP,10,0,150,test,f0,0.3786998676198568,0.1953589210443483,0.2538622214771486,0.961834891968388,4500
mdgnc,ESP,10,0,150,test,f1,1.4123120620194438,0.1228952883499347,0.9122241023533776,0.9848967481013864,4500
mdgnc,ESP,10,0,175,train,f0,1.867198177386866e-13,8.955131112102957e-14,1.281692212679835e-13,1.0,175
mdgnc,ESP,10,0,175,train,f1,4.540291027473504e-11,4.985535221201028e-12,3.5922218850308645e-11,1.0,175
mdgnc,ESP,10,0,175,test,f0,0.3111149060359706,0.1604940417486804,0.1829600224915552,0.9742416625631728,4500
mdgnc,ESP,10,0,175,test,f1,1.1337997243725992,0.0986599546976954,0.6003518064263201,0.9902662133390489,4500
mdgnc,ESP,10,0,200,train,f0,1.9255325856019909e-13,9.173999011957124e-14,1.299471641402761e-13,1.0,200
mdgnc,ESP,10,0,200,train,f1,3.5146999427463097e-11,3.733250054801534e-12,2.788732800240723e-11,1.0,200
mdgnc,ESP,10,0,200,test,f0,0.3136660749877996,0.1618101066762009,0.1855193178895412,0.9738174893774364,4500
mdgnc,ESP,10,0,200,test,f1,1.0758841476599543,0.0936203096422846,0.5582882268330032,0.9912352376224828,4500
mdgnc,ESP,10,0,225,train,f0,1.9922620915160402e-13,9.487383755921135e-14,1.3799134674425457e-13,1.0,225
mdgnc,ESP,10,0,225,train,f1,5.646519543081779e-11,6.051082177364691e-12,4.5567137223972365e-11,1.0,225
mdgnc,ESP,10,0,225,test,f0,0.2960178861887832,0.1527059811748324,0.1690814521472458,0.9766808833134316,4500
mdgnc,ESP,10,0,225,test,f1,1.062830612017128,0.092484428932948,0.5411589797821396,0.9914466304049464,4500
mdgnc,ESP,10,0,250,train,f0,2.6187239807183654e-13,1.2225875553487246e-13,1.910276381522636e-13,1.0,250
