problem,cv_folds,fold,budget,sample_id,discrete_arch_id,f0,f1
mdgnc,10,1,300,1,0,-3.3745304167156984,17.70332213945729
mdgnc,10,1,300,191,1,-3.710517572185376,31.02228576480274
mdgnc,10,1,300,371,2,-3.597102363038781,35.54352954536545
mdgnc,10,1,300,561,3,-3.863502052491123,28.325042686456317
mdgnc,10,1,300,741,4,-4.011525083881214,30.3720088538727
mdgnc,10,1,300,931,5,-3.613139585284143,36.04840355365042
mdgnc,10,1,300,1121,6,-4.1039349731151225,41.739536029088974
mdgnc,10,1,300,1301,11,-3.77211622199248,31.8211909995999
mdgnc,10,1,300,1311,7,-3.8680673557157457,38.840205730059246
mdgnc,10,1,300,1321,10,-3.7620321612353935,32.52189166627548
mdgnc,10,1,300,1331,13,-3.827953113724797,43.92352879363595
mdgnc,10,1,300,1341,9,-3.938457097311029,25.952066015872944
mdgnc,10,1,300,1351,12,-3.909043063734621,40.84546841628421
mdgnc,10,1,300,1361,8,-3.871275703350472,36.901931948815154
mdgnc,10,1,300,1481,14,-3.8759120252235846,45.06027500349192
mdgnc,10,1,300,1491,24,-3.699456988855218,43.11777222164775
mdgnc,10,1,300,1501,34,-3.70427964636,44.08017095972723
mdgnc,10,1,300,1511,19,-3.714113484653145,49.69532418285642
mdgnc,10,1,300,1521,29,-3.7218554049575583,40.53405088032686
mdgnc,10,1,300,1671,39,-3.7420487019829856,40.88574944922795
mdgnc,10,1,300,1851,40,-4.149263493548817,40.98841477113415
mdgnc,10,1,300,2041,41,-4.067500776178135,50.85229400095574
mdgnc,10,1,300,2231,42,-3.4749572059745173,36.46480305330229
mdgnc,10,1,300,2411,47,-4.004572897960776,38.923660000731786
mdgnc,10,1,300,2421,57,-3.705107915678897,39.50629264441982
mdgnc,10,1,300,2431,67,-3.749552038823152,42.42612508477323
mdgnc,10,1,300,2441,52,-3.811208314801264,39.17031129765005
mdgnc,10,1,300,2451,62,-3.6997828996626376,45.95757387377566
mdgnc,10,1,300,2591,49,-3.699755273140873,43.93269625496741
mdgnc,10,1,300,2601,77,-3.791854798780694,43.86230647785437
mdgnc,10,1,300,2611,87,-3.703875324119229,56.0768103435061
mdgnc,10,1,300,2621,97,-3.72455739665637,38.52056300823124
mdgnc,10,1,300,2631,107,-3.69899196611114,49.08939303066839
mdgnc,10,1,300,2641,117,-3.70024289204391,49.87944412804856
mdgnc,10,1,300,2651,127,-3.706491878002464,46.8174780938364
mdgnc,10,1,300,2661,137,-3.710935605835645,44.91770704414973
mdgnc,10,1,300,2671,147,-3.763691991109033,44.35329347689597
mdgnc,10,1,300,2681,157,-3.780400300272781,55.905251372678606
mdgnc,10,1,300,2691,167,-3.698975766508978,52.08026757019172
mdgnc,10,1,300,2701,177,-3.707843630881949,50.41609500712747
mdgnc,10,1,300,2711,187,-3.766875486186432,55.46940749840112
mdgnc,10,1,300,2721,197,-3.71728426057725,48.49652916647102
mdgnc,10,1,300,2731,207,-3.751817039388482,45.36916514001137
mdgnc,10,1,300,2741,217,-3.815859711786949,47.44688075220734
mdgnc,10,1,300,2751,227,-3.958726012980309,51.012572799091984
mdgnc,10,1,300,2761,237,-3.744841511804145,46.52665877896892
mdgnc,10,1,300,2771,247,-3.8611280631100686,59.38620848434336
mdgnc,10,1,300,2781,257,-3.927747694758005,35.21264621788216
mdgnc,10,1,300,2791,260,-4.039124458416061,39.31940063575009
mdgnc,10,1,300,2801,256,-3.850683964219847,28.562032935792686
mdgnc,10,1,300,2811,259,-3.871250949666,29.441761111896668
mdgnc,10,1,300,2821,255,-3.842676327015205,33.071006975234155
mdgnc,10,1,300,2831,258,-3.875117970283404,37.50074347724885
mdgnc,10,1,300,2841,254,-4.135324347053593,34.30607116344532
mdgnc,10,1,300,2971,269,-7.284010231870133,42.18447825934798
mdgnc,10,1,300,2981,279,-6.997665409114799,38.39242996954959
mdgnc,10,1,300,2991,289,-6.995362222436554,44.13482236011088
mdgnc,10,1,300,3001,299,-7.15995497624936,48.95797880897653
mdgnc,10,1,300,3011,309,-7.499211389866908,39.54796679206703
mdgnc,10,1,300,3021,270,-7.039310359109536,38.7140810884672
mdgnc,10,1,300,3031,280,-7.11174759112491,45.57818280362917
mdgnc,10,1,300,3041,290,-7.141648290648077,46.85972451099126
mdgnc,10,1,300,3051,300,-7.11999234297965,46.806676829584944
mdgnc,10,1,300,3061,261,-6.809893388115575,39.2075462488924
mdgnc,10,1,300,3071,271,-7.057040115599969,47.852803153961375
mdgnc,10,1,300,3081,281,-7.30735600350765,43.56262491989892
mdgnc,10,1,300,3091,291,-6.999825234886529,35.663000408413936
mdgnc,10,1,300,3101,301,-7.216321631659511,41.46834036850028
mdgnc,10,1,300,3121,276,-6.934904112301871,40.63155025043588
mdgnc,10,1,300,3131,288,-7.187817312827319,41.93577645819816
mdgnc,10,1,300,3141,294,-7.061198307625333,39.82680071363062
mdgnc,10,1,300,3151,313,-7.158179477808979,44.39731120980683
mdgnc,10,1,300,3161,323,-7.305669951629766,47.679266185166455
mdgnc,10,1,300,3171,333,-7.387501419990739,56.996266875689685
mdgnc,10,1,300,3181,343,-7.280498794521511,50.3805600565813
mdgnc,10,1,300,3191,353,-7.612682532532267,49.53263464211022
mdgnc,10,1,300,3201,363,-7.035733835410526,43.601427578757765
mdgnc,10,1,300,3211,373,-7.580415890011921,41.25292638879745
mdgnc,10,1,300,3221,383,-7.244013580606916,48.32545811996969
mdgnc,10,1,300,3231,393,-7.592867325700573,53.11180060552753
mdgnc,10,1,300,3241,403,-7.401862691521631,54.06135327516092
mdgnc,10,1,300,3251,413,-7.51044812219715,46.05556576883846
mdgnc,10,1,300,3261,423,-7.410685365374422,54.93599121381267
mdgnc,10,1,300,3271,433,-7.525065172008209,46.67217808801868
mdgnc,10,1,300,3281,443,-7.253442336195407,50.649981392225
mdgnc,10,1,300,3291,453,-7.437288779565623,56.4195452126337
mdgnc,10,1,300,3301,463,-7.34902870818609,50.6472500488205
mdgnc,10,1,300,3311,473,-7.56644321289929,55.59518480204149
mdgnc,10,1,300,3321,483,-7.728611175829455,56.14058779583483
